model_id,bs,seq_len,search_times,latency
4,8,0,0,15.505075454711914
1,16,0,0,32.01174736022949
4,4,0,0,-1
4,2,0,0,-1
1,1,0,0,-1
4,16,0,0,-1
1,1,0,0,30.43651580810547
4,1,0,0,-1
4,16,0,0,27.156352996826172
1,8,0,0,-1
4,4,0,0,6.098747253417969
1,16,0,0,26.69811248779297
1,8,0,0,-1
1,4,0,0,29.29830551147461
1,1,0,0,-1
1,2,0,0,30.330419540405273
1,2,0,0,33.81776809692383
4,4,0,0,7.296085357666016
4,16,0,0,22.095680236816406
4,16,0,0,35.904645919799805
4,16,0,0,28.07140350341797
1,16,0,0,26.658058166503906
4,16,0,0,16.835689544677734
4,2,0,0,9.026050567626953
4,2,0,0,5.592823028564453
1,4,0,0,30.79700469970703
4,2,0,0,-1
1,1,0,0,-1
4,16,0,0,16.718149185180664
4,2,0,0,4.144430160522461
1,16,0,0,26.787996292114258
4,8,0,0,9.563446044921875
4,4,0,0,6.445884704589844
1,1,0,0,30.451297760009766
4,4,0,0,-1
1,4,0,0,-1
1,4,0,0,28.24878692626953
1,1,0,0,-1
1,2,0,0,26.837825775146484
1,16,0,0,-1
1,2,0,0,30.129671096801758
1,4,0,0,-1
1,1,0,0,47.53589630126953
1,2,0,0,-1
1,1,0,0,34.92140769958496
1,16,0,0,-1
1,1,0,0,34.0116024017334
1,4,0,0,-1
4,1,0,0,7.967710494995117
4,1,0,0,5.708217620849609
4,4,0,0,11.243343353271484
4,16,0,0,23.11539649963379
1,2,0,0,30.382871627807617
1,2,0,0,-1
1,4,0,0,28.781890869140625
1,8,0,0,-1
1,8,0,0,-1
4,8,0,0,-1
4,1,0,0,4.100561141967773
4,4,0,0,10.560274124145508
1,2,0,0,30.332565307617188
1,8,0,0,-1
4,4,0,0,6.324529647827148
1,8,0,0,27.306318283081055
4,1,0,0,8.690834045410156
1,4,0,0,28.815031051635742
1,8,0,0,-1
4,16,0,0,-1
4,16,0,0,16.779661178588867
4,1,0,0,20.117521286010742
1,4,0,0,28.898239135742188
1,8,0,0,-1
1,8,0,0,29.84476089477539
4,8,0,0,9.558439254760742
1,8,0,0,32.0286750793457
1,1,0,0,-1
1,8,0,0,27.513980865478516
4,2,0,0,5.8994293212890625
1,1,0,0,30.712127685546875
1,16,0,0,-1
1,4,0,0,27.52065658569336
1,8,0,0,-1
1,8,0,0,27.162551879882812
1,2,0,0,-1
4,2,0,0,7.297754287719727
4,1,0,0,12.101173400878906
1,4,0,0,28.776884078979492
4,16,0,0,-1
1,16,0,0,29.142379760742188
4,8,0,0,9.620904922485352
4,16,0,0,17.348766326904297
1,16,0,0,-1
4,2,0,0,9.664535522460938
4,4,0,0,15.028238296508789
1,16,0,0,33.98919105529785
1,2,0,0,-1
1,4,0,0,-1
4,16,0,0,16.889095306396484
1,8,0,0,-1
1,4,0,0,29.272079467773438
1,1,0,0,-1
4,4,0,0,6.18743896484375
4,1,0,0,5.494356155395508
4,4,0,0,6.2961578369140625
1,8,0,0,32.20367431640625
4,4,0,0,-1
1,16,0,0,-1
4,1,0,0,6.409406661987305
1,2,0,0,30.103445053100586
1,1,0,0,27.018308639526367
1,16,0,0,-1
4,8,0,0,-1
1,4,0,0,-1
1,4,0,0,30.501842498779297
1,4,0,0,-1
1,1,0,0,30.047178268432617
4,2,0,0,-1
1,4,0,0,-1
1,2,0,0,30.519962310791016
1,8,0,0,-1
