model_id,bs,seq_len,search_times,latency
3,8,0,0,35.32862663269043
2,16,0,0,-1
3,4,0,0,26.061534881591797
3,2,0,0,46.718597412109375
2,1,0,0,-1
3,16,0,0,-1
2,1,0,2,58.841705322265625
3,1,0,0,-1
3,16,0,0,-1
2,8,0,0,-1
3,4,0,0,32.99403190612793
2,16,0,0,-1
2,8,0,0,56.592702865600586
2,4,0,0,-1
2,1,0,0,-1
2,2,0,0,57.796478271484375
2,2,0,0,-1
3,4,0,0,34.062862396240234
3,16,0,0,-1
3,16,0,0,-1
3,16,0,0,30.476808547973633
2,16,0,0,-1
3,16,0,0,27.286291122436523
3,2,0,0,44.20876502990723
3,2,0,1,62.830209732055664
2,4,0,0,-1
3,2,0,0,-1
2,1,0,0,-1
3,16,0,2,26.157617568969727
3,2,0,0,30.617237091064453
2,16,0,0,-1
3,8,0,0,32.454729080200195
3,4,0,0,40.79294204711914
2,1,0,0,-1
3,4,0,0,39.46685791015625
2,4,0,0,-1
2,4,0,0,-1
2,1,0,0,66.83897972106934
2,2,0,0,-1
2,16,0,0,-1
2,2,0,0,47.00040817260742
2,4,0,0,-1
2,1,0,0,-1
2,2,0,0,-1
2,1,0,0,52.06894874572754
2,16,0,0,-1
2,1,0,0,-1
2,4,0,0,47.92928695678711
3,1,0,0,-1
3,1,0,0,-1
3,4,0,0,-1
3,16,0,0,-1
2,2,0,0,58.00437927246094
2,2,0,0,-1
2,4,0,0,49.06105995178223
2,8,0,0,-1
2,8,0,0,-1
3,8,0,0,-1
3,1,0,0,42.4501895904541
3,4,0,0,64.48864936828613
2,2,0,0,-1
2,8,0,0,-1
3,4,0,0,26.280879974365234
2,8,0,0,-1
3,1,0,0,29.979705810546875
2,4,0,0,-1
2,8,0,0,50.29034614562988
3,16,0,0,-1
3,16,0,0,50.492286682128906
3,1,0,0,-1
2,4,0,0,-1
2,8,0,0,-1
2,8,0,0,45.50743103027344
3,8,0,0,-1
2,8,0,0,39.20245170593262
2,1,0,0,-1
2,8,0,0,49.329519271850586
3,2,0,0,-1
2,1,0,0,54.49032783508301
2,16,0,0,-1
2,4,0,0,-1
2,8,0,0,45.43447494506836
2,8,0,0,-1
2,2,0,0,-1
3,2,0,0,-1
3,1,0,0,36.452531814575195
2,4,0,0,-1
3,16,0,0,28.176307678222656
2,16,0,0,-1
3,8,0,0,29.15024757385254
3,16,0,0,27.4813175201416
2,16,0,0,-1
3,2,0,0,47.95694351196289
3,4,0,0,-1
2,16,0,0,-1
2,2,0,0,-1
2,4,0,0,-1
3,16,0,5,30.165910720825195
2,8,0,0,-1
2,4,0,0,-1
2,1,0,0,47.84584045410156
3,4,0,0,-1
3,1,0,0,32.19413757324219
3,4,0,0,-1
2,8,0,0,-1
3,4,0,0,38.88344764709473
2,16,0,0,-1
3,1,0,0,26.64017677307129
2,2,0,0,49.523115158081055
2,1,0,0,-1
2,16,0,0,-1
3,8,0,0,-1
2,4,0,0,59.03053283691406
2,4,0,0,-1
2,4,0,0,52.129507064819336
2,1,0,0,-1
3,2,0,0,-1
2,4,0,0,-1
2,2,0,0,59.04412269592285
2,8,0,0,-1
3,2,0,0,-1
2,8,0,0,-1
2,8,0,0,51.70273780822754
3,4,0,0,-1
3,2,0,0,43.64967346191406
2,4,0,0,-1
3,2,0,0,31.893253326416016
3,2,0,0,66.90311431884766
3,8,0,0,72.5698471069336
2,16,0,0,-1
2,2,0,0,-1
2,8,0,0,-1
3,2,0,0,44.69871520996094
3,16,0,0,28.788328170776367
3,16,0,0,28.281688690185547
2,16,0,0,-1
2,2,0,0,47.21260070800781
3,16,0,0,-1
3,8,0,0,29.92534637451172
3,2,0,0,27.197599411010742
2,1,0,0,-1
2,16,0,0,50.427913665771484
3,8,0,0,-1
3,4,0,0,-1
3,8,0,0,33.91599655151367
2,2,0,0,-1
2,4,0,0,-1
2,8,0,0,-1
3,16,0,0,29.508352279663086
2,2,0,0,-1
3,16,0,0,28.860807418823242
3,1,0,0,44.70229148864746
2,2,0,0,-1
2,16,0,0,-1
2,1,0,0,-1
3,8,0,0,40.7259464263916
2,16,0,0,-1
3,4,0,0,29.242515563964844
2,16,0,0,-1
3,2,0,0,30.004262924194336
3,1,0,0,25.528669357299805
2,8,0,0,-1
3,2,0,0,28.27739715576172
3,1,0,0,45.84765434265137
2,1,0,0,-1
3,1,0,0,28.672218322753906
2,16,0,0,-1
3,1,0,0,-1
2,16,0,0,-1
3,1,0,0,38.39278221130371
3,8,0,0,26.416301727294922
2,1,0,0,-1
3,8,0,0,23.831844329833984
2,4,0,0,-1
3,1,0,0,25.873661041259766
2,1,0,0,-1
3,1,0,0,55.01413345336914
2,1,0,0,-1
2,2,0,0,-1
2,4,0,0,-1
3,16,0,0,38.24567794799805
2,2,0,0,-1
3,4,0,0,29.504060745239258
3,2,0,0,-1
3,4,0,0,58.876991271972656
3,16,0,0,-1
3,1,0,0,37.587881088256836
2,4,0,0,-1
2,2,0,0,-1
2,4,0,0,-1
2,2,0,0,49.78799819946289
3,1,0,0,-1
2,8,0,0,-1
2,2,0,0,-1
3,8,0,0,-1
2,4,0,0,-1
3,8,0,0,34.62481498718262
3,16,0,0,-1
2,1,0,0,-1
3,4,0,0,46.930789947509766
3,4,0,0,40.40074348449707
3,2,0,0,-1
2,16,0,0,-1
2,8,0,0,-1
3,8,0,0,43.17331314086914
3,8,0,0,69.1533088684082
3,2,0,0,-1
3,1,0,0,35.68148612976074
3,4,0,0,-1
2,8,0,0,44.46601867675781
3,4,0,0,-1
2,4,0,0,-1
2,8,0,0,43.106794357299805
2,2,0,0,-1
3,1,0,0,-1
2,1,0,0,-1
2,16,0,0,46.849966049194336
3,4,0,0,-1
3,2,0,0,71.02489471435547
2,4,0,0,-1
3,1,0,0,-1
2,2,0,0,-1
2,4,0,2,49.437522888183594
3,16,0,0,-1
2,8,0,0,-1
3,4,0,0,-1
3,16,0,0,32.55033493041992
2,1,0,0,-1
3,8,0,0,-1
2,4,0,0,-1
3,8,0,0,36.82661056518555
2,16,0,0,-1
3,1,0,0,32.813072204589844
3,8,0,0,43.98775100708008
2,2,0,0,-1
2,8,0,0,46.20552062988281
2,1,0,0,-1
2,8,0,0,41.33725166320801
2,1,0,0,-1
2,4,0,0,-1
2,16,0,0,44.27337646484375
3,8,0,0,-1
3,8,0,0,-1
2,8,0,0,-1
2,2,0,0,-1
