model_id,bs,seq_len,search_times,latency
6,8,8,0,29.101133346557617
6,8,64,0,24.191617965698242
6,4,16,0,19.58608627319336
0,1,0,0,15.799999237060547
6,16,16,0,31.2955379486084
6,1,32,0,20.892858505249023
6,4,64,0,-1
6,2,64,0,21.032094955444336
6,4,8,0,19.451141357421875
0,8,0,0,13.661623001098633
0,4,0,0,25.70509910583496
0,1,0,0,22.08733558654785
0,2,0,0,17.13085174560547
0,2,0,0,15.25115966796875
6,4,64,0,31.1276912689209
0,4,0,0,-1
0,16,0,0,40.943145751953125
0,16,0,0,38.28883171081543
6,16,64,0,24.438858032226562
6,4,16,0,35.973548889160156
0,1,0,0,-1
6,1,16,0,23.50473403930664
0,1,0,0,29.322147369384766
6,16,32,0,29.30307388305664
0,16,0,0,16.75248146057129
6,8,64,0,27.878284454345703
6,16,8,0,29.865264892578125
6,4,16,0,47.12796211242676
0,4,0,0,49.5152473449707
0,4,0,0,-1
0,1,0,0,40.471553802490234
0,2,0,0,47.47796058654785
0,16,0,0,30.566692352294922
0,2,0,0,15.4876708984375
0,4,0,0,29.50596809387207
0,1,0,0,34.746646881103516
0,2,0,0,48.85220527648926
0,1,0,0,15.378713607788086
0,16,0,0,15.88296890258789
0,1,0,0,18.30005645751953
0,4,0,0,14.403104782104492
6,1,64,0,39.84713554382324
0,8,0,0,45.15218734741211
0,8,0,0,40.71998596191406
0,2,0,0,-1
0,2,0,0,25.8638858795166
0,4,0,0,15.442609786987305
0,8,0,0,21.336078643798828
0,8,0,0,-1
6,8,32,0,29.929161071777344
0,1,0,0,28.19347381591797
6,4,8,0,32.11545944213867
6,8,32,0,21.813631057739258
6,16,16,0,35.260677337646484
6,8,8,0,-1
0,4,0,0,24.249553680419922
0,8,0,0,-1
6,16,64,0,22.32527732849121
0,16,0,0,17.450809478759766
6,1,16,0,30.950069427490234
6,2,64,0,20.632028579711914
6,16,8,0,42.550086975097656
0,4,0,0,18.50438117980957
6,8,16,0,-1
0,2,0,0,19.466638565063477
0,8,0,0,13.112783432006836
6,1,8,0,-1
0,16,0,0,17.9440975189209
0,4,0,0,27.3895263671875
0,8,0,0,13.03863525390625
0,8,0,0,28.207778930664062
0,2,0,0,42.2825813293457
6,2,32,0,24.263620376586914
0,2,0,0,41.49270057678223
6,4,8,0,-1
6,8,64,0,48.125505447387695
6,2,16,0,-1
6,1,16,0,22.042036056518555
0,4,0,0,25.61044692993164
6,4,8,0,-1
0,2,0,0,13.966798782348633
6,16,16,0,31.3260555267334
6,2,8,0,-1
6,16,8,0,39.55364227294922
6,4,32,0,58.923959732055664
6,16,64,0,-1
6,4,8,0,-1
6,8,64,0,-1
0,2,0,0,-1
0,8,0,0,-1
0,1,0,3,35.12859344482422
0,1,0,0,48.8278865814209
6,8,32,0,40.27962684631348
6,16,16,0,-1
6,2,32,0,25.245189666748047
0,4,0,0,-1
0,1,0,0,38.53487968444824
6,2,8,0,56.810855865478516
6,2,8,0,44.27003860473633
0,1,0,0,52.23584175109863
0,4,0,0,47.42121696472168
0,16,0,0,-1
6,8,64,0,-1
6,4,64,0,-1
6,2,16,2,34.26647186279297
0,4,0,0,32.73153305053711
6,2,32,0,-1
0,16,0,0,-1
6,8,8,2,23.98824691772461
0,1,0,0,19.011259078979492
0,1,0,0,19.814491271972656
6,8,32,0,44.96169090270996
0,8,0,0,45.60708999633789
6,16,8,0,32.04178810119629
0,16,0,0,37.19496726989746
0,2,0,0,33.22887420654297
6,16,64,0,28.298616409301758
6,8,16,0,37.25719451904297
0,1,0,0,19.493579864501953
0,16,0,0,13.88239860534668
6,8,32,0,32.35507011413574
6,8,64,0,-1
0,2,0,0,18.803119659423828
0,4,0,0,29.64639663696289
0,8,0,0,36.190032958984375
6,16,8,0,22.83477783203125
0,4,0,0,38.51151466369629
6,8,64,0,-1
6,8,16,0,-1
0,16,0,0,21.013736724853516
0,1,0,0,35.96830368041992
6,8,8,0,32.814741134643555
0,8,0,0,46.25201225280762
6,16,32,0,51.65362358093262
0,8,0,0,48.38824272155762
6,1,16,0,21.767139434814453
0,8,0,0,13.823986053466797
6,8,32,0,31.264305114746094
0,1,0,0,21.851301193237305
6,1,16,0,25.079011917114258
0,16,0,0,-1
6,1,16,0,-1
6,8,8,0,24.296283721923828
0,1,0,0,14.435768127441406
6,1,64,0,26.4437198638916
6,1,64,0,23.690462112426758
6,1,32,0,33.7071418762207
0,1,0,0,-1
6,1,16,0,37.43481636047363
6,2,16,0,-1
0,1,0,0,-1
0,1,0,6,43.837785720825195
0,2,0,0,55.95064163208008
6,4,32,0,38.107872009277344
0,2,0,2,53.780555725097656
6,4,32,0,-1
6,1,8,0,-1
6,2,16,0,-1
0,2,0,0,-1
0,4,0,0,-1
