model_id,bs,seq_len,search_times,latency
6,8,8,0,30.423402786254883
6,8,64,0,20.36428451538086
6,4,16,0,21.69656753540039
5,1,0,0,11.976242065429688
6,16,16,0,26.563644409179688
6,1,32,0,21.74091339111328
6,4,64,0,-1
6,2,64,0,21.779298782348633
6,4,8,0,21.038055419921875
5,8,0,0,12.184619903564453
5,4,0,0,19.58179473876953
5,1,0,0,6.9293975830078125
5,2,0,0,6.922483444213867
5,2,0,0,8.243083953857422
6,4,64,0,21.439075469970703
5,4,0,0,-1
5,16,0,0,32.884836196899414
5,16,0,0,-1
6,16,64,0,21.10576629638672
6,4,16,0,27.272701263427734
5,1,0,0,14.724969863891602
6,1,16,0,22.600650787353516
5,1,0,0,15.832662582397461
6,16,32,0,24.80030059814453
5,16,0,0,19.78015899658203
6,8,64,0,24.457931518554688
6,16,8,0,25.320053100585938
6,4,16,0,41.19157791137695
5,4,0,0,30.040502548217773
5,4,0,0,-1
5,1,0,0,11.928081512451172
5,2,0,0,10.35308837890625
5,16,0,0,19.37246322631836
5,2,0,0,8.816242218017578
5,4,0,0,14.80412483215332
5,1,0,0,11.463165283203125
5,2,0,0,15.63119888305664
5,1,0,0,4.96673583984375
5,16,0,0,19.47164535522461
5,1,0,0,8.584260940551758
5,4,0,0,6.996870040893555
6,1,64,0,27.387142181396484
5,8,0,0,-1
5,8,0,0,11.150121688842773
5,2,0,0,11.437177658081055
5,2,0,0,5.072593688964844
5,4,0,0,7.558107376098633
5,8,0,0,11.026144027709961
5,8,0,0,11.062383651733398
6,8,32,0,31.952857971191406
5,1,0,0,16.52836799621582
6,4,8,0,18.553733825683594
6,8,32,0,21.733522415161133
6,16,16,0,36.98301315307617
6,8,8,0,-1
5,4,0,0,21.764516830444336
5,8,0,0,15.172719955444336
6,16,64,0,32.13238716125488
5,16,0,0,26.49998664855957
6,1,16,0,-1
6,2,64,0,24.495363235473633
6,16,8,0,-1
5,4,0,0,6.920337677001953
6,8,16,0,21.6982364654541
5,2,0,0,-1
5,8,0,0,11.08694076538086
6,1,8,0,-1
5,16,0,0,24.87015724182129
5,4,0,0,27.06003189086914
5,8,0,0,10.920047760009766
5,8,0,0,19.603967666625977
5,2,0,0,23.311376571655273
6,2,32,0,28.527021408081055
5,2,0,0,-1
6,4,8,0,-1
6,8,64,0,37.975311279296875
6,2,16,0,34.93928909301758
6,1,16,0,18.189430236816406
5,4,0,0,8.50820541381836
6,4,8,0,20.84946632385254
5,2,0,0,8.798360824584961
6,16,16,0,24.182558059692383
6,2,8,0,33.007144927978516
6,16,8,0,48.29001426696777
6,4,32,1,63.2939338684082
6,16,64,0,-1
6,4,8,0,-1
6,8,64,0,-1
5,2,0,0,-1
5,8,0,0,-1
5,1,0,2,24.259567260742188
5,1,0,0,-1
6,8,32,0,23.244142532348633
6,16,16,0,40.14015197753906
6,2,32,0,21.50583267211914
5,4,0,0,-1
5,1,0,0,32.27519989013672
6,2,8,0,32.68146514892578
6,2,8,0,25.64525604248047
5,1,0,0,22.989511489868164
5,4,0,0,10.973215103149414
5,16,0,0,20.02573013305664
6,8,64,0,-1
6,4,64,0,40.0395393371582
6,2,16,0,-1
5,4,0,0,7.53331184387207
6,2,32,0,21.30126953125
5,16,0,0,39.507150650024414
6,8,8,0,24.597644805908203
5,1,0,0,7.218122482299805
5,1,0,0,11.274099349975586
6,8,32,0,-1
5,8,0,0,24.049758911132812
6,16,8,0,24.83987808227539
5,16,0,0,29.976606369018555
5,2,0,0,12.534618377685547
6,16,64,0,20.996570587158203
6,8,16,0,23.702383041381836
5,1,0,0,7.86590576171875
5,16,0,0,19.69122886657715
6,8,32,0,35.16030311584473
6,8,64,0,44.28815841674805
5,2,0,0,-1
5,4,0,0,18.6002254486084
5,8,0,0,22.262096405029297
6,16,8,0,18.949031829833984
5,4,0,0,22.669553756713867
6,8,64,0,21.34561538696289
6,8,16,0,-1
5,16,0,0,-1
5,1,0,0,-1
6,8,8,0,-1
5,8,0,0,19.849538803100586
6,16,32,0,22.002458572387695
5,8,0,0,12.158393859863281
6,1,16,0,25.984764099121094
5,8,0,0,13.84115219116211
6,8,32,0,21.366119384765625
5,1,0,0,10.420799255371094
6,1,16,0,23.80537986755371
5,16,0,0,-1
6,1,16,0,-1
6,8,8,0,21.723270416259766
5,1,0,0,10.677814483642578
6,1,64,0,21.674156188964844
6,1,64,0,18.596410751342773
6,1,32,0,18.60642433166504
5,1,0,0,10.248899459838867
6,1,16,0,29.02698516845703
6,2,16,0,40.54117202758789
5,1,0,0,47.586917877197266
5,1,0,0,-1
5,2,0,0,-1
6,4,32,0,22.60732650756836
5,2,0,0,-1
6,4,32,0,43.2887077331543
6,1,8,0,-1
6,2,16,0,-1
5,2,0,8,32.215118408203125
5,4,0,0,33.27035903930664
6,1,16,0,25.920391082763672
5,1,0,0,20.663022994995117
5,16,0,0,29.63876724243164
6,2,64,0,-1
6,1,16,0,22.66240119934082
6,16,8,0,21.0418701171875
6,8,32,0,19.29950714111328
6,4,64,0,-1
5,1,0,0,17.765522003173828
6,16,16,0,22.211074829101562
6,2,64,0,-1
6,8,32,0,21.251201629638672
5,1,0,0,30.214786529541016
6,4,8,0,27.47964859008789
6,1,16,0,17.515182495117188
6,4,16,0,18.482208251953125
6,8,8,0,34.576416015625
6,2,64,0,28.68175506591797
6,1,8,0,17.893552780151367
6,1,8,0,17.892122268676758
6,16,64,0,20.97797393798828
6,4,32,0,28.881549835205078
6,2,8,0,43.49660873413086
5,4,0,0,-1
6,1,16,0,22.071123123168945
5,4,0,0,-1
6,16,16,0,28.046846389770508
5,16,0,0,34.60097312927246
6,4,32,0,34.718990325927734
6,2,16,0,26.32594108581543
5,8,0,0,-1
6,2,32,0,22.200584411621094
6,8,16,0,22.92776107788086
6,16,32,0,21.11220359802246
6,1,64,0,26.444435119628906
6,8,8,0,-1
5,8,0,0,29.8919677734375
6,1,8,0,33.750295639038086
5,8,0,0,11.316061019897461
5,1,0,0,7.542133331298828
5,4,0,0,7.13658332824707
5,16,0,0,20.23601531982422
6,8,64,0,-1
6,4,64,0,-1
6,2,32,0,-1
5,2,0,0,-1
6,8,64,0,31.101226806640625
6,2,16,0,-1
6,16,8,0,32.58919715881348
6,1,16,0,23.533344268798828
6,2,16,0,-1
6,16,32,0,51.05710029602051
6,1,64,0,50.441741943359375
6,8,16,0,-1
6,1,8,0,-1
5,4,0,0,-1
5,8,0,3,28.302669525146484
5,8,0,0,-1
5,4,0,0,6.980657577514648
5,1,0,0,6.50334358215332
6,8,32,0,21.99268341064453
6,1,16,0,-1
6,16,32,0,44.53420639038086
5,4,0,0,46.26154899597168
6,8,32,0,26.147842407226562
6,2,8,0,46.143531799316406
6,1,8,0,56.497812271118164
6,8,8,0,24.52826499938965
6,8,64,0,29.59442138671875
5,2,0,0,9.960412979125977
5,2,0,0,16.517162322998047
6,2,64,0,22.01700210571289
5,16,0,0,19.604921340942383
6,2,16,0,28.28073501586914
6,4,32,0,-1
6,1,32,0,43.10131072998047
5,8,0,0,11.043787002563477
6,4,32,0,22.147417068481445
5,16,0,0,26.26204490661621
5,8,0,0,36.35263442993164
5,1,0,0,-1
6,1,64,0,-1
6,16,32,2,26.4127254486084
5,16,0,0,-1
6,2,8,0,26.82018280029297
6,2,32,0,49.2396354675293
6,2,16,0,-1
5,4,0,0,-1
6,1,16,0,34.34920310974121
6,2,8,0,-1
5,8,0,0,-1
5,2,0,0,8.88204574584961
5,4,0,0,11.552810668945312
5,1,0,0,5.74493408203125
5,4,0,0,7.223367691040039
6,1,16,0,22.92037010192871
5,8,0,0,22.15743064880371
6,1,32,0,20.203590393066406
5,2,0,0,14.21666145324707
6,8,8,0,22.42898941040039
5,2,0,0,8.525848388671875
6,2,32,0,36.99803352355957
6,4,8,0,19.344091415405273
6,1,16,0,18.671512603759766
6,1,8,0,-1
5,2,0,0,-1
6,1,32,0,-1
6,2,64,0,34.698486328125
6,4,16,0,61.78784370422363
6,8,64,0,-1
5,4,0,0,-1
6,16,8,0,-1
6,2,8,3,20.79463005065918
5,16,0,0,19.862890243530273
5,2,0,0,5.705118179321289
5,1,0,0,9.337663650512695
5,16,0,0,23.090124130249023
5,8,0,0,11.201620101928711
5,8,0,0,11.531829833984375
5,1,0,0,6.918191909790039
6,8,8,0,23.9560604095459
5,4,0,0,36.88478469848633
6,8,16,0,26.05152130126953
6,8,32,0,21.89922332763672
6,8,8,0,42.673349380493164
6,4,64,0,32.079219818115234
5,16,0,0,-1
6,1,64,0,24.04928207397461
6,8,32,0,22.348403930664062
6,4,8,0,19.222021102905273
6,16,32,0,36.65447235107422
5,16,0,0,33.67114067077637
6,4,16,0,31.80217742919922
5,4,0,0,-1
5,16,0,0,25.76732635498047
6,2,32,0,-1
5,1,0,0,19.403696060180664
5,4,0,0,8.908987045288086
6,4,64,0,28.472423553466797
6,2,8,0,26.7026424407959
5,8,0,0,19.57988739013672
5,1,0,0,10.568618774414062
6,4,16,0,19.662141799926758
5,8,0,0,10.799646377563477
6,2,16,0,22.641897201538086
5,2,0,0,6.41322135925293
5,16,0,0,19.443988800048828
6,4,32,0,33.123016357421875
6,4,32,0,30.614376068115234
6,2,64,0,48.21610450744629
5,16,0,0,19.42610740661621
5,16,0,0,22.380590438842773
6,1,64,0,27.309179306030273
5,4,0,0,-1
5,4,0,0,6.8798065185546875
6,2,16,0,23.462533950805664
6,8,8,0,38.36393356323242
6,8,8,1,49.87788200378418
5,1,0,0,-1
6,4,32,0,-1
6,4,32,2,37.651777267456055
5,8,0,0,11.313915252685547
