model_id,bs,seq_len,latency
6.0,8.0,8.0,28.655529022216797
6.0,8.0,64.0,23.380279541015625
6.0,4.0,16.0,19.451379776000977
1.0,1.0,0.0,41.12434387207031
6.0,16.0,16.0,52.62112617492676
6.0,1.0,32.0,18.94354820251465
6.0,4.0,64.0,31.672239303588867
6.0,2.0,64.0,30.732393264770508
6.0,4.0,8.0,27.043819427490234
1.0,8.0,0.0,33.60342979431152
1.0,4.0,0.0,60.09340286254883
1.0,1.0,0.0,71.84791564941406
1.0,2.0,0.0,78.21083068847656
1.0,2.0,0.0,57.90090560913086
6.0,4.0,64.0,43.923377990722656
1.0,4.0,0.0,73.62580299377441
1,16,0,-1
1.0,16.0,0.0,77.6972770690918
6.0,16.0,64.0,29.735326766967773
6.0,4.0,16.0,33.57195854187012
1.0,1.0,0.0,52.26635932922363
6.0,1.0,16.0,35.83502769470215
1.0,1.0,0.0,57.05451965332031
6.0,16.0,32.0,24.231433868408203
1.0,16.0,0.0,29.829740524291992
6.0,8.0,64.0,18.738508224487305
6.0,16.0,8.0,17.08698272705078
6.0,4.0,16.0,30.976057052612305
1.0,4.0,0.0,48.06399345397949
1.0,4.0,0.0,76.62343978881836
1.0,1.0,0.0,83.04166793823242
1,2,0,-1
1.0,16.0,0.0,71.27928733825684
1.0,2.0,0.0,70.61481475830078
1,4,0,-1
1,1,0,-1
1.0,2.0,0.0,89.1571044921875
1.0,1.0,0.0,54.799556732177734
1.0,16.0,0.0,67.95120239257812
1.0,1.0,0.0,86.31348609924316
6.0,1.0,64.0,70.16849517822266
1,4,0,-1
1.0,8.0,0.0,89.37263488769531
1,8,0,-1
1,2,0,-1
1.0,2.0,0.0,71.65217399597168
1.0,4.0,0.0,75.50239562988281
6.0,8.0,32.0,67.67797470092773
6.0,4.0,8.0,46.77391052246094
1,8,0,-1
6.0,8.0,32.0,35.58349609375
1,8,0,-1
6.0,16.0,16.0,47.901153564453125
1,1,0,-1
6.0,8.0,8.0,41.17131233215332
1.0,4.0,0.0,63.3234977722168
1.0,8.0,0.0,72.62682914733887
6.0,16.0,64.0,87.7382755279541
6.0,1.0,16.0,67.50655174255371
1,16,0,-1
6.0,2.0,64.0,53.50303649902344
6.0,16.0,8.0,67.63982772827148
1.0,4.0,0.0,55.444955825805664
6.0,8.0,16.0,70.38593292236328
1.0,2.0,0.0,103.33418846130371
6.0,1.0,8.0,78.8583755493164
1,8,0,-1
1,16,0,-1
1,4,0,-1
1.0,8.0,0.0,64.00275230407715
6.0,2.0,32.0,46.41103744506836
1,8,0,-1
6.0,4.0,8.0,66.8177604675293
1,2,0,-1
6.0,8.0,64.0,66.56980514526367
1,2,0,-1
6.0,2.0,16.0,65.61040878295898
6.0,1.0,16.0,45.94063758850098
1.0,4.0,0.0,60.79840660095215
6.0,4.0,8.0,74.3720531463623
1.0,2.0,0.0,84.52653884887695
1.0,2.0,0.0,68.52293014526367
6,16,16,-1
1,8,0,-1
6,2,8,-1
1.0,1.0,0.0,72.04413414001465
6,16,8,-1
1,1,0,-1
6,4,32,-1
6,16,64,-1
6,4,8,-1
6,8,64,-1
6.0,8.0,32.0,67.13581085205078
1.0,4.0,0.0,46.9663143157959
6,16,16,-1
6.0,2.0,32.0,68.02701950073242
1.0,1.0,0.0,88.70697021484375
1.0,1.0,0.0,79.06913757324219
6,2,8,-1
1.0,4.0,0.0,88.53435516357422
6,2,8,-1
1,16,0,-1
6,8,64,-1
1.0,4.0,0.0,56.04982376098633
6,4,64,-1
1.0,16.0,0.0,73.28963279724121
6,2,16,-1
1.0,1.0,0.0,41.78738594055176
6,2,32,-1
1.0,1.0,0.0,61.91682815551758
6,8,8,-1
6.0,8.0,32.0,88.0289077758789
1.0,8.0,0.0,118.53408813476562
1,16,0,-1
6,16,8,-1
1.0,2.0,0.0,79.09512519836426
6.0,16.0,64.0,76.21359825134277
1.0,1.0,0.0,60.01400947570801
6,8,16,-1
1.0,16.0,0.0,65.25135040283203
6.0,8.0,32.0,76.38335227966309
1.0,2.0,0.0,71.45023345947266
6,8,64,-1
6.0,16.0,8.0,26.241064071655273
1,4,0,-1
1,8,0,-1
1.0,4.0,0.0,55.19723892211914
6.0,8.0,64.0,42.780160903930664
1.0,16.0,0.0,72.30329513549805
1,1,0,-1
6,8,16,-1
6.0,8.0,8.0,75.89530944824219
1.0,8.0,0.0,102.09465026855469
1,8,0,-1
6,16,32,-1
6.0,1.0,16.0,18.189668655395508
1.0,8.0,0.0,30.310869216918945
6.0,8.0,32.0,21.14248275756836
1.0,1.0,0.0,33.83064270019531
6.0,1.0,16.0,17.961978912353516
1.0,16.0,0.0,41.57876968383789
6.0,1.0,16.0,57.58380889892578
6.0,8.0,8.0,66.04528427124023
1.0,1.0,0.0,55.73081970214844
6.0,1.0,64.0,68.70031356811523
6.0,1.0,64.0,60.579538345336914
6.0,1.0,32.0,56.896209716796875
1.0,1.0,0.0,69.34833526611328
1.0,1.0,0.0,87.55278587341309
6,1,16,-1
1,1,0,-1
6,2,16,-1
6.0,4.0,32.0,56.13207817077637
1,2,0,-1
1.0,2.0,0.0,87.02850341796875
6.0,4.0,32.0,112.22314834594727
1,2,0,-1
6,1,8,-1
1,4,0,-1
6,2,16,-1
1.0,1.0,0.0,83.82940292358398
6,1,16,-1
1,16,0,-1
6,2,64,-1
6.0,1.0,16.0,53.54046821594238
6.0,16.0,8.0,48.9346981048584
6.0,8.0,32.0,43.88236999511719
1.0,1.0,0.0,62.34264373779297
6,4,64,-1
6.0,16.0,16.0,20.83277702331543
6.0,2.0,64.0,43.49946975708008
6.0,8.0,32.0,22.79949188232422
1.0,1.0,0.0,55.35769462585449
6.0,4.0,8.0,68.06254386901855
6.0,1.0,16.0,63.63368034362793
6.0,4.0,16.0,62.860727310180664
6,8,8,-1
6.0,2.0,64.0,55.39560317993164
6.0,1.0,8.0,49.680471420288086
6.0,1.0,8.0,48.68483543395996
6.0,16.0,64.0,20.519018173217773
6.0,4.0,32.0,34.07001495361328
6.0,2.0,8.0,51.76687240600586
1.0,4.0,0.0,45.29547691345215
6.0,1.0,16.0,61.531782150268555
1.0,4.0,0.0,78.00769805908203
6.0,16.0,16.0,97.6409912109375
1,16,0,-1
6,4,32,-1
6.0,2.0,16.0,62.79397010803223
1.0,8.0,0.0,83.46343040466309
6.0,2.0,32.0,81.58159255981445
1.0,8.0,0.0,35.54987907409668
6,8,16,-1
6,16,32,-1
6,1,64,-1
6.0,8.0,8.0,57.70373344421387
6.0,1.0,8.0,72.30353355407715
1.0,8.0,0.0,61.43760681152344
1.0,1.0,0.0,69.08202171325684
1,4,0,-1
1.0,16.0,0.0,29.810667037963867
6.0,8.0,64.0,57.91759490966797
1.0,2.0,0.0,76.08723640441895
6,4,64,-1
6,2,32,-1
6,8,64,-1
6,2,16,-1
6.0,16.0,8.0,77.87942886352539
6.0,1.0,16.0,43.277740478515625
6.0,2.0,16.0,63.419342041015625
1.0,4.0,0.0,47.43838310241699
6,16,32,-1
1.0,8.0,0.0,65.75918197631836
6,1,64,-1
1,8,0,-1
6,8,16,-1
6,1,8,-1
1.0,4.0,0.0,31.200885772705078
1.0,1.0,0.0,49.24917221069336
6.0,8.0,32.0,54.58521842956543
6.0,1.0,16.0,68.87054443359375
1.0,4.0,0.0,100.72803497314453
6,16,32,-1
6,8,32,-1
6.0,2.0,8.0,79.76174354553223
6,1,8,-1
6.0,8.0,8.0,32.48262405395508
6.0,8.0,64.0,40.12346267700195
1.0,2.0,0.0,33.30111503601074
1.0,2.0,0.0,63.2328987121582
6.0,2.0,64.0,55.0847053527832
1.0,16.0,0.0,40.84610939025879
6.0,2.0,16.0,35.2480411529541
6.0,4.0,32.0,58.6698055267334
6.0,1.0,32.0,72.89385795593262
