model_id,bs,seq_len,latency
1.0,8.0,0.0,29.119491577148438
0.0,16.0,0.0,20.256519317626953
1.0,4.0,0.0,40.38596153259277
1.0,2.0,0.0,56.55026435852051
0.0,1.0,0.0,61.24997138977051
1.0,16.0,0.0,78.75895500183105
0.0,1.0,0.0,17.188549041748047
1.0,1.0,0.0,37.299394607543945
1.0,16.0,0.0,47.679901123046875
0.0,8.0,0.0,48.54440689086914
1.0,4.0,0.0,28.954505920410156
0.0,16.0,0.0,15.563011169433594
0.0,8.0,0.0,15.597105026245117
0.0,4.0,0.0,25.794506072998047
0.0,1.0,0.0,20.03931999206543
0.0,2.0,0.0,15.692472457885742
0.0,2.0,0.0,16.62302017211914
1.0,4.0,0.0,28.911590576171875
1.0,16.0,0.0,49.94058609008789
1.0,16.0,0.0,70.38092613220215
1.0,16.0,0.0,68.72320175170898
0.0,16.0,0.0,46.475887298583984
1.0,16.0,0.0,26.491403579711914
1.0,2.0,0.0,41.16249084472656
0.0,4.0,0.0,41.49222373962402
1.0,2.0,0.0,72.17168807983398
0.0,1.0,0.0,60.98437309265137
1,2,0,-1
1.0,16.0,0.0,32.92369842529297
1.0,2.0,0.0,27.706623077392578
0.0,16.0,0.0,24.90091323852539
1.0,8.0,0.0,27.397632598876953
1.0,4.0,0.0,35.378217697143555
0.0,1.0,0.0,27.21858024597168
1.0,4.0,0.0,48.15936088562012
0.0,4.0,0.0,42.784929275512695
0.0,4.0,0.0,49.41248893737793
0.0,1.0,0.0,38.26427459716797
0.0,2.0,0.0,45.415639877319336
0.0,16.0,0.0,26.42536163330078
0.0,2.0,0.0,16.810178756713867
0.0,4.0,0.0,28.805255889892578
0.0,1.0,0.0,32.47404098510742
0.0,2.0,0.0,45.11094093322754
0.0,1.0,0.0,17.103910446166992
0.0,16.0,0.0,15.81573486328125
0.0,1.0,0.0,13.486385345458984
0.0,4.0,0.0,15.828847885131836
1.0,1.0,0.0,42.32382774353027
1.0,1.0,0.0,57.636260986328125
1.0,4.0,0.0,82.79275894165039
0.0,2.0,0.0,54.969072341918945
0.0,2.0,0.0,44.388532638549805
1,16,0,-1
0.0,4.0,0.0,25.581836700439453
0.0,8.0,0.0,29.016971588134766
0.0,8.0,0.0,22.838592529296875
1.0,8.0,0.0,59.758901596069336
1.0,1.0,0.0,69.92769241333008
0.0,2.0,0.0,52.43229866027832
0.0,8.0,0.0,48.81858825683594
1,4,0,-1
1.0,4.0,0.0,45.445919036865234
0.0,8.0,0.0,38.38300704956055
1.0,1.0,0.0,49.41987991333008
0.0,4.0,0.0,31.8756103515625
0.0,8.0,0.0,25.797128677368164
1.0,16.0,0.0,51.732778549194336
1.0,16.0,0.0,53.811073303222656
1.0,1.0,0.0,80.26790618896484
0.0,4.0,0.0,62.92128562927246
0.0,8.0,0.0,63.11845779418945
0.0,8.0,0.0,63.751220703125
1.0,8.0,0.0,55.27305603027344
0.0,8.0,0.0,63.41814994812012
0.0,1.0,0.0,43.96533966064453
0.0,8.0,0.0,40.081024169921875
1.0,2.0,0.0,34.59668159484863
0.0,1.0,0.0,47.128915786743164
0.0,16.0,0.0,33.495187759399414
0.0,4.0,0.0,41.66674613952637
0.0,8.0,0.0,12.69078254699707
0.0,8.0,0.0,22.799253463745117
0.0,2.0,0.0,35.8576774597168
1.0,2.0,0.0,26.99422836303711
1.0,1.0,0.0,56.77986145019531
0.0,4.0,0.0,31.220674514770508
1.0,16.0,0.0,59.02552604675293
0.0,16.0,0.0,15.339851379394531
1.0,8.0,0.0,29.26468849182129
1.0,16.0,0.0,33.29896926879883
0.0,16.0,0.0,35.565853118896484
1.0,2.0,0.0,68.56608390808105
0,16,0,-1
1,4,0,-1
0.0,2.0,0.0,68.56417655944824
0,4,0,-1
1.0,16.0,0.0,27.97389030456543
0.0,8.0,0.0,35.07733345031738
0.0,4.0,0.0,43.047428131103516
0.0,1.0,0.0,16.518592834472656
1.0,4.0,0.0,29.712200164794922
1.0,1.0,0.0,50.71711540222168
1.0,4.0,0.0,69.35405731201172
0.0,8.0,0.0,68.76087188720703
1.0,4.0,0.0,81.15434646606445
0.0,16.0,0.0,91.88365936279297
1.0,1.0,0.0,68.88413429260254
0.0,2.0,0.0,49.23534393310547
0.0,1.0,0.0,30.11178970336914
1.0,8.0,0.0,42.344093322753906
0.0,16.0,0.0,64.4834041595459
0.0,4.0,0.0,55.01103401184082
0.0,4.0,0.0,56.763648986816406
0.0,4.0,0.0,16.104698181152344
