model_id,bs,seq_len,latency
3.0,8.0,0.0,41.25523567199707
2.0,16.0,0.0,49.43275451660156
3.0,4.0,0.0,76.1117935180664
2.0,1.0,0.0,98.32572937011719
3,2,0,-1
2.0,1.0,0.0,49.172401428222656
3,16,0,-1
3.0,1.0,0.0,72.82257080078125
2.0,8.0,0.0,87.29743957519531
3,16,0,-1
3.0,4.0,0.0,49.11494255065918
2.0,16.0,0.0,47.1348762512207
2.0,8.0,0.0,49.964189529418945
2.0,4.0,0.0,85.96658706665039
2,1,0,-1
2.0,2.0,0.0,80.46793937683105
2.0,2.0,0.0,73.67873191833496
3.0,4.0,0.0,73.17185401916504
2.0,16.0,0.0,50.821542739868164
3,16,0,-1
3,16,0,-1
3,16,0,-1
3.0,16.0,0.0,30.759572982788086
3.0,2.0,0.0,43.40410232543945
2.0,4.0,0.0,69.5042610168457
2.0,1.0,0.0,98.5114574432373
3,2,0,-1
3,2,0,-1
3.0,16.0,0.0,72.91316986083984
3.0,2.0,0.0,61.45954132080078
2.0,16.0,0.0,80.9178352355957
3.0,8.0,0.0,61.07759475708008
3.0,4.0,0.0,68.16291809082031
2.0,1.0,0.0,92.83757209777832
2,4,0,-1
3,4,0,-1
2,4,0,-1
2.0,1.0,0.0,80.8262825012207
2,2,0,-1
2.0,16.0,0.0,76.4007568359375
2.0,2.0,0.0,89.02740478515625
2,4,0,-1
2,1,0,-1
2,2,0,-1
2.0,1.0,0.0,62.03055381774902
2.0,16.0,0.0,86.99870109558105
3.0,1.0,0.0,58.63070487976074
2,1,0,-1
3.0,1.0,0.0,71.59161567687988
2,4,0,-1
2.0,2.0,0.0,78.24468612670898
3,4,0,-1
2.0,2.0,0.0,97.82242774963379
3,16,0,-1
3.0,8.0,0.0,66.27988815307617
2,4,0,-1
3.0,1.0,0.0,69.6871280670166
2,8,0,-1
2,8,0,-1
3,4,0,-1
2.0,2.0,0.0,93.55545043945312
3.0,4.0,0.0,76.43556594848633
2,8,0,-1
2.0,8.0,0.0,98.85072708129883
3.0,1.0,0.0,101.63426399230957
3.0,16.0,0.0,63.996076583862305
2,4,0,-1
3.0,16.0,0.0,64.63932991027832
2,8,0,-1
2.0,4.0,0.0,73.0748176574707
3,1,0,-1
3.0,8.0,0.0,29.515743255615234
2,8,0,-1
2,8,0,-1
2.0,8.0,0.0,58.99190902709961
2.0,1.0,0.0,66.33496284484863
2.0,8.0,0.0,98.40726852416992
3.0,2.0,0.0,39.39533233642578
2.0,1.0,0.0,73.29750061035156
2.0,16.0,0.0,87.30077743530273
2,4,0,-1
2.0,8.0,0.0,78.45044136047363
3.0,2.0,0.0,61.359405517578125
2,8,0,-1
3.0,1.0,0.0,87.55254745483398
2,2,0,-1
2.0,4.0,0.0,87.61477470397949
3.0,16.0,0.0,104.4471263885498
2.0,16.0,0.0,82.47828483581543
3.0,8.0,0.0,68.22371482849121
3.0,16.0,0.0,64.57090377807617
2.0,16.0,0.0,104.57324981689453
2,16,0,-1
3,2,0,-1
2,2,0,-1
3,4,0,-1
3.0,16.0,0.0,31.189441680908203
2,4,0,-1
2.0,8.0,0.0,60.51802635192871
2.0,4.0,0.0,94.8333740234375
2.0,1.0,0.0,83.0693244934082
3.0,4.0,0.0,68.09186935424805
3.0,1.0,0.0,83.02021026611328
2.0,8.0,0.0,101.39131546020508
2,16,0,-1
3,4,0,-1
2.0,2.0,0.0,47.22881317138672
3,4,0,-1
2.0,1.0,0.0,70.25384902954102
3,1,0,-1
3.0,8.0,0.0,89.04218673706055
2,16,0,-1
2,4,0,-1
2,4,0,-1
2.0,4.0,0.0,46.7531681060791
2.0,1.0,0.0,79.90503311157227
3.0,2.0,0.0,106.28485679626465
3.0,2.0,0.0,66.61558151245117
2,4,0,-1
2,2,0,-1
2,8,0,-1
2.0,8.0,0.0,97.21660614013672
2.0,8.0,0.0,47.02639579772949
3.0,4.0,0.0,54.171085357666016
3.0,2.0,0.0,56.05936050415039
2.0,4.0,0.0,55.901527404785156
3.0,2.0,0.0,83.89735221862793
2.0,16.0,0.0,84.88917350769043
2.0,2.0,0.0,102.39267349243164
3,2,0,-1
2,8,0,-1
3,8,0,-1
3,2,0,-1
3.0,16.0,0.0,84.99264717102051
3.0,16.0,0.0,37.506103515625
2.0,16.0,0.0,42.96278953552246
2.0,2.0,0.0,71.34580612182617
3.0,16.0,0.0,71.44284248352051
3.0,8.0,0.0,79.17618751525879
2.0,1.0,0.0,69.65303421020508
2.0,16.0,0.0,87.18657493591309
3,2,0,-1
2.0,2.0,0.0,53.97439002990723
3,8,0,-1
2.0,4.0,0.0,93.08910369873047
3,4,0,-1
2,8,0,-1
3,8,0,-1
3.0,16.0,0.0,57.04045295715332
2.0,2.0,0.0,103.87587547302246
2,2,0,-1
3,16,0,-1
2.0,16.0,0.0,87.05353736877441
3,1,0,-1
2,1,0,-1
3,8,0,-1
3.0,4.0,0.0,51.69987678527832
