model_id,bs,seq_len,latency
6.0,8.0,8.0,30.493736267089844
6.0,8.0,64.0,17.307519912719727
6.0,4.0,16.0,18.883943557739258
5.0,1.0,0.0,10.544300079345703
6.0,16.0,16.0,22.091388702392578
6.0,1.0,32.0,20.099878311157227
6.0,4.0,64.0,33.141374588012695
6.0,2.0,64.0,32.301902770996094
6.0,4.0,8.0,28.79643440246582
5.0,8.0,0.0,12.804746627807617
5.0,4.0,0.0,18.093347549438477
5.0,1.0,0.0,6.43157958984375
5.0,2.0,0.0,6.382226943969727
5.0,2.0,0.0,8.581161499023438
6.0,4.0,64.0,21.303176879882812
5.0,4.0,0.0,28.495311737060547
5.0,16.0,0.0,41.39542579650879
5.0,16.0,0.0,44.67582702636719
6.0,16.0,64.0,18.466472625732422
6.0,4.0,16.0,22.3085880279541
5.0,1.0,0.0,12.457132339477539
6.0,1.0,16.0,20.29871940612793
5.0,1.0,0.0,14.811992645263672
6.0,16.0,32.0,21.245718002319336
5.0,16.0,0.0,19.414186477661133
6.0,8.0,64.0,21.333694458007812
6.0,16.0,8.0,19.260644912719727
6.0,4.0,16.0,32.79423713684082
5.0,4.0,0.0,24.402618408203125
5.0,4.0,0.0,31.038999557495117
5.0,1.0,0.0,10.895013809204102
5.0,2.0,0.0,7.01141357421875
5.0,16.0,0.0,19.11783218383789
5.0,2.0,0.0,5.047321319580078
5.0,4.0,0.0,11.09004020690918
5.0,1.0,0.0,6.00743293762207
5.0,2.0,0.0,9.473085403442383
5.0,1.0,0.0,7.872343063354492
5.0,16.0,0.0,19.30069923400879
5.0,1.0,0.0,7.778644561767578
5.0,4.0,0.0,6.606340408325195
6.0,1.0,64.0,23.940563201904297
5.0,8.0,0.0,22.99356460571289
5.0,8.0,0.0,15.560626983642578
5.0,2.0,0.0,13.805150985717773
5.0,2.0,0.0,5.168914794921875
5.0,4.0,0.0,6.880521774291992
5.0,8.0,0.0,10.715007781982422
5.0,8.0,0.0,10.622978210449219
6.0,8.0,32.0,28.860807418823242
5.0,1.0,0.0,14.098167419433594
6.0,4.0,8.0,17.912626266479492
6.0,8.0,32.0,18.077373504638672
6.0,16.0,16.0,30.194520950317383
6.0,8.0,8.0,23.399829864501953
5.0,4.0,0.0,21.620750427246094
5.0,8.0,0.0,14.432430267333984
6.0,16.0,64.0,26.575803756713867
5.0,16.0,0.0,20.87855339050293
6.0,1.0,16.0,28.485536575317383
6.0,2.0,64.0,15.744686126708984
6.0,16.0,8.0,30.056238174438477
5.0,4.0,0.0,6.582021713256836
6.0,8.0,16.0,21.731138229370117
5.0,2.0,0.0,27.048587799072266
5.0,8.0,0.0,10.857582092285156
6.0,1.0,8.0,18.484115600585938
5.0,16.0,0.0,37.33563423156738
5.0,4.0,0.0,39.6878719329834
5.0,8.0,0.0,10.691165924072266
5.0,8.0,0.0,19.124269485473633
5.0,2.0,0.0,23.12159538269043
6.0,2.0,32.0,23.864269256591797
5.0,2.0,0.0,26.23891830444336
6.0,4.0,8.0,46.27680778503418
6.0,8.0,64.0,53.386688232421875
6.0,2.0,16.0,49.24178123474121
6.0,1.0,16.0,23.92292022705078
5.0,4.0,0.0,13.269424438476562
6.0,4.0,8.0,23.95796775817871
5.0,2.0,0.0,4.6901702880859375
6.0,16.0,16.0,15.485048294067383
6.0,2.0,8.0,21.436452865600586
6.0,16.0,8.0,34.71660614013672
6.0,4.0,32.0,46.49233818054199
5.0,2.0,0.0,27.174949645996094
6.0,16.0,64.0,55.35888671875
5.0,8.0,0.0,45.28021812438965
5.0,1.0,0.0,30.176162719726562
6,4,8,-1
5.0,1.0,0.0,33.303260803222656
6,8,64,-1
6.0,8.0,32.0,20.643234252929688
6.0,16.0,16.0,35.69817543029785
6.0,2.0,32.0,18.109798431396484
5.0,4.0,0.0,22.882938385009766
6.0,2.0,8.0,24.615049362182617
5.0,1.0,0.0,30.371427536010742
6.0,2.0,8.0,15.78378677368164
5.0,1.0,0.0,9.937524795532227
5.0,4.0,0.0,6.746053695678711
5.0,16.0,0.0,19.25206184387207
6.0,8.0,64.0,32.073259353637695
6.0,4.0,64.0,46.87237739562988
6.0,2.0,16.0,39.72816467285156
5.0,4.0,0.0,26.0617733001709
6.0,2.0,32.0,33.368825912475586
5.0,16.0,0.0,51.56755447387695
6.0,8.0,8.0,30.07984161376953
5.0,1.0,0.0,9.162187576293945
5.0,1.0,0.0,10.488510131835938
6.0,8.0,32.0,20.38741111755371
5.0,8.0,0.0,31.180381774902344
6.0,16.0,8.0,19.203662872314453
5.0,16.0,0.0,23.860692977905273
5.0,2.0,0.0,5.561113357543945
6.0,16.0,64.0,18.418073654174805
6.0,8.0,16.0,18.503904342651367
5.0,1.0,0.0,5.600929260253906
5.0,16.0,0.0,18.40496063232422
6.0,8.0,32.0,26.440858840942383
6.0,8.0,64.0,33.336639404296875
5.0,2.0,0.0,8.009910583496094
5.0,4.0,0.0,10.698795318603516
5.0,8.0,0.0,13.998270034790039
6.0,16.0,8.0,18.529415130615234
5.0,4.0,0.0,21.724462509155273
6.0,8.0,64.0,18.700838088989258
6.0,8.0,16.0,33.41937065124512
5.0,16.0,0.0,50.77981948852539
5.0,1.0,0.0,62.56818771362305
6.0,8.0,8.0,60.39929389953613
5.0,8.0,0.0,66.9095516204834
6.0,16.0,32.0,66.20144844055176
5.0,8.0,0.0,55.42135238647461
6.0,1.0,16.0,17.184972763061523
5.0,8.0,0.0,10.223865509033203
6.0,8.0,32.0,20.499706268310547
5.0,1.0,0.0,7.983207702636719
6.0,1.0,16.0,25.543928146362305
5.0,16.0,0.0,38.37156295776367
6.0,1.0,16.0,54.38804626464844
6.0,8.0,8.0,55.652618408203125
5.0,1.0,0.0,20.859479904174805
6.0,1.0,64.0,25.52628517150879
6.0,1.0,64.0,15.691041946411133
6.0,1.0,32.0,15.691757202148438
5.0,1.0,0.0,9.42373275756836
6.0,1.0,16.0,24.92237091064453
6.0,2.0,16.0,31.88157081604004
5.0,1.0,0.0,37.631988525390625
5.0,1.0,0.0,41.05091094970703
5.0,2.0,0.0,38.50078582763672
6.0,4.0,32.0,19.269227981567383
5.0,2.0,0.0,27.619600296020508
6.0,4.0,32.0,45.03798484802246
6.0,1.0,8.0,51.65290832519531
5.0,2.0,0.0,53.560733795166016
6.0,2.0,16.0,72.79300689697266
5.0,4.0,0.0,70.12081146240234
6.0,1.0,16.0,59.87977981567383
5.0,1.0,0.0,57.868003845214844
5.0,16.0,0.0,66.64490699768066
6.0,2.0,64.0,74.57470893859863
6.0,1.0,16.0,62.230587005615234
6.0,16.0,8.0,57.60622024536133
5.0,1.0,0.0,30.70068359375
6.0,8.0,32.0,64.8503303527832
6.0,4.0,64.0,69.5493221282959
6.0,16.0,16.0,21.867752075195312
6.0,2.0,64.0,35.08257865905762
6.0,8.0,32.0,23.15211296081543
5.0,1.0,0.0,28.237342834472656
6.0,4.0,8.0,37.63175010681152
6.0,1.0,16.0,24.231672286987305
6.0,4.0,16.0,20.171642303466797
6.0,8.0,8.0,32.99736976623535
6.0,2.0,64.0,23.867130279541016
6.0,1.0,8.0,14.716863632202148
6.0,1.0,8.0,14.724016189575195
6.0,16.0,64.0,18.04971694946289
6.0,4.0,32.0,23.247241973876953
6.0,2.0,8.0,35.555362701416016
5.0,4.0,0.0,9.496927261352539
6.0,1.0,16.0,25.075912475585938
5.0,4.0,0.0,18.379926681518555
6.0,16.0,16.0,35.233497619628906
5.0,16.0,0.0,39.2155647277832
6.0,4.0,32.0,47.48249053955078
6.0,2.0,16.0,35.8734130859375
5.0,8.0,0.0,36.6215705871582
6.0,2.0,32.0,28.40423583984375
6.0,8.0,16.0,25.995731353759766
6.0,16.0,32.0,23.31995964050293
6.0,1.0,64.0,25.524139404296875
6.0,8.0,8.0,19.865036010742188
5.0,8.0,0.0,27.09507942199707
6.0,1.0,8.0,45.0139045715332
5.0,8.0,0.0,11.549234390258789
5.0,1.0,0.0,9.868860244750977
5.0,4.0,0.0,8.95547866821289
5.0,16.0,0.0,18.657684326171875
6.0,8.0,64.0,39.277076721191406
6.0,4.0,64.0,49.85928535461426
5.0,2.0,0.0,41.89133644104004
6.0,2.0,32.0,60.72282791137695
6.0,8.0,64.0,67.56782531738281
6.0,2.0,16.0,74.25141334533691
6,16,8,-1
