model_id,bs,seq_len,latency
6.0,8.0,8.0,31.066179275512695
6.0,8.0,64.0,20.666837692260742
6.0,4.0,16.0,19.112348556518555
3.0,1.0,0.0,27.608156204223633
6.0,16.0,16.0,43.7321662902832
6.0,1.0,32.0,22.869348526000977
6.0,4.0,64.0,47.37377166748047
6.0,2.0,64.0,51.206111907958984
6.0,4.0,8.0,58.64405632019043
3.0,8.0,0.0,56.476593017578125
3.0,4.0,0.0,82.05962181091309
3,1,0,-1
3.0,2.0,0.0,66.82348251342773
3.0,2.0,0.0,43.54143142700195
3.0,4.0,0.0,37.48130798339844
6.0,4.0,64.0,62.55960464477539
3.0,16.0,0.0,83.70065689086914
6.0,16.0,64.0,23.435592651367188
3,16,0,-1
6.0,4.0,16.0,36.20481491088867
3.0,1.0,0.0,51.90110206604004
3.0,1.0,0.0,32.213449478149414
6.0,1.0,16.0,68.42374801635742
6.0,16.0,32.0,30.19428253173828
3.0,16.0,0.0,30.98320960998535
6.0,8.0,64.0,23.34737777709961
6.0,16.0,8.0,22.840261459350586
6.0,4.0,16.0,39.09158706665039
3.0,4.0,0.0,51.71561241149902
3.0,4.0,0.0,77.1474838256836
3.0,1.0,0.0,79.19096946716309
3,2,0,-1
3.0,16.0,0.0,64.6657943725586
3.0,2.0,0.0,57.14750289916992
3.0,4.0,0.0,82.0765495300293
3,1,0,-1
3,2,0,-1
3.0,1.0,0.0,33.01405906677246
3.0,16.0,0.0,41.980743408203125
3.0,1.0,0.0,51.48601531982422
3.0,4.0,0.0,39.74604606628418
6.0,1.0,64.0,73.699951171875
3,8,0,-1
3.0,8.0,0.0,78.12380790710449
3,2,0,-1
3.0,2.0,0.0,75.84404945373535
6.0,8.0,32.0,41.921138763427734
3.0,4.0,0.0,97.64409065246582
6.0,4.0,8.0,54.986000061035156
3,8,0,-1
6.0,8.0,32.0,53.82513999938965
3,8,0,-1
6.0,16.0,16.0,77.93760299682617
3,1,0,-1
6.0,8.0,8.0,79.97632026672363
3.0,4.0,0.0,101.55701637268066
3,8,0,-1
6,16,64,-1
3.0,16.0,0.0,77.30817794799805
6.0,1.0,16.0,91.90487861633301
3.0,4.0,0.0,43.69187355041504
6,2,64,-1
3.0,2.0,0.0,54.21137809753418
6,16,8,-1
6.0,8.0,16.0,78.71150970458984
3.0,8.0,0.0,67.71540641784668
6.0,1.0,8.0,79.04386520385742
3.0,16.0,0.0,103.96003723144531
6.0,2.0,32.0,38.660526275634766
3,4,0,-1
6.0,4.0,8.0,60.36043167114258
3,8,0,-1
6.0,8.0,64.0,62.1185302734375
3,8,0,-1
6.0,2.0,16.0,62.06703186035156
3,2,0,-1
6.0,1.0,16.0,40.67063331604004
3,2,0,-1
6.0,4.0,8.0,42.1755313873291
3.0,4.0,0.0,85.69955825805664
6.0,16.0,16.0,69.20456886291504
3.0,2.0,0.0,104.0492057800293
3.0,2.0,0.0,83.8625431060791
6,2,8,-1
3,8,0,-1
6,16,8,-1
3.0,1.0,0.0,82.81183242797852
6,4,32,-1
3,1,0,-1
6,16,64,-1
3.0,4.0,0.0,26.267051696777344
6,4,8,-1
3.0,1.0,0.0,40.24338722229004
6,8,64,-1
3.0,1.0,0.0,25.847196578979492
6,8,32,-1
3.0,4.0,0.0,31.217575073242188
6,16,16,-1
3.0,16.0,0.0,41.0611629486084
6,2,32,-1
6,2,8,-1
6,2,8,-1
6.0,8.0,64.0,63.77005577087402
3.0,4.0,0.0,47.92666435241699
6,4,64,-1
3.0,16.0,0.0,66.78962707519531
6,2,16,-1
3.0,1.0,0.0,31.166553497314453
6,2,32,-1
6.0,8.0,8.0,79.98013496398926
3.0,1.0,0.0,69.12517547607422
3,8,0,-1
6,8,32,-1
6.0,16.0,8.0,57.324886322021484
3.0,16.0,0.0,70.20282745361328
3.0,2.0,0.0,72.79205322265625
6.0,16.0,64.0,70.91283798217773
6.0,8.0,16.0,87.6152515411377
3.0,1.0,0.0,83.27794075012207
6.0,8.0,32.0,75.99735260009766
3,16,0,-1
3.0,2.0,0.0,69.78178024291992
6,8,64,-1
6.0,16.0,8.0,26.030540466308594
3,4,0,-1
3,8,0,-1
3.0,4.0,0.0,52.29663848876953
3.0,16.0,0.0,39.50166702270508
6.0,8.0,64.0,62.37030029296875
3.0,1.0,0.0,92.24939346313477
6,8,16,-1
3,8,0,-1
6,8,8,-1
6.0,16.0,32.0,75.20270347595215
3.0,8.0,0.0,80.35683631896973
6.0,1.0,16.0,39.56866264343262
3.0,8.0,0.0,24.00374412536621
6.0,8.0,32.0,24.594545364379883
3.0,1.0,0.0,31.09002113342285
6.0,1.0,16.0,23.8034725189209
3.0,16.0,0.0,46.198129653930664
6.0,1.0,16.0,62.93225288391113
6.0,8.0,8.0,74.05853271484375
3.0,1.0,0.0,63.226938247680664
6.0,1.0,64.0,78.48834991455078
6.0,1.0,64.0,72.1285343170166
3.0,1.0,0.0,52.72865295410156
6.0,1.0,32.0,98.64377975463867
3,1,0,-1
6,1,16,-1
3.0,1.0,0.0,84.9924087524414
6,2,16,-1
6.0,4.0,32.0,62.445878982543945
3,2,0,-1
6.0,4.0,32.0,81.04658126831055
3,2,0,-1
3,2,0,-1
6,1,8,-1
3.0,4.0,0.0,90.09480476379395
6,2,16,-1
3.0,1.0,0.0,76.28583908081055
6,1,16,-1
6.0,2.0,64.0,77.36611366271973
3,16,0,-1
6.0,1.0,16.0,68.33410263061523
6.0,16.0,8.0,67.34013557434082
3.0,1.0,0.0,65.52600860595703
6,8,32,-1
6,4,64,-1
6.0,16.0,16.0,28.722763061523438
6.0,2.0,64.0,46.18430137634277
6.0,8.0,32.0,27.492523193359375
6.0,4.0,8.0,33.94341468811035
3.0,1.0,0.0,77.79431343078613
6.0,1.0,16.0,68.92013549804688
