model_id,bs,seq_len,latency
6.0,8.0,8.0,33.68782997131348
6.0,8.0,64.0,24.638891220092773
6.0,4.0,16.0,24.25980567932129
2.0,1.0,0.0,60.74833869934082
6.0,16.0,16.0,80.48009872436523
6.0,1.0,32.0,19.784212112426758
6.0,4.0,64.0,34.39521789550781
6.0,2.0,64.0,34.44504737854004
6.0,4.0,8.0,31.716108322143555
2.0,8.0,0.0,42.1907901763916
2.0,4.0,0.0,79.02002334594727
2,1,0,-1
2.0,2.0,0.0,74.46432113647461
2.0,2.0,0.0,65.13023376464844
6.0,4.0,64.0,49.350738525390625
2.0,4.0,0.0,84.90109443664551
2,16,0,-1
2,16,0,-1
6.0,16.0,64.0,15.72275161743164
6.0,4.0,16.0,20.067691802978516
2.0,1.0,0.0,52.85835266113281
6.0,1.0,16.0,40.66753387451172
2.0,1.0,0.0,68.36247444152832
6.0,16.0,32.0,32.63688087463379
2.0,16.0,0.0,46.416282653808594
6.0,8.0,64.0,27.99701690673828
6.0,16.0,8.0,26.73506736755371
6.0,4.0,16.0,41.661739349365234
2.0,4.0,0.0,70.36399841308594
2,4,0,-1
2.0,1.0,0.0,94.16365623474121
2,2,0,-1
2.0,16.0,0.0,97.14150428771973
2,2,0,-1
2,4,0,-1
2.0,1.0,0.0,100.89421272277832
2,2,0,-1
2.0,1.0,0.0,93.84703636169434
6.0,1.0,64.0,51.03778839111328
2,16,0,-1
2,1,0,-1
2.0,4.0,0.0,92.32354164123535
2,8,0,-1
2,8,0,-1
2.0,2.0,0.0,106.49776458740234
6.0,8.0,32.0,43.2431697845459
2,2,0,-1
6.0,4.0,8.0,21.815061569213867
2,4,0,-1
2,8,0,-1
2,8,0,-1
2.0,1.0,0.0,80.5501937866211
6.0,8.0,32.0,53.16948890686035
2.0,4.0,0.0,55.571794509887695
2.0,8.0,0.0,85.42370796203613
6,16,16,-1
2.0,16.0,0.0,94.00796890258789
6,8,8,-1
2.0,4.0,0.0,49.78680610656738
6,16,64,-1
2.0,2.0,0.0,78.6888599395752
6,1,16,-1
2.0,8.0,0.0,78.71341705322266
6,2,64,-1
2,16,0,-1
6,16,8,-1
2,4,0,-1
6,8,16,-1
2.0,8.0,0.0,73.89187812805176
6,1,8,-1
6.0,2.0,32.0,56.275367736816406
2,8,0,-1
6.0,4.0,8.0,72.58248329162598
2,2,0,-1
6.0,8.0,64.0,78.68838310241699
2,2,0,-1
6.0,2.0,16.0,73.38786125183105
6.0,1.0,16.0,48.22707176208496
2.0,4.0,0.0,76.57623291015625
2.0,2.0,0.0,94.59567070007324
6,4,8,-1
2.0,2.0,0.0,96.42171859741211
6,16,16,-1
2,8,0,-1
6,2,8,-1
2,1,0,-1
6,16,8,-1
2,1,0,-1
6,4,32,-1
6,16,64,-1
6,4,8,-1
6,8,64,-1
6.0,8.0,32.0,62.307119369506836
2.0,4.0,0.0,51.91612243652344
6,16,16,-1
6.0,2.0,32.0,74.78499412536621
2.0,1.0,0.0,106.14323616027832
2,1,0,-1
6,2,8,-1
2.0,4.0,0.0,100.11744499206543
6,2,8,-1
2,16,0,-1
6,8,64,-1
2.0,4.0,0.0,90.51275253295898
6,4,64,-1
2,16,0,-1
6,2,16,-1
2.0,1.0,0.0,67.46745109558105
6,2,32,-1
2.0,1.0,0.0,103.04713249206543
6,8,8,-1
2,8,0,-1
6,8,32,-1
2.0,16.0,0.0,88.1037712097168
6,16,8,-1
6.0,16.0,64.0,53.623199462890625
2,2,0,-1
6.0,8.0,16.0,57.11221694946289
2.0,1.0,0.0,64.58735466003418
6.0,8.0,32.0,53.525447845458984
2.0,16.0,0.0,100.3117561340332
2.0,2.0,0.0,99.67923164367676
6,8,64,-1
6.0,16.0,8.0,48.61021041870117
2,4,0,-1
6.0,8.0,64.0,29.393911361694336
2,8,0,-1
6.0,8.0,16.0,48.77638816833496
2,4,0,-1
6.0,8.0,8.0,45.11427879333496
2.0,16.0,0.0,105.27491569519043
2,1,0,-1
6,16,32,-1
2,8,0,-1
2.0,8.0,0.0,80.29699325561523
6.0,1.0,16.0,32.33146667480469
2.0,8.0,0.0,42.77229309082031
6.0,8.0,32.0,29.002666473388672
2.0,1.0,0.0,47.53708839416504
6.0,1.0,16.0,19.26422119140625
6.0,1.0,16.0,28.29909324645996
2.0,16.0,0.0,68.30120086669922
6.0,8.0,8.0,72.67022132873535
2.0,1.0,0.0,74.12457466125488
6,1,64,-1
6.0,1.0,64.0,50.75478553771973
6.0,1.0,32.0,45.36032676696777
2.0,1.0,0.0,60.13011932373047
6.0,1.0,16.0,73.60553741455078
2.0,1.0,0.0,103.81627082824707
2,1,0,-1
6,2,16,-1
6.0,4.0,32.0,71.14338874816895
2,2,0,-1
2,2,0,-1
6,4,32,-1
2.0,2.0,0.0,95.98708152770996
6,1,8,-1
2,4,0,-1
6,2,16,-1
2.0,1.0,0.0,95.57819366455078
6,1,16,-1
2,16,0,-1
6,2,64,-1
6.0,1.0,16.0,64.85605239868164
6.0,16.0,8.0,61.23185157775879
2.0,1.0,0.0,66.22552871704102
6,8,32,-1
6,4,64,-1
6.0,16.0,16.0,27.271270751953125
6.0,2.0,64.0,42.64473915100098
6.0,8.0,32.0,19.522428512573242
6.0,4.0,8.0,23.125886917114258
2.0,1.0,0.0,75.2267837524414
6.0,1.0,16.0,55.21035194396973
6.0,4.0,16.0,53.168296813964844
6.0,8.0,8.0,69.77725028991699
