query_id,model_id,bs,seq_len,latency
1.0,2.0,32.0,0.0,143.54777336120605
2.0,2.0,32.0,0.0,171.3411808013916
3,2,16,0,-1
4.0,2.0,8.0,0.0,39.18886184692383
5.0,2.0,4.0,0.0,29.50906753540039
6.0,2.0,8.0,0.0,43.074607849121094
7.0,2.0,4.0,0.0,33.10894966125488
8.0,2.0,4.0,0.0,48.69389533996582
9.0,2.0,8.0,0.0,39.18910026550293
10.0,2.0,16.0,0.0,72.99017906188965
11.0,2.0,4.0,0.0,51.882266998291016
12.0,2.0,32.0,0.0,137.77828216552734
13.0,2.0,16.0,0.0,112.3652458190918
14.0,2.0,4.0,0.0,63.45820426940918
15.0,2.0,8.0,0.0,39.21771049499512
16.0,2.0,8.0,0.0,39.843082427978516
17.0,2.0,16.0,0.0,72.93510437011719
18.0,2.0,16.0,0.0,138.12780380249023
19.0,2.0,8.0,0.0,168.3335304260254
20.0,2.0,32.0,0.0,244.61650848388672
21,2,16,0,-1
22,2,8,0,-1
23.0,2.0,16.0,0.0,189.76283073425293
24.0,2.0,8.0,0.0,155.79485893249512
25,2,4,0,-1
26.0,2.0,16.0,0.0,72.82257080078125
27.0,2.0,32.0,0.0,137.7558708190918
28.0,2.0,16.0,0.0,73.14729690551758
29.0,2.0,4.0,0.0,51.04780197143555
30.0,2.0,16.0,0.0,93.52588653564453
31.0,2.0,16.0,0.0,98.11258316040039
32.0,2.0,16.0,0.0,149.34968948364258
33.0,2.0,4.0,0.0,79.6816349029541
34.0,2.0,8.0,0.0,87.63313293457031
35.0,2.0,4.0,0.0,26.935815811157227
36.0,2.0,8.0,0.0,39.28041458129883
37.0,2.0,16.0,0.0,101.66192054748535
38.0,2.0,4.0,0.0,91.71223640441895
39.0,2.0,8.0,0.0,128.1266212463379
40.0,2.0,4.0,0.0,32.564401626586914
41.0,2.0,4.0,0.0,24.823665618896484
42.0,2.0,4.0,0.0,24.05571937561035
43.0,2.0,8.0,0.0,57.268619537353516
44.0,2.0,4.0,0.0,47.62887954711914
45.0,2.0,32.0,0.0,137.71343231201172
46.0,2.0,32.0,0.0,182.80673027038574
47,2,8,0,-1
48.0,2.0,8.0,0.0,106.76741600036621
49.0,2.0,16.0,0.0,72.90458679199219
50.0,2.0,32.0,0.0,178.15804481506348
51.0,2.0,32.0,0.0,245.67270278930664
52,2,32,0,-1
53,2,4,0,-1
54,2,16,0,-1
55.0,2.0,8.0,0.0,86.18545532226562
56.0,2.0,32.0,0.0,162.9810333251953
57.0,2.0,16.0,0.0,125.0600814819336
58.0,2.0,32.0,0.0,190.10257720947266
59.0,2.0,4.0,0.0,116.82009696960449
60.0,2.0,16.0,0.0,72.81970977783203
61.0,2.0,32.0,0.0,140.5045986175537
62.0,2.0,32.0,0.0,256.84452056884766
