query_id,model_id,bs,seq_len,search_times,latency
1,6,32,8,0,50.71687698364258
2,6,32,64,0,23.003816604614258
3,6,16,16,0,11.827230453491211
4,2,4,0,0,37.07146644592285
5,6,8,32,0,41.07213020324707
6,2,16,0,0,38.88559341430664
7,6,16,64,0,16.49641990661621
8,6,8,64,0,12.340307235717773
9,6,16,8,0,11.309146881103516
10,2,32,0,0,70.5118179321289
11,2,16,0,0,-1
12,2,4,0,0,61.5997314453125
13,2,8,0,0,36.23199462890625
14,2,8,0,0,29.906511306762695
15,6,16,64,0,11.942386627197266
16,2,16,0,0,44.148921966552734
17,2,8,0,0,56.833505630493164
19,2,8,0,0,35.986900329589844
18,6,32,32,0,59.74626541137695
20,2,16,0,0,59.87906455993652
21,6,8,16,0,58.39037895202637
22,2,32,0,0,124.59874153137207
23,6,8,16,0,68.59326362609863
24,6,32,64,0,56.12778663635254
25,6,4,64,0,33.18190574645996
26,6,8,8,0,46.83279991149902
27,6,8,32,0,15.018224716186523
28,2,4,0,0,39.87526893615723
29,2,8,0,0,50.14371871948242
30,2,4,0,0,38.71512413024902
31,2,8,0,0,32.46712684631348
32,2,16,0,0,63.81535530090332
33,2,4,0,0,69.86618041992188
34,2,8,0,0,103.87229919433594
35,2,4,0,0,41.735172271728516
36,2,4,0,0,44.52705383300781
37,6,4,32,0,26.386737823486328
38,6,4,64,0,40.4660701751709
39,2,32,0,0,86.90714836120605
40,2,32,0,0,-1
41,2,8,0,0,70.3279972076416
42,2,8,0,0,61.94949150085449
43,2,16,0,0,37.366390228271484
44,2,32,0,0,91.28117561340332
45,2,32,0,0,-1
46,6,32,32,0,-1
47,2,4,0,0,53.9698600769043
48,6,16,8,0,33.60629081726074
49,6,32,32,0,14.725685119628906
50,6,8,32,0,20.798921585083008
51,6,4,8,0,16.11804962158203
52,2,8,0,0,34.00731086730957
53,2,32,0,0,70.74308395385742
54,6,32,8,0,-1
55,6,32,8,0,28.92756462097168
56,2,16,0,0,43.3504581451416
57,2,32,0,0,90.10052680969238
58,2,32,0,0,-1
59,6,32,8,0,12.401580810546875
60,6,4,16,0,13.595819473266602
61,2,32,0,0,75.7591724395752
62,6,4,8,0,79.33211326599121
63,2,8,0,0,-1
64,6,8,8,0,-1
65,6,32,8,1,71.51675224304199
66,2,32,0,0,71.38609886169434
67,2,8,0,0,-1
68,6,8,32,0,13.293981552124023
69,2,8,0,0,42.06037521362305
70,6,16,8,0,40.17996788024902
71,6,32,64,0,26.217222213745117
72,6,8,16,0,12.363672256469727
73,6,4,16,0,15.196084976196289
74,2,16,0,0,41.477203369140625
75,6,16,8,0,40.87352752685547
76,2,8,0,0,36.92340850830078
78,2,8,0,0,32.78803825378418
77,6,8,32,0,50.90761184692383
79,2,4,0,0,32.625675201416016
80,6,16,32,0,32.30571746826172
81,6,32,64,0,29.798269271850586
82,6,16,8,0,42.09184646606445
83,6,32,64,0,17.86518096923828
84,2,8,0,0,38.46168518066406
85,2,32,0,0,93.60432624816895
86,2,4,0,0,-1
87,2,4,0,0,77.70395278930664
88,6,32,32,0,34.43169593811035
89,6,8,64,0,50.03643035888672
90,2,16,0,0,36.54050827026367
91,2,16,0,0,54.044485092163086
92,2,4,0,0,57.102203369140625
93,6,8,8,0,54.35943603515625
94,6,8,8,0,16.960859298706055
95,2,4,0,0,27.69923210144043
96,2,16,0,0,36.62991523742676
97,2,32,0,0,81.41732215881348
98,2,32,0,0,-1
99,6,16,64,0,62.24489212036133
100,6,8,16,0,29.28304672241211
101,2,16,0,0,36.25965118408203
103,2,16,0,0,55.67479133605957
102,6,8,32,0,57.32369422912598
104,6,4,8,0,12.602567672729492
105,2,4,0,0,43.5330867767334
106,6,32,32,0,94.43068504333496
107,2,32,0,0,110.92972755432129
109,2,8,0,1,51.47242546081543
108,6,4,8,1,79.82373237609863
110,6,32,64,0,19.669055938720703
111,6,8,8,0,13.002872467041016
112,2,16,0,0,36.57722473144531
113,6,32,32,0,13.229846954345703
114,6,32,64,0,17.9901123046875
115,2,8,0,0,26.317119598388672
116,2,16,0,0,55.013179779052734
117,2,32,0,0,110.3973388671875
118,6,4,16,0,12.057304382324219
119,6,32,64,0,23.98538589477539
121,2,8,0,0,25.23636817932129
120,6,32,16,0,27.356386184692383
122,6,16,16,0,35.31670570373535
123,6,32,8,0,41.14031791687012
124,2,32,0,0,69.97013092041016
125,6,16,16,0,44.382572174072266
126,6,4,16,0,13.393878936767578
127,2,32,0,0,70.31536102294922
128,6,32,32,0,22.315025329589844
129,2,4,0,0,39.10970687866211
130,6,4,16,0,18.89777183532715
131,2,32,0,0,80.48486709594727
132,6,8,64,0,76.39575004577637
133,6,4,64,0,16.766786575317383
134,2,8,0,0,39.99447822570801
135,2,32,0,0,106.10485076904297
136,6,16,32,0,-1
137,2,4,0,0,-1
138,6,16,32,0,38.417816162109375
139,2,8,0,0,37.78648376464844
140,6,8,16,0,49.51906204223633
141,2,4,0,0,86.19427680969238
142,2,4,0,0,109.71188545227051
143,2,8,0,0,127.33268737792969
