query_id,model_id,bs,seq_len,search_times,latency
1,6,32,8,0,67.00921058654785
2,6,32,64,0,32.468557357788086
3,6,16,16,0,19.412994384765625
4,5,4,0,0,11.921882629394531
5,6,8,32,0,15.676259994506836
6,5,16,0,0,29.788494110107422
7,6,16,64,0,12.291669845581055
8,6,8,64,0,20.855426788330078
9,6,16,8,0,20.368099212646484
10,5,32,0,0,54.0924072265625
11,5,16,0,0,-1
12,5,4,0,0,22.493839263916016
13,5,8,0,0,16.23678207397461
14,5,8,0,0,16.027450561523438
15,6,16,64,0,12.992620468139648
16,5,16,0,0,37.54067420959473
17,5,8,0,0,39.97159004211426
18,6,32,32,0,21.660566329956055
19,5,8,0,0,16.770601272583008
20,5,16,0,0,33.817291259765625
21,6,8,16,0,32.366275787353516
22,5,32,0,0,83.08768272399902
23,6,8,16,0,21.481037139892578
24,6,32,64,0,18.13530921936035
25,6,4,64,0,17.90022850036621
26,6,8,8,0,25.97498893737793
27,6,8,32,0,18.45693588256836
28,5,4,0,0,23.28944206237793
29,5,8,0,0,23.44989776611328
30,5,4,0,0,10.17308235168457
31,5,8,0,0,16.658306121826172
32,5,16,0,0,39.82949256896973
33,5,4,0,0,29.56700325012207
34,5,8,0,0,43.02477836608887
35,5,4,0,0,12.232303619384766
36,5,4,0,0,10.002374649047852
37,6,4,32,0,17.730712890625
38,6,4,64,0,26.307344436645508
39,5,32,0,0,58.19344520568848
40,5,32,0,0,-1
41,5,8,0,0,27.709245681762695
42,5,8,0,0,16.412734985351562
43,5,16,0,0,28.875350952148438
44,5,32,0,0,65.9947395324707
45,5,32,0,0,-1
46,6,32,32,0,-1
47,5,4,0,0,9.981393814086914
48,6,16,8,0,19.2105770111084
49,6,32,32,0,17.052173614501953
50,6,8,32,0,24.306535720825195
51,6,4,8,0,18.810272216796875
52,5,8,0,0,16.385555267333984
53,5,32,0,0,54.04996871948242
54,6,32,8,0,-1
55,6,32,8,0,16.44277572631836
56,5,16,0,0,28.761625289916992
57,5,32,0,0,59.112548828125
58,5,32,0,0,-1
59,6,32,8,0,12.128829956054688
60,6,4,16,0,17.386913299560547
61,5,32,0,0,63.04121017456055
63,5,8,0,0,60.47940254211426
62,6,4,8,0,60.75882911682129
64,6,8,8,0,63.285112380981445
65,6,32,8,0,64.7878646850586
66,5,32,0,0,53.995370864868164
67,5,8,0,0,56.952714920043945
