query_id,model_id,bs,seq_len,latency
1.0,5.0,32.0,0.0,97.3515510559082
3.0,5.0,16.0,0.0,57.60931968688965
2.0,1.0,32.0,0.0,120.56517601013184
4.0,5.0,8.0,0.0,24.632930755615234
5.0,1.0,4.0,0.0,33.01429748535156
6.0,5.0,8.0,0.0,36.017656326293945
7.0,5.0,4.0,0.0,9.38272476196289
8.0,5.0,4.0,0.0,14.81008529663086
9.0,5.0,8.0,0.0,16.063928604125977
10.0,5.0,16.0,0.0,28.773069381713867
11.0,1.0,4.0,0.0,24.538755416870117
12.0,1.0,32.0,0.0,50.269365310668945
13.0,1.0,16.0,0.0,26.377439498901367
14.0,1.0,4.0,0.0,22.353649139404297
15.0,1.0,8.0,0.0,18.043041229248047
16.0,1.0,8.0,0.0,24.924755096435547
17.0,5.0,16.0,0.0,28.364181518554688
19.0,1.0,8.0,0.0,40.10272026062012
18.0,5.0,16.0,0.0,72.62158393859863
20.0,5.0,32.0,0.0,90.66915512084961
22.0,1.0,8.0,0.0,54.18252944946289
21.0,5.0,16.0,0.0,116.35923385620117
24.0,5.0,8.0,0.0,52.79183387756348
23.0,1.0,16.0,0.0,116.5463924407959
25.0,1.0,4.0,0.0,103.50894927978516
26.0,5.0,16.0,0.0,29.694080352783203
27.0,1.0,32.0,0.0,50.26745796203613
28.0,5.0,16.0,0.0,28.86652946472168
29.0,1.0,4.0,0.0,29.123306274414062
30.0,5.0,16.0,0.0,43.0598258972168
31.0,1.0,16.0,0.0,34.956932067871094
32.0,1.0,16.0,0.0,51.4521598815918
33.0,1.0,4.0,0.0,28.719186782836914
34.0,1.0,8.0,0.0,30.61699867248535
35.0,1.0,4.0,0.0,21.543502807617188
36.0,1.0,8.0,0.0,26.081323623657227
37.0,1.0,16.0,0.0,47.254085540771484
38.0,1.0,4.0,0.0,53.423404693603516
39.0,1.0,8.0,0.0,72.68762588500977
40.0,1.0,4.0,0.0,17.46082305908203
41.0,1.0,4.0,0.0,21.764278411865234
42.0,5.0,4.0,0.0,9.866476058959961
43.0,5.0,8.0,0.0,22.73273468017578
44.0,1.0,4.0,0.0,28.7930965423584
45.0,1.0,32.0,0.0,52.23870277404785
46.0,1.0,32.0,0.0,55.41872978210449
47.0,1.0,8.0,0.0,70.41382789611816
48.0,1.0,8.0,0.0,42.16766357421875
49.0,1.0,16.0,0.0,26.49664878845215
50.0,1.0,32.0,0.0,60.32204627990723
51.0,1.0,32.0,0.0,76.59792900085449
52.0,5.0,32.0,0.0,129.2738914489746
53.0,5.0,4.0,0.0,98.36125373840332
55.0,1.0,8.0,0.0,53.16734313964844
54.0,5.0,16.0,0.0,137.44592666625977
56.0,1.0,32.0,0.0,101.32622718811035
57.0,5.0,16.0,0.0,73.8677978515625
58.0,1.0,32.0,0.0,85.90078353881836
59.0,5.0,4.0,0.0,45.24374008178711
60.0,1.0,16.0,0.0,26.57938003540039
61.0,1.0,32.0,0.0,50.77409744262695
62.0,5.0,32.0,0.0,93.99104118347168
63.0,1.0,32.0,0.0,96.00543975830078
65.0,5.0,32.0,0.0,121.17624282836914
66.0,5.0,4.0,0.0,84.21444892883301
64.0,1.0,4.0,0.0,159.00444984436035
67.0,1.0,16.0,0.0,34.435272216796875
69.0,1.0,4.0,0.0,24.689674377441406
68.0,5.0,32.0,0.0,80.2772045135498
70.0,1.0,32.0,0.0,97.3818302154541
71.0,5.0,8.0,0.0,16.332626342773438
72.0,1.0,4.0,0.0,27.132511138916016
73.0,1.0,8.0,0.0,26.523590087890625
74.0,5.0,8.0,0.0,34.89518165588379
75.0,1.0,32.0,0.0,71.30932807922363
76.0,1.0,32.0,0.0,96.20213508605957
78.0,5.0,8.0,0.0,33.87451171875
77.0,1.0,8.0,0.0,134.6755027770996
79.0,5.0,4.0,0.0,60.95004081726074
80.0,1.0,16.0,0.0,26.895523071289062
81.0,5.0,4.0,0.0,27.566194534301758
82.0,5.0,32.0,0.0,54.02374267578125
83.0,5.0,8.0,0.0,20.635604858398438
84.0,1.0,16.0,0.0,30.920982360839844
85.0,1.0,16.0,0.0,40.70568084716797
86.0,5.0,16.0,0.0,62.69216537475586
89.0,5.0,8.0,0.0,34.73830223083496
87.0,1.0,4.0,0.0,87.9826545715332
90.0,5.0,8.0,0.0,58.00771713256836
88.0,1.0,8.0,0.0,107.49506950378418
91.0,1.0,4.0,0.0,97.36275672912598
92.0,5.0,16.0,0.0,110.31937599182129
93.0,5.0,4.0,0.0,108.5662841796875
95.0,1.0,32.0,0.0,111.08565330505371
97.0,1.0,32.0,0.0,134.83524322509766
94,5,16,0,-1
98.0,1.0,4.0,0.0,61.32340431213379
96,5,16,0,-1
99.0,1.0,4.0,0.0,84.4886302947998
100.0,5.0,32.0,0.0,82.11684226989746
102.0,1.0,16.0,0.0,86.09604835510254
101.0,5.0,32.0,0.0,163.38443756103516
103.0,1.0,16.0,0.0,144.500732421875
104.0,1.0,16.0,0.0,26.92890167236328
106.0,5.0,8.0,0.0,18.84007453918457
105.0,1.0,4.0,0.0,47.61219024658203
107.0,1.0,16.0,0.0,27.13155746459961
108.0,1.0,8.0,0.0,22.43351936340332
109.0,1.0,32.0,0.0,50.88162422180176
110.0,5.0,8.0,0.0,63.491106033325195
111.0,1.0,32.0,0.0,96.19283676147461
112.0,1.0,32.0,0.0,52.30307579040527
113.0,5.0,16.0,0.0,47.58453369140625
114.0,5.0,8.0,0.0,18.452882766723633
115.0,1.0,16.0,0.0,29.122352600097656
116.0,5.0,8.0,0.0,45.067548751831055
117.0,5.0,8.0,0.0,60.29510498046875
118.0,5.0,32.0,0.0,78.00412178039551
119.0,1.0,4.0,0.0,67.7025318145752
120.0,1.0,4.0,0.0,28.662919998168945
121.0,5.0,32.0,0.0,73.00972938537598
122.0,5.0,8.0,0.0,89.06316757202148
123.0,5.0,32.0,0.0,64.27836418151855
124.0,1.0,4.0,0.0,33.011674880981445
125.0,5.0,8.0,0.0,16.572237014770508
126.0,5.0,32.0,0.0,54.0003776550293
127.0,5.0,32.0,0.0,77.32748985290527
128.0,1.0,4.0,0.0,30.240774154663086
129.0,1.0,16.0,0.0,26.706218719482422
130.0,5.0,32.0,0.0,54.22401428222656
131.0,5.0,16.0,0.0,67.01302528381348
132.0,5.0,32.0,0.0,54.705142974853516
133.0,1.0,8.0,0.0,58.001041412353516
134.0,1.0,16.0,0.0,78.38892936706543
135.0,1.0,32.0,0.0,116.3780689239502
136.0,5.0,4.0,0.0,13.150930404663086
137.0,1.0,16.0,0.0,34.20591354370117
138.0,5.0,32.0,0.0,54.13675308227539
139.0,5.0,4.0,0.0,62.19005584716797
140.0,5.0,4.0,0.0,47.47295379638672
141.0,1.0,8.0,0.0,27.729511260986328
