query_id,model_id,bs,seq_len,search_times,latency
1,3,32,0,0,74.71537590026855
2,1,32,0,1,60.758113861083984
3,3,16,0,0,62.96133995056152
4,3,8,0,0,28.19204330444336
5,1,4,0,0,42.63615608215332
6,3,8,0,0,52.08325386047363
7,3,4,0,0,21.31175994873047
8,3,4,0,0,41.03875160217285
9,3,8,0,0,43.35761070251465
10,3,16,0,1,53.46107482910156
11,1,4,0,0,48.51531982421875
12,1,32,0,0,38.5279655456543
13,1,16,0,0,32.69052505493164
14,1,4,0,0,33.7374210357666
15,1,8,0,0,29.018402099609375
16,1,8,0,0,22.257089614868164
17,3,16,0,0,18.809080123901367
18,3,16,0,0,41.80264472961426
19,1,8,0,1,53.48372459411621
20,3,32,0,0,45.60232162475586
21,3,16,0,1,56.415557861328125
22,1,8,0,0,52.80160903930664
23,1,16,0,1,72.2355842590332
24,3,8,0,1,67.02661514282227
25,1,4,0,1,79.49376106262207
26,3,16,0,0,37.842512130737305
27,1,32,0,0,24.630069732666016
28,3,16,0,0,17.560243606567383
29,1,4,0,0,23.665904998779297
30,3,16,0,0,32.027482986450195
31,1,16,0,0,31.805753707885742
32,1,16,0,0,41.82863235473633
33,1,4,0,0,42.14644432067871
34,1,8,0,0,54.4891357421875
35,1,4,0,0,45.81451416015625
36,1,8,0,0,29.692888259887695
37,1,16,0,0,54.465532302856445
38,1,4,0,0,64.45169448852539
39,1,8,0,0,83.9540958404541
40,1,4,0,0,37.62698173522949
41,1,4,0,0,40.532588958740234
42,3,4,0,0,49.91936683654785
43,3,8,0,1,72.86548614501953
44,1,4,0,0,81.11906051635742
45,1,32,0,0,94.27547454833984
46,1,32,0,0,95.08872032165527
47,1,8,0,0,-1
48,1,8,0,0,85.68930625915527
49,1,16,0,1,75.43730735778809
50,1,32,0,1,83.78100395202637
51,1,32,0,1,81.45666122436523
52,3,32,0,1,91.65143966674805
53,3,4,0,1,93.7650203704834
54,3,16,0,1,109.36284065246582
55,1,8,0,1,93.02306175231934
56,1,32,0,1,101.6082763671875
