query_id,model_id,bs,seq_len,latency
1.0,6.0,32.0,8.0,56.51974678039551
2.0,6.0,32.0,64.0,46.14567756652832
3.0,6.0,16.0,16.0,11.67154312133789
4.0,1.0,4.0,0.0,26.114463806152344
5.0,6.0,8.0,32.0,35.55417060852051
6.0,1.0,16.0,0.0,23.896455764770508
7.0,6.0,16.0,64.0,14.938116073608398
8.0,6.0,8.0,64.0,11.394500732421875
9.0,6.0,16.0,8.0,13.781070709228516
10.0,1.0,32.0,0.0,26.636838912963867
11.0,1.0,16.0,0.0,45.73774337768555
12.0,1.0,4.0,0.0,50.1101016998291
13.0,1.0,8.0,0.0,41.38302803039551
14.0,1.0,8.0,0.0,24.8110294342041
15.0,6.0,16.0,64.0,13.162851333618164
16.0,1.0,16.0,0.0,27.205944061279297
17.0,1.0,8.0,0.0,36.383867263793945
18.0,6.0,32.0,32.0,31.406402587890625
19.0,1.0,8.0,0.0,36.68212890625
21.0,6.0,8.0,16.0,40.74597358703613
20.0,1.0,16.0,0.0,58.782100677490234
23.0,6.0,8.0,16.0,30.852556228637695
22.0,1.0,32.0,0.0,89.80679512023926
24.0,6.0,32.0,64.0,50.56595802307129
25.0,6.0,4.0,64.0,44.21353340148926
26.0,6.0,8.0,8.0,53.38025093078613
28.0,1.0,4.0,0.0,35.35008430480957
27.0,6.0,8.0,32.0,49.72195625305176
29.0,1.0,8.0,0.0,55.38821220397949
30.0,1.0,4.0,0.0,41.571617126464844
31.0,1.0,8.0,0.0,23.8192081451416
32.0,1.0,16.0,0.0,37.236690521240234
33.0,1.0,4.0,0.0,44.412851333618164
34.0,1.0,8.0,0.0,61.319589614868164
35.0,1.0,4.0,0.0,26.63564682006836
36.0,1.0,4.0,0.0,35.43710708618164
37.0,6.0,4.0,32.0,30.89308738708496
39.0,1.0,32.0,0.0,42.432546615600586
38.0,6.0,4.0,64.0,65.29402732849121
40.0,1.0,32.0,0.0,53.125858306884766
41.0,1.0,8.0,0.0,64.28241729736328
42.0,1.0,8.0,0.0,61.69295310974121
43.0,1.0,16.0,0.0,48.53534698486328
46.0,6.0,32.0,32.0,34.185171127319336
44.0,1.0,32.0,0.0,75.08420944213867
45.0,1.0,32.0,0.0,74.01633262634277
