query_id,model_id,bs,seq_len,latency
1.0,2.0,32.0,0.0,74.30791854858398
2.0,1.0,32.0,0.0,70.55091857910156
3.0,2.0,16.0,0.0,96.56643867492676
5.0,1.0,4.0,0.0,55.16958236694336
4.0,2.0,8.0,0.0,88.75489234924316
6.0,2.0,8.0,0.0,97.1827507019043
7.0,2.0,4.0,0.0,37.63723373413086
8.0,2.0,4.0,0.0,64.63909149169922
9.0,2.0,8.0,0.0,76.1575698852539
11.0,1.0,4.0,0.0,69.55075263977051
10.0,2.0,16.0,0.0,105.81207275390625
12.0,1.0,32.0,0.0,78.5667896270752
13.0,1.0,16.0,0.0,78.47309112548828
14.0,1.0,4.0,0.0,77.05926895141602
15.0,1.0,8.0,0.0,69.38529014587402
16.0,1.0,8.0,0.0,46.69642448425293
17.0,2.0,16.0,0.0,40.71831703186035
19.0,1.0,8.0,0.0,52.81567573547363
18.0,2.0,16.0,0.0,79.35619354248047
22.0,1.0,8.0,0.0,55.43041229248047
20.0,2.0,32.0,0.0,113.74807357788086
23.0,1.0,16.0,0.0,97.4278450012207
21.0,2.0,16.0,0.0,143.12982559204102
25.0,1.0,4.0,0.0,121.40440940856934
24.0,2.0,8.0,0.0,147.44830131530762
27.0,1.0,32.0,0.0,84.92040634155273
26.0,2.0,16.0,0.0,145.19524574279785
29.0,1.0,4.0,0.0,75.02555847167969
28.0,2.0,16.0,0.0,111.04512214660645
31.0,1.0,16.0,0.0,94.85602378845215
30.0,2.0,16.0,0.0,137.18867301940918
32.0,1.0,16.0,0.0,137.94493675231934
33.0,1.0,4.0,0.0,129.89211082458496
34.0,1.0,8.0,0.0,145.0786590576172
35.0,1.0,4.0,0.0,131.3185691833496
36.0,1.0,8.0,0.0,113.54255676269531
37.0,1.0,16.0,0.0,132.04312324523926
42.0,2.0,4.0,0.0,51.12171173095703
38.0,1.0,4.0,0.0,167.78016090393066
43.0,2.0,8.0,0.0,95.05987167358398
39,1,8,0,-1
40.0,1.0,4.0,0.0,148.6198902130127
41.0,1.0,4.0,0.0,151.95941925048828
44.0,1.0,4.0,0.0,142.30108261108398
45.0,1.0,32.0,0.0,144.29664611816406
52.0,2.0,32.0,0.0,60.55021286010742
46.0,1.0,32.0,0.0,174.9885082244873
53.0,2.0,4.0,0.0,89.31207656860352
54.0,2.0,16.0,0.0,109.80510711669922
47,1,8,0,-1
57.0,2.0,16.0,0.0,61.95688247680664
48,1,8,0,-1
59.0,2.0,4.0,0.0,42.150259017944336
49,1,16,0,-1
50,1,32,0,-1
51,1,32,0,-1
55.0,1.0,8.0,0.0,161.20243072509766
56.0,1.0,32.0,0.0,171.2965965270996
62.0,2.0,32.0,0.0,62.758445739746094
58.0,1.0,32.0,0.0,163.94591331481934
65.0,2.0,32.0,0.0,63.71879577636719
60.0,1.0,16.0,0.0,145.11561393737793
66.0,2.0,4.0,0.0,81.71749114990234
61.0,1.0,32.0,0.0,176.82981491088867
68.0,2.0,32.0,0.0,70.16539573669434
63,1,32,0,-1
64,1,4,0,-1
67.0,1.0,16.0,0.0,104.74038124084473
69.0,1.0,4.0,0.0,112.01286315917969
70.0,1.0,32.0,0.0,121.34146690368652
71.0,2.0,8.0,0.0,63.94219398498535
72.0,1.0,4.0,0.0,80.98936080932617
74.0,2.0,8.0,0.0,75.02865791320801
73.0,1.0,8.0,0.0,103.74808311462402
78.0,2.0,8.0,0.0,63.36474418640137
75.0,1.0,32.0,0.0,142.85039901733398
79.0,2.0,4.0,0.0,115.43512344360352
76.0,1.0,32.0,0.0,182.99174308776855
81.0,2.0,4.0,0.0,122.01881408691406
82.0,2.0,32.0,0.0,87.89587020874023
77,1,8,0,-1
