query_id,model_id,bs,seq_len,latency
1.0,6.0,32.0,8.0,49.962520599365234
2.0,6.0,32.0,64.0,40.070295333862305
3.0,6.0,16.0,16.0,11.801004409790039
4.0,2.0,4.0,0.0,28.60403060913086
5.0,6.0,8.0,32.0,38.918495178222656
6.0,2.0,16.0,0.0,34.51657295227051
7.0,6.0,16.0,64.0,22.816181182861328
8.0,6.0,8.0,64.0,17.92764663696289
9.0,6.0,16.0,8.0,11.62409782409668
10.0,2.0,32.0,0.0,36.60321235656738
11.0,2.0,16.0,0.0,67.11864471435547
12.0,2.0,4.0,0.0,74.19300079345703
13.0,2.0,8.0,0.0,72.94416427612305
14.0,2.0,8.0,0.0,62.666893005371094
15.0,6.0,16.0,64.0,45.568227767944336
16.0,2.0,16.0,0.0,73.72164726257324
17.0,2.0,8.0,0.0,93.56975555419922
18.0,6.0,32.0,32.0,95.17455101013184
19.0,2.0,8.0,0.0,118.76344680786133
21.0,6.0,8.0,16.0,128.04365158081055
20.0,2.0,16.0,0.0,165.23075103759766
23.0,6.0,8.0,16.0,137.20226287841797
22.0,2.0,32.0,0.0,206.4535617828369
24.0,6.0,32.0,64.0,174.6840476989746
25.0,6.0,4.0,64.0,168.78008842468262
28.0,2.0,4.0,0.0,161.33832931518555
26.0,6.0,8.0,8.0,214.74862098693848
29.0,2.0,8.0,0.0,201.11823081970215
27.0,6.0,8.0,32.0,233.02650451660156
30.0,2.0,4.0,0.0,226.82547569274902
31.0,2.0,8.0,0.0,228.82366180419922
37.0,6.0,4.0,32.0,136.5044116973877
32.0,2.0,16.0,0.0,270.7796096801758
38.0,6.0,4.0,64.0,178.62749099731445
33.0,2.0,4.0,0.0,306.99777603149414
46.0,6.0,32.0,32.0,103.04760932922363
34.0,2.0,8.0,0.0,347.68128395080566
48.0,6.0,16.0,8.0,106.80103302001953
35.0,2.0,4.0,0.0,327.86059379577637
49.0,6.0,32.0,32.0,124.55081939697266
36.0,2.0,4.0,0.0,359.3723773956299
50.0,6.0,8.0,32.0,169.01588439941406
39.0,2.0,32.0,0.0,378.7884712219238
51.0,6.0,4.0,8.0,193.3267116546631
40.0,2.0,32.0,0.0,409.56974029541016
54.0,6.0,32.0,8.0,184.39006805419922
41.0,2.0,8.0,0.0,446.43378257751465
55.0,6.0,32.0,8.0,203.58753204345703
