query_id,model_id,bs,seq_len,latency
1.0,2.0,32.0,0.0,74.97978210449219
2.0,0.0,32.0,0.0,61.71464920043945
3.0,2.0,16.0,0.0,89.38193321228027
4.0,2.0,8.0,0.0,69.09823417663574
5.0,0.0,4.0,0.0,69.44942474365234
6.0,2.0,8.0,0.0,91.53342247009277
7.0,2.0,4.0,0.0,30.045747756958008
8.0,2.0,4.0,0.0,54.22616004943848
9.0,2.0,8.0,0.0,66.53285026550293
11.0,0.0,4.0,0.0,57.81078338623047
10.0,2.0,16.0,0.0,98.59871864318848
12.0,0.0,32.0,0.0,66.84064865112305
13.0,0.0,16.0,0.0,50.580739974975586
14.0,0.0,4.0,0.0,40.59171676635742
15.0,0.0,8.0,0.0,29.132604598999023
16.0,0.0,8.0,0.0,9.28044319152832
17.0,2.0,16.0,0.0,31.080961227416992
18.0,2.0,16.0,0.0,53.93624305725098
19.0,0.0,8.0,0.0,61.58280372619629
20.0,2.0,32.0,0.0,75.91366767883301
22.0,0.0,8.0,0.0,61.13719940185547
21.0,2.0,16.0,0.0,103.75690460205078
23.0,0.0,16.0,0.0,90.5768871307373
24.0,2.0,8.0,0.0,96.33469581604004
25.0,0.0,4.0,0.0,112.55931854248047
26.0,2.0,16.0,0.0,85.43515205383301
27.0,0.0,32.0,0.0,59.23271179199219
28.0,2.0,16.0,0.0,50.67324638366699
29.0,0.0,4.0,0.0,47.263145446777344
30.0,2.0,16.0,0.0,66.69735908508301
31.0,0.0,16.0,0.0,57.393789291381836
32.0,0.0,16.0,0.0,62.244415283203125
33.0,0.0,4.0,0.0,48.20084571838379
34.0,0.0,8.0,0.0,48.97713661193848
35.0,0.0,4.0,0.0,27.3895263671875
36.0,0.0,8.0,0.0,13.170719146728516
37.0,0.0,16.0,0.0,26.13687515258789
38.0,0.0,4.0,0.0,30.164003372192383
39.0,0.0,8.0,0.0,38.53106498718262
40.0,0.0,4.0,0.0,9.515762329101562
41.0,0.0,4.0,0.0,12.111663818359375
42.0,2.0,4.0,0.0,27.24289894104004
43.0,2.0,8.0,0.0,56.72121047973633
44.0,0.0,4.0,0.0,62.438011169433594
45.0,0.0,32.0,0.0,61.148881912231445
46.0,0.0,32.0,0.0,50.70614814758301
47.0,0.0,8.0,0.0,53.6501407623291
48.0,0.0,8.0,0.0,38.78331184387207
49.0,0.0,16.0,0.0,18.67532730102539
50.0,0.0,32.0,0.0,21.3165283203125
51.0,0.0,32.0,0.0,13.395071029663086
52.0,2.0,32.0,0.0,45.57609558105469
53.0,2.0,4.0,0.0,53.03645133972168
54.0,2.0,16.0,0.0,78.06539535522461
55.0,0.0,8.0,0.0,64.5914077758789
56.0,0.0,32.0,0.0,59.056758880615234
57.0,2.0,16.0,0.0,60.46891212463379
58.0,0.0,32.0,0.0,53.74550819396973
59.0,2.0,4.0,0.0,57.78813362121582
60.0,0.0,16.0,0.0,36.713361740112305
61.0,0.0,32.0,0.0,28.42998504638672
62.0,2.0,32.0,0.0,47.739505767822266
63.0,0.0,32.0,0.0,32.797813415527344
65.0,2.0,32.0,0.0,43.030738830566406
64.0,0.0,4.0,0.0,61.68365478515625
66.0,2.0,4.0,0.0,66.33925437927246
67.0,0.0,16.0,0.0,27.678728103637695
68.0,2.0,32.0,0.0,44.12698745727539
69.0,0.0,4.0,0.0,52.29640007019043
70.0,0.0,32.0,0.0,46.10800743103027
71.0,2.0,8.0,0.0,33.392906188964844
72.0,0.0,4.0,0.0,39.9172306060791
73.0,0.0,8.0,0.0,23.657798767089844
74.0,2.0,8.0,0.0,43.93410682678223
75.0,0.0,32.0,0.0,54.688215255737305
76.0,0.0,32.0,0.0,51.66006088256836
78.0,2.0,8.0,0.0,44.24715042114258
77.0,0.0,8.0,0.0,95.02577781677246
79.0,2.0,4.0,0.0,78.70912551879883
80.0,0.0,16.0,0.0,54.23164367675781
81.0,2.0,4.0,0.0,77.74162292480469
82.0,2.0,32.0,0.0,45.58515548706055
83.0,2.0,8.0,0.0,50.61197280883789
84.0,0.0,16.0,0.0,49.805402755737305
85.0,0.0,16.0,0.0,49.30853843688965
86.0,2.0,16.0,0.0,79.23436164855957
87.0,0.0,4.0,0.0,80.13010025024414
89.0,2.0,8.0,0.0,89.64157104492188
88.0,0.0,8.0,0.0,104.98547554016113
90.0,2.0,8.0,0.0,119.18115615844727
91.0,0.0,4.0,0.0,130.5248737335205
92.0,2.0,16.0,0.0,152.4341106414795
93.0,2.0,4.0,0.0,167.8767204284668
95.0,0.0,32.0,0.0,163.94877433776855
94.0,2.0,16.0,0.0,204.78439331054688
97.0,0.0,32.0,0.0,187.61706352233887
96.0,2.0,16.0,0.0,217.26536750793457
98.0,0.0,4.0,0.0,176.61809921264648
99.0,0.0,4.0,0.0,191.42580032348633
100.0,2.0,32.0,0.0,194.80133056640625
101.0,2.0,32.0,0.0,220.5038070678711
102.0,0.0,16.0,0.0,217.75436401367188
103.0,0.0,16.0,0.0,218.02186965942383
106.0,2.0,8.0,0.0,146.2421417236328
104.0,0.0,16.0,0.0,176.11026763916016
110.0,2.0,8.0,0.0,122.86853790283203
105.0,0.0,4.0,0.0,198.58956336975098
113.0,2.0,16.0,0.0,42.87266731262207
