query_id,model_id,bs,seq_len,latency
1.0,4.0,32.0,0.0,50.64511299133301
3.0,4.0,16.0,0.0,28.566598892211914
2.0,3.0,32.0,0.0,59.62347984313965
4.0,4.0,8.0,0.0,10.759115219116211
5.0,3.0,4.0,0.0,20.026683807373047
6.0,4.0,8.0,0.0,21.086454391479492
7.0,4.0,4.0,0.0,4.887104034423828
8.0,4.0,4.0,0.0,7.139921188354492
9.0,4.0,8.0,0.0,7.55763053894043
10.0,4.0,16.0,0.0,12.537717819213867
11.0,3.0,4.0,0.0,19.747257232666016
12.0,3.0,32.0,0.0,21.87037467956543
13.0,3.0,16.0,0.0,18.097877502441406
14.0,3.0,4.0,0.0,17.08364486694336
15.0,3.0,8.0,0.0,18.83411407470703
16.0,3.0,8.0,0.0,16.675949096679688
17.0,4.0,16.0,0.0,10.661125183105469
18.0,4.0,16.0,0.0,19.35887336730957
19.0,3.0,8.0,0.0,32.086849212646484
20.0,4.0,32.0,0.0,35.25185585021973
21.0,4.0,16.0,0.0,34.702301025390625
22.0,3.0,8.0,0.0,32.63974189758301
24.0,4.0,8.0,0.0,16.674280166625977
23.0,3.0,16.0,0.0,52.20437049865723
25.0,3.0,4.0,0.0,47.80101776123047
26.0,4.0,16.0,0.0,10.816097259521484
27.0,3.0,32.0,0.0,20.740032196044922
28.0,4.0,16.0,0.0,10.748863220214844
29.0,3.0,4.0,0.0,16.959428787231445
30.0,4.0,16.0,0.0,17.46821403503418
31.0,3.0,16.0,0.0,16.31903648376465
32.0,3.0,16.0,0.0,26.819229125976562
33.0,3.0,4.0,0.0,20.626068115234375
34.0,3.0,8.0,0.0,29.735326766967773
35.0,3.0,4.0,0.0,17.182111740112305
36.0,3.0,8.0,0.0,16.123056411743164
37.0,3.0,16.0,0.0,32.46331214904785
38.0,3.0,4.0,0.0,39.86358642578125
39.0,3.0,8.0,0.0,55.03225326538086
40.0,3.0,4.0,0.0,20.119667053222656
41.0,3.0,4.0,0.0,22.773027420043945
42.0,4.0,4.0,0.0,10.253667831420898
43.0,4.0,8.0,0.0,13.55123519897461
44.0,3.0,4.0,0.0,21.556615829467773
45.0,3.0,32.0,0.0,23.738622665405273
46.0,3.0,32.0,0.0,17.15683937072754
47.0,3.0,8.0,0.0,28.19371223449707
48.0,3.0,8.0,0.0,21.26789093017578
49.0,3.0,16.0,0.0,21.7287540435791
50.0,3.0,32.0,0.0,30.06768226623535
52.0,4.0,32.0,0.0,27.097702026367188
51.0,3.0,32.0,0.0,42.943716049194336
53.0,4.0,4.0,0.0,24.997949600219727
54.0,4.0,16.0,0.0,29.992103576660156
55.0,3.0,8.0,0.0,19.9429988861084
56.0,3.0,32.0,0.0,21.13175392150879
57.0,4.0,16.0,0.0,9.007930755615234
58.0,3.0,32.0,0.0,21.0874080657959
59.0,4.0,4.0,0.0,3.56292724609375
60.0,3.0,16.0,0.0,15.462398529052734
61.0,3.0,32.0,0.0,21.76690101623535
62.0,4.0,32.0,0.0,30.003786087036133
63.0,3.0,32.0,0.0,21.899700164794922
64.0,3.0,4.0,0.0,29.828310012817383
65.0,4.0,32.0,0.0,39.308786392211914
66.0,4.0,4.0,0.0,18.65530014038086
67.0,3.0,16.0,0.0,21.83675765991211
69.0,3.0,4.0,0.0,22.800445556640625
68.0,4.0,32.0,0.0,37.23406791687012
70.0,3.0,32.0,0.0,39.14189338684082
71.0,4.0,8.0,0.0,5.00941276550293
72.0,3.0,4.0,0.0,17.645835876464844
73.0,3.0,8.0,0.0,18.06163787841797
74.0,4.0,8.0,0.0,18.874168395996094
75.0,3.0,32.0,0.0,27.649879455566406
76.0,3.0,32.0,0.0,31.104564666748047
77.0,3.0,8.0,0.0,46.57578468322754
78.0,4.0,8.0,0.0,11.703014373779297
79.0,4.0,4.0,0.0,12.958049774169922
80.0,3.0,16.0,0.0,17.986059188842773
81.0,4.0,4.0,0.0,16.26276969909668
82.0,4.0,32.0,0.0,13.884305953979492
83.0,4.0,8.0,0.0,4.748821258544922
84.0,3.0,16.0,0.0,19.79231834411621
86.0,4.0,16.0,0.0,15.549182891845703
85.0,3.0,16.0,0.0,38.59829902648926
89.0,4.0,8.0,0.0,19.437789916992188
87.0,3.0,4.0,0.0,53.14064025878906
90.0,4.0,8.0,0.0,36.429643630981445
88.0,3.0,8.0,0.0,69.61679458618164
92.0,4.0,16.0,0.0,53.610801696777344
91.0,3.0,4.0,0.0,80.7342529296875
93.0,4.0,4.0,0.0,71.1660385131836
95.0,3.0,32.0,0.0,68.62449645996094
94.0,4.0,16.0,0.0,90.86441993713379
97.0,3.0,32.0,0.0,83.19544792175293
96.0,4.0,16.0,0.0,93.01042556762695
98.0,3.0,4.0,0.0,60.73498725891113
99.0,3.0,4.0,0.0,76.63607597351074
100.0,4.0,32.0,0.0,62.18981742858887
102.0,3.0,16.0,0.0,70.09434700012207
101.0,4.0,32.0,0.0,95.52001953125
103.0,3.0,16.0,0.0,91.25375747680664
104.0,3.0,16.0,0.0,19.240140914916992
106.0,4.0,8.0,0.0,12.706518173217773
105.0,3.0,4.0,0.0,31.744003295898438
107.0,3.0,16.0,0.0,18.88275146484375
108.0,3.0,8.0,0.0,21.981000900268555
109.0,3.0,32.0,0.0,17.853260040283203
110.0,4.0,8.0,0.0,21.884441375732422
111.0,3.0,32.0,0.0,30.34687042236328
112.0,3.0,32.0,0.0,16.20793342590332
113.0,4.0,16.0,0.0,8.120298385620117
114.0,4.0,8.0,0.0,6.159305572509766
115.0,3.0,16.0,0.0,17.078876495361328
116.0,4.0,8.0,0.0,21.834135055541992
117.0,4.0,8.0,0.0,26.079893112182617
118.0,4.0,32.0,0.0,21.34251594543457
119.0,3.0,4.0,0.0,20.320892333984375
120.0,3.0,4.0,0.0,20.79486846923828
121.0,4.0,32.0,0.0,29.523849487304688
122.0,4.0,8.0,0.0,35.959482192993164
123.0,4.0,32.0,0.0,14.259815216064453
124.0,3.0,4.0,0.0,21.96478843688965
125.0,4.0,8.0,0.0,9.641647338867188
126.0,4.0,32.0,0.0,13.995647430419922
127.0,4.0,32.0,0.0,13.991832733154297
128.0,3.0,4.0,0.0,22.66097068786621
129.0,3.0,16.0,0.0,16.793489456176758
130.0,4.0,32.0,0.0,14.01209831237793
131.0,4.0,16.0,0.0,13.863801956176758
132.0,4.0,32.0,0.0,14.687299728393555
133.0,3.0,8.0,0.0,25.342702865600586
134.0,3.0,16.0,0.0,39.736032485961914
135.0,3.0,32.0,0.0,51.23782157897949
136.0,4.0,4.0,0.0,4.2552947998046875
137.0,3.0,16.0,0.0,20.270824432373047
138.0,4.0,32.0,0.0,14.043569564819336
139.0,4.0,4.0,0.0,19.768238067626953
140.0,4.0,4.0,0.0,13.315677642822266
141.0,3.0,8.0,0.0,17.231225967407227
142.0,4.0,16.0,0.0,7.973670959472656
143.0,3.0,32.0,0.0,26.213884353637695
144.0,3.0,32.0,0.0,34.83700752258301
145.0,4.0,16.0,0.0,8.714437484741211
146.0,3.0,32.0,0.0,23.307323455810547
147.0,4.0,4.0,0.0,6.355762481689453
148.0,3.0,32.0,0.0,25.93064308166504
149.0,4.0,8.0,0.0,32.02342987060547
151.0,3.0,4.0,0.0,34.2099666595459
150.0,4.0,4.0,0.0,48.659324645996094
152.0,4.0,4.0,0.0,5.694866180419922
153.0,3.0,32.0,0.0,17.96126365661621
154.0,4.0,8.0,0.0,17.533540725708008
155.0,4.0,32.0,0.0,14.011383056640625
156.0,3.0,32.0,0.0,22.304773330688477
157.0,3.0,8.0,0.0,16.846179962158203
158.0,3.0,32.0,0.0,33.571481704711914
159.0,4.0,16.0,0.0,10.147809982299805
160.0,4.0,4.0,0.0,14.556169509887695
161.0,3.0,4.0,0.0,32.928466796875
162.0,4.0,4.0,0.0,31.041622161865234
163.0,3.0,4.0,0.0,41.42284393310547
164.0,3.0,8.0,0.0,22.70817756652832
165.0,3.0,16.0,0.0,33.97965431213379
166.0,4.0,8.0,0.0,12.902021408081055
167.0,3.0,4.0,0.0,23.691892623901367
168.0,4.0,16.0,0.0,27.876853942871094
169.0,3.0,8.0,0.0,38.507938385009766
170.0,4.0,16.0,0.0,45.89056968688965
171.0,4.0,16.0,0.0,45.87197303771973
172.0,3.0,4.0,0.0,17.122745513916016
173.0,3.0,16.0,0.0,17.6541805267334
174.0,3.0,8.0,0.0,18.195152282714844
175.0,3.0,16.0,0.0,24.67656135559082
176.0,3.0,8.0,0.0,18.825054168701172
177.0,4.0,4.0,0.0,18.447399139404297
178.0,3.0,32.0,0.0,26.254892349243164
179.0,3.0,8.0,0.0,23.373842239379883
180.0,4.0,32.0,0.0,14.425516128540039
181.0,3.0,16.0,0.0,28.380632400512695
182.0,4.0,32.0,0.0,25.011777877807617
183.0,4.0,4.0,0.0,26.89981460571289
184.0,4.0,32.0,0.0,20.81775665283203
185.0,4.0,16.0,0.0,18.9208984375
186.0,4.0,4.0,0.0,11.341094970703125
187.0,3.0,16.0,0.0,21.770715713500977
188.0,3.0,8.0,0.0,20.37215232849121
189.0,4.0,8.0,0.0,8.726835250854492
190.0,4.0,8.0,0.0,7.0037841796875
191.0,4.0,8.0,0.0,5.341529846191406
192.0,4.0,4.0,0.0,4.204273223876953
193.0,4.0,16.0,0.0,8.074522018432617
194.0,3.0,32.0,0.0,20.395755767822266
195.0,4.0,16.0,0.0,8.213520050048828
196.0,3.0,16.0,0.0,24.533510208129883
197.0,3.0,32.0,0.0,19.672393798828125
198.0,3.0,8.0,0.0,25.667905807495117
199.0,4.0,4.0,0.0,8.699893951416016
200.0,3.0,4.0,0.0,24.890661239624023
202.0,4.0,16.0,0.0,21.60334587097168
201.0,3.0,32.0,0.0,50.436973571777344
203.0,4.0,8.0,0.0,49.37171936035156
204.0,3.0,16.0,0.0,61.763763427734375
205.0,4.0,4.0,0.0,68.75991821289062
206.0,3.0,8.0,0.0,71.4869499206543
208.0,4.0,8.0,0.0,22.716760635375977
207.0,3.0,16.0,0.0,52.2921085357666
210.0,4.0,16.0,0.0,25.26712417602539
209.0,3.0,32.0,0.0,55.37247657775879
211.0,3.0,4.0,0.0,56.0455322265625
212.0,4.0,32.0,0.0,65.68408012390137
213.0,3.0,16.0,0.0,75.531005859375
214.0,4.0,32.0,0.0,72.31593132019043
216.0,4.0,4.0,0.0,43.67947578430176
215.0,3.0,16.0,0.0,77.7885913848877
218.0,3.0,8.0,0.0,54.92377281188965
217.0,4.0,32.0,0.0,75.67429542541504
