query_id,model_id,bs,seq_len,latency
2.0,1.0,32.0,0.0,43.027639389038086
1.0,2.0,32.0,0.0,109.65299606323242
5.0,1.0,4.0,0.0,33.34665298461914
3.0,2.0,16.0,0.0,127.18629837036133
4.0,2.0,8.0,0.0,111.45925521850586
6.0,2.0,8.0,0.0,122.62225151062012
7.0,2.0,4.0,0.0,62.564849853515625
11.0,1.0,4.0,0.0,42.78302192687988
8.0,2.0,4.0,0.0,103.88398170471191
12.0,1.0,32.0,0.0,53.99894714355469
9.0,2.0,8.0,0.0,139.95003700256348
13.0,1.0,16.0,0.0,76.55787467956543
10.0,2.0,16.0,0.0,171.356201171875
14.0,1.0,4.0,0.0,99.5938777923584
15.0,1.0,8.0,0.0,91.30382537841797
16.0,1.0,8.0,0.0,61.139583587646484
17.0,2.0,16.0,0.0,57.553768157958984
19.0,1.0,8.0,0.0,70.75619697570801
18.0,2.0,16.0,0.0,96.9700813293457
22.0,1.0,8.0,0.0,67.13986396789551
20.0,2.0,32.0,0.0,128.47614288330078
23.0,1.0,16.0,0.0,113.82818222045898
21.0,2.0,16.0,0.0,159.35873985290527
25.0,1.0,4.0,0.0,135.99538803100586
24.0,2.0,8.0,0.0,169.88301277160645
27.0,1.0,32.0,0.0,97.97835350036621
26.0,2.0,16.0,0.0,158.3845615386963
29.0,1.0,4.0,0.0,91.10116958618164
28.0,2.0,16.0,0.0,129.80103492736816
31.0,1.0,16.0,0.0,110.78071594238281
30.0,2.0,16.0,0.0,160.28380393981934
32.0,1.0,16.0,0.0,154.14118766784668
33.0,1.0,4.0,0.0,148.35572242736816
34.0,1.0,8.0,0.0,157.7775478363037
35.0,1.0,4.0,0.0,145.68018913269043
36.0,1.0,8.0,0.0,130.88154792785645
42.0,2.0,4.0,0.0,52.500247955322266
37.0,1.0,16.0,0.0,176.46455764770508
43.0,2.0,8.0,0.0,94.21277046203613
38,1,4,0,-1
39,1,8,0,-1
40.0,1.0,4.0,0.0,143.66531372070312
41.0,1.0,4.0,0.0,149.3830680847168
44.0,1.0,4.0,0.0,141.23201370239258
45.0,1.0,32.0,0.0,147.2148895263672
52.0,2.0,32.0,0.0,63.539743423461914
46.0,1.0,32.0,0.0,175.83966255187988
53.0,2.0,4.0,0.0,98.4044075012207
54.0,2.0,16.0,0.0,121.80042266845703
47,1,8,0,-1
57.0,2.0,16.0,0.0,77.02398300170898
48,1,8,0,-1
59.0,2.0,4.0,0.0,68.49288940429688
49,1,16,0,-1
62.0,2.0,32.0,0.0,43.69854927062988
50,1,32,0,-1
65.0,2.0,32.0,0.0,30.59673309326172
51,1,32,0,-1
66.0,2.0,4.0,0.0,34.02566909790039
55,1,8,0,-1
56,1,32,0,-1
58,1,32,0,-1
60.0,1.0,16.0,0.0,138.74483108520508
61.0,1.0,32.0,0.0,138.60654830932617
63.0,1.0,32.0,0.0,128.04818153381348
68.0,2.0,32.0,0.0,52.3831844329834
64.0,1.0,4.0,0.0,159.29055213928223
67.0,1.0,16.0,0.0,102.07986831665039
69.0,1.0,4.0,0.0,106.69136047363281
70.0,1.0,32.0,0.0,111.0525131225586
71.0,2.0,8.0,0.0,47.9433536529541
72.0,1.0,4.0,0.0,58.67576599121094
74.0,2.0,8.0,0.0,52.25777626037598
73.0,1.0,8.0,0.0,74.16582107543945
75.0,1.0,32.0,0.0,84.32388305664062
78.0,2.0,8.0,0.0,54.595947265625
76.0,1.0,32.0,0.0,112.55741119384766
79.0,2.0,4.0,0.0,94.09856796264648
77.0,1.0,8.0,0.0,154.62327003479004
81.0,2.0,4.0,0.0,93.38903427124023
80.0,1.0,16.0,0.0,116.5168285369873
82.0,2.0,32.0,0.0,76.83134078979492
84.0,1.0,16.0,0.0,60.14728546142578
83.0,2.0,8.0,0.0,93.10626983642578
85.0,1.0,16.0,0.0,92.25916862487793
86.0,2.0,16.0,0.0,112.97893524169922
87.0,1.0,4.0,0.0,123.79980087280273
89.0,2.0,8.0,0.0,132.493257522583
88.0,1.0,8.0,0.0,157.6695442199707
90.0,2.0,8.0,0.0,165.63963890075684
92.0,2.0,16.0,0.0,181.5793514251709
91,1,4,0,-1
95.0,1.0,32.0,0.0,169.56138610839844
93,2,4,0,-1
97.0,1.0,32.0,0.0,173.54822158813477
94,2,16,0,-1
98.0,1.0,4.0,0.0,141.71934127807617
96,2,16,0,-1
99.0,1.0,4.0,0.0,161.01479530334473
100.0,2.0,32.0,0.0,164.4597053527832
102.0,1.0,16.0,0.0,170.5319881439209
101,2,32,0,-1
103.0,1.0,16.0,0.0,180.19485473632812
106.0,2.0,8.0,0.0,110.1222038269043
104.0,1.0,16.0,0.0,141.3576602935791
110.0,2.0,8.0,0.0,87.4643325805664
105.0,1.0,4.0,0.0,171.73075675964355
107.0,1.0,16.0,0.0,160.2921485900879
108.0,1.0,8.0,0.0,166.11981391906738
113.0,2.0,16.0,0.0,51.203012466430664
114.0,2.0,8.0,0.0,54.769039154052734
109,1,32,0,-1
111,1,32,0,-1
112.0,1.0,32.0,0.0,112.36333847045898
115.0,1.0,16.0,0.0,17.26245880126953
116.0,2.0,8.0,0.0,41.89777374267578
119.0,1.0,4.0,0.0,22.551774978637695
117.0,2.0,8.0,0.0,82.31925964355469
120.0,1.0,4.0,0.0,32.38415718078613
118.0,2.0,32.0,0.0,106.13298416137695
121.0,2.0,32.0,0.0,77.30293273925781
122.0,2.0,8.0,0.0,103.42216491699219
123.0,2.0,32.0,0.0,89.2794132232666
124.0,1.0,4.0,0.0,38.65981101989746
125.0,2.0,8.0,0.0,44.84987258911133
126.0,2.0,32.0,0.0,27.233362197875977
127.0,2.0,32.0,0.0,37.73212432861328
128.0,1.0,4.0,0.0,17.720699310302734
129.0,1.0,16.0,0.0,16.671419143676758
130.0,2.0,32.0,0.0,25.34198760986328
131.0,2.0,16.0,0.0,41.50581359863281
132.0,2.0,32.0,0.0,24.64580535888672
133.0,1.0,8.0,0.0,31.525135040283203
134.0,1.0,16.0,0.0,45.26948928833008
135.0,1.0,32.0,0.0,57.550668716430664
136.0,2.0,4.0,0.0,25.990009307861328
137.0,1.0,16.0,0.0,40.01426696777344
138.0,2.0,32.0,0.0,32.822608947753906
139.0,2.0,4.0,0.0,60.21881103515625
141.0,1.0,8.0,0.0,35.77733039855957
140.0,2.0,4.0,0.0,89.9498462677002
143.0,1.0,32.0,0.0,57.91330337524414
142.0,2.0,16.0,0.0,83.79316329956055
144.0,1.0,32.0,0.0,90.67988395690918
145.0,2.0,16.0,0.0,73.02379608154297
146.0,1.0,32.0,0.0,81.67886734008789
147.0,2.0,4.0,0.0,44.56806182861328
148.0,1.0,32.0,0.0,23.372411727905273
151.0,1.0,4.0,0.0,27.500152587890625
149.0,2.0,8.0,0.0,70.30820846557617
150.0,2.0,4.0,0.0,86.71951293945312
153.0,1.0,32.0,0.0,47.41072654724121
152.0,2.0,4.0,0.0,77.5146484375
154.0,2.0,8.0,0.0,96.1613655090332
155.0,2.0,32.0,0.0,65.19961357116699
156.0,1.0,32.0,0.0,42.08564758300781
157.0,1.0,8.0,0.0,23.665189743041992
158.0,1.0,32.0,0.0,43.10417175292969
161.0,1.0,4.0,0.0,31.668663024902344
159.0,2.0,16.0,0.0,59.616804122924805
163.0,1.0,4.0,0.0,61.65814399719238
160.0,2.0,4.0,0.0,106.58431053161621
164.0,1.0,8.0,0.0,73.99463653564453
162.0,2.0,4.0,0.0,155.38406372070312
165.0,1.0,16.0,0.0,129.5630931854248
166.0,2.0,8.0,0.0,138.14163208007812
167.0,1.0,4.0,0.0,135.09678840637207
168.0,2.0,16.0,0.0,157.67407417297363
169.0,1.0,8.0,0.0,170.36843299865723
170.0,2.0,16.0,0.0,206.9547176361084
172.0,1.0,4.0,0.0,161.7448329925537
171,2,16,0,-1
173.0,1.0,16.0,0.0,164.19076919555664
177.0,2.0,4.0,0.0,134.2301368713379
180.0,2.0,32.0,0.0,108.87861251831055
174,1,8,0,-1
182.0,2.0,32.0,0.0,109.56239700317383
175,1,16,0,-1
183.0,2.0,4.0,0.0,134.55653190612793
176,1,8,0,-1
184.0,2.0,32.0,0.0,139.7397518157959
178,1,32,0,-1
185.0,2.0,16.0,0.0,154.34837341308594
179,1,8,0,-1
186.0,2.0,4.0,0.0,168.2291030883789
181,1,16,0,-1
187.0,1.0,16.0,0.0,126.34491920471191
189.0,2.0,8.0,0.0,101.35030746459961
188.0,1.0,8.0,0.0,137.83526420593262
190.0,2.0,8.0,0.0,91.68744087219238
194.0,1.0,32.0,0.0,50.505876541137695
191.0,2.0,8.0,0.0,124.31573867797852
196.0,1.0,16.0,0.0,58.6085319519043
192.0,2.0,4.0,0.0,159.74974632263184
197.0,1.0,32.0,0.0,73.58694076538086
193.0,2.0,16.0,0.0,190.4923915863037
198.0,1.0,8.0,0.0,104.62594032287598
195.0,2.0,16.0,0.0,169.59381103515625
200.0,1.0,4.0,0.0,119.31586265563965
199.0,2.0,4.0,0.0,149.89042282104492
201.0,1.0,32.0,0.0,156.5239429473877
202.0,2.0,16.0,0.0,173.6602783203125
204,1,16,0,-1
203,2,8,0,-1
206.0,1.0,8.0,0.0,166.72372817993164
205,2,4,0,-1
207.0,1.0,16.0,0.0,142.23909378051758
208.0,2.0,8.0,0.0,154.51407432556152
209.0,1.0,32.0,0.0,158.7350368499756
210.0,2.0,16.0,0.0,171.74744606018066
211,1,4,0,-1
212,2,32,0,-1
213.0,1.0,16.0,0.0,171.06890678405762
214.0,2.0,32.0,0.0,177.93893814086914
215.0,1.0,16.0,0.0,177.0336627960205
216.0,2.0,4.0,0.0,187.76178359985352
218.0,1.0,8.0,0.0,177.61731147766113
217,2,32,0,-1
219.0,1.0,32.0,0.0,151.70884132385254
220.0,1.0,4.0,0.0,160.95638275146484
221.0,1.0,32.0,0.0,141.78872108459473
222.0,1.0,4.0,0.0,137.3744010925293
223.0,1.0,16.0,0.0,146.72160148620605
224.0,1.0,16.0,0.0,21.008014678955078
225.0,1.0,32.0,0.0,35.585641860961914
226.0,2.0,16.0,0.0,56.43653869628906
228.0,1.0,8.0,0.0,42.769670486450195
227.0,2.0,32.0,0.0,87.28456497192383
232.0,1.0,32.0,0.0,29.149532318115234
229.0,2.0,8.0,0.0,97.33080863952637
233.0,1.0,4.0,0.0,40.845632553100586
230.0,2.0,32.0,0.0,137.95089721679688
235.0,1.0,8.0,0.0,64.82863426208496
231.0,2.0,32.0,0.0,171.86880111694336
236.0,1.0,4.0,0.0,97.71728515625
234.0,2.0,4.0,0.0,131.49333000183105
240.0,1.0,4.0,0.0,66.66779518127441
