query_id,model_id,bs,seq_len,latency
1.0,6.0,32.0,8.0,55.788278579711914
2.0,6.0,32.0,64.0,43.16973686218262
3.0,6.0,16.0,16.0,12.271881103515625
4.0,2.0,4.0,0.0,37.070274353027344
5.0,6.0,8.0,32.0,51.3615608215332
6.0,2.0,16.0,0.0,27.991771697998047
7.0,6.0,16.0,64.0,14.666318893432617
8.0,6.0,8.0,64.0,14.608621597290039
9.0,6.0,16.0,8.0,17.199993133544922
10.0,2.0,32.0,0.0,38.28859329223633
11.0,2.0,16.0,0.0,72.63731956481934
12.0,2.0,4.0,0.0,81.38370513916016
13.0,2.0,8.0,0.0,81.6946029663086
14.0,2.0,8.0,0.0,68.67837905883789
15.0,6.0,16.0,64.0,51.10001564025879
16.0,2.0,16.0,0.0,80.85751533508301
18.0,6.0,32.0,32.0,72.61276245117188
17.0,2.0,8.0,0.0,120.27621269226074
21.0,6.0,8.0,16.0,99.06506538391113
19.0,2.0,8.0,0.0,141.85237884521484
23.0,6.0,8.0,16.0,112.36047744750977
20.0,2.0,16.0,0.0,183.10141563415527
24.0,6.0,32.0,64.0,142.26698875427246
22.0,2.0,32.0,0.0,225.96454620361328
25.0,6.0,4.0,64.0,169.88730430603027
28.0,2.0,4.0,0.0,163.70725631713867
26.0,6.0,8.0,8.0,218.74618530273438
29.0,2.0,8.0,0.0,202.27599143981934
27.0,6.0,8.0,32.0,227.63514518737793
30.0,2.0,4.0,0.0,212.599515914917
37.0,6.0,4.0,32.0,84.33389663696289
31.0,2.0,8.0,0.0,225.4617214202881
38.0,6.0,4.0,64.0,130.13029098510742
32.0,2.0,16.0,0.0,262.10761070251465
46.0,6.0,32.0,32.0,50.57978630065918
33.0,2.0,4.0,0.0,290.53425788879395
48.0,6.0,16.0,8.0,51.25141143798828
34.0,2.0,8.0,0.0,327.7781009674072
49.0,6.0,32.0,32.0,61.65313720703125
35.0,2.0,4.0,0.0,311.176061630249
50.0,6.0,8.0,32.0,115.34452438354492
36.0,2.0,4.0,0.0,350.93235969543457
51.0,6.0,4.0,8.0,139.08863067626953
39.0,2.0,32.0,0.0,362.67924308776855
54.0,6.0,32.0,8.0,126.1746883392334
40.0,2.0,32.0,0.0,387.9373073577881
55.0,6.0,32.0,8.0,140.37585258483887
41.0,2.0,8.0,0.0,431.882381439209
59.0,6.0,32.0,8.0,87.3713493347168
42.0,2.0,8.0,0.0,459.29479598999023
60.0,6.0,4.0,16.0,125.72884559631348
43.0,2.0,16.0,0.0,466.25232696533203
62.0,6.0,4.0,8.0,157.03058242797852
44.0,2.0,32.0,0.0,504.4095516204834
64.0,6.0,8.0,8.0,193.8178539276123
45.0,2.0,32.0,0.0,527.8060436248779
65.0,6.0,32.0,8.0,227.03909873962402
47.0,2.0,4.0,0.0,546.7534065246582
68.0,6.0,8.0,32.0,185.66441535949707
52.0,2.0,8.0,0.0,498.09741973876953
70.0,6.0,16.0,8.0,230.40008544921875
53.0,2.0,32.0,0.0,516.3252353668213
71.0,6.0,32.0,64.0,252.15506553649902
56.0,2.0,16.0,0.0,491.98055267333984
72.0,6.0,8.0,16.0,277.18567848205566
57.0,2.0,32.0,0.0,527.6038646697998
73.0,6.0,4.0,16.0,282.99546241760254
58.0,2.0,32.0,0.0,557.0738315582275
75.0,6.0,16.0,8.0,298.6602783203125
61.0,2.0,32.0,0.0,540.6436920166016
77.0,6.0,8.0,32.0,310.53781509399414
63.0,2.0,8.0,0.0,586.5566730499268
80.0,6.0,16.0,32.0,333.15515518188477
66.0,2.0,32.0,0.0,583.4696292877197
81.0,6.0,32.0,64.0,372.4794387817383
67.0,2.0,8.0,0.0,626.4233589172363
82.0,6.0,16.0,8.0,417.47331619262695
69.0,2.0,8.0,0.0,635.784387588501
83.0,6.0,32.0,64.0,435.8844757080078
74.0,2.0,16.0,0.0,586.8761539459229
88.0,6.0,32.0,32.0,423.85149002075195
76.0,2.0,8.0,0.0,601.1030673980713
89.0,6.0,8.0,64.0,471.7848300933838
78.0,2.0,8.0,0.0,633.9139938354492
93.0,6.0,8.0,8.0,448.38929176330566
79.0,2.0,4.0,0.0,671.7965602874756
94.0,6.0,8.0,8.0,470.9615707397461
84.0,2.0,8.0,0.0,661.3349914550781
99.0,6.0,16.0,64.0,456.09211921691895
85.0,2.0,32.0,0.0,701.2679576873779
100.0,6.0,8.0,16.0,486.59586906433105
86.0,2.0,4.0,0.0,734.6489429473877
102.0,6.0,8.0,32.0,505.8577060699463
87.0,2.0,4.0,0.0,781.0661792755127
104.0,6.0,4.0,8.0,515.300989151001
90.0,2.0,16.0,0.0,749.6299743652344
106.0,6.0,32.0,32.0,559.2386722564697
91.0,2.0,16.0,0.0,792.5808429718018
108.0,6.0,4.0,8.0,577.0871639251709
92.0,2.0,4.0,0.0,830.2066326141357
110.0,6.0,32.0,64.0,585.118293762207
95.0,2.0,4.0,0.0,840.367317199707
111.0,6.0,8.0,8.0,617.2640323638916
96.0,2.0,16.0,0.0,868.8993453979492
113.0,6.0,32.0,32.0,624.2122650146484
97.0,2.0,32.0,0.0,903.5665988922119
114.0,6.0,32.0,64.0,657.4270725250244
98.0,2.0,32.0,0.0,942.3918724060059
118.0,6.0,4.0,16.0,605.6268215179443
101.0,2.0,16.0,0.0,927.3433685302734
119.0,6.0,32.0,64.0,643.9924240112305
103.0,2.0,16.0,0.0,962.1164798736572
120.0,6.0,32.0,16.0,679.5086860656738
105.0,2.0,4.0,0.0,966.6857719421387
122.0,6.0,16.0,16.0,719.3071842193604
107.0,2.0,32.0,0.0,1002.7341842651367
123.0,6.0,32.0,8.0,762.5205516815186
109.0,2.0,8.0,0.0,1002.8505325317383
125.0,6.0,16.0,16.0,754.4460296630859
112.0,2.0,16.0,0.0,992.4874305725098
126.0,6.0,4.0,16.0,788.6745929718018
115.0,2.0,8.0,0.0,971.4517593383789
128.0,6.0,32.0,32.0,767.1866416931152
116.0,2.0,16.0,0.0,1008.0499649047852
130.0,6.0,4.0,16.0,716.0475254058838
117.0,2.0,32.0,0.0,1054.565668106079
132.0,6.0,8.0,64.0,760.2505683898926
121.0,2.0,8.0,0.0,1024.3523120880127
133.0,6.0,4.0,64.0,743.9596652984619
124.0,2.0,32.0,0.0,1031.463861465454
136.0,6.0,16.0,32.0,699.7201442718506
127.0,2.0,32.0,0.0,1008.7740421295166
138.0,6.0,16.0,32.0,740.7505512237549
129.0,2.0,4.0,0.0,992.7554130554199
140.0,6.0,8.0,16.0,758.6390972137451
131.0,2.0,32.0,0.0,964.2033576965332
144.0,6.0,16.0,32.0,750.6105899810791
134.0,2.0,8.0,0.0,906.5897464752197
146.0,6.0,16.0,32.0,796.69189453125
135.0,2.0,32.0,0.0,951.8401622772217
147.0,6.0,4.0,8.0,836.561918258667
137.0,2.0,4.0,0.0,968.8398838043213
148.0,6.0,8.0,16.0,882.0476531982422
139.0,2.0,8.0,0.0,976.8087863922119
151.0,6.0,4.0,16.0,881.6196918487549
141.0,2.0,4.0,0.0,1015.6867504119873
155.0,6.0,32.0,32.0,872.657060623169
142.0,2.0,4.0,0.0,1069.1802501678467
157.0,6.0,16.0,64.0,922.5664138793945
143.0,2.0,8.0,0.0,1106.9002151489258
160.0,6.0,8.0,64.0,830.8866024017334
145.0,2.0,8.0,0.0,1116.8627738952637
161.0,6.0,32.0,64.0,878.7558078765869
149.0,2.0,8.0,0.0,1151.5238285064697
163.0,6.0,8.0,32.0,922.3592281341553
150.0,2.0,16.0,0.0,1197.3278522491455
164.0,6.0,4.0,64.0,921.3929176330566
152.0,2.0,4.0,0.0,1208.7903022766113
166.0,6.0,16.0,8.0,944.6895122528076
153.0,2.0,32.0,0.0,1259.2427730560303
167.0,6.0,8.0,64.0,1005.967378616333
154.0,2.0,16.0,0.0,1302.6816844940186
168.0,6.0,32.0,16.0,1041.6500568389893
156.0,2.0,4.0,0.0,1331.0773372650146
169.0,6.0,4.0,8.0,1086.6518020629883
158.0,2.0,32.0,0.0,1308.612585067749
170.0,6.0,4.0,8.0,1134.6871852874756
159.0,2.0,4.0,0.0,1344.2823886871338
171.0,6.0,32.0,64.0,1138.1487846374512
162.0,2.0,32.0,0.0,1321.915626525879
173.0,6.0,8.0,8.0,1140.5248641967773
165.0,2.0,32.0,0.0,1283.3428382873535
175.0,6.0,4.0,16.0,1141.7346000671387
172.0,2.0,16.0,0.0,1242.4418926239014
177.0,6.0,8.0,8.0,1169.966220855713
174.0,2.0,16.0,0.0,1213.273525238037
178.0,6.0,32.0,32.0,1198.5890865325928
176.0,2.0,16.0,0.0,1239.1443252563477
179.0,6.0,8.0,16.0,1173.2096672058105
180.0,2.0,32.0,0.0,1190.02103805542
181.0,6.0,8.0,32.0,1179.5039176940918
184.0,2.0,8.0,0.0,1156.0847759246826
182.0,6.0,32.0,16.0,1205.9166431427002
187.0,2.0,32.0,0.0,1177.9546737670898
183.0,6.0,16.0,64.0,1235.0358963012695
188.0,2.0,4.0,0.0,1198.6980438232422
185.0,6.0,8.0,8.0,1249.4680881500244
189.0,2.0,16.0,0.0,1230.1421165466309
186.0,6.0,4.0,8.0,1288.959264755249
190.0,2.0,16.0,0.0,1111.8557453155518
192.0,6.0,16.0,64.0,1119.6999549865723
191.0,2.0,32.0,0.0,1150.801181793213
193.0,6.0,8.0,32.0,1152.6339054107666
194.0,2.0,8.0,0.0,1178.110122680664
195.0,6.0,32.0,64.0,1188.1940364837646
198.0,2.0,4.0,0.0,1148.0419635772705
196.0,6.0,8.0,16.0,1232.4261665344238
199.0,2.0,8.0,0.0,1192.5387382507324
197.0,6.0,4.0,64.0,1272.3798751831055
200.0,2.0,4.0,0.0,1235.0380420684814
201.0,6.0,16.0,64.0,1234.2557907104492
205.0,2.0,16.0,0.0,1225.4064083099365
202.0,6.0,32.0,64.0,1253.2823085784912
206.0,2.0,32.0,0.0,1262.9528045654297
203.0,6.0,32.0,16.0,1297.640323638916
207.0,2.0,32.0,0.0,1305.5167198181152
204.0,6.0,4.0,8.0,1343.8184261322021
208.0,2.0,16.0,0.0,1286.9133949279785
210.0,6.0,32.0,32.0,1270.277500152588
209.0,2.0,4.0,0.0,1322.1940994262695
211.0,6.0,4.0,16.0,1309.910535812378
213.0,2.0,16.0,0.0,1339.5473957061768
212.0,6.0,16.0,16.0,1355.4346561431885
219.0,2.0,8.0,0.0,1210.4508876800537
214.0,6.0,32.0,32.0,1400.5553722381592
220.0,2.0,8.0,0.0,1257.1334838867188
215.0,6.0,8.0,8.0,1427.8244972229004
222.0,2.0,32.0,0.0,1217.9388999938965
216.0,6.0,4.0,8.0,1457.5724601745605
223.0,2.0,8.0,0.0,1221.5502262115479
217.0,6.0,32.0,8.0,1448.084831237793
226.0,2.0,32.0,0.0,1100.538730621338
218.0,6.0,32.0,64.0,1480.6029796600342
228.0,2.0,4.0,0.0,1098.667860031128
221.0,6.0,8.0,64.0,1407.7529907226562
229.0,2.0,8.0,0.0,1145.7724571228027
224.0,6.0,16.0,32.0,1310.6834888458252
230.0,2.0,4.0,0.0,1158.735990524292
225.0,6.0,4.0,32.0,1345.881700515747
236.0,2.0,16.0,0.0,1114.182949066162
227.0,6.0,16.0,32.0,1254.1835308074951
239.0,2.0,32.0,0.0,1114.9351596832275
231.0,6.0,4.0,64.0,1244.5673942565918
240.0,2.0,8.0,0.0,1129.0948390960693
232.0,6.0,16.0,16.0,1252.2518634796143
241.0,2.0,16.0,0.0,1172.7697849273682
233.0,6.0,8.0,8.0,1298.8204956054688
242.0,2.0,4.0,0.0,1192.610263824463
234.0,6.0,8.0,32.0,1336.8797302246094
243.0,2.0,16.0,0.0,1210.5917930603027
235.0,6.0,8.0,16.0,1352.396011352539
245.0,2.0,32.0,0.0,1224.104404449463
237.0,6.0,4.0,16.0,1376.2626647949219
247.0,2.0,8.0,0.0,1238.5375499725342
238.0,6.0,8.0,8.0,1404.5710563659668
249.0,2.0,8.0,0.0,1227.3211479187012
244.0,6.0,4.0,16.0,1340.5015468597412
254.0,2.0,8.0,0.0,1185.856819152832
246.0,6.0,4.0,32.0,1345.8387851715088
259.0,2.0,16.0,0.0,1188.7896060943604
248.0,6.0,32.0,8.0,1348.8142490386963
262.0,2.0,8.0,0.0,1182.321310043335
250.0,6.0,8.0,32.0,1356.8873405456543
263.0,2.0,8.0,0.0,1217.9591655731201
251.0,6.0,16.0,8.0,1360.476016998291
264.0,2.0,32.0,0.0,1208.3837985992432
252.0,6.0,4.0,16.0,1386.049747467041
265.0,2.0,32.0,0.0,1229.1145324707031
253.0,6.0,4.0,8.0,1418.0030822753906
266.0,2.0,4.0,0.0,1260.4665756225586
255.0,6.0,4.0,32.0,1465.949535369873
268.0,2.0,16.0,0.0,1283.7934494018555
256.0,6.0,8.0,64.0,1513.777256011963
273.0,2.0,16.0,0.0,1246.1223602294922
257.0,6.0,16.0,16.0,1560.873031616211
274.0,2.0,4.0,0.0,1266.3688659667969
258.0,6.0,32.0,64.0,1608.0379486083984
279.0,2.0,16.0,0.0,1086.2915515899658
260.0,6.0,4.0,64.0,1621.868371963501
280.0,2.0,16.0,0.0,1119.3039417266846
261.0,6.0,8.0,16.0,1646.4135646820068
281.0,2.0,8.0,0.0,1150.9382724761963
267.0,6.0,32.0,8.0,1558.4471225738525
283.0,2.0,16.0,0.0,1113.569736480713
269.0,6.0,32.0,16.0,1586.14182472229
286.0,2.0,32.0,0.0,1063.6827945709229
270.0,6.0,32.0,32.0,1612.5645637512207
287.0,2.0,4.0,0.0,1096.1079597473145
271.0,6.0,32.0,8.0,1661.407709121704
289.0,2.0,32.0,0.0,1089.6086692810059
272.0,6.0,16.0,64.0,1677.6766777038574
291.0,2.0,8.0,0.0,1065.697431564331
275.0,6.0,4.0,8.0,1672.6922988891602
292.0,2.0,32.0,0.0,1099.172830581665
276.0,6.0,4.0,32.0,1717.993974685669
296.0,2.0,8.0,0.0,966.1071300506592
277.0,6.0,8.0,32.0,1744.0423965454102
298.0,2.0,16.0,0.0,972.73850440979
278.0,6.0,16.0,16.0,1690.9360885620117
299.0,2.0,16.0,0.0,974.0345478057861
282.0,6.0,4.0,8.0,1579.9248218536377
303.0,2.0,4.0,0.0,995.1674938201904
284.0,6.0,16.0,64.0,1532.6330661773682
306.0,2.0,32.0,0.0,982.2015762329102
285.0,6.0,8.0,8.0,1565.9430027008057
307.0,2.0,8.0,0.0,1020.8084583282471
288.0,6.0,16.0,16.0,1574.474573135376
311.0,2.0,16.0,0.0,991.8396472930908
290.0,6.0,8.0,16.0,1559.3833923339844
315.0,2.0,32.0,0.0,991.1520481109619
293.0,6.0,16.0,8.0,1467.0825004577637
317.0,2.0,4.0,0.0,1009.068489074707
294.0,6.0,16.0,32.0,1513.092041015625
318.0,2.0,32.0,0.0,1010.8039379119873
295.0,6.0,8.0,64.0,1531.7163467407227
319.0,2.0,4.0,0.0,1018.9192295074463
297.0,6.0,4.0,64.0,1444.3504810333252
320.0,2.0,16.0,0.0,1049.0686893463135
300.0,6.0,8.0,16.0,1404.3042659759521
321.0,2.0,16.0,0.0,1069.7529315948486
301.0,6.0,32.0,8.0,1441.002607345581
324.0,2.0,16.0,0.0,1028.2671451568604
302.0,6.0,32.0,8.0,1477.3736000061035
325.0,2.0,32.0,0.0,1026.689052581787
304.0,6.0,16.0,32.0,1509.716272354126
326.0,2.0,8.0,0.0,1061.0783100128174
305.0,6.0,16.0,32.0,1534.447193145752
328.0,2.0,16.0,0.0,1030.3728580474854
308.0,6.0,32.0,8.0,1500.5676746368408
329.0,2.0,4.0,0.0,1056.8029880523682
