query_id,model_id,bs,seq_len,latency
1.0,5.0,32.0,0.0,64.80693817138672
2.0,2.0,32.0,0.0,70.81437110900879
3.0,5.0,16.0,0.0,81.78305625915527
5.0,2.0,4.0,0.0,57.021141052246094
4.0,5.0,8.0,0.0,75.1950740814209
6.0,5.0,8.0,0.0,68.34292411804199
7.0,5.0,4.0,0.0,5.285024642944336
8.0,5.0,4.0,0.0,8.387088775634766
9.0,5.0,8.0,0.0,8.132219314575195
10.0,5.0,16.0,0.0,11.207818984985352
11.0,2.0,4.0,0.0,32.90677070617676
12.0,2.0,32.0,0.0,40.12036323547363
13.0,2.0,16.0,0.0,40.94099998474121
14.0,2.0,4.0,0.0,48.60496520996094
15.0,2.0,8.0,0.0,60.219764709472656
16.0,2.0,8.0,0.0,43.85638236999512
17.0,5.0,16.0,0.0,23.374080657958984
19.0,2.0,8.0,0.0,43.74527931213379
18.0,5.0,16.0,0.0,57.05070495605469
20.0,5.0,32.0,0.0,57.72900581359863
22.0,2.0,8.0,0.0,52.93774604797363
21.0,5.0,16.0,0.0,81.47501945495605
23.0,2.0,16.0,0.0,101.13358497619629
24.0,5.0,8.0,0.0,89.43533897399902
25.0,2.0,4.0,0.0,122.03049659729004
26.0,5.0,16.0,0.0,80.74140548706055
27.0,2.0,32.0,0.0,81.03132247924805
28.0,5.0,16.0,0.0,53.894758224487305
29.0,2.0,4.0,0.0,78.1862735748291
30.0,5.0,16.0,0.0,80.45053482055664
31.0,2.0,16.0,0.0,97.60069847106934
32.0,2.0,16.0,0.0,118.35551261901855
33.0,2.0,4.0,0.0,133.8632106781006
34.0,2.0,8.0,0.0,158.156156539917
35.0,2.0,4.0,0.0,160.70938110351562
42.0,5.0,4.0,0.0,26.3822078704834
36.0,2.0,8.0,0.0,175.0643253326416
43.0,5.0,8.0,0.0,72.58772850036621
37,2,16,0,-1
38,2,4,0,-1
39,2,8,0,-1
40.0,2.0,4.0,0.0,141.07275009155273
41.0,2.0,4.0,0.0,162.14442253112793
52.0,5.0,32.0,0.0,26.079654693603516
44.0,2.0,4.0,0.0,191.8942928314209
53.0,5.0,4.0,0.0,48.82001876831055
45,2,32,0,-1
54.0,5.0,16.0,0.0,54.987192153930664
46,2,32,0,-1
47,2,8,0,-1
48.0,2.0,8.0,0.0,175.1716136932373
57.0,5.0,16.0,0.0,29.95014190673828
49.0,2.0,16.0,0.0,183.8977336883545
59.0,5.0,4.0,0.0,20.426511764526367
50,2,32,0,-1
51,2,32,0,-1
55.0,2.0,8.0,0.0,139.43719863891602
56.0,2.0,32.0,0.0,150.18272399902344
62.0,5.0,32.0,0.0,34.72256660461426
58.0,2.0,32.0,0.0,160.43996810913086
65.0,5.0,32.0,0.0,53.96556854248047
60.0,2.0,16.0,0.0,153.61690521240234
66.0,5.0,4.0,0.0,71.9144344329834
61.0,2.0,32.0,0.0,176.6510009765625
68.0,5.0,32.0,0.0,62.76416778564453
63.0,2.0,32.0,0.0,196.58946990966797
64,2,4,0,-1
67.0,2.0,16.0,0.0,144.29426193237305
71.0,5.0,8.0,0.0,33.347129821777344
69.0,2.0,4.0,0.0,170.11308670043945
74.0,5.0,8.0,0.0,35.6748104095459
70,2,32,0,-1
72.0,2.0,4.0,0.0,96.70877456665039
78.0,5.0,8.0,0.0,18.453121185302734
73.0,2.0,8.0,0.0,111.03415489196777
79.0,5.0,4.0,0.0,53.052425384521484
75.0,2.0,32.0,0.0,138.66925239562988
81.0,5.0,4.0,0.0,46.79727554321289
76.0,2.0,32.0,0.0,160.3248119354248
82.0,5.0,32.0,0.0,32.25898742675781
77,2,8,0,-1
83.0,5.0,8.0,0.0,14.082670211791992
80.0,2.0,16.0,0.0,129.85491752624512
86.0,5.0,16.0,0.0,29.364824295043945
84.0,2.0,16.0,0.0,69.34595108032227
89.0,5.0,8.0,0.0,42.26493835449219
85.0,2.0,16.0,0.0,95.7174301147461
90.0,5.0,8.0,0.0,66.79701805114746
