query_id,model_id,bs,seq_len,latency
1.0,5.0,32.0,0.0,54.55827713012695
3.0,5.0,16.0,0.0,35.17913818359375
2.0,4.0,32.0,0.0,64.94665145874023
4.0,5.0,8.0,0.0,17.74144172668457
5.0,4.0,4.0,0.0,15.433788299560547
6.0,5.0,8.0,0.0,16.489267349243164
7.0,5.0,4.0,0.0,3.896474838256836
8.0,5.0,4.0,0.0,5.406379699707031
9.0,5.0,8.0,0.0,6.095409393310547
10.0,5.0,16.0,0.0,10.200977325439453
11.0,4.0,4.0,0.0,4.434823989868164
12.0,4.0,32.0,0.0,15.16866683959961
13.0,4.0,16.0,0.0,8.82411003112793
14.0,4.0,4.0,0.0,4.8274993896484375
15.0,4.0,8.0,0.0,5.249500274658203
16.0,4.0,8.0,0.0,5.996227264404297
17.0,5.0,16.0,0.0,10.090351104736328
19.0,4.0,8.0,0.0,11.242389678955078
18.0,5.0,16.0,0.0,22.797346115112305
20.0,5.0,32.0,0.0,22.131681442260742
21.0,5.0,16.0,0.0,20.827293395996094
22.0,4.0,8.0,0.0,11.073589324951172
23.0,4.0,16.0,0.0,17.583847045898438
24.0,5.0,8.0,0.0,6.687641143798828
25.0,4.0,4.0,0.0,9.463310241699219
26.0,5.0,16.0,0.0,9.834766387939453
27.0,4.0,32.0,0.0,15.180110931396484
28.0,5.0,16.0,0.0,9.892940521240234
29.0,4.0,4.0,0.0,3.975391387939453
30.0,5.0,16.0,0.0,10.055303573608398
31.0,4.0,16.0,0.0,8.976221084594727
32.0,4.0,16.0,0.0,12.17508316040039
33.0,4.0,4.0,0.0,3.633737564086914
34.0,4.0,8.0,0.0,5.45191764831543
35.0,4.0,4.0,0.0,5.883455276489258
36.0,4.0,8.0,0.0,5.878925323486328
37.0,4.0,16.0,0.0,11.801958084106445
38.0,4.0,4.0,0.0,5.278587341308594
39.0,4.0,8.0,0.0,10.008096694946289
40.0,4.0,4.0,0.0,3.417491912841797
41.0,4.0,4.0,0.0,3.629446029663086
42.0,5.0,4.0,0.0,6.182432174682617
43.0,5.0,8.0,0.0,10.291576385498047
44.0,4.0,4.0,0.0,4.792690277099609
45.0,4.0,32.0,0.0,15.194177627563477
46.0,4.0,32.0,0.0,15.46168327331543
47.0,4.0,8.0,0.0,14.989852905273438
48.0,4.0,8.0,0.0,5.326509475708008
49.0,4.0,16.0,0.0,8.76760482788086
50.0,4.0,32.0,0.0,15.422582626342773
51.0,4.0,32.0,0.0,15.92254638671875
52.0,5.0,32.0,0.0,33.477783203125
53.0,5.0,4.0,0.0,16.94321632385254
54.0,5.0,16.0,0.0,23.739337921142578
55.0,4.0,8.0,0.0,5.711078643798828
56.0,4.0,32.0,0.0,15.35177230834961
57.0,5.0,16.0,0.0,9.765863418579102
58.0,4.0,32.0,0.0,15.709638595581055
59.0,5.0,4.0,0.0,4.607915878295898
60.0,4.0,16.0,0.0,7.905006408691406
61.0,4.0,32.0,0.0,14.124393463134766
62.0,5.0,32.0,0.0,24.34229850769043
63.0,4.0,32.0,0.0,14.64700698852539
64.0,4.0,4.0,0.0,9.855985641479492
65.0,5.0,32.0,0.0,22.732019424438477
66.0,5.0,4.0,0.0,6.694793701171875
67.0,4.0,16.0,0.0,8.188247680664062
68.0,5.0,32.0,0.0,16.700267791748047
69.0,4.0,4.0,0.0,22.544384002685547
70.0,4.0,32.0,0.0,20.842790603637695
71.0,5.0,8.0,0.0,8.39996337890625
72.0,4.0,4.0,0.0,4.168033599853516
73.0,4.0,8.0,0.0,5.873441696166992
74.0,5.0,8.0,0.0,7.008552551269531
75.0,4.0,32.0,0.0,14.203786849975586
76.0,4.0,32.0,0.0,15.280008316040039
77.0,4.0,8.0,0.0,19.94919776916504
78.0,5.0,8.0,0.0,5.414247512817383
79.0,5.0,4.0,0.0,6.882905960083008
80.0,4.0,16.0,0.0,8.188962936401367
81.0,5.0,4.0,0.0,9.404659271240234
82.0,5.0,32.0,0.0,15.897989273071289
83.0,5.0,8.0,0.0,5.279302597045898
84.0,4.0,16.0,0.0,8.176088333129883
85.0,4.0,16.0,0.0,8.048772811889648
86.0,5.0,16.0,0.0,14.351606369018555
87.0,4.0,4.0,0.0,10.413408279418945
88.0,4.0,8.0,0.0,6.957530975341797
89.0,5.0,8.0,0.0,6.099939346313477
90.0,5.0,8.0,0.0,6.473779678344727
91.0,4.0,4.0,0.0,14.402627944946289
92.0,5.0,16.0,0.0,16.503095626831055
93.0,5.0,4.0,0.0,11.794567108154297
94.0,5.0,16.0,0.0,10.411500930786133
95.0,4.0,32.0,0.0,14.708280563354492
96.0,5.0,16.0,0.0,12.047767639160156
97.0,4.0,32.0,0.0,24.910449981689453
98.0,4.0,4.0,0.0,3.8607120513916016
