query_id,model_id,bs,seq_len,latency
1.0,2.0,32.0,0.0,58.710336685180664
2.0,1.0,32.0,0.0,51.079750061035156
3.0,2.0,16.0,0.0,70.37544250488281
4.0,2.0,8.0,0.0,44.58355903625488
5.0,5.0,8.0,0.0,44.80385780334473
6.0,1.0,16.0,0.0,60.621023178100586
7.0,5.0,8.0,0.0,46.74530029296875
8.0,2.0,4.0,0.0,38.3908748626709
9.0,5.0,4.0,0.0,39.899587631225586
10.0,2.0,8.0,0.0,62.01171875
12.0,1.0,4.0,0.0,59.27419662475586
11.0,5.0,16.0,0.0,81.81333541870117
13.0,1.0,32.0,0.0,52.28781700134277
14.0,5.0,4.0,0.0,30.226945877075195
15.0,5.0,16.0,0.0,9.368181228637695
16.0,1.0,4.0,0.0,17.33565330505371
17.0,1.0,8.0,0.0,20.154953002929688
18.0,1.0,8.0,0.0,18.247127532958984
19.0,5.0,4.0,0.0,7.0400238037109375
20.0,2.0,32.0,0.0,29.017210006713867
21.0,1.0,16.0,0.0,25.086641311645508
22.0,5.0,16.0,0.0,26.938199996948242
24.0,2.0,32.0,0.0,51.58853530883789
23.0,5.0,16.0,0.0,65.77253341674805
25.0,2.0,16.0,0.0,87.61119842529297
26.0,1.0,8.0,0.0,91.16959571838379
27.0,1.0,16.0,0.0,103.3620834350586
28.0,2.0,8.0,0.0,116.14131927490234
30.0,5.0,32.0,0.0,81.07495307922363
31.0,5.0,8.0,0.0,35.18390655517578
29,1,4,0,-1
32.0,1.0,32.0,0.0,37.25099563598633
33.0,5.0,32.0,0.0,15.677690505981445
34.0,5.0,16.0,0.0,17.409324645996094
35.0,1.0,4.0,0.0,20.13421058654785
36.0,2.0,16.0,0.0,47.47152328491211
37.0,1.0,16.0,0.0,51.106929779052734
38.0,1.0,16.0,0.0,62.09611892700195
39.0,1.0,4.0,0.0,54.40831184387207
40.0,1.0,8.0,0.0,62.688589096069336
41.0,1.0,4.0,0.0,48.70009422302246
42.0,1.0,8.0,0.0,31.0976505279541
43.0,5.0,4.0,0.0,31.412601470947266
44.0,2.0,4.0,0.0,34.43312644958496
45.0,1.0,8.0,0.0,49.04294013977051
46.0,1.0,32.0,0.0,47.74618148803711
47.0,1.0,4.0,0.0,39.125680923461914
48.0,5.0,32.0,0.0,28.413772583007812
50.0,1.0,16.0,0.0,41.667938232421875
51.0,2.0,4.0,0.0,64.93210792541504
49.0,5.0,16.0,0.0,80.95049858093262
52.0,5.0,4.0,0.0,65.39773941040039
53.0,5.0,8.0,0.0,57.52730369567871
54.0,2.0,32.0,0.0,35.622596740722656
55.0,5.0,8.0,0.0,33.85162353515625
56.0,1.0,8.0,0.0,47.48129844665527
57.0,1.0,16.0,0.0,32.372236251831055
58.0,1.0,32.0,0.0,40.64822196960449
59.0,5.0,32.0,0.0,37.407875061035156
60.0,5.0,16.0,0.0,41.957855224609375
62.0,1.0,4.0,0.0,40.282487869262695
61.0,5.0,16.0,0.0,57.874441146850586
63.0,2.0,16.0,0.0,73.8077163696289
64.0,5.0,16.0,0.0,55.257558822631836
65.0,1.0,32.0,0.0,70.3883171081543
66.0,2.0,16.0,0.0,99.45225715637207
67.0,5.0,8.0,0.0,88.49620819091797
71.0,1.0,32.0,0.0,29.226064682006836
68.0,5.0,32.0,0.0,62.38865852355957
69.0,5.0,8.0,0.0,59.82470512390137
70.0,5.0,8.0,0.0,62.94536590576172
72.0,5.0,32.0,0.0,50.035953521728516
73.0,1.0,32.0,0.0,25.366544723510742
74.0,5.0,8.0,0.0,20.10369300842285
75.0,2.0,8.0,0.0,31.48174285888672
76.0,2.0,32.0,0.0,62.097787857055664
77.0,5.0,4.0,0.0,54.18062210083008
78.0,1.0,16.0,0.0,55.21392822265625
79.0,2.0,32.0,0.0,76.93862915039062
81.0,5.0,4.0,0.0,62.73484230041504
80.0,1.0,4.0,0.0,96.94099426269531
82.0,2.0,32.0,0.0,108.32953453063965
83.0,2.0,4.0,0.0,80.23834228515625
84.0,5.0,4.0,0.0,83.17899703979492
85.0,1.0,8.0,0.0,74.04947280883789
86.0,2.0,8.0,0.0,110.66031455993652
87.0,1.0,32.0,0.0,121.43993377685547
88.0,5.0,16.0,0.0,116.55831336975098
91.0,1.0,16.0,0.0,96.89760208129883
93.0,5.0,16.0,0.0,62.860727310180664
89,2,4,0,-1
92.0,1.0,8.0,0.0,80.657958984375
95.0,5.0,32.0,0.0,32.649993896484375
90,2,16,0,-1
94.0,2.0,4.0,0.0,116.58883094787598
96.0,5.0,32.0,0.0,15.487909317016602
97.0,5.0,8.0,0.0,4.94384765625
98.0,1.0,16.0,0.0,21.718263626098633
99.0,1.0,16.0,0.0,28.408050537109375
100.0,2.0,16.0,0.0,52.75392532348633
101.0,5.0,4.0,0.0,48.563480377197266
102.0,1.0,8.0,0.0,62.592267990112305
103.0,5.0,32.0,0.0,71.13480567932129
105.0,2.0,4.0,0.0,101.19509696960449
106.0,2.0,4.0,0.0,106.43720626831055
104,5,4,0,-1
109.0,5.0,32.0,0.0,96.35782241821289
107,2,16,0,-1
111.0,1.0,32.0,0.0,31.726837158203125
108,2,4,0,-1
110.0,2.0,16.0,0.0,104.90179061889648
113.0,5.0,8.0,0.0,60.869693756103516
112.0,2.0,16.0,0.0,96.69709205627441
114.0,1.0,32.0,0.0,97.2909927368164
