query_id,model_id,bs,seq_len,latency
1.0,5.0,32.0,0.0,67.17252731323242
2.0,2.0,32.0,0.0,71.5322494506836
3.0,5.0,16.0,0.0,77.5599479675293
5.0,6.0,8.0,8.0,39.71600532531738
4.0,5.0,8.0,0.0,55.81331253051758
6.0,6.0,8.0,32.0,57.24954605102539
7.0,2.0,16.0,0.0,62.22701072692871
8.0,5.0,16.0,0.0,48.11739921569824
10.0,6.0,16.0,8.0,37.47105598449707
9.0,5.0,8.0,0.0,52.11448669433594
11.0,6.0,4.0,64.0,47.68228530883789
12.0,6.0,4.0,64.0,13.394832611083984
13.0,5.0,16.0,0.0,11.797428131103516
14.0,6.0,8.0,16.0,19.194602966308594
15.0,2.0,8.0,0.0,27.566909790039062
16.0,6.0,4.0,32.0,13.463258743286133
17.0,6.0,32.0,8.0,14.393091201782227
18.0,5.0,4.0,0.0,4.282236099243164
19.0,6.0,8.0,32.0,13.410329818725586
20.0,5.0,32.0,0.0,25.00748634338379
21.0,5.0,16.0,0.0,33.66971015930176
22.0,2.0,8.0,0.0,51.41139030456543
23.0,2.0,16.0,0.0,83.29963684082031
24.0,5.0,8.0,0.0,70.56736946105957
25.0,2.0,4.0,0.0,103.88469696044922
26.0,6.0,32.0,32.0,67.34204292297363
27.0,6.0,8.0,64.0,30.29775619506836
28.0,6.0,32.0,32.0,14.455556869506836
29.0,2.0,4.0,0.0,51.30791664123535
30.0,5.0,16.0,0.0,53.94768714904785
31.0,2.0,16.0,0.0,71.06924057006836
32.0,2.0,16.0,0.0,96.9388484954834
33.0,2.0,4.0,0.0,109.97176170349121
37.0,6.0,4.0,64.0,48.5844612121582
34,2,8,0,-1
35,2,4,0,-1
36.0,2.0,8.0,0.0,86.22336387634277
38.0,2.0,4.0,0.0,79.7271728515625
39.0,2.0,8.0,0.0,100.38113594055176
42.0,6.0,32.0,8.0,47.66035079956055
43.0,5.0,4.0,0.0,52.78182029724121
40,2,32,0,-1
41.0,2.0,4.0,0.0,113.66891860961914
44.0,6.0,32.0,16.0,99.2889404296875
47.0,5.0,32.0,0.0,94.4969654083252
53.0,5.0,16.0,0.0,27.846336364746094
45,2,4,0,-1
46,6,32,16,-1
51,2,32,0,-1
48,6,8,8,-1
49,6,8,32,-1
50,6,32,16,-1
52.0,6.0,16.0,32.0,87.80741691589355
54.0,2.0,4.0,0.0,35.96210479736328
55.0,5.0,16.0,0.0,30.016422271728516
56.0,6.0,16.0,16.0,16.66092872619629
57.0,2.0,32.0,0.0,55.37676811218262
58.0,5.0,16.0,0.0,37.35709190368652
59.0,6.0,8.0,32.0,31.479835510253906
60.0,5.0,4.0,0.0,6.197690963745117
61.0,2.0,16.0,0.0,40.17806053161621
62.0,2.0,32.0,0.0,53.43961715698242
63.0,5.0,32.0,0.0,66.97654724121094
64.0,2.0,32.0,0.0,82.87239074707031
65.0,6.0,8.0,64.0,86.9288444519043
67.0,5.0,32.0,0.0,75.1945972442627
68.0,6.0,4.0,8.0,74.3417739868164
69.0,5.0,32.0,0.0,74.5248794555664
66,2,8,0,-1
70.0,2.0,32.0,0.0,104.01606559753418
72.0,6.0,4.0,64.0,68.68529319763184
73.0,6.0,4.0,16.0,79.99229431152344
71,2,4,0,-1
74.0,2.0,4.0,0.0,108.28828811645508
75.0,6.0,4.0,16.0,96.99201583862305
77.0,5.0,8.0,0.0,67.72708892822266
79.0,6.0,16.0,64.0,62.99448013305664
76,2,8,0,-1
78.0,2.0,32.0,0.0,116.08028411865234
81.0,6.0,16.0,8.0,76.11203193664551
84.0,6.0,16.0,8.0,67.53659248352051
80,2,8,0,-1
82.0,2.0,4.0,0.0,114.94684219360352
85.0,6.0,32.0,64.0,118.06201934814453
86.0,6.0,8.0,16.0,67.04878807067871
87.0,5.0,4.0,0.0,61.54823303222656
83,2,16,0,-1
88.0,2.0,16.0,0.0,77.25930213928223
89.0,5.0,4.0,0.0,77.69966125488281
90.0,5.0,4.0,0.0,50.12154579162598
91.0,2.0,8.0,0.0,58.76922607421875
92.0,6.0,32.0,16.0,66.47086143493652
93.0,5.0,8.0,0.0,64.35894966125488
94.0,2.0,4.0,0.0,94.83885765075684
97.0,6.0,32.0,32.0,80.01971244812012
99.0,6.0,4.0,32.0,43.291568756103516
95,5,16,0,-1
101.0,2.0,32.0,0.0,39.984941482543945
96,5,4,0,-1
102.0,6.0,4.0,16.0,34.35516357421875
104.0,2.0,16.0,0.0,66.56503677368164
98,5,4,0,-1
103.0,6.0,32.0,8.0,88.03868293762207
100,5,8,0,-1
105.0,5.0,8.0,0.0,78.9785385131836
106.0,5.0,8.0,0.0,33.23698043823242
109.0,2.0,4.0,0.0,44.930219650268555
107.0,5.0,8.0,0.0,74.58019256591797
110.0,6.0,8.0,8.0,29.55007553100586
108.0,5.0,4.0,0.0,74.79619979858398
112.0,6.0,8.0,16.0,28.48529815673828
113.0,2.0,32.0,0.0,66.69449806213379
111.0,5.0,8.0,0.0,84.51700210571289
115.0,2.0,32.0,0.0,86.63654327392578
114,5,8,0,-1
116.0,2.0,32.0,0.0,34.6829891204834
117.0,6.0,16.0,64.0,33.63466262817383
118.0,5.0,8.0,0.0,27.46891975402832
119.0,6.0,8.0,8.0,19.415855407714844
120.0,5.0,16.0,0.0,14.779329299926758
121.0,5.0,8.0,0.0,5.496501922607422
122.0,5.0,8.0,0.0,11.0626220703125
123.0,5.0,32.0,0.0,15.587091445922852
124.0,2.0,4.0,0.0,35.1254940032959
125.0,2.0,4.0,0.0,36.67712211608887
126.0,5.0,32.0,0.0,46.89526557922363
127.0,5.0,8.0,0.0,51.485300064086914
128.0,6.0,16.0,64.0,26.11231803894043
129.0,6.0,4.0,8.0,25.442838668823242
130.0,6.0,8.0,32.0,22.922039031982422
131.0,6.0,32.0,64.0,25.667905807495117
132.0,5.0,8.0,0.0,7.515668869018555
133.0,2.0,4.0,0.0,37.76907920837402
134.0,6.0,16.0,32.0,28.11598777770996
135.0,2.0,16.0,0.0,60.08172035217285
136.0,5.0,32.0,0.0,62.09397315979004
138.0,2.0,16.0,0.0,63.019514083862305
137.0,5.0,8.0,0.0,69.77081298828125
139.0,2.0,32.0,0.0,95.12567520141602
140.0,5.0,4.0,0.0,44.75903511047363
141.0,6.0,16.0,64.0,54.16989326477051
142.0,2.0,32.0,0.0,67.27838516235352
143.0,5.0,32.0,0.0,63.85183334350586
144.0,2.0,8.0,0.0,101.49312019348145
145.0,6.0,16.0,16.0,112.94221878051758
147.0,2.0,32.0,0.0,109.77482795715332
148.0,6.0,16.0,8.0,79.1463851928711
146,5,32,0,-1
149.0,6.0,16.0,16.0,70.82200050354004
150.0,5.0,4.0,0.0,50.4610538482666
151.0,6.0,8.0,8.0,32.48286247253418
152.0,5.0,8.0,0.0,7.194757461547852
153.0,5.0,4.0,0.0,6.085395812988281
154.0,2.0,4.0,0.0,37.352561950683594
155.0,5.0,4.0,0.0,4.442691802978516
156.0,6.0,8.0,16.0,11.904716491699219
157.0,2.0,32.0,0.0,33.47420692443848
158.0,6.0,4.0,16.0,24.799585342407227
159.0,5.0,32.0,0.0,32.98139572143555
160.0,2.0,32.0,0.0,40.131568908691406
161.0,2.0,8.0,0.0,34.29722785949707
162.0,6.0,32.0,64.0,44.31867599487305
163.0,6.0,32.0,32.0,12.933015823364258
164.0,6.0,16.0,8.0,13.813495635986328
165.0,2.0,4.0,0.0,50.14824867248535
166.0,5.0,4.0,0.0,47.34015464782715
167.0,2.0,4.0,0.0,74.16129112243652
168.0,6.0,8.0,8.0,52.2456169128418
169.0,2.0,4.0,0.0,44.732093811035156
170.0,6.0,16.0,8.0,35.125017166137695
172.0,5.0,16.0,0.0,37.92858123779297
171.0,6.0,8.0,16.0,58.397769927978516
173.0,6.0,8.0,8.0,62.32953071594238
174.0,2.0,32.0,0.0,38.54727745056152
175.0,5.0,16.0,0.0,38.25712203979492
176.0,2.0,4.0,0.0,66.88117980957031
177.0,2.0,16.0,0.0,80.96575736999512
178.0,2.0,8.0,0.0,103.79409790039062
180.0,6.0,8.0,32.0,72.92532920837402
181.0,5.0,4.0,0.0,74.29718971252441
184.0,5.0,32.0,0.0,35.76469421386719
185.0,6.0,32.0,32.0,41.46885871887207
179,2,16,0,-1
182,2,32,0,-1
183.0,2.0,8.0,0.0,106.21857643127441
186.0,6.0,8.0,64.0,34.259796142578125
188.0,5.0,16.0,0.0,24.517536163330078
187.0,6.0,4.0,64.0,46.05841636657715
189.0,5.0,16.0,0.0,44.74353790283203
191.0,2.0,8.0,0.0,71.99573516845703
190.0,5.0,8.0,0.0,79.38814163208008
192.0,6.0,32.0,16.0,82.24225044250488
193.0,5.0,8.0,0.0,75.78873634338379
197.0,2.0,32.0,0.0,53.59387397766113
198.0,6.0,8.0,32.0,30.352354049682617
199.0,2.0,16.0,0.0,50.85897445678711
194,5,8,0,-1
200.0,6.0,32.0,64.0,35.51006317138672
201.0,2.0,8.0,0.0,56.06365203857422
195,5,4,0,-1
202.0,6.0,16.0,8.0,45.531511306762695
203.0,2.0,4.0,0.0,56.65445327758789
196,5,16,0,-1
204.0,2.0,32.0,0.0,89.52569961547852
205.0,5.0,16.0,0.0,91.83335304260254
207.0,6.0,4.0,32.0,99.3955135345459
206,5,8,0,-1
209,6,8,8,-1
211.0,6.0,8.0,8.0,19.27351951599121
208,5,4,0,-1
210.0,5.0,16.0,0.0,67.54875183105469
212.0,5.0,32.0,0.0,40.30632972717285
213.0,6.0,16.0,32.0,12.646913528442383
214.0,5.0,8.0,0.0,6.3629150390625
215.0,2.0,4.0,0.0,38.591623306274414
216.0,5.0,32.0,0.0,52.11210250854492
217.0,2.0,16.0,0.0,85.91747283935547
218.0,5.0,32.0,0.0,85.87765693664551
219.0,2.0,16.0,0.0,102.74600982666016
222.0,2.0,8.0,0.0,93.20545196533203
220,5,4,0,-1
223.0,2.0,32.0,0.0,85.78348159790039
225.0,6.0,32.0,8.0,58.66813659667969
221,5,32,0,-1
226.0,5.0,4.0,0.0,24.451255798339844
224,2,4,0,-1
227.0,5.0,16.0,0.0,32.18865394592285
228.0,6.0,8.0,32.0,11.698722839355469
229.0,2.0,32.0,0.0,39.12830352783203
230.0,6.0,8.0,32.0,51.50580406188965
231.0,5.0,32.0,0.0,58.37059020996094
232.0,2.0,8.0,0.0,69.44966316223145
233.0,6.0,8.0,16.0,69.28181648254395
234.0,5.0,32.0,0.0,76.69734954833984
237.0,2.0,4.0,0.0,64.28813934326172
236.0,6.0,8.0,64.0,81.13932609558105
239.0,2.0,8.0,0.0,93.3694839477539
235,5,32,0,-1
241.0,6.0,16.0,32.0,77.03351974487305
240,2,4,0,-1
238,5,4,0,-1
242.0,5.0,32.0,0.0,52.96778678894043
243.0,6.0,16.0,64.0,51.96428298950195
244.0,2.0,4.0,0.0,72.72219657897949
245.0,2.0,16.0,0.0,96.5266227722168
248.0,6.0,32.0,16.0,99.98583793640137
249.0,5.0,4.0,0.0,100.90351104736328
253.0,5.0,16.0,0.0,35.17937660217285
246,2,4,0,-1
250,6,16,32,-1
251.0,6.0,16.0,32.0,78.67431640625
247,2,32,0,-1
252.0,2.0,8.0,0.0,104.52127456665039
255.0,6.0,16.0,32.0,62.65115737915039
256.0,6.0,16.0,64.0,47.91092872619629
254,2,16,0,-1
257.0,5.0,8.0,0.0,13.50712776184082
258.0,2.0,4.0,0.0,33.32090377807617
259.0,2.0,32.0,0.0,70.3892707824707
260.0,2.0,32.0,0.0,91.2625789642334
261.0,5.0,4.0,0.0,45.719146728515625
262.0,2.0,4.0,0.0,66.99728965759277
264.0,5.0,32.0,0.0,69.64874267578125
265.0,6.0,32.0,8.0,63.242435455322266
263,2,8,0,-1
266.0,2.0,8.0,0.0,81.01797103881836
267.0,2.0,16.0,0.0,113.22355270385742
268.0,5.0,32.0,0.0,91.86196327209473
270.0,6.0,8.0,32.0,80.24787902832031
271.0,5.0,32.0,0.0,80.17802238464355
272.0,6.0,16.0,16.0,77.0566463470459
269,2,16,0,-1
273.0,2.0,4.0,0.0,95.36027908325195
276.0,6.0,32.0,8.0,70.8012580871582
274,2,8,0,-1
275.0,2.0,4.0,0.0,116.11747741699219
277,2,16,0,-1
278,2,16,0,-1
279.0,2.0,16.0,0.0,51.41115188598633
280.0,2.0,8.0,0.0,63.7049674987793
281.0,2.0,16.0,0.0,75.76823234558105
283.0,5.0,8.0,0.0,56.221723556518555
282.0,2.0,32.0,0.0,98.30832481384277
285.0,5.0,4.0,0.0,58.54082107543945
284.0,2.0,16.0,0.0,107.41353034973145
286.0,2.0,8.0,0.0,116.8053150177002
287.0,2.0,4.0,0.0,108.41989517211914
289.0,6.0,8.0,16.0,82.88717269897461
290.0,6.0,8.0,64.0,65.10758399963379
291.0,5.0,8.0,0.0,66.83135032653809
288,2,32,0,-1
292.0,6.0,4.0,8.0,61.347246170043945
294.0,5.0,8.0,0.0,33.77223014831543
293.0,6.0,32.0,64.0,64.50581550598145
297.0,2.0,8.0,0.0,55.95684051513672
298.0,5.0,32.0,0.0,52.83236503601074
299.0,2.0,16.0,0.0,54.92138862609863
295,6,32,64,-1
301.0,5.0,8.0,0.0,27.481555938720703
296,6,4,32,-1
300.0,6.0,8.0,32.0,67.03686714172363
302.0,5.0,8.0,0.0,21.955251693725586
303.0,5.0,4.0,0.0,18.836498260498047
304.0,6.0,16.0,8.0,32.98163414001465
