query_id,model_id,bs,seq_len,latency
1.0,6.0,32.0,8.0,55.171966552734375
2.0,5.0,32.0,0.0,51.88179016113281
3.0,6.0,16.0,64.0,15.37466049194336
4.0,5.0,8.0,0.0,7.882118225097656
5.0,2.0,4.0,0.0,37.89258003234863
6.0,5.0,8.0,0.0,38.408517837524414
7.0,5.0,4.0,0.0,6.220102310180664
8.0,5.0,4.0,0.0,9.082317352294922
9.0,5.0,8.0,0.0,7.506132125854492
10.0,6.0,16.0,8.0,12.386322021484375
11.0,1.0,32.0,0.0,24.858713150024414
12.0,1.0,16.0,0.0,47.84870147705078
13.0,2.0,4.0,0.0,55.931806564331055
14.0,2.0,8.0,0.0,63.089609146118164
15.0,2.0,8.0,0.0,39.53433036804199
16.0,6.0,16.0,64.0,28.581857681274414
17.0,1.0,16.0,0.0,44.225215911865234
18.0,1.0,8.0,0.0,64.91374969482422
19.0,5.0,32.0,0.0,71.31552696228027
20.0,5.0,16.0,0.0,70.11628150939941
21.0,2.0,8.0,0.0,77.7440071105957
22.0,1.0,16.0,0.0,90.69514274597168
23.0,6.0,8.0,16.0,83.8778018951416
24.0,1.0,32.0,0.0,104.43735122680664
25.0,5.0,8.0,0.0,73.29559326171875
26.0,2.0,32.0,0.0,90.5005931854248
27.0,5.0,16.0,0.0,56.183815002441406
28.0,1.0,4.0,0.0,66.89715385437012
29.0,6.0,16.0,16.0,70.59931755065918
30.0,2.0,16.0,0.0,77.89206504821777
31.0,1.0,16.0,0.0,94.2542552947998
32.0,2.0,4.0,0.0,97.3050594329834
33.0,1.0,8.0,0.0,109.09461975097656
38.0,2.0,8.0,0.0,65.22321701049805
34,1,4,0,-1
35.0,1.0,8.0,0.0,95.87740898132324
36.0,1.0,16.0,0.0,109.78031158447266
41.0,5.0,4.0,0.0,8.621454238891602
37,1,4,0,-1
39.0,1.0,4.0,0.0,57.54232406616211
42.0,5.0,8.0,0.0,31.54444694519043
40.0,1.0,4.0,0.0,68.5114860534668
43.0,1.0,4.0,0.0,59.221506118774414
45.0,2.0,32.0,0.0,45.38726806640625
44.0,1.0,32.0,0.0,88.47260475158691
46.0,2.0,8.0,0.0,82.43370056152344
47.0,1.0,8.0,0.0,80.94215393066406
48.0,2.0,16.0,0.0,83.97960662841797
49.0,1.0,32.0,0.0,92.75555610656738
50.0,2.0,32.0,0.0,101.01866722106934
51.0,5.0,32.0,0.0,116.03713035583496
53.0,6.0,16.0,8.0,103.36828231811523
56.0,2.0,32.0,0.0,79.54931259155273
57.0,6.0,4.0,8.0,66.03026390075684
52,5,4,0,-1
58.0,2.0,8.0,0.0,57.8153133392334
60.0,6.0,32.0,8.0,39.45732116699219
54,5,32,0,-1
59.0,2.0,32.0,0.0,76.13325119018555
61.0,6.0,32.0,8.0,57.22355842590332
55,5,16,0,-1
62.0,2.0,16.0,0.0,45.920372009277344
63.0,2.0,32.0,0.0,58.939456939697266
64.0,1.0,32.0,0.0,63.41743469238281
65.0,5.0,32.0,0.0,35.62140464782715
66.0,1.0,32.0,0.0,47.75357246398926
67.0,2.0,4.0,0.0,41.09907150268555
68.0,2.0,32.0,0.0,55.763959884643555
69.0,6.0,8.0,8.0,15.030622482299805
70.0,1.0,4.0,0.0,24.716854095458984
71.0,2.0,8.0,0.0,39.40701484680176
72.0,5.0,8.0,0.0,41.91422462463379
73.0,1.0,32.0,0.0,69.09680366516113
74.0,1.0,32.0,0.0,74.89991188049316
76.0,5.0,8.0,0.0,39.54362869262695
75.0,1.0,8.0,0.0,100.42572021484375
77.0,5.0,4.0,0.0,68.8173770904541
78.0,1.0,16.0,0.0,51.224708557128906
79.0,5.0,4.0,0.0,52.88290977478027
80.0,6.0,32.0,64.0,16.11185073852539
81.0,5.0,8.0,0.0,7.7362060546875
82.0,2.0,16.0,0.0,40.94052314758301
83.0,1.0,16.0,0.0,57.706356048583984
84.0,5.0,16.0,0.0,62.80064582824707
85.0,1.0,4.0,0.0,78.15957069396973
87.0,5.0,8.0,0.0,68.32528114318848
86.0,1.0,8.0,0.0,96.7249870300293
88.0,5.0,8.0,0.0,85.79564094543457
92.0,6.0,16.0,8.0,69.36144828796387
95.0,2.0,32.0,0.0,90.12556076049805
97.0,2.0,4.0,0.0,101.68671607971191
89,1,4,0,-1
90,5,16,0,-1
93,6,32,64,-1
98.0,6.0,32.0,32.0,86.99560165405273
101.0,2.0,16.0,0.0,58.58254432678223
94,1,8,0,-1
91,5,4,0,-1
105.0,2.0,4.0,0.0,49.67045783996582
96,1,4,0,-1
99,6,8,64,-1
103.0,6.0,8.0,8.0,102.33926773071289
106.0,2.0,16.0,0.0,76.53546333312988
100,1,16,0,-1
107.0,2.0,32.0,0.0,97.98026084899902
102,1,4,0,-1
104,6,8,8,-1
108.0,2.0,32.0,0.0,122.11227416992188
109.0,6.0,16.0,64.0,116.95408821105957
111.0,1.0,16.0,0.0,90.40093421936035
112.0,5.0,8.0,0.0,86.58790588378906
113.0,5.0,8.0,0.0,90.75236320495605
115.0,1.0,4.0,0.0,71.35295867919922
