query_id,model_id,bs,seq_len,latency
2.0,5.0,32.0,0.0,36.071062088012695
1.0,6.0,32.0,8.0,79.20408248901367
3.0,6.0,16.0,64.0,14.728546142578125
4.0,5.0,8.0,0.0,8.37850570678711
5.0,2.0,4.0,0.0,34.1038703918457
6.0,5.0,8.0,0.0,35.29071807861328
7.0,5.0,4.0,0.0,8.016586303710938
8.0,5.0,4.0,0.0,10.812759399414062
9.0,5.0,8.0,0.0,8.023738861083984
10.0,6.0,16.0,8.0,20.41149139404297
11.0,1.0,32.0,0.0,37.96648979187012
13.0,2.0,4.0,0.0,49.42059516906738
12.0,1.0,16.0,0.0,94.04468536376953
14.0,2.0,8.0,0.0,84.47527885437012
15.0,2.0,8.0,0.0,65.50741195678711
16.0,6.0,16.0,64.0,47.576904296875
17.0,1.0,16.0,0.0,67.65389442443848
19.0,5.0,32.0,0.0,66.78295135498047
21.0,2.0,8.0,0.0,69.67425346374512
18.0,1.0,8.0,0.0,135.1187229156494
20.0,5.0,16.0,0.0,118.4685230255127
23.0,6.0,8.0,16.0,89.15519714355469
26.0,2.0,32.0,0.0,66.42365455627441
25.0,5.0,8.0,0.0,87.46552467346191
22,1,16,0,-1
27.0,5.0,16.0,0.0,39.563655853271484
29.0,6.0,16.0,16.0,30.403614044189453
24,1,32,0,-1
30.0,2.0,16.0,0.0,50.095558166503906
28.0,1.0,4.0,0.0,96.46010398864746
32.0,2.0,4.0,0.0,76.30801200866699
31.0,1.0,16.0,0.0,120.31269073486328
38.0,2.0,8.0,0.0,37.355899810791016
33.0,1.0,8.0,0.0,132.249116897583
34,1,4,0,-1
35.0,1.0,8.0,0.0,86.47274971008301
36.0,1.0,16.0,0.0,110.99815368652344
41.0,5.0,4.0,0.0,10.770082473754883
37,1,4,0,-1
39.0,1.0,4.0,0.0,66.25580787658691
42.0,5.0,8.0,0.0,42.94991493225098
40.0,1.0,4.0,0.0,87.45121955871582
45.0,2.0,32.0,0.0,51.99003219604492
43.0,1.0,4.0,0.0,107.09547996520996
46.0,2.0,8.0,0.0,101.21679306030273
44.0,1.0,32.0,0.0,151.1845588684082
48.0,2.0,16.0,0.0,97.80025482177734
47.0,1.0,8.0,0.0,147.01557159423828
51.0,5.0,32.0,0.0,104.61020469665527
53.0,6.0,16.0,8.0,96.2212085723877
57.0,6.0,4.0,8.0,34.7597599029541
49,1,32,0,-1
50,2,32,0,-1
52,5,4,0,-1
56.0,2.0,32.0,0.0,95.43204307556152
54.0,5.0,32.0,0.0,133.39519500732422
58.0,2.0,8.0,0.0,78.6740779876709
60.0,6.0,32.0,8.0,63.7819766998291
55,5,16,0,-1
59.0,2.0,32.0,0.0,108.82759094238281
61.0,6.0,32.0,8.0,89.61725234985352
62.0,2.0,16.0,0.0,82.64732360839844
64.0,1.0,32.0,0.0,75.98233222961426
63.0,2.0,32.0,0.0,117.60425567626953
66.0,1.0,32.0,0.0,70.95694541931152
65.0,5.0,32.0,0.0,93.70994567871094
67.0,2.0,4.0,0.0,90.05308151245117
68.0,2.0,32.0,0.0,107.30409622192383
70.0,1.0,4.0,0.0,33.62107276916504
69.0,6.0,8.0,8.0,55.01246452331543
71.0,2.0,8.0,0.0,31.195640563964844
73.0,1.0,32.0,0.0,44.895172119140625
72.0,5.0,8.0,0.0,56.429386138916016
74.0,1.0,32.0,0.0,61.31577491760254
75.0,1.0,8.0,0.0,87.75210380554199
76.0,5.0,8.0,0.0,54.35776710510254
78.0,1.0,16.0,0.0,38.96832466125488
77.0,5.0,4.0,0.0,83.21309089660645
79.0,5.0,4.0,0.0,46.064138412475586
80.0,6.0,32.0,64.0,17.261266708374023
81.0,5.0,8.0,0.0,5.809783935546875
82.0,2.0,16.0,0.0,27.242660522460938
83.0,1.0,16.0,0.0,37.97793388366699
84.0,5.0,16.0,0.0,43.18833351135254
85.0,1.0,4.0,0.0,59.64255332946777
87.0,5.0,8.0,0.0,49.48854446411133
86.0,1.0,8.0,0.0,82.24225044250488
88.0,5.0,8.0,0.0,73.9293098449707
92.0,6.0,16.0,8.0,56.27298355102539
95.0,2.0,32.0,0.0,77.62765884399414
89.0,1.0,4.0,0.0,151.0159969329834
90.0,5.0,16.0,0.0,155.06815910339355
93.0,6.0,32.0,64.0,135.8184814453125
98.0,6.0,32.0,32.0,89.55264091491699
94,1,8,0,-1
97,2,4,0,-1
91,5,4,0,-1
101.0,2.0,16.0,0.0,57.5261116027832
99.0,6.0,8.0,64.0,129.62007522583008
96,1,4,0,-1
105.0,2.0,4.0,0.0,46.242475509643555
100.0,1.0,16.0,0.0,126.96623802185059
103.0,6.0,8.0,8.0,117.75755882263184
106.0,2.0,16.0,0.0,86.74144744873047
104.0,6.0,8.0,8.0,128.068208694458
102,1,4,0,-1
107.0,2.0,32.0,0.0,120.14126777648926
111.0,1.0,16.0,0.0,74.71942901611328
112.0,5.0,8.0,0.0,73.66442680358887
109.0,6.0,16.0,64.0,138.23676109313965
115.0,1.0,4.0,0.0,70.41668891906738
113.0,5.0,8.0,0.0,114.00628089904785
108,2,32,0,-1
110,6,8,16,-1
116.0,1.0,4.0,0.0,87.17083930969238
117.0,5.0,32.0,0.0,91.07112884521484
114.0,6.0,32.0,8.0,149.34396743774414
119.0,6.0,32.0,8.0,77.89397239685059
118,5,8,0,-1
120.0,1.0,4.0,0.0,38.39850425720215
121.0,6.0,8.0,32.0,27.899503707885742
122.0,6.0,32.0,64.0,13.020038604736328
123.0,2.0,4.0,0.0,33.8597297668457
124.0,1.0,16.0,0.0,20.843982696533203
125.0,5.0,32.0,0.0,16.231298446655273
126.0,5.0,16.0,0.0,17.3342227935791
127.0,6.0,32.0,8.0,15.178680419921875
128.0,2.0,8.0,0.0,39.02029991149902
129.0,2.0,16.0,0.0,54.51822280883789
130.0,1.0,32.0,0.0,69.16332244873047
131.0,6.0,4.0,16.0,31.754016876220703
132.0,5.0,32.0,0.0,43.7169075012207
134.0,2.0,8.0,0.0,56.185245513916016
137.0,1.0,32.0,0.0,67.3983097076416
135.0,5.0,16.0,0.0,88.35935592651367
133.0,6.0,4.0,64.0,117.0189380645752
138.0,5.0,16.0,0.0,58.61806869506836
136,2,32,0,-1
139.0,2.0,32.0,0.0,73.41885566711426
140.0,5.0,4.0,0.0,17.308712005615234
141.0,2.0,32.0,0.0,46.78988456726074
144.0,1.0,4.0,0.0,39.6418571472168
143.0,5.0,4.0,0.0,75.44183731079102
142.0,6.0,8.0,64.0,97.81837463378906
146.0,2.0,32.0,0.0,40.29726982116699
147.0,5.0,8.0,0.0,45.168161392211914
145.0,6.0,4.0,16.0,65.84429740905762
148.0,6.0,32.0,8.0,13.134956359863281
149.0,1.0,4.0,0.0,24.82748031616211
150.0,6.0,4.0,64.0,30.336618423461914
151.0,6.0,4.0,64.0,13.153553009033203
152.0,5.0,4.0,0.0,7.961511611938477
153.0,5.0,16.0,0.0,9.198665618896484
154.0,1.0,8.0,0.0,31.118392944335938
155.0,1.0,8.0,0.0,45.067548751831055
157.0,2.0,4.0,0.0,43.669700622558594
158.0,1.0,4.0,0.0,76.7679214477539
156.0,5.0,8.0,0.0,83.65154266357422
159.0,2.0,8.0,0.0,111.1748218536377
162.0,5.0,16.0,0.0,76.94697380065918
160.0,6.0,16.0,32.0,95.71027755737305
161.0,2.0,8.0,0.0,128.9205551147461
165.0,1.0,16.0,0.0,68.95685195922852
163.0,5.0,16.0,0.0,151.04389190673828
164.0,2.0,4.0,0.0,137.89677619934082
169.0,5.0,4.0,0.0,61.90204620361328
171.0,1.0,8.0,0.0,62.67046928405762
172.0,6.0,32.0,16.0,52.63829231262207
166,2,8,0,-1
175.0,1.0,4.0,0.0,51.88298225402832
173.0,6.0,16.0,8.0,82.82876014709473
167,2,16,0,-1
176.0,6.0,16.0,64.0,67.43645668029785
168,2,8,0,-1
170,2,32,0,-1
174.0,2.0,16.0,0.0,132.0016384124756
177.0,2.0,32.0,0.0,80.95049858093262
178.0,1.0,4.0,0.0,93.85466575622559
179.0,5.0,8.0,0.0,42.20318794250488
180.0,6.0,8.0,64.0,52.11329460144043
181.0,6.0,32.0,32.0,13.374805450439453
182.0,2.0,4.0,0.0,51.66339874267578
183.0,6.0,16.0,8.0,54.772377014160156
186.0,2.0,32.0,0.0,39.9928092956543
185.0,5.0,16.0,0.0,51.25141143798828
184.0,6.0,4.0,16.0,82.65352249145508
187.0,1.0,8.0,0.0,80.39140701293945
189.0,5.0,4.0,0.0,56.90932273864746
188.0,6.0,4.0,8.0,76.5383243560791
190.0,1.0,32.0,0.0,57.67250061035156
192.0,5.0,8.0,0.0,57.227134704589844
191.0,6.0,16.0,32.0,71.91705703735352
195.0,2.0,8.0,0.0,52.98733711242676
193.0,1.0,16.0,0.0,91.97831153869629
194.0,5.0,4.0,0.0,97.62787818908691
196.0,1.0,16.0,0.0,63.75908851623535
197.0,5.0,8.0,0.0,57.72805213928223
200.0,2.0,4.0,0.0,63.08770179748535
198.0,1.0,32.0,0.0,107.84173011779785
199.0,5.0,16.0,0.0,105.64589500427246
201.0,6.0,32.0,16.0,107.49650001525879
206.0,1.0,8.0,0.0,84.83600616455078
202.0,5.0,32.0,0.0,142.03381538391113
203.0,6.0,32.0,32.0,145.07746696472168
207.0,1.0,32.0,0.0,99.19095039367676
205,5,32,0,-1
204,6,4,64,-1
208.0,1.0,4.0,0.0,114.28570747375488
209.0,1.0,32.0,0.0,106.82559013366699
210.0,1.0,4.0,0.0,111.98019981384277
211,1,16,0,-1
