query_id,model_id,bs,seq_len,latency
1.0,6.0,32.0,8.0,43.161869049072266
2.0,6.0,32.0,64.0,17.436981201171875
3.0,6.0,16.0,16.0,17.621517181396484
4.0,2.0,4.0,0.0,35.77756881713867
5.0,6.0,8.0,32.0,32.44328498840332
6.0,2.0,16.0,0.0,37.558794021606445
7.0,6.0,16.0,64.0,14.853239059448242
8.0,6.0,8.0,64.0,11.480093002319336
9.0,6.0,16.0,8.0,10.853052139282227
10.0,2.0,32.0,0.0,70.35374641418457
11.0,2.0,16.0,0.0,101.92751884460449
12.0,2.0,4.0,0.0,95.63422203063965
13.0,2.0,8.0,0.0,75.75201988220215
14.0,2.0,8.0,0.0,31.17513656616211
15.0,6.0,16.0,64.0,11.199474334716797
16.0,2.0,16.0,0.0,42.70672798156738
17.0,2.0,8.0,0.0,61.89465522766113
18.0,6.0,32.0,32.0,41.796207427978516
19.0,2.0,8.0,0.0,42.35386848449707
20.0,2.0,16.0,0.0,63.890933990478516
21.0,6.0,8.0,16.0,73.05264472961426
22.0,2.0,32.0,0.0,139.33205604553223
23.0,6.0,8.0,16.0,76.57670974731445
24.0,6.0,32.0,64.0,63.95745277404785
25.0,6.0,4.0,64.0,40.93575477600098
26.0,6.0,8.0,8.0,47.96719551086426
27.0,6.0,8.0,32.0,10.675907135009766
28.0,2.0,4.0,0.0,43.56861114501953
29.0,2.0,8.0,0.0,65.16408920288086
30.0,2.0,4.0,0.0,43.53499412536621
31.0,2.0,8.0,0.0,31.787395477294922
32.0,2.0,16.0,0.0,61.88321113586426
33.0,2.0,4.0,0.0,83.91451835632324
34.0,2.0,8.0,0.0,114.8827075958252
35.0,2.0,4.0,0.0,36.221981048583984
36.0,2.0,4.0,0.0,52.58917808532715
37.0,6.0,4.0,32.0,36.58747673034668
38.0,6.0,4.0,64.0,44.65079307556152
39.0,2.0,32.0,0.0,90.82484245300293
40.0,2.0,32.0,0.0,124.04680252075195
41.0,2.0,8.0,0.0,145.86114883422852
42.0,2.0,8.0,0.0,133.99720191955566
43.0,2.0,16.0,0.0,107.7260971069336
46.0,6.0,32.0,32.0,65.521240234375
44.0,2.0,32.0,0.0,172.17755317687988
48.0,6.0,16.0,8.0,71.97976112365723
45,2,32,0,-1
47.0,2.0,4.0,0.0,144.61231231689453
49.0,6.0,32.0,32.0,69.04816627502441
50.0,6.0,8.0,32.0,74.51725006103516
51.0,6.0,4.0,8.0,40.64774513244629
52.0,2.0,8.0,0.0,40.43245315551758
53.0,2.0,32.0,0.0,69.36144828796387
54.0,6.0,32.0,8.0,74.73564147949219
55.0,6.0,32.0,8.0,36.35072708129883
56.0,2.0,16.0,0.0,36.31949424743652
57.0,2.0,32.0,0.0,82.47971534729004
58.0,2.0,32.0,0.0,129.3489933013916
59.0,6.0,32.0,8.0,55.09638786315918
61.0,2.0,32.0,0.0,101.1209487915039
60.0,6.0,4.0,16.0,121.35767936706543
63.0,2.0,8.0,0.0,126.9071102142334
62.0,6.0,4.0,8.0,138.81444931030273
66.0,2.0,32.0,0.0,109.12132263183594
67.0,2.0,8.0,0.0,133.3925724029541
64,6,8,8,-1
69.0,2.0,8.0,0.0,81.66122436523438
65,6,32,8,-1
68.0,6.0,8.0,32.0,98.41012954711914
70.0,6.0,16.0,8.0,102.89192199707031
71.0,6.0,32.0,64.0,87.12482452392578
72.0,6.0,8.0,16.0,48.04348945617676
73.0,6.0,4.0,16.0,11.086463928222656
74.0,2.0,16.0,0.0,36.19742393493652
75.0,6.0,16.0,8.0,35.18223762512207
76.0,2.0,8.0,0.0,33.0350399017334
77.0,6.0,8.0,32.0,34.990549087524414
78.0,2.0,8.0,0.0,52.01005935668945
79.0,2.0,4.0,0.0,58.64095687866211
80.0,6.0,16.0,32.0,55.57608604431152
81.0,6.0,32.0,64.0,51.835060119628906
82.0,6.0,16.0,8.0,58.210134506225586
83.0,6.0,32.0,64.0,17.27604866027832
84.0,2.0,8.0,0.0,49.912214279174805
85.0,2.0,32.0,0.0,105.3764820098877
86.0,2.0,4.0,0.0,98.6320972442627
88.0,6.0,32.0,32.0,52.16073989868164
87.0,2.0,4.0,0.0,145.34258842468262
89.0,6.0,8.0,64.0,100.81100463867188
90.0,2.0,16.0,0.0,39.788007736206055
91.0,2.0,16.0,0.0,62.890052795410156
92.0,2.0,4.0,0.0,74.34248924255371
93.0,6.0,8.0,8.0,88.45829963684082
94.0,6.0,8.0,8.0,43.66707801818848
95.0,2.0,4.0,0.0,64.29505348205566
96.0,2.0,16.0,0.0,61.11931800842285
97.0,2.0,32.0,0.0,106.26339912414551
98.0,2.0,32.0,0.0,171.86617851257324
99.0,6.0,16.0,64.0,154.1280746459961
100.0,6.0,8.0,16.0,120.11122703552246
101.0,2.0,16.0,0.0,115.82660675048828
102.0,6.0,8.0,32.0,110.51535606384277
103.0,2.0,16.0,0.0,146.73256874084473
104.0,6.0,4.0,8.0,84.35964584350586
105.0,2.0,4.0,0.0,118.8356876373291
106.0,6.0,32.0,32.0,120.74470520019531
107.0,2.0,32.0,0.0,189.81456756591797
108.0,6.0,4.0,8.0,136.9912624359131
109.0,2.0,8.0,0.0,148.55504035949707
110.0,6.0,32.0,64.0,110.77618598937988
112.0,2.0,16.0,0.0,78.62496376037598
111.0,6.0,8.0,8.0,128.10611724853516
113.0,6.0,32.0,32.0,47.99985885620117
114.0,6.0,32.0,64.0,48.68459701538086
115.0,2.0,8.0,0.0,32.41157531738281
116.0,2.0,16.0,0.0,73.31514358520508
117.0,2.0,32.0,0.0,129.32991981506348
118.0,6.0,4.0,16.0,31.34775161743164
119.0,6.0,32.0,64.0,42.33288764953613
121.0,2.0,8.0,0.0,51.749467849731445
120.0,6.0,32.0,16.0,65.67597389221191
122.0,6.0,16.0,16.0,73.81486892700195
123.0,6.0,32.0,8.0,80.37495613098145
124.0,2.0,32.0,0.0,88.56010437011719
125.0,6.0,16.0,16.0,62.5309944152832
126.0,6.0,4.0,16.0,31.531810760498047
127.0,2.0,32.0,0.0,69.89741325378418
128.0,6.0,32.0,32.0,19.97852325439453
129.0,2.0,4.0,0.0,26.60083770751953
130.0,6.0,4.0,16.0,11.595487594604492
131.0,2.0,32.0,0.0,69.81182098388672
132.0,6.0,8.0,64.0,76.76267623901367
133.0,6.0,4.0,64.0,15.201330184936523
134.0,2.0,8.0,0.0,35.14909744262695
135.0,2.0,32.0,0.0,100.6021499633789
136.0,6.0,16.0,32.0,48.72465133666992
137.0,2.0,4.0,0.0,76.07793807983398
138.0,6.0,16.0,32.0,69.60153579711914
139.0,2.0,8.0,0.0,52.3066520690918
140.0,6.0,8.0,16.0,63.18855285644531
141.0,2.0,4.0,0.0,92.12470054626465
142.0,2.0,4.0,0.0,108.86812210083008
143.0,2.0,8.0,0.0,119.23098564147949
144.0,6.0,16.0,32.0,54.856300354003906
145.0,2.0,8.0,0.0,78.19342613220215
146.0,6.0,16.0,32.0,87.6305103302002
147.0,6.0,4.0,8.0,81.6652774810791
149.0,2.0,8.0,0.0,91.16768836975098
148.0,6.0,8.0,16.0,109.26556587219238
150.0,2.0,16.0,0.0,123.00562858581543
151.0,6.0,4.0,16.0,79.76698875427246
152.0,2.0,4.0,0.0,86.31467819213867
153.0,2.0,32.0,0.0,136.02542877197266
155.0,6.0,32.0,32.0,88.94801139831543
154.0,2.0,16.0,0.0,161.1926555633545
157.0,6.0,16.0,64.0,113.2664680480957
156,2,4,0,-1
158.0,2.0,32.0,0.0,69.81921195983887
159.0,2.0,4.0,0.0,76.53594017028809
160.0,6.0,8.0,64.0,16.16048812866211
161.0,6.0,32.0,64.0,28.122425079345703
162.0,2.0,32.0,0.0,89.34402465820312
163.0,6.0,8.0,32.0,88.5171890258789
164.0,6.0,4.0,64.0,10.90693473815918
165.0,2.0,32.0,0.0,69.97537612915039
166.0,6.0,16.0,8.0,72.1898078918457
167.0,6.0,8.0,64.0,82.99374580383301
168.0,6.0,32.0,16.0,61.85412406921387
169.0,6.0,4.0,8.0,68.2523250579834
170.0,6.0,4.0,8.0,65.34099578857422
171.0,6.0,32.0,64.0,17.146587371826172
172.0,2.0,16.0,0.0,36.2551212310791
173.0,6.0,8.0,8.0,10.627031326293945
174.0,2.0,16.0,0.0,36.371469497680664
175.0,6.0,4.0,16.0,44.28863525390625
176.0,2.0,16.0,0.0,49.60012435913086
177.0,6.0,8.0,8.0,59.916019439697266
178.0,6.0,32.0,32.0,41.3815975189209
179.0,6.0,8.0,16.0,11.280059814453125
180.0,2.0,32.0,0.0,69.80347633361816
181.0,6.0,8.0,32.0,32.451629638671875
182.0,6.0,32.0,16.0,10.74981689453125
183.0,6.0,16.0,64.0,10.984659194946289
184.0,2.0,8.0,0.0,25.287151336669922
185.0,6.0,8.0,8.0,12.287378311157227
186.0,6.0,4.0,8.0,20.403623580932617
187.0,2.0,32.0,0.0,69.81945037841797
188.0,2.0,4.0,0.0,61.228036880493164
189.0,2.0,16.0,0.0,79.28729057312012
190.0,2.0,16.0,0.0,36.141395568847656
191.0,2.0,32.0,0.0,99.78199005126953
192.0,6.0,16.0,64.0,112.27154731750488
193.0,6.0,8.0,32.0,103.21927070617676
194.0,2.0,8.0,0.0,122.00522422790527
195.0,6.0,32.0,64.0,129.9302577972412
196.0,6.0,8.0,16.0,123.39663505554199
197.0,6.0,4.0,64.0,114.13145065307617
198.0,2.0,4.0,0.0,33.814430236816406
199.0,2.0,8.0,0.0,55.47451972961426
200.0,2.0,4.0,0.0,72.87764549255371
201.0,6.0,16.0,64.0,46.50092124938965
202.0,6.0,32.0,64.0,17.121076583862305
203.0,6.0,32.0,16.0,25.79045295715332
204.0,6.0,4.0,8.0,24.408578872680664
205.0,2.0,16.0,0.0,47.94192314147949
206.0,2.0,32.0,0.0,100.01087188720703
207.0,2.0,32.0,0.0,163.71679306030273
208.0,2.0,16.0,0.0,58.64143371582031
209.0,2.0,4.0,0.0,59.35811996459961
210.0,6.0,32.0,32.0,33.310890197753906
213.0,2.0,16.0,0.0,48.84934425354004
211.0,6.0,4.0,16.0,66.80417060852051
212.0,6.0,16.0,16.0,77.08621025085449
214.0,6.0,32.0,32.0,72.79610633850098
215.0,6.0,8.0,8.0,54.0471076965332
216.0,6.0,4.0,8.0,47.380685806274414
217.0,6.0,32.0,8.0,11.026859283447266
218.0,6.0,32.0,64.0,17.032861709594727
219.0,2.0,8.0,0.0,34.71708297729492
220.0,2.0,8.0,0.0,58.8531494140625
221.0,6.0,8.0,64.0,11.045455932617188
222.0,2.0,32.0,0.0,69.5950984954834
223.0,2.0,8.0,0.0,28.290987014770508
224.0,6.0,16.0,32.0,19.27947998046875
225.0,6.0,4.0,32.0,20.320653915405273
226.0,2.0,32.0,0.0,69.92936134338379
227.0,6.0,16.0,32.0,31.05330467224121
228.0,2.0,4.0,0.0,29.395341873168945
229.0,2.0,8.0,0.0,56.844472885131836
230.0,2.0,4.0,0.0,40.425777435302734
231.0,6.0,4.0,64.0,37.734031677246094
232.0,6.0,16.0,16.0,13.703346252441406
233.0,6.0,8.0,8.0,19.510507583618164
234.0,6.0,8.0,32.0,20.009279251098633
235.0,6.0,8.0,16.0,11.180639266967773
236.0,2.0,16.0,0.0,36.22746467590332
237.0,6.0,4.0,16.0,17.45915412902832
238.0,6.0,8.0,8.0,11.281728744506836
239.0,2.0,32.0,0.0,73.77505302429199
240.0,2.0,8.0,0.0,41.32676124572754
241.0,2.0,16.0,0.0,66.67733192443848
242.0,2.0,4.0,0.0,42.95516014099121
243.0,2.0,16.0,0.0,39.5503044128418
244.0,6.0,4.0,16.0,20.19190788269043
245.0,2.0,32.0,0.0,69.72455978393555
246.0,6.0,4.0,32.0,41.66388511657715
247.0,2.0,8.0,0.0,42.0224666595459
248.0,6.0,32.0,8.0,15.968084335327148
249.0,2.0,8.0,0.0,25.617122650146484
250.0,6.0,8.0,32.0,34.98363494873047
251.0,6.0,16.0,8.0,15.018701553344727
252.0,6.0,4.0,16.0,11.101245880126953
253.0,6.0,4.0,8.0,11.424064636230469
254.0,2.0,8.0,0.0,39.545536041259766
255.0,6.0,4.0,32.0,51.40185356140137
256.0,6.0,8.0,64.0,59.85593795776367
257.0,6.0,16.0,16.0,64.97383117675781
258.0,6.0,32.0,64.0,75.5300521850586
259.0,2.0,16.0,0.0,59.40532684326172
260.0,6.0,4.0,64.0,49.28183555603027
261.0,6.0,8.0,16.0,13.171672821044922
262.0,2.0,8.0,0.0,30.908823013305664
263.0,2.0,8.0,0.0,40.19618034362793
264.0,2.0,32.0,0.0,69.68188285827637
265.0,2.0,32.0,0.0,88.91129493713379
266.0,2.0,4.0,0.0,75.11258125305176
267.0,6.0,32.0,8.0,47.47366905212402
268.0,2.0,16.0,0.0,67.05498695373535
269.0,6.0,32.0,16.0,50.443410873413086
270.0,6.0,32.0,32.0,16.718626022338867
271.0,6.0,32.0,8.0,19.984960556030273
272.0,6.0,16.0,64.0,11.185407638549805
273.0,2.0,16.0,0.0,36.18741035461426
274.0,2.0,4.0,0.0,26.441335678100586
275.0,6.0,4.0,8.0,17.38452911376953
276.0,6.0,4.0,32.0,17.71235466003418
277.0,6.0,8.0,32.0,13.197898864746094
278.0,6.0,16.0,16.0,13.573884963989258
279.0,2.0,16.0,0.0,40.39812088012695
280.0,2.0,16.0,0.0,44.00181770324707
281.0,2.0,8.0,0.0,42.08970069885254
282.0,6.0,4.0,8.0,18.050670623779297
283.0,2.0,16.0,0.0,35.74967384338379
284.0,6.0,16.0,64.0,19.962787628173828
285.0,6.0,8.0,8.0,13.459444046020508
286.0,2.0,32.0,0.0,69.58270072937012
287.0,2.0,4.0,0.0,61.24401092529297
288.0,6.0,16.0,16.0,62.84761428833008
289.0,2.0,32.0,0.0,69.86641883850098
290.0,6.0,8.0,16.0,54.9769401550293
291.0,2.0,8.0,0.0,26.594161987304688
292.0,2.0,32.0,0.0,69.75889205932617
293.0,6.0,16.0,8.0,19.073009490966797
294.0,6.0,16.0,32.0,20.02549171447754
295.0,6.0,8.0,64.0,13.802766799926758
296.0,2.0,8.0,0.0,33.40339660644531
297.0,6.0,4.0,64.0,12.925386428833008
298.0,2.0,16.0,0.0,36.25130653381348
299.0,2.0,16.0,0.0,36.209821701049805
300.0,6.0,8.0,16.0,13.364791870117188
301.0,6.0,32.0,8.0,30.230045318603516
302.0,6.0,32.0,8.0,32.587528228759766
303.0,2.0,4.0,0.0,50.07529258728027
304.0,6.0,16.0,32.0,53.71856689453125
305.0,6.0,16.0,32.0,24.141550064086914
306.0,2.0,32.0,0.0,71.9764232635498
307.0,2.0,8.0,0.0,87.04853057861328
308.0,6.0,32.0,8.0,40.6191349029541
309.0,6.0,8.0,32.0,31.531095504760742
310.0,6.0,32.0,64.0,30.959129333496094
311.0,2.0,16.0,0.0,36.209821701049805
312.0,6.0,8.0,8.0,45.130252838134766
313.0,6.0,4.0,32.0,55.36150932312012
314.0,6.0,16.0,64.0,64.30697441101074
315.0,2.0,32.0,0.0,69.57578659057617
316.0,6.0,8.0,16.0,43.80655288696289
317.0,2.0,4.0,0.0,40.09103775024414
318.0,2.0,32.0,0.0,69.78774070739746
319.0,2.0,4.0,0.0,37.38093376159668
320.0,2.0,16.0,0.0,55.79972267150879
321.0,2.0,16.0,0.0,58.33625793457031
322.0,6.0,32.0,16.0,15.172481536865234
323.0,6.0,4.0,16.0,13.401269912719727
324.0,2.0,16.0,0.0,36.46993637084961
325.0,2.0,32.0,0.0,69.8702335357666
326.0,2.0,8.0,0.0,85.87312698364258
327.0,6.0,8.0,64.0,33.463239669799805
328.0,2.0,16.0,0.0,36.20767593383789
329.0,2.0,4.0,0.0,32.29832649230957
330.0,2.0,16.0,0.0,36.15403175354004
331.0,6.0,32.0,32.0,25.650501251220703
332.0,2.0,4.0,0.0,38.92803192138672
333.0,2.0,4.0,0.0,59.864044189453125
334.0,6.0,8.0,8.0,17.670869827270508
335.0,6.0,16.0,64.0,14.36471939086914
336.0,2.0,8.0,0.0,27.58622169494629
337.0,6.0,4.0,64.0,11.23952865600586
338.0,2.0,16.0,0.0,36.2093448638916
339.0,6.0,32.0,64.0,29.892921447753906
340.0,2.0,16.0,0.0,36.13638877868652
341.0,2.0,4.0,0.0,61.76304817199707
342.0,6.0,4.0,32.0,15.013456344604492
343.0,2.0,4.0,0.0,38.33746910095215
344.0,6.0,32.0,64.0,47.405242919921875
345.0,2.0,32.0,0.0,92.53621101379395
346.0,6.0,4.0,8.0,25.281667709350586
347.0,6.0,4.0,64.0,34.6219539642334
348.0,2.0,16.0,0.0,52.79397964477539
349.0,2.0,16.0,0.0,82.32378959655762
350.0,2.0,8.0,0.0,108.4599494934082
351.0,2.0,8.0,0.0,27.875661849975586
352.0,2.0,16.0,0.0,56.30087852478027
353.0,2.0,32.0,0.0,69.74482536315918
354.0,2.0,16.0,0.0,79.66446876525879
355.0,6.0,8.0,32.0,86.44938468933105
356.0,2.0,32.0,0.0,148.79131317138672
357.0,6.0,8.0,64.0,158.70380401611328
358,2,4,0,-1
359,6,8,16,-1
360.0,2.0,16.0,0.0,118.50929260253906
361.0,2.0,4.0,0.0,143.47195625305176
362,2,32,0,-1
363.0,2.0,16.0,0.0,117.8734302520752
364.0,2.0,16.0,0.0,131.7453384399414
365.0,2.0,4.0,0.0,57.259321212768555
366.0,2.0,16.0,0.0,62.48140335083008
367.0,2.0,32.0,0.0,110.9476089477539
368.0,2.0,8.0,0.0,118.70360374450684
369.0,6.0,32.0,64.0,110.09693145751953
370.0,2.0,16.0,0.0,135.12206077575684
371.0,6.0,32.0,16.0,73.4107494354248
372.0,6.0,16.0,64.0,52.88863182067871
373.0,2.0,4.0,0.0,75.45685768127441
374.0,2.0,4.0,0.0,75.99854469299316
375.0,6.0,32.0,64.0,42.99664497375488
376.0,2.0,32.0,0.0,69.66209411621094
377.0,2.0,32.0,0.0,89.17093276977539
378.0,6.0,16.0,8.0,92.16046333312988
379.0,6.0,16.0,64.0,95.99566459655762
380.0,2.0,16.0,0.0,115.02599716186523
381.0,2.0,16.0,0.0,142.5166130065918
382.0,6.0,4.0,32.0,101.63235664367676
383.0,6.0,32.0,32.0,93.46866607666016
385.0,2.0,16.0,0.0,75.68001747131348
384.0,6.0,16.0,16.0,140.94829559326172
386.0,2.0,32.0,0.0,152.93574333190918
388,2,8,0,-1
387,6,4,64,-1
389,2,8,0,-1
390,6,16,32,-1
391.0,2.0,32.0,0.0,182.82270431518555
392.0,6.0,16.0,32.0,133.83960723876953
393.0,2.0,16.0,0.0,78.07397842407227
394.0,2.0,32.0,0.0,69.85592842102051
395.0,6.0,32.0,32.0,11.158943176269531
396.0,6.0,4.0,16.0,11.109113693237305
397.0,2.0,4.0,0.0,35.28451919555664
398.0,2.0,4.0,0.0,76.54166221618652
399.0,6.0,8.0,64.0,55.54962158203125
400.0,2.0,4.0,0.0,42.02747344970703
401.0,2.0,32.0,0.0,75.23322105407715
402.0,6.0,32.0,32.0,11.431217193603516
403.0,6.0,8.0,16.0,17.319679260253906
404.0,2.0,8.0,0.0,26.613712310791016
405.0,2.0,8.0,0.0,26.597261428833008
406.0,6.0,8.0,64.0,18.669605255126953
407.0,6.0,8.0,64.0,11.145830154418945
408.0,2.0,4.0,0.0,27.640104293823242
409.0,6.0,4.0,64.0,11.216402053833008
410.0,6.0,32.0,8.0,11.338472366333008
411.0,6.0,16.0,64.0,11.75236701965332
412.0,6.0,8.0,16.0,11.238813400268555
413.0,6.0,8.0,64.0,13.965845108032227
414.0,2.0,32.0,0.0,76.31707191467285
415.0,6.0,32.0,8.0,11.281967163085938
416.0,6.0,4.0,32.0,11.373519897460938
417.0,2.0,4.0,0.0,37.77599334716797
418.0,2.0,4.0,0.0,52.37078666687012
419.0,2.0,8.0,0.0,41.26334190368652
420.0,2.0,32.0,0.0,74.88894462585449
421.0,6.0,4.0,64.0,83.69779586791992
422.0,6.0,16.0,8.0,43.89166831970215
423.0,2.0,32.0,0.0,69.31614875793457
424.0,6.0,4.0,64.0,68.29047203063965
425.0,6.0,16.0,8.0,65.60230255126953
426.0,2.0,32.0,0.0,69.71096992492676
427.0,2.0,32.0,0.0,124.29952621459961
428.0,2.0,8.0,0.0,96.27628326416016
429.0,6.0,16.0,32.0,99.99322891235352
430.0,6.0,4.0,64.0,67.1544075012207
431.0,6.0,32.0,16.0,40.75765609741211
432.0,6.0,16.0,64.0,26.450395584106445
433.0,6.0,32.0,32.0,14.694690704345703
434.0,2.0,16.0,0.0,36.54360771179199
435.0,2.0,16.0,0.0,46.590328216552734
436.0,2.0,16.0,0.0,58.953285217285156
437.0,6.0,32.0,64.0,21.692276000976562
438.0,6.0,8.0,64.0,21.877050399780273
439.0,6.0,16.0,8.0,11.217594146728516
440.0,2.0,32.0,0.0,71.42329216003418
441.0,2.0,32.0,0.0,115.4017448425293
442.0,2.0,4.0,0.0,71.43974304199219
443.0,6.0,8.0,32.0,47.86229133605957
444.0,2.0,16.0,0.0,79.83040809631348
445.0,2.0,4.0,0.0,101.38630867004395
446.0,2.0,4.0,0.0,120.89753150939941
447.0,2.0,8.0,0.0,125.76961517333984
448.0,2.0,8.0,0.0,146.3637351989746
