query_id,model_id,bs,seq_len,latency
1.0,2.0,32.0,0.0,111.08875274658203
3.0,2.0,16.0,0.0,78.29880714416504
2.0,1.0,32.0,0.0,142.5034999847412
5.0,1.0,4.0,0.0,32.800912857055664
4.0,2.0,8.0,0.0,75.01935958862305
6.0,2.0,8.0,0.0,68.74346733093262
7.0,2.0,4.0,0.0,25.73394775390625
8.0,2.0,4.0,0.0,46.510934829711914
9.0,2.0,8.0,0.0,45.801401138305664
10.0,2.0,16.0,0.0,59.087514877319336
11.0,1.0,4.0,0.0,54.11958694458008
12.0,1.0,32.0,0.0,51.077842712402344
13.0,1.0,16.0,0.0,27.151823043823242
14.0,1.0,4.0,0.0,27.434349060058594
15.0,1.0,8.0,0.0,18.053770065307617
16.0,1.0,8.0,0.0,26.979446411132812
17.0,2.0,16.0,0.0,36.3306999206543
19.0,1.0,8.0,0.0,52.18219757080078
18.0,2.0,16.0,0.0,92.40460395812988
20.0,2.0,32.0,0.0,125.55551528930664
22.0,1.0,8.0,0.0,86.40813827514648
21.0,2.0,16.0,0.0,156.42762184143066
24.0,2.0,8.0,0.0,110.72826385498047
23.0,1.0,16.0,0.0,174.5619773864746
26.0,2.0,16.0,0.0,67.51394271850586
25,1,4,0,-1
27.0,1.0,32.0,0.0,51.21731758117676
28.0,2.0,16.0,0.0,36.234378814697266
29.0,1.0,4.0,0.0,40.67349433898926
30.0,2.0,16.0,0.0,66.80536270141602
31.0,1.0,16.0,0.0,58.66193771362305
32.0,1.0,16.0,0.0,74.59855079650879
33.0,1.0,4.0,0.0,47.3628044128418
34.0,1.0,8.0,0.0,57.79290199279785
35.0,1.0,4.0,0.0,20.27726173400879
36.0,1.0,8.0,0.0,27.88710594177246
37.0,1.0,16.0,0.0,49.3922233581543
38.0,1.0,4.0,0.0,58.40587615966797
39.0,1.0,8.0,0.0,82.26561546325684
40.0,1.0,4.0,0.0,27.18210220336914
41.0,1.0,4.0,0.0,24.735212326049805
42.0,2.0,4.0,0.0,39.418697357177734
44.0,1.0,4.0,0.0,48.68030548095703
43.0,2.0,8.0,0.0,95.18313407897949
45.0,1.0,32.0,0.0,101.22394561767578
46.0,1.0,32.0,0.0,106.76264762878418
47.0,1.0,8.0,0.0,123.26598167419434
48.0,1.0,8.0,0.0,100.25429725646973
49.0,1.0,16.0,0.0,65.82832336425781
50.0,1.0,32.0,0.0,102.01048851013184
52.0,2.0,32.0,0.0,134.690523147583
53.0,2.0,4.0,0.0,127.22921371459961
51,1,32,0,-1
55.0,1.0,8.0,0.0,92.58580207824707
54.0,2.0,16.0,0.0,184.7066879272461
57.0,2.0,16.0,0.0,80.03568649291992
56.0,1.0,32.0,0.0,188.05432319641113
59.0,2.0,4.0,0.0,71.93875312805176
58.0,1.0,32.0,0.0,172.1971035003662
60.0,1.0,16.0,0.0,79.59270477294922
62.0,2.0,32.0,0.0,101.74751281738281
61.0,1.0,32.0,0.0,165.8170223236084
65.0,2.0,32.0,0.0,146.71039581298828
66.0,2.0,4.0,0.0,134.79018211364746
63,1,32,0,-1
68.0,2.0,32.0,0.0,83.12344551086426
64,1,4,0,-1
67.0,1.0,16.0,0.0,144.5760726928711
69.0,1.0,4.0,0.0,139.93525505065918
70.0,1.0,32.0,0.0,159.2404842376709
71.0,2.0,8.0,0.0,40.96651077270508
72.0,1.0,4.0,0.0,53.91263961791992
73.0,1.0,8.0,0.0,26.00264549255371
74.0,2.0,8.0,0.0,52.214860916137695
75.0,1.0,32.0,0.0,88.61684799194336
76.0,1.0,32.0,0.0,114.03727531433105
77.0,1.0,8.0,0.0,138.21935653686523
78.0,2.0,8.0,0.0,91.48287773132324
79.0,2.0,4.0,0.0,133.8653564453125
80.0,1.0,16.0,0.0,83.48369598388672
81.0,2.0,4.0,0.0,108.86311531066895
82.0,2.0,32.0,0.0,70.44792175292969
83.0,2.0,8.0,0.0,63.254356384277344
84.0,1.0,16.0,0.0,70.3270435333252
85.0,1.0,16.0,0.0,80.45554161071777
86.0,2.0,16.0,0.0,109.98010635375977
87.0,1.0,4.0,0.0,117.11621284484863
89.0,2.0,8.0,0.0,111.9089126586914
88.0,1.0,8.0,0.0,144.4554328918457
90.0,2.0,8.0,0.0,137.27307319641113
92.0,2.0,16.0,0.0,154.39844131469727
91,1,4,0,-1
95.0,1.0,32.0,0.0,137.33696937561035
93,2,4,0,-1
97.0,1.0,32.0,0.0,160.72702407836914
94,2,16,0,-1
98.0,1.0,4.0,0.0,79.93578910827637
96,2,16,0,-1
99.0,1.0,4.0,0.0,98.97828102111816
100.0,2.0,32.0,0.0,112.67256736755371
102.0,1.0,16.0,0.0,116.56022071838379
101.0,2.0,32.0,0.0,210.45517921447754
103,1,16,0,-1
104.0,1.0,16.0,0.0,26.88765525817871
105.0,1.0,4.0,0.0,23.459672927856445
106.0,2.0,8.0,0.0,59.626102447509766
107.0,1.0,16.0,0.0,30.508756637573242
108.0,1.0,8.0,0.0,22.27497100830078
109.0,1.0,32.0,0.0,50.88663101196289
110.0,2.0,8.0,0.0,82.14807510375977
111.0,1.0,32.0,0.0,113.92045021057129
112.0,1.0,32.0,0.0,50.48227310180664
113.0,2.0,16.0,0.0,53.52139472961426
114.0,2.0,8.0,0.0,50.43363571166992
115.0,1.0,16.0,0.0,26.610374450683594
116.0,2.0,8.0,0.0,68.21417808532715
117.0,2.0,8.0,0.0,99.95532035827637
119.0,1.0,4.0,0.0,53.322553634643555
118.0,2.0,32.0,0.0,158.01119804382324
120.0,1.0,4.0,0.0,78.93610000610352
121.0,2.0,32.0,0.0,137.77780532836914
122,2,8,0,-1
123.0,2.0,32.0,0.0,128.3700466156006
124.0,1.0,4.0,0.0,27.15754508972168
125.0,2.0,8.0,0.0,37.050485610961914
126.0,2.0,32.0,0.0,70.55306434631348
127.0,2.0,32.0,0.0,110.34488677978516
128.0,1.0,4.0,0.0,64.17083740234375
129.0,1.0,16.0,0.0,26.621580123901367
130.0,2.0,32.0,0.0,70.1758861541748
131.0,2.0,16.0,0.0,90.57998657226562
132.0,2.0,32.0,0.0,70.29104232788086
133.0,1.0,8.0,0.0,81.61544799804688
134.0,1.0,16.0,0.0,102.10943222045898
135.0,1.0,32.0,0.0,140.41996002197266
136.0,2.0,4.0,0.0,57.38258361816406
137.0,1.0,16.0,0.0,79.66017723083496
138.0,2.0,32.0,0.0,84.27643775939941
139.0,2.0,4.0,0.0,110.36443710327148
141.0,1.0,8.0,0.0,48.38061332702637
140.0,2.0,4.0,0.0,147.28403091430664
142.0,2.0,16.0,0.0,88.26541900634766
143.0,1.0,32.0,0.0,133.72564315795898
145.0,2.0,16.0,0.0,72.8762149810791
144.0,1.0,32.0,0.0,208.9383602142334
146.0,1.0,32.0,0.0,133.13531875610352
147.0,2.0,4.0,0.0,32.53340721130371
148.0,1.0,32.0,0.0,50.82249641418457
151.0,1.0,4.0,0.0,36.496877670288086
149.0,2.0,8.0,0.0,97.79977798461914
150.0,2.0,4.0,0.0,118.37315559387207
152.0,2.0,4.0,0.0,45.24874687194824
154.0,2.0,8.0,0.0,55.449724197387695
153.0,1.0,32.0,0.0,116.23692512512207
155.0,2.0,32.0,0.0,70.31989097595215
156.0,1.0,32.0,0.0,50.83346366882324
157.0,1.0,8.0,0.0,20.77937126159668
158.0,1.0,32.0,0.0,67.05737113952637
159.0,2.0,16.0,0.0,41.690826416015625
161.0,1.0,4.0,0.0,57.726383209228516
160.0,2.0,4.0,0.0,88.20271492004395
163.0,1.0,4.0,0.0,71.38204574584961
162.0,2.0,4.0,0.0,112.93363571166992
164.0,1.0,8.0,0.0,48.2935905456543
165.0,1.0,16.0,0.0,66.19691848754883
166.0,2.0,8.0,0.0,36.77105903625488
167.0,1.0,4.0,0.0,22.832870483398438
168.0,2.0,16.0,0.0,51.096439361572266
169.0,1.0,8.0,0.0,62.645673751831055
170.0,2.0,16.0,0.0,96.95863723754883
171.0,2.0,16.0,0.0,117.5377368927002
172.0,1.0,4.0,0.0,28.52344512939453
173.0,1.0,16.0,0.0,27.29487419128418
174.0,1.0,8.0,0.0,27.099609375
175.0,1.0,16.0,0.0,34.32488441467285
176.0,1.0,8.0,0.0,22.60565757751465
177.0,2.0,4.0,0.0,39.51096534729004
178.0,1.0,32.0,0.0,71.06137275695801
179.0,1.0,8.0,0.0,53.62534523010254
180.0,2.0,32.0,0.0,75.77252388000488
181.0,1.0,16.0,0.0,89.49160575866699
182.0,2.0,32.0,0.0,122.73764610290527
183.0,2.0,4.0,0.0,145.70975303649902
184.0,2.0,32.0,0.0,175.79340934753418
187.0,1.0,16.0,0.0,41.11123085021973
185,2,16,0,-1
186,2,4,0,-1
188.0,1.0,8.0,0.0,26.4129638671875
189.0,2.0,8.0,0.0,34.058332443237305
190.0,2.0,8.0,0.0,35.18509864807129
191.0,2.0,8.0,0.0,39.40534591674805
192.0,2.0,4.0,0.0,50.523996353149414
193.0,2.0,16.0,0.0,62.76440620422363
194.0,1.0,32.0,0.0,57.62076377868652
195.0,2.0,16.0,0.0,41.42308235168457
196.0,1.0,16.0,0.0,73.5330581665039
197.0,1.0,32.0,0.0,66.15066528320312
198.0,1.0,8.0,0.0,64.48745727539062
200.0,1.0,4.0,0.0,30.498027801513672
199.0,2.0,4.0,0.0,92.96035766601562
202.0,2.0,16.0,0.0,92.70977973937988
201.0,1.0,32.0,0.0,154.7224521636963
204.0,1.0,16.0,0.0,152.1604061126709
203,2,8,0,-1
206.0,1.0,8.0,0.0,139.47796821594238
205,2,4,0,-1
208.0,2.0,8.0,0.0,59.07869338989258
207.0,1.0,16.0,0.0,111.21225357055664
210.0,2.0,16.0,0.0,83.62364768981934
209.0,1.0,32.0,0.0,154.88791465759277
211.0,1.0,4.0,0.0,146.42739295959473
212.0,2.0,32.0,0.0,208.85014533996582
213,1,16,0,-1
214,2,32,0,-1
216.0,2.0,4.0,0.0,123.13508987426758
215.0,1.0,16.0,0.0,175.49920082092285
218.0,1.0,8.0,0.0,116.17779731750488
217.0,2.0,32.0,0.0,200.40130615234375
219.0,1.0,32.0,0.0,155.87520599365234
220,1,4,0,-1
221.0,1.0,32.0,0.0,114.72845077514648
222.0,1.0,4.0,0.0,87.10122108459473
223.0,1.0,16.0,0.0,96.37331962585449
224.0,1.0,16.0,0.0,27.101993560791016
226.0,2.0,16.0,0.0,53.45487594604492
225.0,1.0,32.0,0.0,108.30950736999512
228.0,1.0,8.0,0.0,64.71824645996094
227.0,2.0,32.0,0.0,176.2073040008545
229.0,2.0,8.0,0.0,139.5559310913086
232.0,1.0,32.0,0.0,100.77500343322754
233.0,1.0,4.0,0.0,57.343482971191406
230,2,32,0,-1
235.0,1.0,8.0,0.0,40.160417556762695
231,2,32,0,-1
236.0,1.0,4.0,0.0,45.25041580200195
234.0,2.0,4.0,0.0,92.07606315612793
237.0,2.0,16.0,0.0,73.28462600708008
238.0,2.0,32.0,0.0,84.76924896240234
240.0,1.0,4.0,0.0,60.74261665344238
239.0,2.0,32.0,0.0,157.3319435119629
241.0,1.0,16.0,0.0,140.6381130218506
242,1,4,0,-1
243.0,1.0,32.0,0.0,175.97532272338867
244,1,32,0,-1
245.0,1.0,16.0,0.0,59.24868583679199
246.0,1.0,4.0,0.0,53.59697341918945
247.0,2.0,32.0,0.0,86.8535041809082
249.0,1.0,8.0,0.0,89.60580825805664
248.0,2.0,4.0,0.0,125.74434280395508
250.0,2.0,8.0,0.0,127.15959548950195
254.0,1.0,4.0,0.0,39.77203369140625
251.0,2.0,16.0,0.0,176.41806602478027
255.0,1.0,32.0,0.0,112.16878890991211
252,2,32,0,-1
256.0,1.0,32.0,0.0,138.37313652038574
253,2,8,0,-1
258.0,1.0,4.0,0.0,39.392948150634766
257.0,2.0,4.0,0.0,89.92600440979004
259.0,1.0,8.0,0.0,88.24014663696289
260.0,2.0,32.0,0.0,135.99157333374023
262.0,1.0,8.0,0.0,119.07172203063965
261.0,2.0,8.0,0.0,145.02668380737305
263.0,2.0,16.0,0.0,154.11710739135742
265.0,1.0,32.0,0.0,90.06500244140625
264.0,2.0,16.0,0.0,132.07077980041504
266.0,2.0,16.0,0.0,115.50498008728027
268.0,1.0,32.0,0.0,123.6426830291748
269.0,1.0,4.0,0.0,145.81680297851562
267,2,4,0,-1
273.0,1.0,8.0,0.0,29.223918914794922
270,2,4,0,-1
271.0,2.0,4.0,0.0,111.05561256408691
274.0,1.0,16.0,0.0,33.14042091369629
272.0,2.0,16.0,0.0,133.90135765075684
276.0,2.0,8.0,0.0,49.6213436126709
275.0,1.0,32.0,0.0,118.6518669128418
278.0,2.0,4.0,0.0,60.12439727783203
277.0,1.0,16.0,0.0,118.70622634887695
279.0,1.0,8.0,0.0,69.04935836791992
280.0,1.0,4.0,0.0,20.839452743530273
281.0,1.0,32.0,0.0,50.70328712463379
282.0,1.0,8.0,0.0,24.697065353393555
283.0,1.0,16.0,0.0,40.65656661987305
284.0,1.0,4.0,0.0,23.114681243896484
285.0,1.0,16.0,0.0,26.424169540405273
286.0,2.0,4.0,0.0,35.872697830200195
287.0,1.0,8.0,0.0,39.20555114746094
288.0,2.0,32.0,0.0,77.28743553161621
289.0,2.0,4.0,0.0,37.77313232421875
290.0,2.0,32.0,0.0,70.32132148742676
291.0,1.0,16.0,0.0,90.95215797424316
292.0,2.0,8.0,0.0,48.563241958618164
293.0,1.0,8.0,0.0,18.565893173217773
294.0,2.0,8.0,0.0,43.31660270690918
295.0,2.0,8.0,0.0,29.288530349731445
296.0,2.0,4.0,0.0,45.342206954956055
297.0,1.0,32.0,0.0,94.50149536132812
298.0,1.0,4.0,0.0,98.90508651733398
301.0,2.0,8.0,0.0,58.87007713317871
299.0,1.0,16.0,0.0,164.14284706115723
302.0,2.0,16.0,0.0,115.76223373413086
300,1,16,0,-1
306.0,1.0,4.0,0.0,55.24611473083496
303.0,2.0,16.0,0.0,151.56245231628418
304,2,32,0,-1
305.0,2.0,32.0,0.0,194.88191604614258
308.0,1.0,8.0,0.0,27.881860733032227
307,2,8,0,-1
309.0,1.0,8.0,0.0,21.118640899658203
310.0,1.0,8.0,0.0,25.030136108398438
311.0,1.0,32.0,0.0,50.62580108642578
312.0,1.0,32.0,0.0,50.76909065246582
313.0,1.0,4.0,0.0,30.820846557617188
314.0,2.0,32.0,0.0,70.76644897460938
315.0,1.0,4.0,0.0,74.01633262634277
316.0,2.0,16.0,0.0,70.53518295288086
317.0,1.0,16.0,0.0,94.00629997253418
318.0,1.0,32.0,0.0,121.45543098449707
319.0,2.0,32.0,0.0,137.4075412750244
320.0,2.0,16.0,0.0,161.84711456298828
322.0,1.0,4.0,0.0,29.907941818237305
321,2,16,0,-1
323.0,2.0,4.0,0.0,41.50962829589844
324.0,1.0,4.0,0.0,53.89857292175293
325.0,2.0,16.0,0.0,77.20088958740234
326.0,1.0,16.0,0.0,58.36796760559082
327.0,2.0,16.0,0.0,37.80412673950195
328.0,1.0,16.0,0.0,26.875019073486328
329.0,1.0,16.0,0.0,50.484657287597656
330.0,1.0,8.0,0.0,33.73885154724121
331.0,2.0,4.0,0.0,32.55605697631836
332.0,1.0,16.0,0.0,30.121803283691406
333.0,2.0,16.0,0.0,36.66567802429199
334.0,2.0,32.0,0.0,93.39284896850586
335.0,2.0,4.0,0.0,92.48971939086914
336.0,1.0,32.0,0.0,50.904035568237305
337.0,1.0,4.0,0.0,38.5744571685791
338.0,2.0,16.0,0.0,57.50107765197754
339.0,1.0,32.0,0.0,50.885677337646484
340.0,2.0,8.0,0.0,75.76131820678711
341.0,1.0,8.0,0.0,27.07505226135254
342.0,1.0,32.0,0.0,74.82242584228516
343.0,2.0,16.0,0.0,37.32037544250488
344.0,1.0,16.0,0.0,55.800437927246094
345.0,2.0,16.0,0.0,68.79639625549316
347.0,1.0,8.0,0.0,52.510976791381836
346.0,2.0,32.0,0.0,130.3424835205078
348.0,2.0,4.0,0.0,73.99320602416992
350.0,1.0,8.0,0.0,45.6242561340332
349.0,2.0,8.0,0.0,110.79621315002441
351.0,1.0,32.0,0.0,103.21736335754395
352.0,1.0,8.0,0.0,83.61434936523438
353.0,1.0,32.0,0.0,82.19647407531738
354.0,1.0,8.0,0.0,89.14613723754883
355.0,2.0,4.0,0.0,79.6511173248291
356.0,1.0,4.0,0.0,21.366119384765625
357.0,2.0,16.0,0.0,51.2235164642334
358.0,2.0,16.0,0.0,47.827720642089844
359.0,2.0,4.0,0.0,53.41386795043945
361.0,1.0,32.0,0.0,99.0910530090332
360.0,2.0,16.0,0.0,139.15729522705078
363.0,1.0,16.0,0.0,48.9649772644043
362.0,2.0,32.0,0.0,178.30204963684082
364.0,1.0,16.0,0.0,111.03296279907227
365.0,2.0,32.0,0.0,146.94905281066895
366.0,2.0,8.0,0.0,104.76398468017578
367.0,1.0,16.0,0.0,30.349254608154297
368.0,2.0,8.0,0.0,58.66646766662598
369.0,1.0,32.0,0.0,108.46996307373047
