query_id,model_id,bs,seq_len,latency
1.0,6.0,32.0,8.0,52.351951599121094
2.0,6.0,32.0,64.0,22.303104400634766
3.0,6.0,16.0,16.0,11.559009552001953
4.0,5.0,4.0,0.0,11.71255111694336
5.0,6.0,8.0,32.0,18.228530883789062
6.0,5.0,16.0,0.0,28.844833374023438
7.0,6.0,16.0,64.0,11.567354202270508
8.0,6.0,8.0,64.0,11.77215576171875
9.0,6.0,16.0,8.0,11.405706405639648
10.0,5.0,32.0,0.0,53.639888763427734
11.0,5.0,16.0,0.0,77.72684097290039
12.0,5.0,4.0,0.0,49.12996292114258
13.0,5.0,8.0,0.0,16.364574432373047
14.0,5.0,8.0,0.0,15.775918960571289
15.0,6.0,16.0,64.0,18.357515335083008
16.0,5.0,16.0,0.0,43.08772087097168
17.0,5.0,8.0,0.0,44.145822525024414
18.0,6.0,32.0,32.0,24.427413940429688
19.0,5.0,8.0,0.0,17.28963851928711
21.0,6.0,8.0,16.0,14.743804931640625
20.0,5.0,16.0,0.0,43.99538040161133
22.0,5.0,32.0,0.0,93.68133544921875
23.0,6.0,8.0,16.0,31.72612190246582
24.0,6.0,32.0,64.0,20.312070846557617
25.0,6.0,4.0,64.0,12.446880340576172
26.0,6.0,8.0,8.0,19.68836784362793
27.0,6.0,8.0,32.0,11.731147766113281
28.0,5.0,4.0,0.0,16.04461669921875
29.0,5.0,8.0,0.0,15.940666198730469
30.0,5.0,4.0,0.0,9.588003158569336
31.0,5.0,8.0,0.0,15.775203704833984
32.0,5.0,16.0,0.0,38.41423988342285
33.0,5.0,4.0,0.0,29.015064239501953
34.0,5.0,8.0,0.0,44.14868354797363
35.0,5.0,4.0,0.0,9.470939636230469
36.0,5.0,4.0,0.0,9.674787521362305
37.0,6.0,4.0,32.0,13.5650634765625
38.0,6.0,4.0,64.0,28.532743453979492
39.0,5.0,32.0,0.0,59.741973876953125
40.0,5.0,32.0,0.0,77.5156021118164
41.0,5.0,8.0,0.0,82.00836181640625
42.0,5.0,8.0,0.0,50.79054832458496
43.0,5.0,16.0,0.0,29.044151306152344
44.0,5.0,32.0,0.0,65.71698188781738
46.0,6.0,32.0,32.0,46.410322189331055
45.0,5.0,32.0,0.0,100.65841674804688
47.0,5.0,4.0,0.0,69.75293159484863
48.0,6.0,16.0,8.0,49.86977577209473
49.0,6.0,32.0,32.0,12.578248977661133
50.0,6.0,8.0,32.0,18.56541633605957
51.0,6.0,4.0,8.0,11.006593704223633
52.0,5.0,8.0,0.0,15.820026397705078
53.0,5.0,32.0,0.0,53.91883850097656
54.0,6.0,32.0,8.0,54.60405349731445
55.0,6.0,32.0,8.0,15.576839447021484
56.0,5.0,16.0,0.0,28.7322998046875
57.0,5.0,32.0,0.0,58.97688865661621
58.0,5.0,32.0,0.0,90.24667739868164
59.0,6.0,32.0,8.0,18.026351928710938
60.0,6.0,4.0,16.0,18.047809600830078
61.0,5.0,32.0,0.0,64.59784507751465
62.0,6.0,4.0,8.0,58.180809020996094
63.0,5.0,8.0,0.0,73.42219352722168
64.0,6.0,8.0,8.0,78.07636260986328
65.0,6.0,32.0,8.0,82.56220817565918
66.0,5.0,32.0,0.0,59.813499450683594
67.0,5.0,8.0,0.0,63.64130973815918
68.0,6.0,8.0,32.0,12.3291015625
69.0,5.0,8.0,0.0,24.376869201660156
70.0,6.0,16.0,8.0,35.36176681518555
71.0,6.0,32.0,64.0,21.241188049316406
72.0,6.0,8.0,16.0,19.94037628173828
73.0,6.0,4.0,16.0,19.162416458129883
74.0,5.0,16.0,0.0,29.074668884277344
75.0,6.0,16.0,8.0,30.774593353271484
76.0,5.0,8.0,0.0,16.58010482788086
77.0,6.0,8.0,32.0,17.70615577697754
78.0,5.0,8.0,0.0,16.9680118560791
79.0,5.0,4.0,0.0,10.668277740478516
80.0,6.0,16.0,32.0,16.45064353942871
81.0,6.0,32.0,64.0,18.51201057434082
82.0,6.0,16.0,8.0,32.369136810302734
83.0,6.0,32.0,64.0,17.927885055541992
84.0,5.0,8.0,0.0,28.79953384399414
85.0,5.0,32.0,0.0,67.9788589477539
86.0,5.0,4.0,0.0,38.225650787353516
87.0,5.0,4.0,0.0,46.213626861572266
88.0,6.0,32.0,32.0,14.780044555664062
89.0,6.0,8.0,64.0,32.56559371948242
90.0,5.0,16.0,0.0,30.616044998168945
91.0,5.0,16.0,0.0,40.99225997924805
93.0,6.0,8.0,8.0,35.5534553527832
92.0,5.0,4.0,0.0,47.569990158081055
94.0,6.0,8.0,8.0,16.907453536987305
95.0,5.0,4.0,0.0,10.816812515258789
96.0,5.0,16.0,0.0,28.9003849029541
97.0,5.0,32.0,0.0,58.690547943115234
99.0,6.0,16.0,64.0,41.18609428405762
98.0,5.0,32.0,0.0,128.60655784606934
100.0,6.0,8.0,16.0,64.21232223510742
101.0,5.0,16.0,0.0,51.70273780822754
102.0,6.0,8.0,32.0,51.24163627624512
103.0,5.0,16.0,0.0,77.60357856750488
104.0,6.0,4.0,8.0,21.982908248901367
105.0,5.0,4.0,0.0,28.018712997436523
106.0,6.0,32.0,32.0,33.809661865234375
107.0,5.0,32.0,0.0,86.3945484161377
108.0,6.0,4.0,8.0,39.7334098815918
109.0,5.0,8.0,0.0,28.156757354736328
110.0,6.0,32.0,64.0,18.990278244018555
111.0,6.0,8.0,8.0,19.36650276184082
112.0,5.0,16.0,0.0,29.20985221862793
113.0,6.0,32.0,32.0,18.1732177734375
114.0,6.0,32.0,64.0,25.010108947753906
115.0,5.0,8.0,0.0,16.304731369018555
116.0,5.0,16.0,0.0,37.51373291015625
