model_id,bs,seq_len,search_times,latency
6,8,8,0,28.087139129638672
6,8,64,0,17.161846160888672
6,4,16,0,24.4905948638916
1,1,0,0,37.09125518798828
6,16,16,0,-1
6,1,32,0,22.30978012084961
6,4,64,0,-1
6,2,64,0,23.851394653320312
6,4,8,0,24.277448654174805
1,8,0,0,28.28383445739746
1,4,0,0,-1
1,1,0,0,34.384965896606445
1,2,0,0,-1
1,2,0,0,30.01546859741211
6,4,64,0,29.199838638305664
1,4,0,0,-1
1,16,0,0,-1
1,16,0,0,35.00533103942871
6,16,64,0,24.779558181762695
6,4,16,0,29.139280319213867
1,1,0,0,-1
6,1,16,0,18.636465072631836
1,1,0,0,36.464691162109375
6,16,32,0,23.400545120239258
1,16,0,0,27.23526954650879
6,8,64,0,27.53472328186035
6,16,8,0,27.424335479736328
6,4,16,0,42.023420333862305
1,4,0,0,-1
1,4,0,0,-1
1,1,0,0,33.20598602294922
1,2,0,0,-1
1,16,0,0,23.80657196044922
1,2,0,0,-1
1,4,0,0,30.015945434570312
1,1,0,0,-1
1,2,0,0,46.72837257385254
1,1,0,0,31.141996383666992
1,16,0,0,-1
1,1,0,0,30.576467514038086
1,4,0,0,-1
6,1,64,0,24.956226348876953
1,8,0,0,-1
1,8,0,0,27.83060073852539
1,2,0,0,-1
1,2,0,0,27.286529541015625
1,4,0,0,-1
1,8,0,0,26.928424835205078
1,8,0,0,-1
6,8,32,0,-1
1,1,0,0,32.78827667236328
6,4,8,0,-1
6,8,32,0,20.80821990966797
6,16,16,0,33.20765495300293
6,8,8,0,44.01516914367676
1,4,0,0,37.497520446777344
1,8,0,0,-1
6,16,64,2,32.55319595336914
1,16,0,0,-1
6,1,16,0,15.611648559570312
6,2,64,0,19.13142204284668
6,16,8,0,-1
1,4,0,0,29.9527645111084
6,8,16,0,-1
1,2,0,0,-1
1,8,0,0,27.916669845581055
6,1,8,0,-1
1,16,0,0,-1
1,4,0,0,42.500972747802734
1,8,0,0,-1
1,8,0,0,25.11000633239746
1,2,0,0,-1
6,2,32,0,19.773006439208984
1,2,0,0,-1
6,4,8,0,-1
6,8,64,0,17.309904098510742
6,2,16,0,19.27781105041504
6,1,16,0,20.869970321655273
1,4,0,0,31.931400299072266
6,4,8,0,-1
1,2,0,0,27.41241455078125
6,16,16,0,-1
6,2,8,0,37.516117095947266
6,16,8,0,53.931236267089844
6,4,32,0,-1
6,16,64,0,-1
6,4,8,0,-1
6,8,64,0,-1
1,2,0,0,-1
1,8,0,0,-1
1,1,0,4,45.95446586608887
1,1,0,0,-1
6,8,32,0,39.763689041137695
6,16,16,0,60.63675880432129
6,2,32,0,-1
1,4,0,0,-1
1,1,0,0,-1
6,2,8,0,34.74712371826172
6,2,8,0,26.996135711669922
1,1,0,0,-1
1,4,0,0,31.423091888427734
1,16,0,0,-1
6,8,64,0,-1
6,4,64,0,40.819644927978516
6,2,16,0,-1
1,4,0,0,29.395580291748047
6,2,32,0,-1
1,16,0,0,-1
6,8,8,0,21.848440170288086
1,1,0,0,30.091285705566406
1,1,0,0,-1
6,8,32,0,-1
1,8,0,0,-1
6,16,8,0,22.368192672729492
1,16,0,0,37.57143020629883
1,2,0,0,-1
6,16,64,0,23.64492416381836
6,8,16,0,25.16484260559082
1,1,0,0,33.779144287109375
1,16,0,0,-1
6,8,32,0,30.992984771728516
6,8,64,0,37.946224212646484
1,2,0,0,-1
1,4,0,0,34.55042839050293
1,8,0,0,-1
6,16,8,0,20.905017852783203
1,4,0,0,-1
6,8,64,0,24.439334869384766
6,8,16,0,-1
1,16,0,0,-1
1,1,0,0,-1
6,8,8,0,31.63766860961914
1,8,0,0,36.95940971374512
6,16,32,0,38.53487968444824
1,8,0,0,-1
6,1,16,0,18.324851989746094
1,8,0,0,28.586149215698242
6,8,32,0,19.1652774810791
1,1,0,0,33.915042877197266
6,1,16,0,18.463611602783203
1,16,0,0,-1
6,1,16,0,29.893159866333008
6,8,8,0,38.56253623962402
1,1,0,0,33.905029296875
6,1,64,0,-1
6,1,64,0,23.224830627441406
6,1,32,0,22.252798080444336
1,1,0,0,33.39409828186035
6,1,16,0,-1
6,2,16,0,-1
1,1,0,0,-1
1,1,0,0,-1
1,2,0,0,-1
6,4,32,0,23.078441619873047
1,2,0,0,-1
6,4,32,0,-1
6,1,8,0,41.23520851135254
6,2,16,1,52.86860466003418
1,2,0,0,-1
1,4,0,0,-1
6,1,16,0,-1
1,1,0,0,41.17155075073242
1,16,0,0,-1
6,2,64,0,-1
6,1,16,0,21.255016326904297
6,16,8,0,25.597095489501953
6,8,32,0,25.104284286499023
6,4,64,0,31.292200088500977
1,1,0,0,44.74449157714844
6,16,16,0,30.72047233581543
6,2,64,0,-1
6,8,32,0,19.567251205444336
1,1,0,0,-1
6,4,8,0,25.525569915771484
6,1,16,0,16.00027084350586
6,4,16,0,23.528099060058594
6,8,8,0,-1
6,2,64,0,24.32107925415039
6,1,8,0,15.704154968261719
6,1,8,0,26.59773826599121
6,16,64,0,21.6524600982666
6,4,32,0,41.01371765136719
6,2,8,0,56.838274002075195
1,4,0,0,-1
6,1,16,0,37.4298095703125
1,4,0,0,-1
6,16,16,4,38.277626037597656
1,16,0,0,49.4234561920166
6,4,32,0,-1
6,2,16,0,-1
1,8,0,0,30.322551727294922
6,2,32,0,-1
6,8,16,0,24.00064468383789
6,16,32,0,20.36738395690918
6,1,64,0,34.683942794799805
6,8,8,0,30.707359313964844
1,8,0,1,52.94013023376465
6,1,8,0,-1
1,8,0,0,37.48607635498047
1,1,0,0,-1
1,4,0,0,32.08732604980469
1,16,0,0,-1
6,8,64,0,23.514270782470703
6,4,64,0,-1
6,2,32,0,35.92491149902344
1,2,0,0,-1
6,8,64,0,-1
6,2,16,4,35.39228439331055
6,16,8,0,53.08699607849121
6,1,16,0,18.934249877929688
6,2,16,0,33.61773490905762
6,16,32,0,-1
6,1,64,0,36.29136085510254
6,8,16,0,44.59381103515625
6,1,8,2,56.61487579345703
1,4,0,0,-1
1,8,0,0,-1
1,8,0,0,-1
1,4,0,0,28.738021850585938
1,1,0,0,-1
6,8,32,0,24.88398551940918
6,1,16,0,35.49957275390625
6,16,32,1,50.782203674316406
1,4,0,0,-1
6,8,32,0,35.27092933654785
6,2,8,0,46.2644100189209
6,1,8,0,55.27544021606445
6,8,8,0,20.471572875976562
6,8,64,0,23.728370666503906
1,2,0,0,33.277273178100586
1,2,0,0,-1
6,2,64,0,19.818544387817383
1,16,0,0,26.726245880126953
6,2,16,0,29.2510986328125
6,4,32,0,-1
6,1,32,0,42.395830154418945
1,8,0,0,31.050920486450195
6,4,32,0,-1
1,16,0,0,30.58648109436035
1,8,0,0,-1
1,1,0,0,-1
6,1,64,0,50.7962703704834
6,16,32,0,32.47404098510742
1,16,0,0,46.640872955322266
6,2,8,0,43.526649475097656
6,2,32,0,-1
6,2,16,0,-1
