model_id,bs,seq_len,latency
6.0,8.0,8.0,28.104782104492188
6.0,8.0,64.0,21.519899368286133
6.0,4.0,16.0,21.319866180419922
3.0,1.0,0.0,36.054372787475586
6.0,16.0,16.0,51.79619789123535
6.0,1.0,32.0,18.965482711791992
6.0,4.0,64.0,31.573772430419922
6.0,2.0,64.0,30.512094497680664
6.0,4.0,8.0,26.932716369628906
3.0,8.0,0.0,30.898571014404297
3.0,4.0,0.0,55.9084415435791
3.0,1.0,0.0,68.62640380859375
3.0,2.0,0.0,70.43981552124023
3.0,2.0,0.0,48.49648475646973
6.0,4.0,64.0,35.82310676574707
3.0,4.0,0.0,64.35060501098633
3.0,16.0,0.0,82.10587501525879
3,16,0,-1
6.0,16.0,64.0,23.050546646118164
6.0,4.0,16.0,26.551246643066406
3.0,1.0,0.0,40.93670845031738
6.0,1.0,16.0,26.224374771118164
3.0,1.0,0.0,44.47293281555176
6.0,16.0,32.0,18.469810485839844
3.0,16.0,0.0,30.518054962158203
6.0,8.0,64.0,22.269248962402344
6.0,16.0,8.0,22.90797233581543
6.0,4.0,16.0,42.70482063293457
3.0,4.0,0.0,67.09575653076172
3,4,0,-1
3.0,1.0,0.0,73.43149185180664
3,2,0,-1
3.0,16.0,0.0,59.91411209106445
3.0,2.0,0.0,54.131269454956055
3.0,4.0,0.0,81.12502098083496
3,1,0,-1
3,2,0,-1
3.0,1.0,0.0,33.72764587402344
3.0,16.0,0.0,45.16911506652832
3.0,1.0,0.0,57.27410316467285
3.0,4.0,0.0,48.24399948120117
6.0,1.0,64.0,71.06757164001465
3.0,8.0,0.0,89.07723426818848
3,8,0,-1
3,2,0,-1
3.0,2.0,0.0,69.20337677001953
3.0,4.0,0.0,65.35911560058594
6.0,8.0,32.0,58.9289665222168
6.0,4.0,8.0,36.7579460144043
3,8,0,-1
6.0,8.0,32.0,24.58333969116211
3,8,0,-1
6.0,16.0,16.0,36.84878349304199
3,1,0,-1
6.0,8.0,8.0,30.16829490661621
3.0,4.0,0.0,53.670644760131836
3.0,8.0,0.0,61.62285804748535
6.0,16.0,64.0,76.78675651550293
3.0,16.0,0.0,80.69086074829102
6.0,1.0,16.0,88.42730522155762
