model_id,bs,seq_len,latency
3.0,8.0,0.0,30.919313430786133
1.0,16.0,0.0,32.5160026550293
3.0,4.0,0.0,53.09319496154785
1.0,1.0,0.0,63.924312591552734
3,2,0,-1
3.0,16.0,0.0,83.27150344848633
1.0,1.0,0.0,33.48207473754883
3.0,1.0,0.0,58.6543083190918
1.0,8.0,0.0,59.758901596069336
3,16,0,-1
3.0,4.0,0.0,39.096832275390625
1.0,16.0,0.0,26.574373245239258
1.0,8.0,0.0,26.436328887939453
1.0,4.0,0.0,49.752235412597656
1.0,1.0,0.0,57.77931213378906
1.0,2.0,0.0,57.96694755554199
1.0,2.0,0.0,34.67893600463867
3.0,4.0,0.0,35.24327278137207
3.0,16.0,0.0,58.28976631164551
3.0,16.0,0.0,96.82250022888184
1.0,16.0,0.0,66.96200370788574
3,16,0,-1
3.0,16.0,0.0,26.39150619506836
3.0,2.0,0.0,39.78776931762695
1.0,4.0,0.0,58.727264404296875
1.0,1.0,0.0,65.75679779052734
3,2,0,-1
3,2,0,-1
3.0,16.0,0.0,42.98758506774902
3.0,2.0,0.0,31.73232078552246
1.0,16.0,0.0,45.29309272766113
3.0,8.0,0.0,28.6252498626709
3.0,4.0,0.0,35.51220893859863
1.0,1.0,0.0,44.44432258605957
3.0,4.0,0.0,63.99345397949219
1.0,4.0,0.0,75.09040832519531
1,4,0,-1
1.0,1.0,0.0,72.2191333770752
1,2,0,-1
1.0,16.0,0.0,56.72931671142578
1.0,2.0,0.0,49.22890663146973
1.0,4.0,0.0,73.99439811706543
1,1,0,-1
1,2,0,-1
1.0,1.0,0.0,29.21748161315918
1.0,16.0,0.0,39.57343101501465
1.0,1.0,0.0,51.15318298339844
1.0,4.0,0.0,40.329694747924805
3.0,1.0,0.0,82.6411247253418
1.0,2.0,0.0,61.37585639953613
3,1,0,-1
1.0,2.0,0.0,64.16654586791992
3,4,0,-1
1.0,4.0,0.0,58.42423439025879
3,16,0,-1
1.0,8.0,0.0,74.07879829406738
3.0,8.0,0.0,84.2435359954834
1,8,0,-1
3,1,0,-1
1.0,2.0,0.0,63.06624412536621
3,4,0,-1
1.0,8.0,0.0,71.37131690979004
3.0,4.0,0.0,78.63855361938477
1.0,8.0,0.0,89.67256546020508
3.0,1.0,0.0,96.62961959838867
3.0,16.0,0.0,67.63601303100586
1,4,0,-1
3.0,16.0,0.0,64.76879119873047
1,8,0,-1
1.0,4.0,0.0,63.32230567932129
3,1,0,-1
1.0,8.0,0.0,75.46758651733398
3.0,8.0,0.0,47.2257137298584
1,8,0,-1
1.0,8.0,0.0,67.08598136901855
1.0,1.0,0.0,60.956478118896484
1.0,8.0,0.0,68.95923614501953
3.0,2.0,0.0,29.11376953125
1.0,1.0,0.0,51.95307731628418
1.0,16.0,0.0,49.58820343017578
1.0,4.0,0.0,70.53184509277344
1.0,8.0,0.0,57.27076530456543
1.0,8.0,0.0,79.21624183654785
3.0,2.0,0.0,84.99741554260254
1,2,0,-1
3,1,0,-1
1.0,4.0,0.0,73.46367835998535
3.0,16.0,0.0,96.72117233276367
