model_id,bs,seq_len,latency
2.0,8.0,0.0,44.550180435180664
1.0,16.0,0.0,47.35255241394043
2.0,4.0,0.0,87.54277229309082
1,1,0,-1
2,2,0,-1
2,16,0,-1
1.0,1.0,0.0,30.882596969604492
2.0,1.0,0.0,67.72804260253906
1.0,8.0,0.0,71.7778205871582
2.0,16.0,0.0,122.7412223815918
1.0,16.0,0.0,30.35879135131836
2.0,4.0,0.0,111.84382438659668
1.0,8.0,0.0,66.62392616271973
1,4,0,-1
1.0,1.0,0.0,73.98390769958496
1.0,2.0,0.0,75.75392723083496
1.0,2.0,0.0,57.97767639160156
2.0,4.0,0.0,77.34894752502441
1.0,16.0,0.0,48.27475547790527
2,16,0,-1
2,16,0,-1
2,16,0,-1
2.0,16.0,0.0,52.136898040771484
1.0,4.0,0.0,60.78362464904785
2.0,2.0,0.0,119.2924976348877
1,1,0,-1
2,2,0,-1
2,2,0,-1
2.0,16.0,0.0,70.81174850463867
1.0,16.0,0.0,50.05502700805664
2.0,2.0,0.0,118.2565689086914
1.0,1.0,0.0,54.01730537414551
2.0,8.0,0.0,134.3533992767334
1,4,0,-1
2,4,0,-1
1,4,0,-1
2,4,0,-1
1.0,1.0,0.0,70.48869132995605
1,2,0,-1
1.0,16.0,0.0,55.79400062561035
1.0,2.0,0.0,49.32975769042969
1.0,4.0,0.0,74.83267784118652
1,1,0,-1
1,2,0,-1
1.0,1.0,0.0,27.700424194335938
1.0,16.0,0.0,39.03770446777344
1.0,1.0,0.0,53.12466621398926
1.0,4.0,0.0,43.44606399536133
2.0,1.0,0.0,96.56262397766113
1.0,2.0,0.0,74.02205467224121
2,1,0,-1
1.0,2.0,0.0,77.25071907043457
2,4,0,-1
1.0,4.0,0.0,72.10922241210938
2,16,0,-1
2.0,8.0,0.0,95.20721435546875
1,8,0,-1
1,8,0,-1
2,1,0,-1
1.0,2.0,0.0,83.97221565246582
2,4,0,-1
2.0,4.0,0.0,83.58073234558105
1,8,0,-1
2.0,1.0,0.0,80.83367347717285
1,8,0,-1
1.0,4.0,0.0,80.09028434753418
2.0,16.0,0.0,93.46723556518555
1,8,0,-1
2,16,0,-1
1.0,4.0,0.0,70.7094669342041
2,1,0,-1
1.0,8.0,0.0,84.29408073425293
2.0,8.0,0.0,75.73962211608887
1,8,0,-1
1,8,0,-1
1.0,1.0,0.0,82.05890655517578
1,8,0,-1
2.0,2.0,0.0,44.23046112060547
1.0,1.0,0.0,75.77228546142578
1.0,16.0,0.0,77.14438438415527
1,4,0,-1
1.0,8.0,0.0,61.397552490234375
1.0,8.0,0.0,84.73682403564453
2.0,2.0,0.0,90.29650688171387
1,2,0,-1
2,1,0,-1
1.0,4.0,0.0,82.00836181640625
2.0,16.0,0.0,117.99240112304688
1.0,16.0,0.0,89.65182304382324
2.0,8.0,0.0,94.18201446533203
1.0,16.0,0.0,100.70490837097168
2,16,0,-1
1,16,0,-1
2,2,0,-1
1,2,0,-1
2,4,0,-1
1,4,0,-1
2.0,16.0,0.0,42.31739044189453
1.0,8.0,0.0,65.34576416015625
1.0,4.0,0.0,84.75708961486816
1.0,1.0,0.0,58.59041213989258
2.0,4.0,0.0,66.6055679321289
1.0,8.0,0.0,65.02032279968262
2.0,1.0,0.0,136.2020969390869
1,16,0,-1
2,4,0,-1
1.0,2.0,0.0,49.24583435058594
2,4,0,-1
1.0,1.0,0.0,44.49295997619629
2,1,0,-1
1.0,16.0,0.0,75.84714889526367
2.0,8.0,0.0,111.84406280517578
1,4,0,-1
1,4,0,-1
1.0,4.0,0.0,42.35720634460449
1.0,1.0,0.0,63.10868263244629
2.0,2.0,0.0,110.88800430297852
2.0,2.0,0.0,91.16339683532715
1,4,0,-1
1,2,0,-1
1,8,0,-1
1,8,0,-1
1.0,8.0,0.0,32.865285873413086
2.0,4.0,0.0,58.85934829711914
2.0,2.0,0.0,76.33852958679199
1.0,4.0,0.0,33.51855278015137
2.0,2.0,0.0,76.47824287414551
1.0,16.0,0.0,69.15283203125
2,2,0,-1
1.0,2.0,0.0,65.08779525756836
2,8,0,-1
2.0,2.0,0.0,100.31509399414062
1,8,0,-1
2,16,0,-1
2.0,16.0,0.0,37.555694580078125
1.0,16.0,0.0,28.520584106445312
1.0,2.0,0.0,55.809736251831055
2.0,16.0,0.0,66.5738582611084
2.0,8.0,0.0,87.25857734680176
1.0,1.0,0.0,69.11826133728027
2.0,2.0,0.0,131.22034072875977
1,16,0,-1
2,8,0,-1
1.0,2.0,0.0,42.90270805358887
2,4,0,-1
1.0,4.0,0.0,66.08223915100098
2.0,8.0,0.0,118.1190013885498
2.0,16.0,0.0,75.35982131958008
1,8,0,-1
2.0,16.0,0.0,84.81597900390625
1,2,0,-1
1,2,0,-1
2,1,0,-1
1.0,16.0,0.0,80.04927635192871
2.0,8.0,0.0,98.20818901062012
2.0,4.0,0.0,90.2550220489502
1,1,0,-1
2.0,2.0,0.0,41.70417785644531
1,16,0,-1
2.0,1.0,0.0,51.470041275024414
1,16,0,-1
1.0,8.0,0.0,53.09772491455078
2.0,2.0,0.0,94.86269950866699
1,1,0,-1
2,1,0,-1
1.0,16.0,0.0,54.593801498413086
2.0,1.0,0.0,104.31885719299316
1,16,0,-1
2,1,0,-1
1.0,1.0,0.0,60.37497520446777
2,1,0,-1
1.0,4.0,0.0,57.90591239929199
2,8,0,-1
1.0,1.0,0.0,79.01406288146973
2,8,0,-1
1,1,0,-1
2,1,0,-1
1.0,2.0,0.0,54.913997650146484
2,1,0,-1
1.0,4.0,0.0,78.02677154541016
2.0,16.0,0.0,90.91973304748535
2.0,4.0,0.0,66.73598289489746
1,2,0,-1
2,2,0,-1
2,4,0,-1
2.0,16.0,0.0,88.41705322265625
1.0,4.0,0.0,63.61532211303711
2.0,1.0,0.0,111.85693740844727
2.0,1.0,0.0,85.6633186340332
1,2,0,-1
2.0,8.0,0.0,69.71240043640137
1,4,0,-1
2.0,8.0,0.0,80.78336715698242
1,2,0,-1
1,8,0,-1
2,16,0,-1
2.0,4.0,0.0,88.80805969238281
1,2,0,-1
2.0,4.0,0.0,64.6975040435791
1,4,0,-1
1,1,0,-1
2,2,0,-1
1.0,16.0,0.0,84.30647850036621
2.0,8.0,0.0,92.46325492858887
1,8,0,-1
2,8,0,-1
2,2,0,-1
2.0,1.0,0.0,76.39193534851074
1.0,8.0,0.0,76.57742500305176
2,4,0,-1
1.0,4.0,0.0,71.28596305847168
2.0,4.0,0.0,115.48399925231934
2.0,1.0,0.0,96.29011154174805
1,8,0,-1
1,2,0,-1
2,4,0,-1
1,1,0,-1
2,2,0,-1
2.0,1.0,0.0,103.05023193359375
1,16,0,-1
2.0,16.0,0.0,67.37422943115234
1,4,0,-1
2.0,4.0,0.0,76.00903511047363
1,2,0,-1
2.0,16.0,0.0,83.7411880493164
1,4,0,-1
1,8,0,-1
2,8,0,-1
2.0,8.0,0.0,78.1855583190918
1,1,0,-1
