model_id,bs,seq_len,latency
6.0,8.0,8.0,32.839298248291016
6.0,8.0,64.0,24.5053768157959
6.0,4.0,16.0,20.165205001831055
0.0,1.0,0.0,22.943735122680664
6.0,16.0,16.0,38.129568099975586
6.0,1.0,32.0,20.74718475341797
6.0,4.0,64.0,37.94598579406738
6.0,2.0,64.0,37.72282600402832
6.0,4.0,8.0,34.993648529052734
0.0,8.0,0.0,19.49787139892578
0.0,4.0,0.0,30.932188034057617
0.0,1.0,0.0,26.462316513061523
0.0,2.0,0.0,13.72671127319336
0.0,2.0,0.0,18.932580947875977
6.0,4.0,64.0,22.780656814575195
0.0,4.0,0.0,39.844512939453125
0.0,16.0,0.0,45.684814453125
0.0,16.0,0.0,42.0527458190918
6.0,16.0,64.0,16.80159568786621
6.0,4.0,16.0,29.48904037475586
0.0,1.0,0.0,32.707929611206055
6.0,1.0,16.0,16.79086685180664
0.0,1.0,0.0,21.73161506652832
6.0,16.0,32.0,15.883922576904297
0.0,16.0,0.0,19.281625747680664
6.0,8.0,64.0,18.44620704650879
6.0,16.0,8.0,25.117158889770508
6.0,4.0,16.0,39.81375694274902
0.0,4.0,0.0,38.04206848144531
0.0,4.0,0.0,50.56905746459961
0.0,1.0,0.0,40.22026062011719
0.0,2.0,0.0,45.9284782409668
0.0,16.0,0.0,27.881383895874023
0.0,2.0,0.0,14.231204986572266
0.0,4.0,0.0,26.886463165283203
0.0,1.0,0.0,31.086206436157227
0.0,2.0,0.0,44.16918754577637
0.0,1.0,0.0,17.357587814331055
0.0,16.0,0.0,18.569231033325195
0.0,1.0,0.0,16.501188278198242
0.0,4.0,0.0,16.434669494628906
0.0,8.0,0.0,16.453266143798828
6.0,1.0,64.0,53.73811721801758
0.0,8.0,0.0,45.984506607055664
0.0,2.0,0.0,59.61012840270996
0.0,2.0,0.0,49.555301666259766
0.0,4.0,0.0,31.666278839111328
0.0,8.0,0.0,36.722660064697266
6.0,8.0,32.0,36.65900230407715
0.0,8.0,0.0,50.830841064453125
6.0,4.0,8.0,32.716989517211914
0.0,1.0,0.0,64.53871726989746
6.0,8.0,32.0,39.93797302246094
6.0,16.0,16.0,53.513526916503906
0.0,4.0,0.0,37.07599639892578
6.0,8.0,8.0,68.89915466308594
0.0,8.0,0.0,56.304931640625
0.0,16.0,0.0,39.47949409484863
6.0,16.0,64.0,82.60989189147949
6.0,1.0,16.0,62.85429000854492
6.0,2.0,64.0,49.715280532836914
6.0,16.0,8.0,65.25349617004395
0.0,4.0,0.0,34.44194793701172
6.0,8.0,16.0,41.202545166015625
0.0,2.0,0.0,56.83755874633789
6.0,1.0,8.0,29.63542938232422
0.0,8.0,0.0,57.51466751098633
0.0,16.0,0.0,59.694528579711914
0.0,4.0,0.0,69.15593147277832
0.0,8.0,0.0,40.63248634338379
0.0,8.0,0.0,51.439523696899414
0.0,2.0,0.0,65.63520431518555
6.0,2.0,32.0,47.61648178100586
6.0,4.0,8.0,61.016082763671875
0.0,2.0,0.0,78.90582084655762
6,8,64,-1
6.0,2.0,16.0,56.36477470397949
6.0,1.0,16.0,30.840158462524414
6.0,4.0,8.0,23.41008186340332
0.0,4.0,0.0,45.83740234375
6.0,16.0,16.0,27.438640594482422
0.0,2.0,0.0,50.88448524475098
6.0,2.0,8.0,58.0143928527832
0.0,2.0,0.0,44.62170600891113
0.0,8.0,0.0,51.15079879760742
6,16,8,-1
0.0,1.0,0.0,46.25201225280762
6,4,32,-1
0.0,1.0,0.0,59.87191200256348
6,16,64,-1
6,4,8,-1
6,8,64,-1
6.0,8.0,32.0,54.997920989990234
6.0,16.0,16.0,71.41852378845215
0.0,4.0,0.0,34.895896911621094
0.0,1.0,0.0,38.59519958496094
6.0,2.0,32.0,75.58083534240723
0.0,1.0,0.0,40.45915603637695
6,2,8,-1
6.0,2.0,8.0,70.59836387634277
0.0,4.0,0.0,56.52427673339844
0.0,16.0,0.0,60.06956100463867
6.0,8.0,64.0,82.8392505645752
