model_id,bs,seq_len,latency
6.0,8.0,8.0,27.58646011352539
6.0,8.0,64.0,17.89569854736328
6.0,4.0,16.0,22.964000701904297
5.0,1.0,0.0,8.649349212646484
6.0,16.0,16.0,20.054101943969727
6.0,1.0,32.0,23.54717254638672
6.0,4.0,64.0,38.393259048461914
6.0,2.0,64.0,39.7648811340332
6.0,4.0,8.0,39.50333595275879
5.0,8.0,0.0,12.192010879516602
5.0,4.0,0.0,17.709732055664062
5.0,1.0,0.0,5.565643310546875
5.0,2.0,0.0,7.538795471191406
5.0,2.0,0.0,7.80177116394043
6.0,4.0,64.0,24.86276626586914
5.0,4.0,0.0,30.61223030090332
5.0,16.0,0.0,44.275760650634766
5.0,16.0,0.0,48.41113090515137
6.0,16.0,64.0,19.965171813964844
6.0,4.0,16.0,26.480436325073242
5.0,1.0,0.0,17.749786376953125
6.0,1.0,16.0,22.765398025512695
5.0,1.0,0.0,17.601966857910156
6.0,16.0,32.0,25.97332000732422
5.0,16.0,0.0,20.77198028564453
6.0,8.0,64.0,19.216537475585938
6.0,16.0,8.0,17.522573471069336
6.0,4.0,16.0,31.716108322143555
5.0,4.0,0.0,21.491289138793945
5.0,4.0,0.0,28.535127639770508
5.0,1.0,0.0,9.42683219909668
5.0,2.0,0.0,6.554365158081055
5.0,16.0,0.0,19.4549560546875
5.0,2.0,0.0,6.013393402099609
5.0,4.0,0.0,12.517690658569336
5.0,1.0,0.0,7.266521453857422
5.0,2.0,0.0,11.572837829589844
5.0,1.0,0.0,5.861520767211914
5.0,16.0,0.0,19.5925235748291
5.0,1.0,0.0,8.524179458618164
5.0,4.0,0.0,7.0362091064453125
6.0,1.0,64.0,23.94890785217285
5.0,8.0,0.0,23.242712020874023
5.0,8.0,0.0,16.32213592529297
5.0,2.0,0.0,15.8843994140625
5.0,2.0,0.0,5.990266799926758
5.0,4.0,0.0,7.462739944458008
5.0,8.0,0.0,11.19232177734375
5.0,8.0,0.0,11.37852668762207
6.0,8.0,32.0,27.848243713378906
5.0,1.0,0.0,12.692689895629883
6.0,4.0,8.0,16.802310943603516
6.0,8.0,32.0,19.707679748535156
6.0,16.0,16.0,33.54310989379883
6.0,8.0,8.0,28.23328971862793
5.0,4.0,0.0,25.157451629638672
6.0,16.0,64.0,17.599105834960938
5.0,8.0,0.0,33.843040466308594
5.0,16.0,0.0,23.348331451416016
6.0,1.0,16.0,28.44834327697754
6.0,2.0,64.0,16.404390335083008
6.0,16.0,8.0,31.26072883605957
5.0,4.0,0.0,6.910562515258789
6.0,8.0,16.0,22.300243377685547
5.0,2.0,0.0,26.030540466308594
5.0,8.0,0.0,10.827779769897461
6.0,1.0,8.0,16.586780548095703
5.0,16.0,0.0,35.384416580200195
5.0,4.0,0.0,38.30552101135254
5.0,8.0,0.0,11.097431182861328
5.0,8.0,0.0,19.889354705810547
5.0,2.0,0.0,24.37901496887207
6.0,2.0,32.0,19.49000358581543
6.0,4.0,8.0,31.992435455322266
5.0,2.0,0.0,37.28461265563965
6.0,8.0,64.0,35.660743713378906
6.0,2.0,16.0,26.76105499267578
6.0,1.0,16.0,17.93384552001953
5.0,4.0,0.0,6.807565689086914
6.0,4.0,8.0,16.16382598876953
5.0,2.0,0.0,4.981040954589844
6.0,16.0,16.0,17.841100692749023
6.0,2.0,8.0,23.69403839111328
6.0,16.0,8.0,37.175655364990234
5.0,2.0,0.0,14.47749137878418
6.0,4.0,32.0,53.89690399169922
6.0,16.0,64.0,59.35502052307129
5.0,8.0,0.0,48.780202865600586
5.0,1.0,0.0,34.23762321472168
6,4,8,-1
5.0,1.0,0.0,38.048505783081055
6,8,64,-1
6.0,8.0,32.0,26.001453399658203
6.0,16.0,16.0,41.65291786193848
6.0,2.0,32.0,16.442298889160156
6.0,2.0,8.0,17.770767211914062
5.0,4.0,0.0,37.117958068847656
5.0,1.0,0.0,30.8837890625
6.0,2.0,8.0,16.917705535888672
5.0,1.0,0.0,11.8255615234375
5.0,4.0,0.0,7.238149642944336
5.0,16.0,0.0,19.025802612304688
6.0,8.0,64.0,32.312870025634766
6.0,4.0,64.0,44.69108581542969
6.0,2.0,16.0,38.5432243347168
5.0,4.0,0.0,24.58953857421875
5.0,16.0,0.0,35.10403633117676
6.0,2.0,32.0,51.63431167602539
6.0,8.0,8.0,30.03525733947754
5.0,1.0,0.0,9.851694107055664
5.0,1.0,0.0,5.259513854980469
6.0,8.0,32.0,15.886783599853516
5.0,8.0,0.0,26.23462677001953
6.0,16.0,8.0,18.98193359375
5.0,16.0,0.0,24.30891990661621
5.0,2.0,0.0,12.233972549438477
6.0,16.0,64.0,22.59230613708496
6.0,8.0,16.0,23.24509620666504
5.0,1.0,0.0,15.935897827148438
5.0,16.0,0.0,19.50550079345703
6.0,8.0,32.0,31.36444091796875
6.0,8.0,64.0,39.19506072998047
5.0,2.0,0.0,19.16217803955078
5.0,4.0,0.0,23.083925247192383
5.0,8.0,0.0,27.472257614135742
6.0,16.0,8.0,23.52118492126465
