query_id,model_id,bs,seq_len,search_times,latency
1,6,32,8,0,57.49058723449707
2,6,32,64,0,61.08427047729492
3,6,16,16,0,40.13943672180176
4,3,4,0,0,24.938344955444336
5,6,8,32,0,21.08597755432129
6,3,16,0,0,26.24821662902832
7,6,16,64,0,30.6243896484375
8,6,8,64,0,35.72487831115723
9,6,16,8,0,41.55087471008301
10,3,32,0,0,45.133113861083984
11,3,16,0,0,59.79609489440918
12,3,4,0,0,65.5817985534668
13,3,8,0,0,67.53158569335938
14,3,8,0,1,60.334205627441406
15,6,16,64,1,43.91002655029297
16,3,16,0,1,58.714866638183594
18,6,32,32,1,46.89669609069824
17,3,8,0,1,73.11892509460449
21,6,8,16,1,55.02605438232422
19,3,8,0,1,77.52299308776855
23,6,8,16,1,54.15821075439453
20,3,16,0,0,-1
22,3,32,0,0,-1
28,3,4,0,1,36.99779510498047
24,6,32,64,1,67.07358360290527
29,3,8,0,1,49.67832565307617
25,6,4,64,1,75.19054412841797
26,6,8,8,2,86.3642692565918
30,3,4,0,1,58.428049087524414
27,6,8,32,1,79.60176467895508
31,3,8,0,0,59.0364933013916
32,3,16,0,0,72.91150093078613
33,3,4,0,2,83.33992958068848
34,3,8,0,0,-1
35,3,4,0,1,66.7264461517334
37,6,4,32,1,52.06489562988281
36,3,4,0,1,75.46424865722656
38,6,4,64,1,66.67447090148926
39,3,32,0,0,76.14850997924805
40,3,32,0,0,-1
41,3,8,0,0,-1
42,3,8,0,0,-1
43,3,16,0,1,54.018259048461914
46,6,32,32,1,40.21096229553223
44,3,32,0,1,65.55747985839844
48,6,16,8,1,37.01066970825195
45,3,32,0,1,72.12018966674805
49,6,32,32,1,39.1237735748291
47,3,4,0,1,76.85351371765137
50,6,8,32,1,53.15685272216797
52,3,8,0,1,43.187618255615234
51,6,4,8,1,57.204484939575195
53,3,32,0,1,46.65660858154297
54,6,32,8,1,44.03400421142578
55,6,32,8,0,43.03312301635742
56,3,16,0,0,39.99161720275879
57,3,32,0,0,49.405813217163086
58,3,32,0,1,60.18710136413574
59,6,32,8,1,38.491249084472656
61,3,32,0,1,47.95479774475098
60,6,4,16,1,50.241947174072266
63,3,8,0,1,58.0143928527832
62,6,4,8,1,58.26210975646973
64,6,8,8,2,68.02225112915039
65,6,32,8,2,79.40101623535156
66,3,32,0,1,71.2578296661377
68,6,8,32,1,47.90353775024414
67,3,8,0,0,-1
69,3,8,0,1,70.10459899902344
70,6,16,8,1,69.59366798400879
71,6,32,64,0,73.52948188781738
72,6,8,16,2,74.2197036743164
74,3,16,0,1,56.496381759643555
73,6,4,16,1,65.55390357971191
76,3,8,0,1,57.421207427978516
75,6,16,8,1,70.29294967651367
78,3,8,0,1,64.94379043579102
77,6,8,32,1,69.6108341217041
79,3,4,0,1,73.8058090209961
80,6,16,32,1,69.97418403625488
84,3,8,0,1,58.90989303588867
81,6,32,64,1,80.23571968078613
82,6,16,8,0,-1
83,6,32,64,0,-1
85,3,32,0,0,-1
86,3,4,0,1,64.70370292663574
88,6,32,32,1,49.90363121032715
87,3,4,0,1,79.54263687133789
89,6,8,64,1,65.3069019317627
90,3,16,0,1,55.4807186126709
93,6,8,8,1,44.13270950317383
91,3,16,0,1,66.28608703613281
94,6,8,8,1,45.580148696899414
92,3,4,0,0,75.92988014221191
95,3,4,0,1,72.57533073425293
99,6,16,64,1,46.64325714111328
96,3,16,0,1,78.78446578979492
100,6,8,16,1,51.24855041503906
97,3,32,0,0,-1
98,3,32,0,0,-1
