query_id,model_id,bs,seq_len,search_times,latency
1,5,32,0,0,77.85177230834961
2,3,32,0,1,66.70784950256348
3,5,16,0,0,65.0019645690918
4,5,8,0,1,25.439739227294922
5,3,4,0,0,24.608612060546875
6,5,8,0,0,25.69103240966797
7,5,4,0,0,5.216121673583984
8,5,4,0,0,7.950305938720703
9,5,8,0,0,6.604194641113281
10,5,16,0,0,11.097908020019531
11,3,4,0,0,17.302751541137695
12,3,32,0,0,18.5391902923584
13,3,16,0,0,17.703771591186523
14,3,4,0,0,18.080949783325195
15,3,8,0,0,18.748760223388672
16,3,8,0,0,15.538215637207031
17,5,16,0,0,11.103630065917969
18,5,16,0,0,23.888111114501953
19,3,8,0,0,29.10923957824707
20,5,32,0,0,31.83722496032715
21,5,16,0,0,30.3189754486084
22,3,8,0,0,28.958559036254883
23,3,16,0,0,40.06218910217285
24,5,8,0,1,29.516220092773438
25,3,4,0,0,35.535573959350586
26,5,16,0,0,11.303424835205078
27,3,32,0,0,15.809059143066406
28,5,16,0,0,9.676933288574219
29,3,4,0,0,16.453027725219727
30,5,16,0,0,18.567562103271484
31,3,16,0,0,21.435260772705078
32,3,16,0,0,33.70857238769531
33,3,4,0,0,27.476787567138672
34,3,8,0,0,34.91616249084473
35,3,4,0,0,28.84697914123535
36,3,8,0,0,23.35810661315918
37,3,16,0,0,38.785696029663086
38,3,4,0,0,44.293880462646484
39,3,8,0,0,58.8374137878418
40,3,4,0,0,19.90485191345215
41,3,4,0,0,33.97107124328613
42,5,4,0,0,30.03668785095215
43,5,8,0,1,34.6987247467041
44,3,4,0,0,28.002500534057617
45,3,32,0,0,30.342817306518555
46,3,32,0,0,26.471614837646484
47,3,8,0,0,35.987138748168945
48,3,8,0,0,29.596328735351562
49,3,16,0,0,19.142627716064453
50,3,32,0,0,28.27596664428711
51,3,32,0,0,40.36211967468262
52,5,32,0,0,42.961835861206055
53,5,4,0,0,28.002023696899414
54,5,16,0,0,33.29920768737793
55,3,8,0,0,27.686119079589844
56,3,32,0,0,29.942035675048828
57,5,16,0,0,11.198997497558594
58,3,32,0,0,23.07581901550293
59,5,4,0,0,6.021738052368164
60,3,16,0,0,25.130510330200195
61,3,32,0,0,35.38036346435547
62,5,32,0,0,32.92655944824219
63,3,32,0,0,29.47378158569336
64,3,4,0,0,47.49703407287598
65,5,32,0,0,46.26035690307617
66,5,4,0,0,26.926755905151367
67,3,16,0,0,28.887271881103516
68,5,32,0,0,33.5230827331543
69,3,4,0,0,48.105478286743164
70,3,32,0,0,54.89683151245117
71,5,8,0,0,5.70988655090332
72,3,4,0,0,23.11420440673828
73,3,8,0,0,30.473947525024414
74,5,8,0,0,42.5417423248291
75,3,32,0,0,49.25847053527832
76,3,32,0,0,54.11696434020996
77,3,8,0,0,80.98483085632324
78,5,8,0,0,46.13447189331055
79,5,4,0,1,56.84614181518555
80,3,16,0,1,34.67607498168945
81,5,4,0,0,32.36985206604004
82,5,32,0,0,16.218185424804688
83,5,8,0,0,6.4258575439453125
84,3,16,0,0,28.681278228759766
85,3,16,0,0,47.974586486816406
86,5,16,0,1,61.10572814941406
87,3,4,0,1,65.87815284729004
88,3,8,0,1,83.73546600341797
89,5,8,0,1,95.74437141418457
90,5,8,0,1,94.68436241149902
91,3,4,0,0,-1
92,5,16,0,0,-1
93,5,4,0,0,96.27008438110352
94,5,16,0,1,96.19855880737305
95,3,32,0,1,90.71564674377441
96,5,16,0,1,89.22553062438965
97,3,32,0,0,-1
98,3,4,0,0,65.89937210083008
99,3,4,0,1,87.24641799926758
100,5,32,0,1,72.53885269165039
101,5,32,0,1,89.02168273925781
102,3,16,0,0,79.91218566894531
103,3,16,0,0,-1
104,3,16,0,0,25.759220123291016
105,3,4,0,0,37.0023250579834
106,5,8,0,0,37.60981559753418
107,3,16,0,0,36.85188293457031
108,3,8,0,0,49.67308044433594
109,3,32,0,1,51.52463912963867
110,5,8,0,1,65.69194793701172
111,3,32,0,0,69.82612609863281
112,3,32,0,0,25.766372680664062
113,5,16,0,0,18.616914749145508
114,5,8,0,0,6.249427795410156
115,3,16,0,0,27.58002281188965
116,5,8,0,0,34.616708755493164
117,5,8,0,0,39.64996337890625
118,5,32,0,0,36.54360771179199
119,3,4,0,0,40.235042572021484
120,3,4,0,0,33.010244369506836
121,5,32,0,0,30.291318893432617
122,5,8,0,0,35.32123565673828
123,5,32,0,0,16.444683074951172
124,3,4,0,0,32.238006591796875
125,5,8,0,0,20.76888084411621
126,5,32,0,0,16.228437423706055
127,5,32,0,0,16.673564910888672
128,3,4,0,0,22.5372314453125
129,3,16,0,0,29.460430145263672
130,5,32,0,0,19.051313400268555
131,5,16,0,0,20.961523056030273
132,5,32,0,0,16.123533248901367
133,3,8,0,0,31.915664672851562
134,3,16,0,0,49.63803291320801
135,3,32,0,0,65.95301628112793
136,5,4,0,0,25.1004695892334
137,3,16,0,0,33.83374214172363
138,5,32,0,0,17.116785049438477
139,5,4,0,0,20.143747329711914
140,5,4,0,0,11.568546295166016
141,3,8,0,0,21.566152572631836
142,5,16,0,0,23.923635482788086
143,3,32,0,0,31.287193298339844
144,3,32,0,0,41.91231727600098
145,5,16,0,0,9.832382202148438
146,3,32,0,0,21.880626678466797
147,5,4,0,0,6.325960159301758
148,3,32,0,0,21.561622619628906
149,5,8,0,0,33.55002403259277
150,5,4,0,1,31.782865524291992
151,3,4,0,0,25.343894958496094
152,5,4,0,0,5.726099014282227
153,3,32,0,0,21.683931350708008
154,5,8,0,0,24.42479133605957
155,5,32,0,0,16.12710952758789
156,3,32,0,0,21.227359771728516
157,3,8,0,0,20.762920379638672
158,3,32,0,0,39.51215744018555
159,5,16,0,0,21.559953689575195
160,5,4,0,1,27.77576446533203
161,3,4,0,1,28.380632400512695
162,5,4,0,1,28.49555015563965
163,3,4,0,0,27.888059616088867
164,3,8,0,0,19.521474838256836
165,3,16,0,0,32.30881690979004
166,5,8,0,0,11.134147644042969
167,3,4,0,0,17.348051071166992
168,5,16,0,0,25.371074676513672
169,3,8,0,1,25.350093841552734
170,5,16,0,0,26.29256248474121
171,5,16,0,0,26.195049285888672
172,3,4,0,0,20.48182487487793
173,3,16,0,0,19.16790008544922
174,3,8,0,0,20.05171775817871
175,3,16,0,0,26.581525802612305
176,3,8,0,0,19.77396011352539
177,5,4,0,0,29.303789138793945
178,3,32,0,0,27.49776840209961
179,3,8,0,0,24.287939071655273
180,5,32,0,0,16.546010971069336
181,3,16,0,0,33.64896774291992
182,5,32,0,0,32.35435485839844
183,5,4,0,0,36.48114204406738
184,5,32,0,0,31.65435791015625
185,5,16,0,0,29.406309127807617
186,5,4,0,0,21.765708923339844
187,3,16,0,0,17.64988899230957
188,3,8,0,0,20.804405212402344
189,5,8,0,0,11.128664016723633
190,5,8,0,0,7.72857666015625
191,5,8,0,0,5.882501602172852
192,5,4,0,0,4.697561264038086
193,5,16,0,0,9.439706802368164
194,3,32,0,0,18.325090408325195
195,5,16,0,0,9.656667709350586
196,3,16,0,0,26.86929702758789
197,3,32,0,0,19.4852352142334
198,3,8,0,0,25.669097900390625
199,5,4,0,0,8.858442306518555
200,3,4,0,0,20.49994468688965
201,3,32,0,0,36.926984786987305
202,5,16,0,1,50.15754699707031
203,5,8,0,1,58.27522277832031
204,3,16,0,1,54.346561431884766
205,5,4,0,1,64.47386741638184
206,3,8,0,0,58.15267562866211
207,3,16,0,0,32.64570236206055
208,5,8,0,0,26.863813400268555
209,3,32,0,0,34.00826454162598
210,5,16,0,0,31.995773315429688
211,3,4,0,1,46.521663665771484
212,5,32,0,1,53.86185646057129
213,3,16,0,1,58.95066261291504
214,5,32,0,1,53.22146415710449
215,3,16,0,1,42.139291763305664
216,5,4,0,0,31.719684600830078
217,5,32,0,1,28.086423873901367
218,3,8,0,0,29.773473739624023
219,3,32,0,0,27.09817886352539
220,3,4,0,0,38.98191452026367
221,3,32,0,0,22.44281768798828
222,3,4,0,0,21.491289138793945
223,3,16,0,0,33.68401527404785
224,3,16,0,0,20.879507064819336
225,3,32,0,0,39.29710388183594
226,5,16,0,0,39.16168212890625
227,5,32,0,1,46.883583068847656
228,3,8,0,0,35.105228424072266
229,5,8,0,0,29.552698135375977
230,5,32,0,0,42.12379455566406
231,5,32,0,0,49.234867095947266
232,3,32,0,0,36.09490394592285
233,3,4,0,0,25.171518325805664
234,5,4,0,0,20.366191864013672
235,3,8,0,0,27.93288230895996
236,3,4,0,0,34.80815887451172
237,5,16,0,0,25.543928146362305
238,5,32,0,0,16.48426055908203
239,5,32,0,0,20.212888717651367
240,3,4,0,0,23.920059204101562
241,3,16,0,0,33.05697441101074
242,3,4,0,0,47.414302825927734
243,3,32,0,0,56.24985694885254
244,3,32,0,0,70.5418586730957
245,3,16,0,0,17.179489135742188
246,3,4,0,0,21.648645401000977
247,5,32,0,0,19.354820251464844
248,5,4,0,0,22.65787124633789
249,3,8,0,0,24.060964584350586
250,5,8,0,0,19.94156837463379
251,5,16,0,0,24.486780166625977
252,5,32,0,0,18.45526695251465
253,5,8,0,0,12.787103652954102
254,3,4,0,0,17.340660095214844
255,3,32,0,0,38.06424140930176
256,3,32,0,0,51.98264122009277
257,5,4,0,0,6.850481033325195
258,3,4,0,0,25.357961654663086
259,3,8,0,0,44.78049278259277
260,5,32,0,0,36.557912826538086
261,5,8,0,1,28.32317352294922
262,3,8,0,1,36.61775588989258
263,5,16,0,0,26.214122772216797
264,5,16,0,0,9.384393692016602
265,3,32,0,0,27.762889862060547
266,5,16,0,0,12.15672492980957
267,5,4,0,0,5.154132843017578
268,3,32,0,0,21.166086196899414
269,3,4,0,0,39.32690620422363
270,5,4,0,0,36.9718074798584
271,5,4,0,0,6.060123443603516
272,5,16,0,0,9.10806655883789
273,3,8,0,0,24.398088455200195
274,3,16,0,0,20.769119262695312
275,3,32,0,0,25.307416915893555
276,5,8,0,0,22.747278213500977
277,3,16,0,0,24.173974990844727
278,5,4,0,0,14.25933837890625
279,3,8,0,0,21.64626121520996
280,3,4,0,0,16.70217514038086
281,3,32,0,0,18.52583885192871
282,3,8,0,0,19.069433212280273
283,3,16,0,0,30.131101608276367
284,3,4,0,0,18.874406814575195
285,3,16,0,0,16.679048538208008
286,5,4,0,0,7.626533508300781
287,3,8,0,0,20.75648307800293
288,5,32,0,0,20.14946937561035
289,5,4,0,0,4.200935363769531
290,5,32,0,0,16.065359115600586
291,3,16,0,0,31.730175018310547
292,5,8,0,0,7.773399353027344
293,3,8,0,0,16.502857208251953
294,5,8,0,0,15.526056289672852
295,5,8,0,0,6.6699981689453125
296,5,4,0,0,5.743503570556641
297,3,32,0,0,22.237539291381836
298,3,4,0,0,27.7559757232666
299,3,16,0,0,42.1137809753418
300,3,16,0,0,51.69367790222168
301,5,8,0,0,21.891355514526367
302,5,16,0,0,27.064085006713867
303,5,16,0,0,23.65565299987793
304,5,32,0,0,34.998416900634766
305,5,32,0,0,41.15796089172363
