query_id,model_id,bs,seq_len,search_times,latency
1,6,32,8,0,60.40644645690918
2,6,32,64,0,59.56220626831055
3,6,16,16,0,38.95378112792969
4,2,4,0,0,52.997589111328125
5,6,8,32,0,49.147844314575195
6,2,16,0,0,49.9420166015625
7,6,16,64,0,53.90620231628418
8,6,8,64,0,58.22443962097168
10,2,32,0,1,70.94025611877441
9,6,16,8,1,91.2013053894043
11,2,16,0,0,99.82800483703613
12,2,4,0,1,115.59438705444336
15,6,16,64,1,60.78362464904785
13,2,8,0,1,138.74435424804688
18,6,32,32,1,84.28812026977539
14,2,8,0,1,151.4890193939209
21,6,8,16,1,112.06793785095215
16,2,16,0,1,169.3282127380371
23,6,8,16,1,127.97760963439941
17,2,8,0,0,-1
19,2,8,0,0,-1
24,6,32,64,0,-1
20,2,16,0,0,-1
22,2,32,0,0,-1
28,2,4,0,1,135.9105110168457
25,6,4,64,1,157.20105171203613
29,2,8,0,1,160.88414192199707
26,6,8,8,1,185.35184860229492
27,6,8,32,2,179.69083786010742
30,2,4,0,0,-1
31,2,8,0,0,-1
32,2,16,0,0,-1
33,2,4,0,0,-1
34,2,8,0,0,-1
35,2,4,0,1,134.05513763427734
37,6,4,32,1,119.31705474853516
36,2,4,0,1,152.24862098693848
38,6,4,64,1,143.37563514709473
39,2,32,0,0,-1
40,2,32,0,0,-1
41,2,8,0,0,-1
42,2,8,0,1,151.13496780395508
46,6,32,32,1,121.57607078552246
43,2,16,0,1,161.59844398498535
48,6,16,8,1,128.79514694213867
44,2,32,0,0,-1
45,2,32,0,0,-1
47,2,4,0,0,-1
49,6,32,32,1,134.67693328857422
52,2,8,0,1,132.13801383972168
50,6,8,32,1,157.5644016265869
51,6,4,8,2,171.8146800994873
53,2,32,0,1,163.50221633911133
54,6,32,8,1,160.874605178833
55,6,32,8,0,-1
56,2,16,0,0,-1
57,2,32,0,0,-1
58,2,32,0,0,-1
59,6,32,8,1,115.62657356262207
61,2,32,0,1,131.6375732421875
60,6,4,16,1,133.92305374145508
62,6,4,8,2,140.66243171691895
63,2,8,0,0,-1
64,6,8,8,0,-1
65,6,32,8,0,-1
66,2,32,0,0,-1
67,2,8,0,1,143.5844898223877
68,6,8,32,1,123.64840507507324
69,2,8,0,1,159.1317653656006
70,6,16,8,1,158.61916542053223
71,6,32,64,2,174.39985275268555
72,6,8,16,0,-1
73,6,4,16,0,-1
74,2,16,0,1,149.9013900756836
75,6,16,8,2,157.5326919555664
76,2,8,0,0,-1
77,6,8,32,0,-1
78,2,8,0,0,-1
79,2,4,0,0,-1
80,6,16,32,1,147.2494602203369
84,2,8,0,1,132.83872604370117
81,6,32,64,1,154.16884422302246
82,6,16,8,0,-1
83,6,32,64,0,-1
85,2,32,0,0,-1
86,2,4,0,0,-1
87,2,4,0,0,-1
90,2,16,0,1,110.69464683532715
88,6,32,32,1,136.39354705810547
91,2,16,0,1,131.20651245117188
89,6,8,64,1,161.4542007446289
92,2,4,0,1,166.1531925201416
93,6,8,8,1,165.41123390197754
95,2,4,0,1,178.4799098968506
94,6,8,8,1,183.76541137695312
96,2,16,0,0,-1
97,2,32,0,0,-1
99,6,16,64,0,-1
98,2,32,0,0,-1
100,6,8,16,0,-1
101,2,16,0,0,-1
102,6,8,32,1,145.7202434539795
103,2,16,0,0,-1
104,6,4,8,1,156.43882751464844
105,2,4,0,0,-1
107,2,32,0,0,-1
106,6,32,32,0,-1
108,6,4,8,0,-1
109,2,8,0,0,-1
110,6,32,64,1,143.9039707183838
112,2,16,0,1,142.9004669189453
111,6,8,8,1,152.47011184692383
113,6,32,32,2,148.13780784606934
114,6,32,64,0,-1
115,2,8,0,0,-1
116,2,16,0,0,-1
117,2,32,0,0,-1
121,2,8,0,1,133.6503028869629
118,6,4,16,1,141.43776893615723
119,6,32,64,2,165.33946990966797
120,6,32,16,0,-1
122,6,16,16,0,-1
124,2,32,0,0,-1
123,6,32,8,0,-1
127,2,32,0,1,145.02286911010742
125,6,16,16,0,-1
126,6,4,16,0,-1
129,2,4,0,0,-1
128,6,32,32,1,158.8726043701172
131,2,32,0,1,126.42574310302734
130,6,4,16,1,129.58002090454102
134,2,8,0,1,107.84626007080078
132,6,8,64,1,162.98818588256836
135,2,32,0,1,145.01714706420898
133,6,4,64,1,172.0890998840332
137,2,4,0,1,171.27442359924316
136,6,16,32,1,171.7212200164795
139,2,8,0,1,197.3884105682373
138,6,16,32,1,209.37037467956543
141,2,4,0,0,-1
140,6,8,16,0,-1
142,2,4,0,0,-1
144,6,16,32,0,-1
143,2,8,0,0,-1
146,6,16,32,0,-1
145,2,8,0,0,-1
147,6,4,8,0,-1
149,2,8,0,0,-1
148,6,8,16,0,-1
150,2,16,0,0,-1
151,6,4,16,0,157.96494483947754
152,2,4,0,0,-1
153,2,32,0,0,-1
154,2,16,0,0,-1
155,6,32,32,0,-1
156,2,4,0,0,-1
157,6,16,64,1,157.04894065856934
158,2,32,0,1,140.26474952697754
160,6,8,64,1,105.29708862304688
159,2,4,0,1,173.3262538909912
161,6,32,64,1,141.82066917419434
162,2,32,0,1,177.42466926574707
163,6,8,32,1,174.43156242370605
164,6,4,64,2,176.0690212249756
165,2,32,0,1,190.02318382263184
166,6,16,8,1,186.38038635253906
167,6,8,64,0,-1
172,2,16,0,0,184.21459197998047
168,6,32,16,0,-1
174,2,16,0,0,-1
169,6,4,8,0,-1
176,2,16,0,0,-1
170,6,4,8,0,-1
180,2,32,0,0,131.14476203918457
171,6,32,64,0,-1
184,2,8,0,0,124.4211196899414
173,6,8,8,0,-1
187,2,32,0,0,143.54515075683594
175,6,4,16,0,-1
188,2,4,0,0,-1
177,6,8,8,0,-1
189,2,16,0,0,-1
178,6,32,32,0,-1
190,2,16,0,0,81.6042423248291
179,6,8,16,0,-1
191,2,32,0,0,112.07866668701172
181,6,8,32,0,-1
194,2,8,0,0,137.1757984161377
182,6,32,16,0,-1
198,2,4,0,0,129.49705123901367
183,6,16,64,0,-1
199,2,8,0,0,158.56599807739258
185,6,8,8,0,-1
200,2,4,0,0,-1
186,6,4,8,0,-1
205,2,16,0,0,156.4321517944336
192,6,16,64,0,-1
