query_id,model_id,bs,seq_len,search_times,latency
2,0,32,0,0,59.7531795501709
1,3,32,0,0,74.71919059753418
3,3,16,0,0,81.39610290527344
5,0,4,0,1,67.04306602478027
4,3,8,0,1,71.6714859008789
6,3,8,0,0,78.68838310241699
11,0,4,0,1,30.562877655029297
7,3,4,0,1,50.205230712890625
8,3,4,0,0,64.1336441040039
12,0,32,0,1,51.41401290893555
9,3,8,0,1,79.85806465148926
13,0,16,0,1,58.79092216491699
10,3,16,0,1,94.27165985107422
14,0,4,0,0,60.45079231262207
15,0,8,0,0,60.42361259460449
16,0,8,0,1,53.18737030029297
17,3,16,0,1,36.74435615539551
19,0,8,0,1,49.39746856689453
18,3,16,0,1,50.66347122192383
22,0,8,0,1,52.56223678588867
20,3,32,0,1,67.42119789123535
23,0,16,0,1,78.09877395629883
21,3,16,0,1,89.17808532714844
25,0,4,0,1,87.96262741088867
24,3,8,0,1,88.81592750549316
27,0,32,0,1,63.22288513183594
26,3,16,0,1,81.63595199584961
29,0,4,0,1,53.403377532958984
28,3,16,0,1,59.593915939331055
31,0,16,0,1,62.193870544433594
30,3,16,0,1,71.25592231750488
32,0,16,0,0,70.66059112548828
33,0,4,0,0,66.74790382385254
34,0,8,0,0,71.04730606079102
35,0,4,0,0,64.34082984924316
36,0,8,0,0,55.564165115356445
37,0,16,0,0,62.50619888305664
38,0,4,0,1,73.9908218383789
42,3,4,0,1,26.213884353637695
39,0,8,0,1,98.87051582336426
43,3,8,0,1,50.73285102844238
40,0,4,0,0,77.64124870300293
41,0,4,0,0,84.77950096130371
44,0,4,0,0,80.27219772338867
45,0,32,0,2,90.60811996459961
46,0,32,0,2,92.28992462158203
47,0,8,0,0,-1
48,0,8,0,0,-1
49,0,16,0,1,75.0586986541748
52,3,32,0,1,61.258554458618164
50,0,32,0,1,96.3432788848877
53,3,4,0,1,76.2643814086914
51,0,32,0,2,101.23562812805176
54,3,16,0,0,-1
55,0,8,0,0,-1
56,0,32,0,0,-1
57,3,16,0,1,76.14564895629883
58,0,32,0,1,85.4346752166748
59,3,4,0,1,72.68953323364258
60,0,16,0,1,75.67977905273438
62,3,32,0,1,63.565969467163086
61,0,32,0,1,88.29259872436523
65,3,32,0,1,65.50455093383789
63,0,32,0,1,97.32651710510254
66,3,4,0,1,77.76260375976562
64,0,4,0,2,108.38651657104492
67,0,16,0,1,86.07816696166992
68,3,32,0,1,79.1008472442627
69,0,4,0,1,107.62882232666016
71,3,8,0,1,56.047916412353516
70,0,32,0,1,122.21097946166992
74,3,8,0,1,59.70883369445801
72,0,4,0,1,90.20328521728516
78,3,8,0,1,44.846534729003906
73,0,8,0,1,99.49493408203125
79,3,4,0,1,65.60611724853516
75,0,32,0,1,113.0826473236084
81,3,4,0,1,63.13061714172363
76,0,32,0,0,-1
77,0,8,0,0,-1
82,3,32,0,1,51.68771743774414
80,0,16,0,1,98.85549545288086
83,3,8,0,1,54.32748794555664
84,0,16,0,1,69.46563720703125
86,3,16,0,1,62.935829162597656
85,0,16,0,1,83.13632011413574
89,3,8,0,1,69.64731216430664
87,0,4,0,1,104.53128814697266
90,3,8,0,1,92.34285354614258
88,0,8,0,2,108.86979103088379
91,0,4,0,0,-1
92,3,16,0,0,-1
93,3,4,0,0,-1
94,3,16,0,0,-1
95,0,32,0,0,-1
96,3,16,0,1,100.59499740600586
97,0,32,0,2,113.3565902709961
98,0,4,0,1,97.52416610717773
100,3,32,0,1,82.72528648376465
99,0,4,0,0,-1
101,3,32,0,0,-1
102,0,16,0,0,-1
103,0,16,0,1,85.61038970947266
104,0,16,0,1,56.17260932922363
106,3,8,0,1,49.603939056396484
105,0,4,0,1,75.2248764038086
110,3,8,0,1,41.65339469909668
107,0,16,0,0,73.3652114868164
108,0,8,0,0,74.8751163482666
109,0,32,0,0,74.1269588470459
111,0,32,0,1,89.508056640625
113,3,16,0,1,36.03363037109375
112,0,32,0,1,65.03558158874512
114,3,8,0,1,45.00222206115723
115,0,16,0,0,12.496471405029297
116,3,8,0,0,38.01417350769043
117,3,8,0,0,52.72316932678223
119,0,4,0,1,49.735069274902344
118,3,32,0,1,58.68387222290039
120,0,4,0,1,48.74134063720703
121,3,32,0,1,46.039581298828125
122,3,8,0,0,60.65869331359863
123,3,32,0,0,55.756568908691406
124,0,4,0,0,31.349897384643555
125,3,8,0,0,40.222883224487305
126,3,32,0,0,34.73019599914551
127,3,32,0,0,41.97096824645996
128,0,4,0,0,33.83660316467285
129,0,16,0,0,23.256778717041016
130,3,32,0,0,38.00535202026367
131,3,16,0,0,55.14836311340332
132,3,32,0,0,52.82926559448242
133,0,8,0,0,61.129093170166016
134,0,16,0,1,85.63780784606934
136,3,4,0,1,53.4820556640625
135,0,32,0,1,112.85519599914551
138,3,32,0,1,65.73152542114258
137,0,16,0,1,99.0302562713623
139,3,4,0,1,81.7723274230957
141,0,8,0,1,76.23696327209473
140,3,4,0,1,91.51721000671387
143,0,32,0,1,81.79187774658203
142,3,16,0,1,83.0533504486084
144,0,32,0,1,92.9102897644043
145,3,16,0,1,71.4263916015625
146,0,32,0,1,76.09057426452637
147,3,4,0,1,44.10529136657715
148,0,32,0,1,44.72708702087402
149,3,8,0,1,44.2500114440918
151,0,4,0,1,53.16329002380371
150,3,4,0,1,57.78813362121582
153,0,32,0,1,45.51863670349121
152,3,4,0,1,48.66456985473633
154,3,8,0,0,65.5672550201416
155,3,32,0,0,61.15078926086426
156,0,32,0,0,53.18927764892578
157,0,8,0,0,34.667253494262695
158,0,32,0,1,61.28120422363281
159,3,16,0,1,45.447349548339844
161,0,4,0,1,67.23642349243164
160,3,4,0,1,68.16625595092773
163,0,4,0,1,74.24569129943848
162,3,4,0,1,78.66787910461426
164,0,8,0,1,72.18098640441895
166,3,8,0,1,55.73391914367676
165,0,16,0,1,94.89941596984863
168,3,16,0,1,66.8039321899414
167,0,4,0,1,87.95309066772461
170,3,16,0,1,80.9624195098877
169,0,8,0,1,101.32718086242676
171,3,16,0,1,96.76837921142578
172,0,4,0,1,84.46335792541504
177,3,4,0,1,43.193817138671875
173,0,16,0,1,99.71904754638672
180,3,32,0,1,41.1221981048584
174,0,8,0,1,108.9024543762207
182,3,32,0,1,45.279502868652344
175,0,16,0,0,-1
176,0,8,0,0,-1
178,0,32,0,0,-1
179,0,8,0,1,90.62337875366211
183,3,4,0,1,64.52775001525879
181,0,16,0,1,100.33845901489258
184,3,32,0,1,79.98967170715332
187,0,16,0,1,58.475494384765625
185,3,16,0,1,95.12829780578613
188,0,8,0,1,61.58566474914551
186,3,4,0,1,108.3524227142334
189,3,8,0,0,68.22657585144043
190,3,8,0,0,56.75387382507324
194,0,32,0,1,41.29219055175781
191,3,8,0,1,66.30492210388184
196,0,16,0,1,47.01948165893555
192,3,4,0,1,85.83307266235352
197,0,32,0,1,52.153825759887695
193,3,16,0,1,99.39789772033691
198,0,8,0,1,67.70205497741699
195,3,16,0,1,88.46735954284668
200,0,4,0,1,68.66884231567383
199,3,4,0,1,72.1588134765625
201,0,32,0,1,81.40110969543457
202,3,16,0,1,78.31692695617676
204,0,16,0,1,93.60885620117188
203,3,8,0,1,97.13602066040039
205,3,4,0,2,117.7511215209961
206,0,8,0,0,-1
207,0,16,0,0,-1
208,3,8,0,0,-1
209,0,32,0,1,92.13662147521973
211,0,4,0,1,94.50626373291016
210,3,16,0,1,98.18291664123535
212,3,32,0,0,-1
213,0,16,0,0,-1
214,3,32,0,0,-1
215,0,16,0,1,92.88477897644043
216,3,4,0,1,86.24386787414551
218,0,8,0,1,93.95861625671387
217,3,32,0,1,97.68533706665039
219,0,32,0,0,86.669921875
220,0,4,0,0,91.82357788085938
221,0,32,0,0,85.71410179138184
222,0,4,0,0,85.23321151733398
223,0,16,0,0,90.52085876464844
224,0,16,0,0,28.21516990661621
226,3,16,0,0,25.3140926361084
225,0,32,0,1,48.287391662597656
227,3,32,0,1,42.073726654052734
228,0,8,0,1,55.17292022705078
229,3,8,0,1,49.094438552856445
232,0,32,0,1,48.47526550292969
230,3,32,0,1,69.61178779602051
233,0,4,0,1,47.83153533935547
231,3,32,0,1,80.56521415710449
235,0,8,0,1,54.30126190185547
234,3,4,0,1,54.7792911529541
236,0,4,0,1,76.23958587646484
237,3,16,0,1,66.64180755615234
240,0,4,0,1,60.12082099914551
238,3,32,0,1,73.40145111083984
241,0,16,0,1,79.42461967468262
239,3,32,0,1,90.6827449798584
242,0,4,0,0,93.12152862548828
243,0,32,0,2,107.22804069519043
244,0,32,0,0,-1
245,0,16,0,1,82.9019546508789
247,3,32,0,1,67.17610359191895
246,0,4,0,1,100.5392074584961
248,3,4,0,1,86.96722984313965
249,0,8,0,1,109.76576805114746
250,3,8,0,1,105.01885414123535
251,3,16,0,2,122.56526947021484
252,3,32,0,0,-1
253,3,8,0,0,-1
254,0,4,0,0,-1
255,0,32,0,0,-1
256,0,32,0,0,-1
258,0,4,0,1,82.25560188293457
257,3,4,0,1,88.62996101379395
259,0,8,0,1,97.35274314880371
260,3,32,0,1,91.83907508850098
262,0,8,0,1,97.00155258178711
261,3,8,0,1,97.54252433776855
265,0,32,0,1,77.43430137634277
263,3,16,0,1,106.21261596679688
268,0,32,0,1,70.34134864807129
264,3,16,0,1,94.92230415344238
269,0,4,0,1,83.34660530090332
266,3,16,0,1,96.06099128723145
273,0,8,0,1,62.833309173583984
267,3,4,0,1,103.36422920227051
274,0,16,0,1,64.40234184265137
270,3,4,0,1,111.11021041870117
275,0,32,0,1,72.15189933776855
271,3,4,0,1,106.56285285949707
277,0,16,0,1,82.28635787963867
