query_id,model_id,bs,seq_len,search_times,latency
1,6,32,8,0,59.22985076904297
2,6,32,64,0,49.22223091125488
3,6,16,16,0,12.51673698425293
4,4,4,0,0,9.885549545288086
5,6,8,32,0,20.91693878173828
6,4,16,0,0,13.81230354309082
7,6,16,64,0,18.0819034576416
8,6,8,64,0,15.820741653442383
9,6,16,8,0,15.839338302612305
10,4,32,0,0,22.702932357788086
11,4,16,0,0,32.92059898376465
12,4,4,0,0,17.96865463256836
13,4,8,0,0,8.34512710571289
14,4,8,0,0,7.565021514892578
15,6,16,64,0,18.13364028930664
16,4,16,0,0,28.867721557617188
17,4,8,0,0,28.165817260742188
18,6,32,32,0,28.302907943725586
19,4,8,0,0,23.098468780517578
20,4,16,0,1,28.554201126098633
21,6,8,16,1,46.94390296936035
22,4,32,0,0,48.77781867980957
23,6,8,16,0,27.225971221923828
24,6,32,64,0,32.80806541442871
25,6,4,64,0,29.614686965942383
26,6,8,8,0,44.8307991027832
27,6,8,32,0,22.34172821044922
28,4,4,0,0,22.255659103393555
29,4,8,0,0,20.835161209106445
30,4,4,0,0,5.298614501953125
31,4,8,0,0,6.305456161499023
32,4,16,0,0,13.531923294067383
33,4,4,0,0,7.400989532470703
34,4,8,0,0,11.82103157043457
35,4,4,0,0,4.105329513549805
36,4,4,0,0,4.151582717895508
37,6,4,32,0,15.539884567260742
38,6,4,64,0,33.44440460205078
39,4,32,0,0,24.625778198242188
40,4,32,0,0,23.23007583618164
41,4,8,0,0,22.39394187927246
42,4,8,0,0,6.514072418212891
43,4,16,0,0,9.979248046875
44,4,32,0,0,18.880367279052734
45,4,32,0,0,22.400856018066406
46,6,32,32,0,29.10923957824707
47,4,4,0,0,11.471986770629883
48,6,16,8,0,18.755674362182617
49,6,32,32,0,13.40484619140625
50,6,8,32,0,26.61585807800293
51,6,4,8,0,16.559123992919922
52,4,8,0,0,6.181001663208008
53,4,32,0,0,17.775535583496094
54,6,32,8,0,31.005859375
55,6,32,8,0,20.888328552246094
56,4,16,0,0,10.146379470825195
57,4,32,0,0,17.784833908081055
58,4,32,0,0,23.77462387084961
59,6,32,8,0,17.554521560668945
60,6,4,16,0,28.149843215942383
61,4,32,0,0,26.587486267089844
62,6,4,8,1,27.41098403930664
63,4,8,0,1,38.054704666137695
64,6,8,8,0,39.615631103515625
65,6,32,8,0,45.661211013793945
66,4,32,0,0,23.496627807617188
67,4,8,0,0,21.627187728881836
68,6,8,32,0,13.085365295410156
69,4,8,0,0,23.231029510498047
70,6,16,8,0,27.838468551635742
71,6,32,64,0,23.909568786621094
