query_id,model_id,bs,seq_len,search_times,latency
1,5,32,0,0,-1
2,4,32,0,0,35.04776954650879
3,5,16,0,0,41.07499122619629
4,5,8,0,0,9.061574935913086
5,4,4,0,0,6.453514099121094
6,5,8,0,0,8.35418701171875
7,5,4,0,0,7.1506500244140625
8,5,4,0,0,10.178565979003906
9,5,8,0,0,7.915019989013672
10,5,16,0,0,13.232946395874023
11,4,4,0,0,6.171464920043945
12,4,32,0,0,20.310640335083008
13,4,16,0,0,15.987873077392578
14,4,4,0,0,5.333662033081055
15,4,8,0,0,6.884098052978516
16,4,8,0,0,7.038116455078125
17,5,16,0,0,13.086795806884766
18,5,16,0,0,31.568527221679688
19,4,8,0,0,30.58481216430664
20,5,32,0,0,36.65447235107422
21,5,16,0,0,37.072181701660156
22,4,8,0,0,26.041269302368164
23,4,16,0,0,32.16075897216797
24,5,8,0,1,21.657228469848633
25,4,4,0,0,21.731138229370117
26,5,16,0,0,12.97903060913086
27,4,32,0,0,18.00060272216797
28,5,16,0,0,10.21718978881836
29,4,4,0,0,4.236698150634766
30,5,16,0,0,10.14566421508789
31,4,16,0,0,9.374380111694336
32,4,16,0,0,12.986898422241211
33,4,4,0,0,4.160881042480469
34,4,8,0,0,5.40614128112793
35,4,4,0,0,4.445314407348633
36,4,8,0,0,5.451440811157227
37,4,16,0,0,11.439085006713867
38,4,4,0,0,5.376338958740234
39,4,8,0,0,9.333133697509766
40,4,4,0,0,3.667593002319336
41,4,4,0,0,5.657196044921875
42,5,4,0,0,5.55872917175293
43,5,8,0,0,9.978055953979492
44,4,4,0,0,6.888866424560547
45,4,32,0,0,16.233205795288086
46,4,32,0,0,16.36362075805664
47,4,8,0,0,16.15142822265625
48,4,8,0,0,5.68079948425293
49,4,16,0,0,9.054422378540039
50,4,32,0,0,16.74365997314453
51,4,32,0,0,16.703367233276367
52,5,32,0,0,33.445119857788086
53,5,4,0,0,-1
54,5,16,0,0,21.315813064575195
55,4,8,0,0,5.966424942016602
56,4,32,0,0,15.936136245727539
57,5,16,0,0,10.212421417236328
58,4,32,0,0,16.12067222595215
59,5,4,0,0,8.562326431274414
60,4,16,0,0,9.013175964355469
61,4,32,0,0,14.121770858764648
62,5,32,0,0,-1
63,4,32,0,0,13.950109481811523
64,4,4,0,0,7.411718368530273
65,5,32,0,0,19.03223991394043
66,5,4,0,0,5.37109375
67,4,16,0,0,8.276939392089844
68,5,32,0,0,16.672611236572266
69,4,4,0,0,18.609046936035156
70,4,32,0,0,16.664743423461914
71,5,8,0,0,5.440235137939453
72,4,4,0,0,3.7605762481689453
73,4,8,0,0,4.986047744750977
74,5,8,0,0,6.36601448059082
75,4,32,0,0,13.915061950683594
76,4,32,0,0,15.41447639465332
77,4,8,0,0,19.135236740112305
78,5,8,0,0,5.534648895263672
79,5,4,0,0,7.07697868347168
80,4,16,0,0,8.225679397583008
81,5,4,0,0,9.045839309692383
82,5,32,0,0,15.77615737915039
83,5,8,0,0,5.528688430786133
84,4,16,0,0,8.332490921020508
85,4,16,0,0,8.647680282592773
86,5,16,0,0,14.95504379272461
87,4,4,0,0,11.585712432861328
88,4,8,0,0,8.866071701049805
