query_id,model_id,bs,seq_len,latency
1.0,6.0,32.0,8.0,56.55789375305176
2.0,6.0,32.0,64.0,45.16243934631348
3.0,6.0,16.0,16.0,15.522003173828125
4.0,3.0,4.0,0.0,24.189472198486328
5.0,6.0,8.0,32.0,28.460979461669922
6.0,3.0,16.0,0.0,23.242712020874023
7.0,6.0,16.0,64.0,19.060373306274414
8.0,6.0,8.0,64.0,14.327764511108398
9.0,6.0,16.0,8.0,12.165546417236328
10.0,3.0,32.0,0.0,23.901700973510742
11.0,3.0,16.0,0.0,37.284135818481445
12.0,3.0,4.0,0.0,33.907175064086914
13.0,3.0,8.0,0.0,23.305892944335938
14.0,3.0,8.0,0.0,14.90330696105957
15.0,6.0,16.0,64.0,15.453815460205078
16.0,3.0,16.0,0.0,28.968334197998047
17.0,3.0,8.0,0.0,37.23645210266113
18.0,6.0,32.0,32.0,32.346248626708984
19.0,3.0,8.0,0.0,39.743661880493164
21.0,6.0,8.0,16.0,50.88043212890625
20.0,3.0,16.0,0.0,67.11578369140625
23.0,6.0,8.0,16.0,42.33717918395996
22.0,3.0,32.0,0.0,100.66699981689453
24.0,6.0,32.0,64.0,63.80033493041992
25.0,6.0,4.0,64.0,58.074951171875
28.0,3.0,4.0,0.0,31.732797622680664
26.0,6.0,8.0,8.0,86.08508110046387
29.0,3.0,8.0,0.0,57.27958679199219
27.0,6.0,8.0,32.0,79.67567443847656
30.0,3.0,4.0,0.0,57.43408203125
31.0,3.0,8.0,0.0,38.48409652709961
32.0,3.0,16.0,0.0,51.542043685913086
33.0,3.0,4.0,0.0,57.424068450927734
34.0,3.0,8.0,0.0,72.33762741088867
35.0,3.0,4.0,0.0,23.41914176940918
36.0,3.0,4.0,0.0,26.194095611572266
37.0,6.0,4.0,32.0,22.825241088867188
38.0,6.0,4.0,64.0,33.095359802246094
39.0,3.0,32.0,0.0,44.393301010131836
40.0,3.0,32.0,0.0,44.54350471496582
41.0,3.0,8.0,0.0,54.064035415649414
42.0,3.0,8.0,0.0,45.664072036743164
43.0,3.0,16.0,0.0,30.1055908203125
44.0,3.0,32.0,0.0,37.80198097229004
46.0,6.0,32.0,32.0,36.21029853820801
45.0,3.0,32.0,0.0,52.37436294555664
47.0,3.0,4.0,0.0,46.67973518371582
48.0,6.0,16.0,8.0,44.56663131713867
49.0,6.0,32.0,32.0,29.335498809814453
50.0,6.0,8.0,32.0,37.93621063232422
51.0,6.0,4.0,8.0,27.033567428588867
