query_id,model_id,bs,seq_len,latency
1.0,5.0,32.0,0.0,64.24164772033691
2.0,2.0,32.0,0.0,70.58215141296387
3.0,5.0,16.0,0.0,78.25374603271484
5.0,2.0,4.0,0.0,47.52683639526367
4.0,5.0,8.0,0.0,64.82219696044922
6.0,5.0,8.0,0.0,57.112693786621094
7.0,5.0,4.0,0.0,7.59577751159668
8.0,5.0,4.0,0.0,13.13328742980957
9.0,5.0,8.0,0.0,7.107734680175781
10.0,5.0,16.0,0.0,11.593341827392578
11.0,2.0,4.0,0.0,37.247419357299805
12.0,2.0,32.0,0.0,39.86668586730957
13.0,2.0,16.0,0.0,54.53658103942871
14.0,2.0,4.0,0.0,68.40157508850098
15.0,2.0,8.0,0.0,77.89397239685059
16.0,2.0,8.0,0.0,61.58876419067383
17.0,5.0,16.0,0.0,39.15715217590332
19.0,2.0,8.0,0.0,66.65301322937012
18.0,5.0,16.0,0.0,79.38694953918457
22.0,2.0,8.0,0.0,69.05865669250488
20.0,5.0,32.0,0.0,117.0198917388916
23.0,2.0,16.0,0.0,111.5875244140625
21.0,5.0,16.0,0.0,143.7849998474121
25.0,2.0,4.0,0.0,128.76009941101074
24.0,5.0,8.0,0.0,136.66629791259766
27.0,2.0,32.0,0.0,73.21047782897949
26.0,5.0,16.0,0.0,118.98422241210938
29.0,2.0,4.0,0.0,62.41273880004883
28.0,5.0,16.0,0.0,83.57548713684082
31.0,2.0,16.0,0.0,71.91944122314453
30.0,5.0,16.0,0.0,98.7851619720459
32.0,2.0,16.0,0.0,103.49106788635254
33.0,2.0,4.0,0.0,105.20768165588379
34.0,2.0,8.0,0.0,131.6659450531006
35.0,2.0,4.0,0.0,128.07202339172363
36.0,2.0,8.0,0.0,130.17797470092773
37.0,2.0,16.0,0.0,162.200927734375
42.0,5.0,4.0,0.0,60.65773963928223
43.0,5.0,8.0,0.0,66.03145599365234
38,2,4,0,-1
39,2,8,0,-1
40.0,2.0,4.0,0.0,125.80347061157227
41.0,2.0,4.0,0.0,141.2980556488037
44.0,2.0,4.0,0.0,140.31195640563965
45.0,2.0,32.0,0.0,155.5190086364746
52.0,5.0,32.0,0.0,57.59620666503906
