query_id,model_id,bs,seq_len,latency
1.0,6.0,32.0,8.0,42.03605651855469
2.0,6.0,32.0,64.0,44.93260383605957
3.0,6.0,16.0,16.0,26.595115661621094
4.0,0.0,4.0,0.0,17.05765724182129
5.0,6.0,8.0,32.0,25.99787712097168
6.0,0.0,16.0,0.0,18.824100494384766
7.0,6.0,16.0,64.0,17.69399642944336
8.0,6.0,8.0,64.0,21.840810775756836
9.0,6.0,16.0,8.0,25.003910064697266
10.0,0.0,32.0,0.0,21.839618682861328
11.0,0.0,16.0,0.0,36.8199348449707
12.0,0.0,4.0,0.0,38.28144073486328
13.0,0.0,8.0,0.0,40.79890251159668
14.0,0.0,8.0,0.0,29.31356430053711
15.0,6.0,16.0,64.0,25.049686431884766
16.0,0.0,16.0,0.0,34.84845161437988
17.0,0.0,8.0,0.0,42.331695556640625
18.0,6.0,32.0,32.0,45.78518867492676
19.0,0.0,8.0,0.0,51.175832748413086
21.0,6.0,8.0,16.0,58.8381290435791
20.0,0.0,16.0,0.0,75.83451271057129
23.0,6.0,8.0,16.0,69.95987892150879
24.0,6.0,32.0,64.0,79.19979095458984
22,0,32,0,-1
25.0,6.0,4.0,64.0,85.02674102783203
28.0,0.0,4.0,0.0,76.90119743347168
29.0,0.0,8.0,0.0,85.2363109588623
26,6,8,8,-1
30.0,0.0,4.0,0.0,81.78830146789551
27,6,8,32,-1
31.0,0.0,8.0,0.0,76.41100883483887
37.0,6.0,4.0,32.0,38.033485412597656
38.0,6.0,4.0,64.0,49.886465072631836
32,0,16,0,-1
33,0,4,0,-1
34,0,8,0,-1
35.0,0.0,4.0,0.0,82.3216438293457
46.0,6.0,32.0,32.0,22.515296936035156
36,0,4,0,-1
48.0,6.0,16.0,8.0,18.152713775634766
39,0,32,0,-1
49.0,6.0,32.0,32.0,19.31023597717285
40,0,32,0,-1
50.0,6.0,8.0,32.0,30.918359756469727
41,0,8,0,-1
51.0,6.0,4.0,8.0,36.07988357543945
42,0,8,0,-1
54.0,6.0,32.0,8.0,27.333736419677734
43,0,16,0,-1
55.0,6.0,32.0,8.0,28.882980346679688
44,0,32,0,-1
45,0,32,0,-1
47,0,4,0,-1
52.0,0.0,8.0,0.0,71.12908363342285
53.0,0.0,32.0,0.0,73.09436798095703
56.0,0.0,16.0,0.0,56.65922164916992
59.0,6.0,32.0,8.0,36.370038986206055
57.0,0.0,32.0,0.0,78.6740779876709
60.0,6.0,4.0,16.0,59.04722213745117
62.0,6.0,4.0,8.0,65.89031219482422
58,0,32,0,-1
61.0,0.0,32.0,0.0,87.1572494506836
64.0,6.0,8.0,8.0,94.62547302246094
63,0,8,0,-1
65,6,32,8,-1
66.0,0.0,32.0,0.0,86.64774894714355
68.0,6.0,8.0,32.0,79.62489128112793
67,0,8,0,-1
70,6,16,8,-1
71.0,6.0,32.0,64.0,82.77249336242676
69,0,8,0,-1
72.0,6.0,8.0,16.0,87.45336532592773
74.0,0.0,16.0,0.0,67.98410415649414
76.0,0.0,8.0,0.0,61.80739402770996
73,6,4,16,-1
78.0,0.0,8.0,0.0,71.72274589538574
75,6,16,8,-1
79.0,0.0,4.0,0.0,83.5580825805664
77,6,8,32,-1
84.0,0.0,8.0,0.0,64.10574913024902
80,6,16,32,-1
85.0,0.0,32.0,0.0,73.28987121582031
81,6,32,64,-1
86.0,0.0,4.0,0.0,74.63383674621582
82,6,16,8,-1
87.0,0.0,4.0,0.0,85.17241477966309
83,6,32,64,-1
88.0,6.0,32.0,32.0,89.39099311828613
90.0,0.0,16.0,0.0,77.54969596862793
91.0,0.0,16.0,0.0,84.60783958435059
89,6,8,64,-1
92,0,4,0,-1
93,6,8,8,-1
94.0,6.0,8.0,8.0,80.23858070373535
95.0,0.0,4.0,0.0,89.69354629516602
99.0,6.0,16.0,64.0,76.54047012329102
96,0,16,0,-1
100.0,6.0,8.0,16.0,79.18572425842285
97,0,32,0,-1
102.0,6.0,8.0,32.0,78.74393463134766
98,0,32,0,-1
104.0,6.0,4.0,8.0,76.83801651000977
101,0,16,0,-1
106.0,6.0,32.0,32.0,87.17703819274902
103,0,16,0,-1
108.0,6.0,4.0,8.0,87.38565444946289
105,0,4,0,-1
110.0,6.0,32.0,64.0,80.20472526550293
107,0,32,0,-1
111.0,6.0,8.0,8.0,86.19832992553711
109,0,8,0,-1
113.0,6.0,32.0,32.0,78.0937671661377
112,0,16,0,-1
114.0,6.0,32.0,64.0,85.88600158691406
115.0,0.0,8.0,0.0,83.41097831726074
118.0,6.0,4.0,16.0,61.173200607299805
116,0,16,0,-1
119.0,6.0,32.0,64.0,71.20060920715332
117,0,32,0,-1
120.0,6.0,32.0,16.0,77.43978500366211
121.0,0.0,8.0,0.0,92.60439872741699
124,0,32,0,-1
122,6,16,16,-1
127.0,0.0,32.0,0.0,53.34782600402832
123,6,32,8,-1
129.0,0.0,4.0,0.0,35.806894302368164
125,6,16,16,-1
131.0,0.0,32.0,0.0,13.924121856689453
126,6,4,16,-1
128.0,6.0,32.0,32.0,74.86629486083984
130.0,6.0,4.0,16.0,41.01729393005371
132.0,6.0,8.0,64.0,48.39634895324707
133.0,6.0,4.0,64.0,30.894994735717773
134.0,0.0,8.0,0.0,16.8607234954834
