query_id,model_id,bs,seq_len,latency
1.0,3.0,32.0,0.0,54.94260787963867
2.0,0.0,32.0,0.0,59.62991714477539
3.0,3.0,16.0,0.0,72.76248931884766
5.0,0.0,4.0,0.0,56.23888969421387
4.0,3.0,8.0,0.0,79.58292961120605
6.0,3.0,8.0,0.0,86.6239070892334
11.0,0.0,4.0,0.0,41.09525680541992
7.0,3.0,4.0,0.0,76.40576362609863
12.0,0.0,32.0,0.0,55.945634841918945
8.0,3.0,4.0,0.0,106.55879974365234
13.0,0.0,16.0,0.0,75.22892951965332
14.0,0.0,4.0,0.0,79.91528511047363
9,3,8,0,-1
15.0,0.0,8.0,0.0,81.01963996887207
10,3,16,0,-1
16.0,0.0,8.0,0.0,70.4660415649414
17.0,3.0,16.0,0.0,74.8441219329834
18.0,3.0,16.0,0.0,90.12794494628906
19.0,0.0,8.0,0.0,106.20522499084473
20.0,3.0,32.0,0.0,116.05477333068848
22.0,0.0,8.0,0.0,112.14685440063477
23,0,16,0,-1
21,3,16,0,-1
25,0,4,0,-1
24,3,8,0,-1
26.0,3.0,16.0,0.0,93.52302551269531
27.0,0.0,32.0,0.0,86.98439598083496
28.0,3.0,16.0,0.0,87.90159225463867
29.0,0.0,4.0,0.0,90.61503410339355
30.0,3.0,16.0,0.0,109.83395576477051
31.0,0.0,16.0,0.0,113.44099044799805
42.0,3.0,4.0,0.0,29.873371124267578
32,0,16,0,-1
43.0,3.0,8.0,0.0,44.78120803833008
33,0,4,0,-1
34,0,8,0,-1
35,0,4,0,-1
36,0,8,0,-1
37.0,0.0,16.0,0.0,107.76877403259277
38,0,4,0,-1
39,0,8,0,-1
40.0,0.0,4.0,0.0,79.02383804321289
41.0,0.0,4.0,0.0,81.27641677856445
44.0,0.0,4.0,0.0,76.84540748596191
52.0,3.0,32.0,0.0,28.30982208251953
45.0,0.0,32.0,0.0,95.50976753234863
53.0,3.0,4.0,0.0,45.98855972290039
54.0,3.0,16.0,0.0,60.244083404541016
46,0,32,0,-1
57.0,3.0,16.0,0.0,39.708614349365234
47,0,8,0,-1
59.0,3.0,4.0,0.0,33.1575870513916
48,0,8,0,-1
62.0,3.0,32.0,0.0,19.171953201293945
49,0,16,0,-1
50,0,32,0,-1
51,0,32,0,-1
55.0,0.0,8.0,0.0,110.01157760620117
65.0,3.0,32.0,0.0,31.15558624267578
56,0,32,0,-1
58.0,0.0,32.0,0.0,110.34679412841797
66.0,3.0,4.0,0.0,51.37133598327637
60.0,0.0,16.0,0.0,112.98251152038574
68.0,3.0,32.0,0.0,53.32446098327637
71.0,3.0,8.0,0.0,16.646385192871094
61,0,32,0,-1
63,0,32,0,-1
64,0,4,0,-1
67.0,0.0,16.0,0.0,85.27398109436035
69.0,0.0,4.0,0.0,95.75128555297852
74.0,3.0,8.0,0.0,40.647029876708984
78.0,3.0,8.0,0.0,25.97212791442871
70,0,32,0,-1
72.0,0.0,4.0,0.0,80.67011833190918
79.0,3.0,4.0,0.0,53.392887115478516
73.0,0.0,8.0,0.0,99.82061386108398
81.0,3.0,4.0,0.0,64.48030471801758
82.0,3.0,32.0,0.0,51.08332633972168
75,0,32,0,-1
83.0,3.0,8.0,0.0,54.80051040649414
76,0,32,0,-1
86.0,3.0,16.0,0.0,59.087276458740234
77,0,8,0,-1
89.0,3.0,8.0,0.0,62.72077560424805
80,0,16,0,-1
84.0,0.0,16.0,0.0,90.24381637573242
90.0,3.0,8.0,0.0,86.04574203491211
92.0,3.0,16.0,0.0,96.79484367370605
85,0,16,0,-1
93.0,3.0,4.0,0.0,107.00631141662598
87,0,4,0,-1
88,0,8,0,-1
94,3,16,0,-1
96.0,3.0,16.0,0.0,104.34389114379883
91,0,4,0,-1
100.0,3.0,32.0,0.0,79.18477058410645
95,0,32,0,-1
101.0,3.0,32.0,0.0,94.8033332824707
97,0,32,0,-1
106.0,3.0,8.0,0.0,47.29747772216797
98,0,4,0,-1
110.0,3.0,8.0,0.0,29.572486877441406
99,0,4,0,-1
102,0,16,0,-1
103,0,16,0,-1
104.0,0.0,16.0,0.0,85.69526672363281
105.0,0.0,4.0,0.0,94.57182884216309
107.0,0.0,16.0,0.0,88.75179290771484
113.0,3.0,16.0,0.0,27.508020401000977
108.0,0.0,8.0,0.0,107.56850242614746
114.0,3.0,8.0,0.0,45.896053314208984
109,0,32,0,-1
111,0,32,0,-1
112.0,0.0,32.0,0.0,78.8886547088623
115.0,0.0,16.0,0.0,13.807535171508789
116.0,3.0,8.0,0.0,29.111146926879883
117.0,3.0,8.0,0.0,43.91217231750488
119.0,0.0,4.0,0.0,34.55018997192383
118.0,3.0,32.0,0.0,61.68317794799805
120.0,0.0,4.0,0.0,49.00479316711426
121.0,3.0,32.0,0.0,68.09306144714355
122.0,3.0,8.0,0.0,84.0446949005127
124.0,0.0,4.0,0.0,38.00058364868164
123.0,3.0,32.0,0.0,93.35184097290039
125.0,3.0,8.0,0.0,65.99140167236328
126.0,3.0,32.0,0.0,58.434486389160156
128.0,0.0,4.0,0.0,54.64982986450195
127.0,3.0,32.0,0.0,89.25056457519531
