query_id,model_id,bs,seq_len,latency
1.0,1.0,32.0,0.0,55.96613883972168
2.0,0.0,32.0,0.0,57.42168426513672
3.0,1.0,16.0,0.0,79.3306827545166
5.0,0.0,4.0,0.0,59.57961082458496
4.0,1.0,8.0,0.0,83.18042755126953
6.0,1.0,8.0,0.0,97.21779823303223
11.0,0.0,4.0,0.0,46.03219032287598
7.0,1.0,4.0,0.0,90.63506126403809
12.0,0.0,32.0,0.0,66.90478324890137
13.0,0.0,16.0,0.0,64.19491767883301
8,1,4,0,-1
14.0,0.0,4.0,0.0,71.69318199157715
9,1,8,0,-1
15.0,0.0,8.0,0.0,67.84343719482422
10,1,16,0,-1
16.0,0.0,8.0,0.0,52.14285850524902
17.0,1.0,16.0,0.0,57.683467864990234
18.0,1.0,16.0,0.0,73.11248779296875
19.0,0.0,8.0,0.0,80.76095581054688
20.0,1.0,32.0,0.0,93.69230270385742
22.0,0.0,8.0,0.0,91.60661697387695
23.0,0.0,16.0,0.0,98.2213020324707
21,1,16,0,-1
24.0,1.0,8.0,0.0,105.22103309631348
25.0,0.0,4.0,0.0,113.06238174438477
26.0,1.0,16.0,0.0,106.7812442779541
27.0,0.0,32.0,0.0,103.8362979888916
28.0,1.0,16.0,0.0,104.86268997192383
29.0,0.0,4.0,0.0,115.8137321472168
31,0,16,0,-1
30,1,16,0,-1
32,0,16,0,-1
33.0,0.0,4.0,0.0,97.12982177734375
34.0,0.0,8.0,0.0,101.64380073547363
42.0,1.0,4.0,0.0,31.10027313232422
43.0,1.0,8.0,0.0,46.07224464416504
35,0,4,0,-1
36,0,8,0,-1
37,0,16,0,-1
38.0,0.0,4.0,0.0,103.60002517700195
39,0,8,0,-1
40.0,0.0,4.0,0.0,79.46991920471191
41.0,0.0,4.0,0.0,81.4962387084961
44.0,0.0,4.0,0.0,77.09550857543945
52.0,1.0,32.0,0.0,29.778718948364258
45.0,0.0,32.0,0.0,97.01275825500488
53.0,1.0,4.0,0.0,46.37575149536133
54.0,1.0,16.0,0.0,60.55951118469238
46,0,32,0,-1
57.0,1.0,16.0,0.0,40.254831314086914
47,0,8,0,-1
59.0,1.0,4.0,0.0,34.79576110839844
