query_id,model_id,bs,seq_len,latency
1.0,6.0,32.0,8.0,55.104970932006836
2.0,6.0,32.0,64.0,44.7688102722168
3.0,6.0,16.0,16.0,15.833616256713867
4.0,5.0,4.0,0.0,5.8155059814453125
5.0,6.0,8.0,32.0,15.061378479003906
6.0,5.0,16.0,0.0,15.273809432983398
7.0,6.0,16.0,64.0,11.518239974975586
8.0,6.0,8.0,64.0,12.72439956665039
9.0,6.0,16.0,8.0,15.405416488647461
10.0,5.0,32.0,0.0,25.518417358398438
11.0,5.0,16.0,0.0,37.114620208740234
12.0,5.0,4.0,0.0,24.890422821044922
13.0,5.0,8.0,0.0,7.8907012939453125
14.0,5.0,8.0,0.0,8.029937744140625
15.0,6.0,16.0,64.0,11.919736862182617
16.0,5.0,16.0,0.0,23.40841293334961
17.0,5.0,8.0,0.0,23.797035217285156
18.0,6.0,32.0,32.0,24.52826499938965
19.0,5.0,8.0,0.0,20.827293395996094
21.0,6.0,8.0,16.0,24.1849422454834
20.0,5.0,16.0,0.0,38.49911689758301
22.0,5.0,32.0,0.0,61.33317947387695
23.0,6.0,8.0,16.0,36.772966384887695
24.0,6.0,32.0,64.0,33.45966339111328
25.0,6.0,4.0,64.0,27.629375457763672
26.0,6.0,8.0,8.0,37.4600887298584
27.0,6.0,8.0,32.0,11.90948486328125
28.0,5.0,4.0,0.0,16.492366790771484
29.0,5.0,8.0,0.0,15.841245651245117
30.0,5.0,4.0,0.0,6.561040878295898
31.0,5.0,8.0,0.0,6.133794784545898
32.0,5.0,16.0,0.0,13.381242752075195
33.0,5.0,4.0,0.0,6.8073272705078125
34.0,5.0,8.0,0.0,11.642694473266602
35.0,5.0,4.0,0.0,3.7467479705810547
36.0,5.0,4.0,0.0,7.011175155639648
37.0,6.0,4.0,32.0,15.41280746459961
38.0,6.0,4.0,64.0,25.14195442199707
39.0,5.0,32.0,0.0,31.979799270629883
40.0,5.0,32.0,0.0,32.29117393493652
41.0,5.0,8.0,0.0,32.10639953613281
42.0,5.0,8.0,0.0,14.112234115600586
43.0,5.0,16.0,0.0,10.491371154785156
44.0,5.0,32.0,0.0,20.662546157836914
45.0,5.0,32.0,0.0,21.043062210083008
46.0,6.0,32.0,32.0,32.720088958740234
47.0,5.0,4.0,0.0,16.334056854248047
48.0,6.0,16.0,8.0,17.874479293823242
49.0,6.0,32.0,32.0,15.588998794555664
50.0,6.0,8.0,32.0,24.202585220336914
51.0,6.0,4.0,8.0,13.54837417602539
52.0,5.0,8.0,0.0,5.971193313598633
53.0,5.0,32.0,0.0,15.916585922241211
54.0,6.0,32.0,8.0,22.815942764282227
55.0,6.0,32.0,8.0,11.89112663269043
56.0,5.0,16.0,0.0,8.594989776611328
57.0,5.0,32.0,0.0,15.630722045898438
58.0,5.0,32.0,0.0,19.261598587036133
59.0,6.0,32.0,8.0,11.424064636230469
60.0,6.0,4.0,16.0,15.509366989135742
61.0,5.0,32.0,0.0,27.34541893005371
62.0,6.0,4.0,8.0,29.563426971435547
63.0,5.0,8.0,0.0,36.03410720825195
64.0,6.0,8.0,8.0,46.46635055541992
65.0,6.0,32.0,8.0,51.627159118652344
66.0,5.0,32.0,0.0,28.403043746948242
67.0,5.0,8.0,0.0,26.923656463623047
68.0,6.0,8.0,32.0,13.056755065917969
69.0,5.0,8.0,0.0,15.427827835083008
70.0,6.0,16.0,8.0,25.444746017456055
71.0,6.0,32.0,64.0,25.01702308654785
72.0,6.0,8.0,16.0,16.791820526123047
73.0,6.0,4.0,16.0,11.561393737792969
74.0,5.0,16.0,0.0,8.832216262817383
75.0,6.0,16.0,8.0,23.871898651123047
76.0,5.0,8.0,0.0,5.208730697631836
77.0,6.0,8.0,32.0,14.50490951538086
78.0,5.0,8.0,0.0,10.97416877746582
79.0,5.0,4.0,0.0,5.90968132019043
80.0,6.0,16.0,32.0,12.777090072631836
81.0,6.0,32.0,64.0,14.417171478271484
82.0,6.0,16.0,8.0,24.05858039855957
83.0,6.0,32.0,64.0,18.819570541381836
84.0,5.0,8.0,0.0,21.207094192504883
85.0,5.0,32.0,0.0,29.562711715698242
86.0,5.0,4.0,0.0,13.206005096435547
87.0,5.0,4.0,0.0,15.406608581542969
88.0,6.0,32.0,32.0,16.605377197265625
89.0,6.0,8.0,64.0,35.98189353942871
90.0,5.0,16.0,0.0,8.819341659545898
91.0,5.0,16.0,0.0,9.074926376342773
92.0,5.0,4.0,0.0,8.215188980102539
93.0,6.0,8.0,8.0,20.534753799438477
94.0,6.0,8.0,8.0,12.406110763549805
95.0,5.0,4.0,0.0,5.875349044799805
96.0,5.0,16.0,0.0,8.936405181884766
97.0,5.0,32.0,0.0,15.984773635864258
98.0,5.0,32.0,0.0,29.177188873291016
99.0,6.0,16.0,64.0,24.87921714782715
100.0,6.0,8.0,16.0,15.056848526000977
101.0,5.0,16.0,0.0,9.04226303100586
102.0,6.0,8.0,32.0,13.588905334472656
103.0,5.0,16.0,0.0,21.330595016479492
104.0,6.0,4.0,8.0,17.556190490722656
105.0,5.0,4.0,0.0,21.58069610595703
106.0,6.0,32.0,32.0,30.576467514038086
107.0,5.0,32.0,0.0,45.546770095825195
108.0,6.0,4.0,8.0,34.23023223876953
109.0,5.0,8.0,0.0,25.481700897216797
110.0,6.0,32.0,64.0,12.928009033203125
111.0,6.0,8.0,8.0,12.981176376342773
112.0,5.0,16.0,0.0,11.398077011108398
113.0,6.0,32.0,32.0,18.481016159057617
114.0,6.0,32.0,64.0,26.865005493164062
115.0,5.0,8.0,0.0,5.228281021118164
116.0,5.0,16.0,0.0,9.956598281860352
117.0,5.0,32.0,0.0,18.41449737548828
118.0,6.0,4.0,16.0,17.974853515625
119.0,6.0,32.0,64.0,30.43532371520996
121.0,5.0,8.0,0.0,23.303985595703125
120.0,6.0,32.0,16.0,39.283037185668945
122.0,6.0,16.0,16.0,52.1397590637207
124.0,5.0,32.0,0.0,34.613609313964844
123,6,32,8,-1
125.0,6.0,16.0,16.0,28.946876525878906
126.0,6.0,4.0,16.0,20.878314971923828
127.0,5.0,32.0,0.0,15.443563461303711
128.0,6.0,32.0,32.0,12.379169464111328
129.0,5.0,4.0,0.0,6.579399108886719
130.0,6.0,4.0,16.0,19.956588745117188
131.0,5.0,32.0,0.0,29.58822250366211
132.0,6.0,8.0,64.0,39.42275047302246
133.0,6.0,4.0,64.0,18.813610076904297
134.0,5.0,8.0,0.0,7.433891296386719
135.0,5.0,32.0,0.0,20.672321319580078
136.0,6.0,16.0,32.0,15.459299087524414
137.0,5.0,4.0,0.0,19.382953643798828
138.0,6.0,16.0,32.0,25.771379470825195
139.0,5.0,8.0,0.0,8.852243423461914
140.0,6.0,8.0,16.0,22.893667221069336
141.0,5.0,4.0,0.0,29.625654220581055
142.0,5.0,4.0,0.0,31.45003318786621
143.0,5.0,8.0,0.0,30.904054641723633
144.0,6.0,16.0,32.0,14.914751052856445
145.0,5.0,8.0,0.0,19.63329315185547
146.0,6.0,16.0,32.0,33.252716064453125
147.0,6.0,4.0,8.0,37.60099411010742
149.0,5.0,8.0,0.0,35.796403884887695
148.0,6.0,8.0,16.0,55.39894104003906
150.0,5.0,16.0,0.0,52.46710777282715
151.0,6.0,4.0,16.0,40.57478904724121
