query_id,model_id,bs,seq_len,latency
1.0,6.0,32.0,8.0,46.07105255126953
2.0,6.0,32.0,64.0,44.31295394897461
3.0,6.0,16.0,16.0,22.76754379272461
4.0,3.0,4.0,0.0,26.08776092529297
5.0,6.0,8.0,32.0,33.882856369018555
6.0,3.0,16.0,0.0,19.27471160888672
7.0,6.0,16.0,64.0,18.427371978759766
8.0,6.0,8.0,64.0,22.51911163330078
9.0,6.0,16.0,8.0,25.22587776184082
10.0,3.0,32.0,0.0,31.319141387939453
11.0,3.0,16.0,0.0,46.19741439819336
12.0,3.0,4.0,0.0,52.59513854980469
13.0,3.0,8.0,0.0,54.929494857788086
14.0,3.0,8.0,0.0,45.66216468811035
15.0,6.0,16.0,64.0,40.86184501647949
16.0,3.0,16.0,0.0,66.76816940307617
18.0,6.0,32.0,32.0,65.97232818603516
17.0,3.0,8.0,0.0,96.9088077545166
21.0,6.0,8.0,16.0,89.93911743164062
23.0,6.0,8.0,16.0,82.77773857116699
19,3,8,0,-1
24.0,6.0,32.0,64.0,86.53140068054199
20,3,16,0,-1
25.0,6.0,4.0,64.0,89.21933174133301
22,3,32,0,-1
28.0,3.0,4.0,0.0,91.77303314208984
26,6,8,8,-1
29,3,8,0,-1
27,6,8,32,-1
30.0,3.0,4.0,0.0,94.43330764770508
37.0,6.0,4.0,32.0,36.37218475341797
38.0,6.0,4.0,64.0,47.113895416259766
31,3,8,0,-1
32,3,16,0,-1
33,3,4,0,-1
34,3,8,0,-1
35.0,3.0,4.0,0.0,79.46467399597168
36.0,3.0,4.0,0.0,92.97895431518555
46.0,6.0,32.0,32.0,35.92681884765625
48.0,6.0,16.0,8.0,28.841495513916016
39,3,32,0,-1
49.0,6.0,32.0,32.0,27.324676513671875
40,3,32,0,-1
50.0,6.0,8.0,32.0,37.16468811035156
41,3,8,0,-1
51.0,6.0,4.0,8.0,37.64677047729492
42,3,8,0,-1
54.0,6.0,32.0,8.0,20.42984962463379
43,3,16,0,-1
55.0,6.0,32.0,8.0,19.560813903808594
44,3,32,0,-1
45,3,32,0,-1
47,3,4,0,-1
52.0,3.0,8.0,0.0,71.15912437438965
53.0,3.0,32.0,0.0,78.60755920410156
56.0,3.0,16.0,0.0,68.48025321960449
59.0,6.0,32.0,8.0,46.094655990600586
57.0,3.0,32.0,0.0,94.04253959655762
60.0,6.0,4.0,16.0,73.83322715759277
62.0,6.0,4.0,8.0,78.47809791564941
58,3,32,0,-1
64.0,6.0,8.0,8.0,87.87679672241211
61,3,32,0,-1
63,3,8,0,-1
65,6,32,8,-1
66.0,3.0,32.0,0.0,84.95593070983887
68.0,6.0,8.0,32.0,73.62937927246094
70.0,6.0,16.0,8.0,84.55443382263184
67,3,8,0,-1
71.0,6.0,32.0,64.0,88.32240104675293
69,3,8,0,-1
72.0,6.0,8.0,16.0,90.63410758972168
74.0,3.0,16.0,0.0,78.90439033508301
76.0,3.0,8.0,0.0,80.5363655090332
73,6,4,16,-1
78.0,3.0,8.0,0.0,90.4531478881836
75,6,16,8,-1
79,3,4,0,-1
77,6,8,32,-1
84.0,3.0,8.0,0.0,71.25020027160645
80,6,16,32,-1
85.0,3.0,32.0,0.0,85.15453338623047
81,6,32,64,-1
86.0,3.0,4.0,0.0,93.44911575317383
82,6,16,8,-1
87,3,4,0,-1
83,6,32,64,-1
88.0,6.0,32.0,32.0,99.40958023071289
90.0,3.0,16.0,0.0,92.25869178771973
91,3,16,0,-1
89,6,8,64,-1
92,3,4,0,-1
93,6,8,8,-1
94.0,6.0,8.0,8.0,83.16397666931152
95.0,3.0,4.0,0.0,103.41024398803711
99.0,6.0,16.0,64.0,91.3383960723877
96,3,16,0,-1
97,3,32,0,-1
100,6,8,16,-1
102.0,6.0,8.0,32.0,79.07581329345703
98,3,32,0,-1
104.0,6.0,4.0,8.0,76.02858543395996
101,3,16,0,-1
106.0,6.0,32.0,32.0,88.68694305419922
103,3,16,0,-1
108.0,6.0,4.0,8.0,85.60371398925781
105,3,4,0,-1
110.0,6.0,32.0,64.0,81.69913291931152
107,3,32,0,-1
111.0,6.0,8.0,8.0,92.20552444458008
109,3,8,0,-1
113.0,6.0,32.0,32.0,84.69748497009277
112,3,16,0,-1
115.0,3.0,8.0,0.0,88.39821815490723
114,6,32,64,-1
118.0,6.0,4.0,16.0,67.93689727783203
116,3,16,0,-1
119.0,6.0,32.0,64.0,82.39960670471191
117,3,32,0,-1
120.0,6.0,32.0,16.0,90.13795852661133
121.0,3.0,8.0,0.0,117.43903160095215
124,3,32,0,-1
122,6,16,16,-1
127.0,3.0,32.0,0.0,82.97896385192871
123,6,32,8,-1
129.0,3.0,4.0,0.0,71.11907005310059
125,6,16,16,-1
131.0,3.0,32.0,0.0,54.52537536621094
126,6,4,16,-1
128,6,32,32,-1
130.0,6.0,4.0,16.0,72.93510437011719
132.0,6.0,8.0,64.0,83.47368240356445
134.0,3.0,8.0,0.0,48.66933822631836
133.0,6.0,4.0,64.0,90.25001525878906
135.0,3.0,32.0,0.0,83.9226245880127
136.0,6.0,16.0,32.0,83.91499519348145
137.0,3.0,4.0,0.0,106.83655738830566
139,3,8,0,-1
138,6,16,32,-1
141,3,4,0,-1
140,6,8,16,-1
144.0,6.0,16.0,32.0,77.78191566467285
142,3,4,0,-1
146.0,6.0,16.0,32.0,93.45436096191406
143,3,8,0,-1
145,3,8,0,-1
147,6,4,8,-1
149,3,8,0,-1
148,6,8,16,-1
151.0,6.0,4.0,16.0,82.0763111114502
150,3,16,0,-1
152.0,3.0,4.0,0.0,99.48015213012695
155.0,6.0,32.0,32.0,92.40841865539551
153,3,32,0,-1
157,6,16,64,-1
160.0,6.0,8.0,64.0,36.11040115356445
154,3,16,0,-1
161.0,6.0,32.0,64.0,53.562164306640625
156,3,4,0,-1
163.0,6.0,8.0,32.0,62.039852142333984
158,3,32,0,-1
164.0,6.0,4.0,64.0,48.41804504394531
159,3,4,0,-1
162.0,3.0,32.0,0.0,98.11615943908691
166.0,6.0,16.0,8.0,67.44170188903809
165.0,3.0,32.0,0.0,93.64509582519531
167.0,6.0,8.0,64.0,102.17738151550293
172.0,3.0,16.0,0.0,84.51604843139648
168,6,32,16,-1
174.0,3.0,16.0,0.0,67.81387329101562
169,6,4,8,-1
176.0,3.0,16.0,0.0,76.55549049377441
170,6,4,8,-1
180.0,3.0,32.0,0.0,49.041748046875
171,6,32,64,-1
184.0,3.0,8.0,0.0,28.63025665283203
173,6,8,8,-1
187.0,3.0,32.0,0.0,33.666372299194336
175,6,4,16,-1
188.0,3.0,4.0,0.0,39.50643539428711
177,6,8,8,-1
189.0,3.0,16.0,0.0,53.60984802246094
178,6,32,32,-1
179,6,8,16,-1
181,6,8,32,-1
182,6,32,16,-1
183,6,16,64,-1
185.0,6.0,8.0,8.0,95.3836441040039
186,6,4,8,-1
190.0,3.0,16.0,0.0,17.972946166992188
191.0,3.0,32.0,0.0,34.52897071838379
192.0,6.0,16.0,64.0,49.73793029785156
193.0,6.0,8.0,32.0,59.2656135559082
194.0,3.0,8.0,0.0,80.00755310058594
195.0,6.0,32.0,64.0,91.43614768981934
198.0,3.0,4.0,0.0,71.03586196899414
199.0,3.0,8.0,0.0,85.63542366027832
196,6,8,16,-1
200,3,4,0,-1
197,6,4,64,-1
201.0,6.0,16.0,64.0,85.19625663757324
205.0,3.0,16.0,0.0,80.34324645996094
206.0,3.0,32.0,0.0,93.85466575622559
202,6,32,64,-1
207,3,32,0,-1
203,6,32,16,-1
208.0,3.0,16.0,0.0,74.75757598876953
204,6,4,8,-1
209.0,3.0,4.0,0.0,85.98947525024414
210.0,6.0,32.0,32.0,89.86735343933105
213,3,16,0,-1
211,6,4,16,-1
212,6,16,16,-1
214,6,32,32,-1
215.0,6.0,8.0,8.0,88.17863464355469
219.0,3.0,8.0,0.0,28.24091911315918
216,6,4,8,-1
217.0,6.0,32.0,8.0,87.30316162109375
220.0,3.0,8.0,0.0,57.5411319732666
222.0,3.0,32.0,0.0,36.31258010864258
218,6,32,64,-1
221.0,6.0,8.0,64.0,71.27094268798828
223.0,3.0,8.0,0.0,49.25179481506348
224.0,6.0,16.0,32.0,30.361413955688477
225.0,6.0,4.0,32.0,41.42904281616211
226.0,3.0,32.0,0.0,21.38519287109375
227.0,6.0,16.0,32.0,21.78812026977539
228.0,3.0,4.0,0.0,31.180858612060547
229.0,3.0,8.0,0.0,47.82891273498535
231.0,6.0,4.0,64.0,43.94125938415527
230.0,3.0,4.0,0.0,64.98956680297852
232.0,6.0,16.0,16.0,54.69679832458496
233.0,6.0,8.0,8.0,66.8940544128418
236.0,3.0,16.0,0.0,66.4832592010498
239.0,3.0,32.0,0.0,64.7578239440918
234,6,8,32,-1
240.0,3.0,8.0,0.0,67.68012046813965
235,6,8,16,-1
241.0,3.0,16.0,0.0,82.27944374084473
237,6,4,16,-1
242.0,3.0,4.0,0.0,85.21223068237305
238,6,8,8,-1
243.0,3.0,16.0,0.0,93.0933952331543
244.0,6.0,4.0,16.0,98.94800186157227
245,3,32,0,-1
246,6,4,32,-1
247.0,3.0,8.0,0.0,91.51601791381836
248.0,6.0,32.0,8.0,95.81851959228516
249,3,8,0,-1
250,6,8,32,-1
251.0,6.0,16.0,8.0,73.49324226379395
254.0,3.0,8.0,0.0,71.04134559631348
