query_id,model_id,bs,seq_len,latency
1.0,4.0,32.0,0.0,53.06124687194824
2.0,1.0,32.0,0.0,55.153846740722656
3.0,4.0,16.0,0.0,60.620784759521484
4.0,4.0,8.0,0.0,17.377614974975586
5.0,1.0,4.0,0.0,30.377864837646484
6.0,4.0,8.0,0.0,30.643463134765625
7.0,4.0,4.0,0.0,5.451679229736328
8.0,4.0,4.0,0.0,7.667779922485352
9.0,4.0,8.0,0.0,6.780147552490234
10.0,4.0,16.0,0.0,11.123180389404297
11.0,1.0,4.0,0.0,21.24309539794922
12.0,1.0,32.0,0.0,22.097349166870117
13.0,1.0,16.0,0.0,21.1944580078125
14.0,1.0,4.0,0.0,23.763656616210938
15.0,1.0,8.0,0.0,21.94666862487793
16.0,1.0,8.0,0.0,21.674156188964844
17.0,4.0,16.0,0.0,11.188507080078125
18.0,4.0,16.0,0.0,19.8976993560791
19.0,1.0,8.0,0.0,38.8789176940918
20.0,4.0,32.0,0.0,42.47903823852539
21.0,4.0,16.0,0.0,41.179656982421875
22.0,1.0,8.0,0.0,45.70508003234863
23.0,1.0,16.0,0.0,62.848806381225586
24.0,4.0,8.0,0.0,49.76081848144531
25.0,1.0,4.0,0.0,70.1136589050293
26.0,4.0,16.0,0.0,29.422760009765625
27.0,1.0,32.0,0.0,22.0034122467041
28.0,4.0,16.0,0.0,9.401798248291016
29.0,1.0,4.0,0.0,22.609472274780273
30.0,4.0,16.0,0.0,22.27783203125
31.0,1.0,16.0,0.0,26.14879608154297
32.0,1.0,16.0,0.0,41.71180725097656
33.0,1.0,4.0,0.0,38.62810134887695
34.0,1.0,8.0,0.0,51.35965347290039
35.0,1.0,4.0,0.0,42.136192321777344
36.0,1.0,8.0,0.0,29.446840286254883
37.0,1.0,16.0,0.0,47.804832458496094
38.0,1.0,4.0,0.0,59.37838554382324
39.0,1.0,8.0,0.0,79.99610900878906
40.0,1.0,4.0,0.0,33.40959548950195
41.0,1.0,4.0,0.0,38.23423385620117
42.0,4.0,4.0,0.0,25.177001953125
43.0,4.0,8.0,0.0,28.079509735107422
44.0,1.0,4.0,0.0,39.1695499420166
45.0,1.0,32.0,0.0,42.2666072845459
46.0,1.0,32.0,0.0,34.584999084472656
47.0,1.0,8.0,0.0,45.136451721191406
48.0,1.0,8.0,0.0,37.90426254272461
49.0,1.0,16.0,0.0,24.30105209350586
50.0,1.0,32.0,0.0,32.625436782836914
51.0,1.0,32.0,0.0,31.24403953552246
52.0,4.0,32.0,0.0,44.054269790649414
53.0,4.0,4.0,0.0,25.80738067626953
54.0,4.0,16.0,0.0,29.709577560424805
55.0,1.0,8.0,0.0,19.264936447143555
56.0,1.0,32.0,0.0,20.19190788269043
57.0,4.0,16.0,0.0,7.557868957519531
58.0,1.0,32.0,0.0,16.44587516784668
59.0,4.0,4.0,0.0,4.432201385498047
60.0,1.0,16.0,0.0,16.20173454284668
61.0,1.0,32.0,0.0,18.194198608398438
62.0,4.0,32.0,0.0,25.870323181152344
63.0,1.0,32.0,0.0,17.765045166015625
64.0,1.0,4.0,0.0,24.54090118408203
65.0,4.0,32.0,0.0,34.13844108581543
66.0,4.0,4.0,0.0,12.699127197265625
67.0,1.0,16.0,0.0,17.47894287109375
68.0,4.0,32.0,0.0,17.18902587890625
69.0,1.0,4.0,0.0,33.11634063720703
70.0,1.0,32.0,0.0,34.0423583984375
71.0,4.0,8.0,0.0,6.150245666503906
72.0,1.0,4.0,0.0,19.626855850219727
73.0,1.0,8.0,0.0,18.72563362121582
74.0,4.0,8.0,0.0,18.49055290222168
75.0,1.0,32.0,0.0,29.9224853515625
76.0,1.0,32.0,0.0,33.18667411804199
77.0,1.0,8.0,0.0,49.12924766540527
78.0,4.0,8.0,0.0,13.746500015258789
79.0,4.0,4.0,0.0,13.943910598754883
80.0,1.0,16.0,0.0,16.69168472290039
81.0,4.0,4.0,0.0,14.624834060668945
82.0,4.0,32.0,0.0,13.579368591308594
83.0,4.0,8.0,0.0,5.300045013427734
84.0,1.0,16.0,0.0,17.532825469970703
85.0,1.0,16.0,0.0,25.006771087646484
86.0,4.0,16.0,0.0,28.933048248291016
87.0,1.0,4.0,0.0,40.35353660583496
89.0,4.0,8.0,0.0,29.569625854492188
88.0,1.0,8.0,0.0,54.807186126708984
90.0,4.0,8.0,0.0,43.29204559326172
91.0,1.0,4.0,0.0,59.134483337402344
92.0,4.0,16.0,0.0,58.74061584472656
93.0,4.0,4.0,0.0,51.00607872009277
95.0,1.0,32.0,0.0,43.76673698425293
94.0,4.0,16.0,0.0,64.06378746032715
97.0,1.0,32.0,0.0,54.91018295288086
96.0,4.0,16.0,0.0,63.20691108703613
98.0,1.0,4.0,0.0,32.75799751281738
99.0,1.0,4.0,0.0,48.534393310546875
100.0,4.0,32.0,0.0,34.024715423583984
101.0,4.0,32.0,0.0,47.05691337585449
102.0,1.0,16.0,0.0,50.94194412231445
103.0,1.0,16.0,0.0,56.36954307556152
104.0,1.0,16.0,0.0,16.475915908813477
