query_id,model_id,bs,seq_len,latency
1.0,6.0,32.0,8.0,48.06089401245117
2.0,6.0,32.0,64.0,45.5479621887207
3.0,6.0,16.0,16.0,22.780179977416992
4.0,2.0,4.0,0.0,32.82737731933594
5.0,6.0,8.0,32.0,40.70639610290527
6.0,2.0,16.0,0.0,31.89229965209961
7.0,6.0,16.0,64.0,29.648780822753906
8.0,6.0,8.0,64.0,32.947540283203125
9.0,6.0,16.0,8.0,34.43598747253418
10.0,2.0,32.0,0.0,48.27761650085449
11.0,2.0,16.0,0.0,71.3052749633789
12.0,2.0,4.0,0.0,85.87646484375
15.0,6.0,16.0,64.0,42.200326919555664
13.0,2.0,8.0,0.0,114.55297470092773
18.0,6.0,32.0,32.0,73.64392280578613
14.0,2.0,8.0,0.0,129.46557998657227
21.0,6.0,8.0,16.0,101.32765769958496
16.0,2.0,16.0,0.0,151.1387825012207
23.0,6.0,8.0,16.0,121.09231948852539
24.0,6.0,32.0,64.0,126.03116035461426
17,2,8,0,-1
25.0,6.0,4.0,64.0,128.86309623718262
19,2,8,0,-1
26.0,6.0,8.0,8.0,139.0395164489746
20,2,16,0,-1
27.0,6.0,8.0,32.0,131.12688064575195
22,2,32,0,-1
28.0,2.0,4.0,0.0,154.25992012023926
37.0,6.0,4.0,32.0,74.57804679870605
38.0,6.0,4.0,64.0,84.70416069030762
29,2,8,0,-1
46.0,6.0,32.0,32.0,35.9194278717041
30,2,4,0,-1
48.0,6.0,16.0,8.0,28.109312057495117
31,2,8,0,-1
49.0,6.0,32.0,32.0,25.629281997680664
32,2,16,0,-1
50.0,6.0,8.0,32.0,34.88755226135254
33,2,4,0,-1
51.0,6.0,4.0,8.0,34.96813774108887
34,2,8,0,-1
54.0,6.0,32.0,8.0,17.023801803588867
35,2,4,0,-1
55.0,6.0,32.0,8.0,15.332221984863281
36,2,4,0,-1
39,2,32,0,-1
40.0,2.0,32.0,0.0,176.93400382995605
41,2,8,0,-1
42,2,8,0,-1
43.0,2.0,16.0,0.0,170.36962509155273
59.0,6.0,32.0,8.0,26.20530128479004
44,2,32,0,-1
60.0,6.0,4.0,16.0,33.31899642944336
45,2,32,0,-1
62.0,6.0,4.0,8.0,37.17637062072754
47,2,4,0,-1
52.0,2.0,8.0,0.0,154.4632911682129
64.0,6.0,8.0,8.0,65.65546989440918
65.0,6.0,32.0,8.0,73.394775390625
53,2,32,0,-1
56.0,2.0,16.0,0.0,154.15525436401367
68.0,6.0,8.0,32.0,67.81435012817383
70.0,6.0,16.0,8.0,77.68082618713379
57,2,32,0,-1
71.0,6.0,32.0,64.0,80.63006401062012
58,2,32,0,-1
61.0,2.0,32.0,0.0,173.0632781982422
72.0,6.0,8.0,16.0,103.5604476928711
73.0,6.0,4.0,16.0,94.12574768066406
63,2,8,0,-1
75.0,6.0,16.0,8.0,92.81420707702637
66,2,32,0,-1
77.0,6.0,8.0,32.0,87.39304542541504
67,2,8,0,-1
80.0,6.0,16.0,32.0,83.18734169006348
69,2,8,0,-1
74.0,2.0,16.0,0.0,142.36021041870117
81.0,6.0,32.0,64.0,113.32941055297852
76.0,2.0,8.0,0.0,164.8564338684082
82.0,6.0,16.0,8.0,150.9251594543457
83.0,6.0,32.0,64.0,143.52965354919434
78,2,8,0,-1
88.0,6.0,32.0,32.0,124.51577186584473
79,2,4,0,-1
89.0,6.0,8.0,64.0,135.50758361816406
84,2,8,0,-1
93.0,6.0,8.0,8.0,109.57837104797363
85,2,32,0,-1
94.0,6.0,8.0,8.0,106.56952857971191
86,2,4,0,-1
99.0,6.0,16.0,64.0,86.1978530883789
87,2,4,0,-1
90.0,2.0,16.0,0.0,166.9445037841797
100.0,6.0,8.0,16.0,109.72857475280762
