query_id,model_id,bs,seq_len,latency
1.0,2.0,32.0,0.0,74.92542266845703
2.0,0.0,32.0,0.0,76.41983032226562
3.0,2.0,16.0,0.0,108.07967185974121
5.0,0.0,4.0,0.0,87.91661262512207
4.0,2.0,8.0,0.0,117.83981323242188
11.0,0.0,4.0,0.0,63.71355056762695
6.0,2.0,8.0,0.0,152.56881713867188
12.0,0.0,32.0,0.0,84.5174789428711
7.0,2.0,4.0,0.0,153.3493995666504
13.0,0.0,16.0,0.0,112.89286613464355
14.0,0.0,4.0,0.0,112.32972145080566
8,2,4,0,-1
15.0,0.0,8.0,0.0,108.24942588806152
9,2,8,0,-1
16.0,0.0,8.0,0.0,92.21911430358887
10,2,16,0,-1
17.0,2.0,16.0,0.0,100.82864761352539
19.0,0.0,8.0,0.0,114.22467231750488
18.0,2.0,16.0,0.0,148.08177947998047
22.0,0.0,8.0,0.0,135.20264625549316
23.0,0.0,16.0,0.0,149.16586875915527
20,2,32,0,-1
25.0,0.0,4.0,0.0,148.4076976776123
21,2,16,0,-1
24.0,2.0,8.0,0.0,180.4373264312744
27.0,0.0,32.0,0.0,146.49534225463867
29.0,0.0,4.0,0.0,130.32793998718262
26,2,16,0,-1
28.0,2.0,16.0,0.0,167.6959991455078
31.0,0.0,16.0,0.0,156.99100494384766
32,0,16,0,-1
30,2,16,0,-1
33.0,0.0,4.0,0.0,160.29047966003418
42.0,2.0,4.0,0.0,94.77591514587402
43.0,2.0,8.0,0.0,124.45330619812012
34,0,8,0,-1
52.0,2.0,32.0,0.0,86.26508712768555
35,0,4,0,-1
53.0,2.0,4.0,0.0,101.7005443572998
36,0,8,0,-1
54.0,2.0,16.0,0.0,138.90457153320312
37,0,16,0,-1
57.0,2.0,16.0,0.0,139.64462280273438
38,0,4,0,-1
59.0,2.0,4.0,0.0,148.73981475830078
39,0,8,0,-1
62.0,2.0,32.0,0.0,149.37543869018555
40,0,4,0,-1
65.0,2.0,32.0,0.0,159.92140769958496
41,0,4,0,-1
66.0,2.0,4.0,0.0,180.3300380706787
44,0,4,0,-1
68.0,2.0,32.0,0.0,179.81481552124023
45,0,32,0,-1
71.0,2.0,8.0,0.0,159.40332412719727
46,0,32,0,-1
74.0,2.0,8.0,0.0,174.74699020385742
47,0,8,0,-1
78.0,2.0,8.0,0.0,169.62409019470215
48,0,8,0,-1
49,0,16,0,-1
79,2,4,0,-1
81.0,2.0,4.0,0.0,172.0595359802246
50,0,32,0,-1
82.0,2.0,32.0,0.0,183.3641529083252
51,0,32,0,-1
55,0,8,0,-1
83,2,8,0,-1
56,0,32,0,-1
86,2,16,0,-1
89.0,2.0,8.0,0.0,177.781343460083
58,0,32,0,-1
60,0,16,0,-1
90,2,8,0,-1
61,0,32,0,-1
92,2,16,0,-1
63,0,32,0,-1
93,2,4,0,-1
64,0,4,0,-1
94,2,16,0,-1
96.0,2.0,16.0,0.0,176.38754844665527
67,0,16,0,-1
100.0,2.0,32.0,0.0,166.5966510772705
69,0,4,0,-1
70,0,32,0,-1
101,2,32,0,-1
106.0,2.0,8.0,0.0,143.6929702758789
72,0,4,0,-1
110.0,2.0,8.0,0.0,142.10796356201172
73,0,8,0,-1
113.0,2.0,16.0,0.0,115.55838584899902
75,0,32,0,-1
114.0,2.0,8.0,0.0,136.37495040893555
76,0,32,0,-1
116.0,2.0,8.0,0.0,105.42869567871094
77,0,8,0,-1
