query_id,model_id,bs,seq_len,latency
1.0,3.0,32.0,0.0,68.74513626098633
2.0,1.0,32.0,0.0,79.12325859069824
3.0,3.0,16.0,0.0,101.86243057250977
5.0,1.0,4.0,0.0,89.77699279785156
4.0,3.0,8.0,0.0,113.13486099243164
11.0,1.0,4.0,0.0,58.783769607543945
6.0,3.0,8.0,0.0,141.6945457458496
12.0,1.0,32.0,0.0,84.83242988586426
7.0,3.0,4.0,0.0,144.1514492034912
13.0,1.0,16.0,0.0,119.38309669494629
14.0,1.0,4.0,0.0,130.4037570953369
8,3,4,0,-1
15.0,1.0,8.0,0.0,138.88120651245117
9,3,8,0,-1
16.0,1.0,8.0,0.0,139.50753211975098
10,3,16,0,-1
17.0,3.0,16.0,0.0,141.78848266601562
19.0,1.0,8.0,0.0,162.86158561706543
22.0,1.0,8.0,0.0,162.5368595123291
18,3,16,0,-1
23,1,16,0,-1
20,3,32,0,-1
25,1,4,0,-1
21,3,16,0,-1
27.0,1.0,32.0,0.0,126.79386138916016
24,3,8,0,-1
26.0,3.0,16.0,0.0,162.91522979736328
29.0,1.0,4.0,0.0,136.1374855041504
28.0,3.0,16.0,0.0,161.2410545349121
31.0,1.0,16.0,0.0,166.82124137878418
32,1,16,0,-1
30,3,16,0,-1
42.0,3.0,4.0,0.0,77.20780372619629
33,1,4,0,-1
43.0,3.0,8.0,0.0,93.49656105041504
34,1,8,0,-1
52.0,3.0,32.0,0.0,43.50590705871582
35,1,4,0,-1
53.0,3.0,4.0,0.0,49.58629608154297
36,1,8,0,-1
54.0,3.0,16.0,0.0,63.65156173706055
37,1,16,0,-1
57.0,3.0,16.0,0.0,44.58498954772949
38,1,4,0,-1
59.0,3.0,4.0,0.0,38.45524787902832
39,1,8,0,-1
62.0,3.0,32.0,0.0,24.685382843017578
40,1,4,0,-1
65.0,3.0,32.0,0.0,22.307872772216797
41,1,4,0,-1
66.0,3.0,4.0,0.0,27.560710906982422
44,1,4,0,-1
45,1,32,0,-1
46,1,32,0,-1
47,1,8,0,-1
48,1,8,0,-1
49,1,16,0,-1
50,1,32,0,-1
51,1,32,0,-1
55.0,1.0,8.0,0.0,161.64183616638184
68.0,3.0,32.0,0.0,45.708417892456055
56,1,32,0,-1
58,1,32,0,-1
60.0,1.0,16.0,0.0,148.44393730163574
71.0,3.0,8.0,0.0,42.48476028442383
61.0,1.0,32.0,0.0,188.8751983642578
74.0,3.0,8.0,0.0,71.12550735473633
63,1,32,0,-1
78.0,3.0,8.0,0.0,59.04960632324219
64,1,4,0,-1
79.0,3.0,4.0,0.0,77.0566463470459
67,1,16,0,-1
81.0,3.0,4.0,0.0,73.75216484069824
69,1,4,0,-1
82.0,3.0,32.0,0.0,62.36672401428223
70,1,32,0,-1
83.0,3.0,8.0,0.0,66.06459617614746
72,1,4,0,-1
86.0,3.0,16.0,0.0,72.12328910827637
73,1,8,0,-1
89.0,3.0,8.0,0.0,77.33273506164551
75,1,32,0,-1
90.0,3.0,8.0,0.0,89.53547477722168
76,1,32,0,-1
92.0,3.0,16.0,0.0,100.66461563110352
77,1,8,0,-1
93.0,3.0,4.0,0.0,112.68091201782227
80,1,16,0,-1
94.0,3.0,16.0,0.0,125.86450576782227
84.0,1.0,16.0,0.0,188.61079216003418
96.0,3.0,16.0,0.0,152.70614624023438
85,1,16,0,-1
100.0,3.0,32.0,0.0,129.46057319641113
87,1,4,0,-1
101.0,3.0,32.0,0.0,146.36540412902832
88,1,8,0,-1
106.0,3.0,8.0,0.0,100.22473335266113
91,1,4,0,-1
110.0,3.0,8.0,0.0,84.32149887084961
95,1,32,0,-1
113.0,3.0,16.0,0.0,44.721126556396484
97,1,32,0,-1
114.0,3.0,8.0,0.0,50.96554756164551
98,1,4,0,-1
99,1,4,0,-1
102,1,16,0,-1
103,1,16,0,-1
104,1,16,0,-1
105,1,4,0,-1
107.0,1.0,16.0,0.0,158.79011154174805
116.0,3.0,8.0,0.0,23.090600967407227
108,1,8,0,-1
117.0,3.0,8.0,0.0,39.52956199645996
109,1,32,0,-1
118.0,3.0,32.0,0.0,47.417640686035156
111,1,32,0,-1
121.0,3.0,32.0,0.0,38.34366798400879
112.0,1.0,32.0,0.0,188.5383129119873
122.0,3.0,8.0,0.0,84.13362503051758
115.0,1.0,16.0,0.0,143.29957962036133
123.0,3.0,32.0,0.0,106.5070629119873
119.0,1.0,4.0,0.0,167.8469181060791
125.0,3.0,8.0,0.0,109.67469215393066
120,1,4,0,-1
126.0,3.0,32.0,0.0,104.2792797088623
124.0,1.0,4.0,0.0,154.4320583343506
127.0,3.0,32.0,0.0,131.90817832946777
128.0,1.0,4.0,0.0,129.50778007507324
130.0,3.0,32.0,0.0,115.0367259979248
129.0,1.0,16.0,0.0,156.42046928405762
131.0,3.0,16.0,0.0,161.61060333251953
133.0,1.0,8.0,0.0,148.77676963806152
134.0,1.0,16.0,0.0,175.26626586914062
132,3,32,0,-1
136.0,3.0,4.0,0.0,175.05979537963867
135,1,32,0,-1
137,1,16,0,-1
