query_id,model_id,bs,seq_len,latency
1.0,6.0,32.0,8.0,51.56350135803223
2.0,6.0,32.0,64.0,59.1888427734375
3.0,6.0,16.0,16.0,41.75519943237305
5.0,6.0,8.0,32.0,18.578529357910156
4.0,2.0,4.0,0.0,49.817562103271484
6.0,2.0,16.0,0.0,41.31340980529785
7.0,6.0,16.0,64.0,40.747880935668945
8.0,6.0,8.0,64.0,46.27871513366699
10.0,2.0,32.0,0.0,49.30591583251953
9.0,6.0,16.0,8.0,88.10853958129883
11.0,2.0,16.0,0.0,93.41573715209961
15.0,6.0,16.0,64.0,45.21036148071289
12.0,2.0,4.0,0.0,128.9973258972168
18.0,6.0,32.0,32.0,76.87568664550781
13.0,2.0,8.0,0.0,159.4390869140625
21.0,6.0,8.0,16.0,108.10995101928711
14.0,2.0,8.0,0.0,172.46270179748535
23.0,6.0,8.0,16.0,132.06076622009277
16,2,16,0,-1
24.0,6.0,32.0,64.0,137.221097946167
17,2,8,0,-1
25.0,6.0,4.0,64.0,140.5949592590332
19,2,8,0,-1
26.0,6.0,8.0,8.0,152.27103233337402
20,2,16,0,-1
27.0,6.0,8.0,32.0,145.8573341369629
22,2,32,0,-1
37.0,6.0,4.0,32.0,69.36430931091309
28.0,2.0,4.0,0.0,189.86749649047852
38.0,6.0,4.0,64.0,110.78786849975586
29,2,8,0,-1
46.0,6.0,32.0,32.0,63.90380859375
30,2,4,0,-1
48.0,6.0,16.0,8.0,60.80126762390137
31,2,8,0,-1
49.0,6.0,32.0,32.0,59.22722816467285
32,2,16,0,-1
50.0,6.0,8.0,32.0,69.63491439819336
33,2,4,0,-1
51.0,6.0,4.0,8.0,70.46031951904297
34,2,8,0,-1
54.0,6.0,32.0,8.0,53.73430252075195
35,2,4,0,-1
55.0,6.0,32.0,8.0,53.00021171569824
36,2,4,0,-1
39,2,32,0,-1
40,2,32,0,-1
41,2,8,0,-1
42,2,8,0,-1
43,2,16,0,-1
44,2,32,0,-1
45.0,2.0,32.0,0.0,172.7006435394287
59.0,6.0,32.0,8.0,51.141977310180664
47,2,4,0,-1
60.0,6.0,4.0,16.0,65.50931930541992
52.0,2.0,8.0,0.0,185.64534187316895
62.0,6.0,4.0,8.0,105.06653785705566
53,2,32,0,-1
64.0,6.0,8.0,8.0,116.51992797851562
56,2,16,0,-1
65.0,6.0,32.0,8.0,125.52595138549805
57,2,32,0,-1
68.0,6.0,8.0,32.0,102.37598419189453
58,2,32,0,-1
70.0,6.0,16.0,8.0,113.06500434875488
61,2,32,0,-1
71.0,6.0,32.0,64.0,119.70806121826172
63,2,8,0,-1
72.0,6.0,8.0,16.0,125.10037422180176
66,2,32,0,-1
73.0,6.0,4.0,16.0,120.7735538482666
67,2,8,0,-1
75.0,6.0,16.0,8.0,127.58541107177734
69,2,8,0,-1
77.0,6.0,8.0,32.0,122.61009216308594
74.0,2.0,16.0,0.0,177.30355262756348
80.0,6.0,16.0,32.0,153.2890796661377
76,2,8,0,-1
81.0,6.0,32.0,64.0,160.3553295135498
78,2,8,0,-1
79,2,4,0,-1
82,6,16,8,-1
83.0,6.0,32.0,64.0,153.05805206298828
84.0,2.0,8.0,0.0,176.64623260498047
88.0,6.0,32.0,32.0,160.2039337158203
85,2,32,0,-1
86,2,4,0,-1
89,6,8,64,-1
93.0,6.0,8.0,8.0,135.24985313415527
87,2,4,0,-1
94.0,6.0,8.0,8.0,136.22117042541504
90.0,2.0,16.0,0.0,186.30075454711914
99.0,6.0,16.0,64.0,141.9210433959961
91,2,16,0,-1
100.0,6.0,8.0,16.0,142.48895645141602
92,2,4,0,-1
102.0,6.0,8.0,32.0,139.86921310424805
95,2,4,0,-1
104.0,6.0,4.0,8.0,132.92312622070312
96,2,16,0,-1
106.0,6.0,32.0,32.0,141.81017875671387
97,2,32,0,-1
108.0,6.0,4.0,8.0,137.0847225189209
98,2,32,0,-1
110.0,6.0,32.0,64.0,127.78019905090332
101,2,16,0,-1
111.0,6.0,8.0,8.0,131.81447982788086
103,2,16,0,-1
113.0,6.0,32.0,32.0,122.74813652038574
105,2,4,0,-1
114.0,6.0,32.0,64.0,130.6004524230957
107,2,32,0,-1
118.0,6.0,4.0,16.0,93.48201751708984
109,2,8,0,-1
119.0,6.0,32.0,64.0,103.59716415405273
112,2,16,0,-1
120.0,6.0,32.0,16.0,110.73732376098633
115.0,2.0,8.0,0.0,185.45150756835938
122.0,6.0,16.0,16.0,155.35950660705566
116,2,16,0,-1
117,2,32,0,-1
123,6,32,8,-1
125.0,6.0,16.0,16.0,141.32380485534668
121,2,8,0,-1
126.0,6.0,4.0,16.0,142.5912380218506
124,2,32,0,-1
128.0,6.0,32.0,32.0,123.69060516357422
127.0,2.0,32.0,0.0,171.3407039642334
130.0,6.0,4.0,16.0,123.43835830688477
129.0,2.0,4.0,0.0,179.9178123474121
132.0,6.0,8.0,64.0,159.2090129852295
131.0,2.0,32.0,0.0,188.9646053314209
134.0,2.0,8.0,0.0,163.71512413024902
133,6,4,64,-1
136.0,6.0,16.0,32.0,159.76476669311523
135,2,32,0,-1
137,2,4,0,-1
138,6,16,32,-1
140.0,6.0,8.0,16.0,156.86655044555664
139.0,2.0,8.0,0.0,182.20233917236328
141,2,4,0,-1
144,6,16,32,-1
142,2,4,0,-1
146,6,16,32,-1
143,2,8,0,-1
147,6,4,8,-1
148.0,6.0,8.0,16.0,160.41922569274902
145,2,8,0,-1
151.0,6.0,4.0,16.0,152.9393196105957
