query_id,model_id,bs,seq_len,latency
1.0,5.0,32.0,0.0,58.42304229736328
2.0,2.0,32.0,0.0,77.56805419921875
3.0,5.0,16.0,0.0,88.08588981628418
5.0,2.0,4.0,0.0,91.41039848327637
4.0,5.0,8.0,0.0,104.88271713256836
11.0,2.0,4.0,0.0,60.6379508972168
6.0,5.0,8.0,0.0,132.78603553771973
12.0,2.0,32.0,0.0,82.60488510131836
7.0,5.0,4.0,0.0,124.56440925598145
13.0,2.0,16.0,0.0,103.1644344329834
14.0,2.0,4.0,0.0,123.31080436706543
8,5,4,0,-1
15.0,2.0,8.0,0.0,137.69960403442383
9,5,8,0,-1
16.0,2.0,8.0,0.0,146.1794376373291
10,5,16,0,-1
17.0,5.0,16.0,0.0,140.4280662536621
19.0,2.0,8.0,0.0,162.278413772583
22.0,2.0,8.0,0.0,165.205717086792
18,5,16,0,-1
23,2,16,0,-1
20,5,32,0,-1
25,2,4,0,-1
21,5,16,0,-1
27.0,2.0,32.0,0.0,134.36532020568848
24,5,8,0,-1
29.0,2.0,4.0,0.0,142.8391933441162
26,5,16,0,-1
31.0,2.0,16.0,0.0,158.3271026611328
28,5,16,0,-1
32,2,16,0,-1
30,5,16,0,-1
42.0,5.0,4.0,0.0,58.972835540771484
33.0,2.0,4.0,0.0,179.37254905700684
43.0,5.0,8.0,0.0,93.42503547668457
34,2,8,0,-1
52.0,5.0,32.0,0.0,41.71323776245117
35,2,4,0,-1
53.0,5.0,4.0,0.0,36.06772422790527
36,2,8,0,-1
54.0,5.0,16.0,0.0,44.16203498840332
37,2,16,0,-1
57.0,5.0,16.0,0.0,17.815589904785156
38,2,4,0,-1
39,2,8,0,-1
40,2,4,0,-1
41.0,2.0,4.0,0.0,173.9668846130371
59.0,5.0,4.0,0.0,29.389142990112305
44,2,4,0,-1
45,2,32,0,-1
46.0,2.0,32.0,0.0,173.5537052154541
62.0,5.0,32.0,0.0,44.5408821105957
47,2,8,0,-1
65.0,5.0,32.0,0.0,41.681528091430664
48,2,8,0,-1
66.0,5.0,4.0,0.0,33.7221622467041
49,2,16,0,-1
68.0,5.0,32.0,0.0,19.63329315185547
50,2,32,0,-1
51,2,32,0,-1
55,2,8,0,-1
56,2,32,0,-1
58.0,2.0,32.0,0.0,153.11694145202637
60.0,2.0,16.0,0.0,155.75456619262695
71.0,5.0,8.0,0.0,35.07494926452637
61.0,2.0,32.0,0.0,183.89248847961426
74.0,5.0,8.0,0.0,52.729129791259766
63,2,32,0,-1
78.0,5.0,8.0,0.0,28.322696685791016
64,2,4,0,-1
79.0,5.0,4.0,0.0,32.22513198852539
67.0,2.0,16.0,0.0,166.77308082580566
81.0,5.0,4.0,0.0,38.95878791809082
69,2,4,0,-1
82.0,5.0,32.0,0.0,25.316953659057617
70,2,32,0,-1
83.0,5.0,8.0,0.0,19.00339126586914
72.0,2.0,4.0,0.0,159.3327522277832
86.0,5.0,16.0,0.0,47.309160232543945
