query_id,model_id,bs,seq_len,latency
1.0,6.0,32.0,8.0,58.00771713256836
2.0,6.0,32.0,64.0,61.15603446960449
3.0,6.0,16.0,16.0,39.33572769165039
5.0,6.0,8.0,32.0,14.87112045288086
4.0,5.0,4.0,0.0,23.944616317749023
6.0,5.0,16.0,0.0,15.485048294067383
7.0,6.0,16.0,64.0,19.963502883911133
8.0,6.0,8.0,64.0,24.081945419311523
9.0,6.0,16.0,8.0,27.03261375427246
10.0,5.0,32.0,0.0,33.045291900634766
11.0,5.0,16.0,0.0,46.42748832702637
12.0,5.0,4.0,0.0,42.485713958740234
13.0,5.0,8.0,0.0,37.89520263671875
14.0,5.0,8.0,0.0,21.541833877563477
16.0,5.0,16.0,0.0,19.353866577148438
15.0,6.0,16.0,64.0,36.34524345397949
17.0,5.0,8.0,0.0,41.00441932678223
18.0,6.0,32.0,32.0,44.623374938964844
21.0,6.0,8.0,16.0,47.91450500488281
19.0,5.0,8.0,0.0,59.93795394897461
23.0,6.0,8.0,16.0,55.66120147705078
20.0,5.0,16.0,0.0,89.35904502868652
22,5,32,0,-1
24,6,32,64,-1
25.0,6.0,4.0,64.0,66.9565200805664
28.0,5.0,4.0,0.0,50.606489181518555
29.0,5.0,8.0,0.0,55.42397499084473
26,6,8,8,-1
30.0,5.0,4.0,0.0,44.798851013183594
27,6,8,32,-1
31.0,5.0,8.0,0.0,33.75649452209473
32.0,5.0,16.0,0.0,41.777849197387695
33.0,5.0,4.0,0.0,40.61245918273926
34.0,5.0,8.0,0.0,46.050071716308594
35.0,5.0,4.0,0.0,17.46988296508789
37.0,6.0,4.0,32.0,21.881818771362305
36.0,5.0,4.0,0.0,33.126115798950195
38.0,6.0,4.0,64.0,37.41574287414551
39.0,5.0,32.0,0.0,47.58715629577637
40.0,5.0,32.0,0.0,55.95731735229492
41.0,5.0,8.0,0.0,60.03975868225098
46.0,6.0,32.0,32.0,34.97028350830078
48.0,6.0,16.0,8.0,28.998613357543945
42,5,8,0,-1
49.0,6.0,32.0,32.0,28.52606773376465
43,5,16,0,-1
50.0,6.0,8.0,32.0,39.38174247741699
44,5,32,0,-1
51.0,6.0,4.0,8.0,40.669918060302734
45,5,32,0,-1
54.0,6.0,32.0,8.0,24.660587310791016
47,5,4,0,-1
52.0,5.0,8.0,0.0,48.906564712524414
55.0,6.0,32.0,8.0,33.78105163574219
53.0,5.0,32.0,0.0,65.75274467468262
56.0,5.0,16.0,0.0,39.17837142944336
59.0,6.0,32.0,8.0,20.955562591552734
57.0,5.0,32.0,0.0,64.26525115966797
60.0,6.0,4.0,16.0,45.83573341369629
58.0,5.0,32.0,0.0,86.79819107055664
62.0,6.0,4.0,8.0,71.02680206298828
61.0,5.0,32.0,0.0,91.78018569946289
63,5,8,0,-1
64,6,8,8,-1
66,5,32,0,-1
65,6,32,8,-1
68.0,6.0,8.0,32.0,51.98335647583008
67.0,5.0,8.0,0.0,76.85494422912598
70.0,6.0,16.0,8.0,69.13185119628906
69.0,5.0,8.0,0.0,74.52082633972168
74.0,5.0,16.0,0.0,33.16760063171387
71,6,32,64,-1
76.0,5.0,8.0,0.0,23.09584617614746
72,6,8,16,-1
73.0,6.0,4.0,16.0,68.19772720336914
78.0,5.0,8.0,0.0,40.04716873168945
79.0,5.0,4.0,0.0,37.322044372558594
75,6,16,8,-1
77.0,6.0,8.0,32.0,62.81304359436035
84.0,5.0,8.0,0.0,26.257753372192383
80.0,6.0,16.0,32.0,71.2592601776123
85.0,5.0,32.0,0.0,56.295156478881836
86.0,5.0,4.0,0.0,50.8723258972168
81,6,32,64,-1
87.0,5.0,4.0,0.0,54.522037506103516
82,6,16,8,-1
90.0,5.0,16.0,0.0,24.56212043762207
83,6,32,64,-1
91.0,5.0,16.0,0.0,30.524253845214844
88.0,6.0,32.0,32.0,74.55945014953613
92.0,5.0,4.0,0.0,43.24030876159668
89,6,8,64,-1
93.0,6.0,8.0,8.0,57.065725326538086
95.0,5.0,4.0,0.0,42.63663291931152
94.0,6.0,8.0,8.0,61.94782257080078
96.0,5.0,16.0,0.0,55.144309997558594
99.0,6.0,16.0,64.0,55.156707763671875
97.0,5.0,32.0,0.0,80.32608032226562
100.0,6.0,8.0,16.0,72.99447059631348
98,5,32,0,-1
102.0,6.0,8.0,32.0,71.33102416992188
101,5,16,0,-1
104.0,6.0,4.0,8.0,65.32096862792969
103,5,16,0,-1
105,5,4,0,-1
106,6,32,32,-1
108.0,6.0,4.0,8.0,59.19790267944336
107,5,32,0,-1
109.0,5.0,8.0,0.0,58.55703353881836
110.0,6.0,32.0,64.0,56.757211685180664
111.0,6.0,8.0,8.0,64.12816047668457
112.0,5.0,16.0,0.0,62.918663024902344
115.0,5.0,8.0,0.0,37.30440139770508
113.0,6.0,32.0,32.0,70.97530364990234
116.0,5.0,16.0,0.0,59.760093688964844
114,6,32,64,-1
118.0,6.0,4.0,16.0,42.67764091491699
117.0,5.0,32.0,0.0,86.48419380187988
121.0,5.0,8.0,0.0,57.87348747253418
119.0,6.0,32.0,64.0,78.62973213195801
124.0,5.0,32.0,0.0,72.26419448852539
120,6,32,16,-1
127.0,5.0,32.0,0.0,52.28567123413086
122,6,16,16,-1
129.0,5.0,4.0,0.0,26.876211166381836
123,6,32,8,-1
125,6,16,16,-1
126,6,4,16,-1
128.0,6.0,32.0,32.0,54.78167533874512
130.0,6.0,4.0,16.0,22.740602493286133
131.0,5.0,32.0,0.0,34.93165969848633
132.0,6.0,8.0,64.0,46.87929153442383
133.0,6.0,4.0,64.0,30.630826950073242
134.0,5.0,8.0,0.0,10.908365249633789
135.0,5.0,32.0,0.0,25.943756103515625
137.0,5.0,4.0,0.0,14.836311340332031
136.0,6.0,16.0,32.0,29.750347137451172
139.0,5.0,8.0,0.0,19.51456069946289
138.0,6.0,16.0,32.0,44.329166412353516
140.0,6.0,8.0,16.0,45.72343826293945
141.0,5.0,4.0,0.0,49.291372299194336
142.0,5.0,4.0,0.0,53.441524505615234
144.0,6.0,16.0,32.0,43.63393783569336
146.0,6.0,16.0,32.0,54.37064170837402
143,5,8,0,-1
147.0,6.0,4.0,8.0,63.897132873535156
145.0,5.0,8.0,0.0,73.50015640258789
149,5,8,0,-1
148,6,8,16,-1
151.0,6.0,4.0,16.0,60.82773208618164
150,5,16,0,-1
152.0,5.0,4.0,0.0,60.77861785888672
155.0,6.0,32.0,32.0,52.87790298461914
157.0,6.0,16.0,64.0,59.93342399597168
153,5,32,0,-1
154,5,16,0,-1
156,5,4,0,-1
158.0,5.0,32.0,0.0,44.214487075805664
160.0,6.0,8.0,64.0,24.146080017089844
159.0,5.0,4.0,0.0,58.037519454956055
161.0,6.0,32.0,64.0,41.72778129577637
162.0,5.0,32.0,0.0,54.9774169921875
163.0,6.0,8.0,32.0,65.98997116088867
165.0,5.0,32.0,0.0,43.347835540771484
164.0,6.0,4.0,64.0,66.1928653717041
166.0,6.0,16.0,8.0,66.95961952209473
172.0,5.0,16.0,0.0,35.56537628173828
174.0,5.0,16.0,0.0,10.393619537353516
167,6,8,64,-1
176.0,5.0,16.0,0.0,11.093378067016602
168,6,32,16,-1
169,6,4,8,-1
170,6,4,8,-1
171,6,32,64,-1
173.0,6.0,8.0,8.0,54.22186851501465
175.0,6.0,4.0,16.0,45.45760154724121
177.0,6.0,8.0,8.0,50.06146430969238
178.0,6.0,32.0,32.0,55.80544471740723
