colocation,FCFS_throughput,SJF_throughput,EDF_throughput,Abacus_throughput
Res50Res101,632,612,690,907
Res50Res152,442,381,367,725
Res50IncepV3,666,610,701,875
Res50VGG16,915,831,888,969
Res50VGG19,888,814,935,943
Res50Bert,791,721,780,984
Res101Res152,435,381,415,615
Res101IncepV3,563,502,613,798
Res101VGG16,743,646,717,827
Res101VGG19,741,656,741,793
Res101Bert,721,629,667,912
Res152IncepV3,425,406,476,674
Res152VGG16,571,530,573,759
Res152VGG19,576,540,597,704
Res152Bert,570,499,539,723
IncepV3VGG16,741,687,761,865
IncepV3VGG19,747,670,736,860
IncepV3Bert,638,565,628,930
VGG16VGG19,963,925,969,901
VGG16Bert,886,836,919,967
VGG19Bert,838,816,891,966
