colocation,FCFS_tail,FCFS_throughput,FCFS_violation,SJF_tail,SJF_throughput,SJF_violation,EDF_tail,EDF_throughput,EDF_violation,Abacus_tail,Abacus_throughput,Abacus_violation
Res50Res101,1.2456365180969238,632,0.528,1.3074261749267577,612,0.563,1.2415018600463867,690,0.472,1.076916111755371,907,0.14600000000000002
Res50Res152,1.2026222615559894,442,0.718,1.2099730021158852,381,0.798,1.214535976155599,367,0.8,1.1803051025390625,725,0.377
Res50IncepV3,1.2420083351135254,666,0.503,1.3046829345703121,610,0.562,1.1725592803955078,701,0.45199999999999996,1.1788309524536131,875,0.22899999999999998
Res50VGG16,1.2355316162109375,915,0.19899999999999995,1.430724578857424,831,0.355,1.2664051055908203,888,0.24,1.0396362182617176,969,0.050000000000000044
Res50VGG19,1.3201528839111327,888,0.24,1.4792837570190431,814,0.377,1.2006053924560547,935,0.16000000000000003,1.0596925735473637,943,0.07399999999999995
Res50Bert,1.1906751200358074,791,0.365,1.3226712239583325,721,0.47,1.1927270263671876,780,0.364,1.0384740447998047,984,0.041000000000000036
Res101Res152,1.1624644355773923,435,0.6839999999999999,1.19504337310791,381,0.8049999999999999,1.1840651512145997,415,0.724,1.150125249862671,615,0.475
Res101IncepV3,1.1985536560058594,563,0.6,1.2574004618326824,502,0.6579999999999999,1.1313787109375,613,0.534,1.0806956176757812,798,0.26
Res101VGG16,1.225555847167969,743,0.374,1.3672705374823673,646,0.534,1.2346862046983509,717,0.44099999999999995,1.1445731641981338,827,0.241
Res101VGG19,1.2376117515563965,741,0.41200000000000003,1.4101083660125733,656,0.5369999999999999,1.2499505424499513,741,0.42100000000000004,1.1142639694213874,793,0.268
Res101Bert,1.1317590801532451,721,0.405,1.2481898381159855,629,0.5349999999999999,1.1730909494253312,667,0.474,1.0492947528545673,912,0.11299999999999999
Res152IncepV3,1.2851684855143226,425,0.769,1.3468684336344399,406,0.744,1.2146250661214193,476,0.6890000000000001,1.1918211568196613,674,0.43799999999999994
Res152VGG16,1.2194934082031246,571,0.63,1.291685025024414,530,0.659,1.2094430013020834,573,0.606,1.1215048461914061,759,0.33499999999999996
Res152VGG19,1.2116905212402345,576,0.617,1.255812733968099,540,0.641,1.1733270141601557,597,0.5740000000000001,1.1463831095377603,704,0.365
Res152Bert,1.177954432169596,570,0.5840000000000001,1.2598843831380209,499,0.6739999999999999,1.197225596110026,539,0.62,1.1961629028320309,723,0.36
IncepV3VGG16,1.2824463653564453,741,0.41700000000000004,1.3818669490814208,687,0.5,1.2392670059204103,761,0.393,1.1761689491271974,865,0.18700000000000006
IncepV3VGG19,1.2243880519866939,747,0.401,1.3755597801208495,670,0.532,1.249682331085205,736,0.40700000000000003,1.129804838180542,860,0.19499999999999995
IncepV3Bert,1.2483161811828611,638,0.5429999999999999,1.4482706718444824,565,0.6599999999999999,1.2633944158554078,628,0.5569999999999999,1.145497941017151,930,0.13
VGG16VGG19,1.568402608235677,963,0.239,1.7924560394287106,925,0.33799999999999997,1.6400432586669893,969,0.22899999999999998,1.3553540547688803,901,0.17700000000000005
VGG16Bert,1.2119823328653971,886,0.22499999999999998,1.3775101979573552,836,0.30800000000000005,1.1805866673787435,919,0.17100000000000004,1.1398189493815105,967,0.06999999999999995
VGG19Bert,1.2664086901346845,838,0.30400000000000005,1.4267196210225424,816,0.353,1.2156362787882489,891,0.21699999999999997,0.9778559303283691,966,0.04200000000000004
