query_id,model_id,bs,seq_len,search_times,latency
2,1,32,0,0,76.80034637451172
1,2,32,0,0,91.73774719238281
3,2,16,0,0,106.25147819519043
7,1,16,0,1,83.14871788024902
4,2,8,0,1,105.83734512329102
5,6,8,8,1,101.30596160888672
8,2,16,0,1,101.21321678161621
6,6,8,32,1,130.71751594543457
9,2,8,0,1,117.14386940002441
10,6,16,8,1,113.17157745361328
15,1,8,0,1,73.37522506713867
13,2,16,0,1,96.99463844299316
11,6,4,64,1,139.5719051361084
12,6,4,64,0,126.16300582885742
14,6,8,16,0,123.56901168823242
18,2,4,0,1,51.26380920410156
16,6,4,32,1,119.62628364562988
20,2,32,0,1,69.75173950195312
17,6,32,8,1,144.4244384765625
22,1,8,0,1,88.92703056335449
21,2,16,0,1,97.68414497375488
19,6,8,32,1,103.0416488647461
23,1,16,0,1,115.51165580749512
24,2,8,0,1,105.84163665771484
26,6,32,32,1,79.16021347045898
25,1,4,0,1,134.52935218811035
30,2,16,0,1,58.57110023498535
27,6,8,64,1,82.84974098205566
29,1,4,0,1,91.37487411499023
28,6,32,32,1,94.7422981262207
31,1,16,0,0,98.56939315795898
32,1,16,0,1,125.56934356689453
37,6,4,64,1,74.8133659362793
33,1,4,0,0,133.9404582977295
34,1,8,0,1,171.43988609313965
43,2,4,0,1,78.70912551879883
42,6,32,8,1,79.07414436340332
35,1,4,0,2,182.8138828277588
44,6,32,16,2,104.73942756652832
36,1,8,0,0,-1
38,1,4,0,0,-1
39,1,8,0,0,-1
40,1,32,0,0,-1
41,1,4,0,0,-1
45,1,4,0,1,133.7413787841797
47,2,32,0,1,125.38290023803711
46,6,32,16,1,126.56283378601074
51,1,32,0,1,147.22180366516113
53,2,16,0,1,119.70973014831543
48,6,8,8,1,154.24442291259766
54,1,4,0,2,130.71823120117188
49,6,8,32,2,181.61964416503906
50,6,32,16,0,-1
57,1,32,0,1,130.46598434448242
55,2,16,0,1,144.79970932006836
52,6,16,32,0,-1
61,1,16,0,1,97.65815734863281
58,2,16,0,1,150.84266662597656
56,6,16,16,0,-1
59,6,8,32,0,-1
60,2,4,0,0,-1
62,1,32,0,1,121.15073204040527
63,2,32,0,2,131.99162483215332
64,1,32,0,2,141.16525650024414
65,6,8,64,2,135.8640193939209
66,1,8,0,1,150.8188247680664
67,2,32,0,1,147.71294593811035
68,6,4,8,1,140.0465965270996
69,2,32,0,2,167.54937171936035
70,1,32,0,2,174.60393905639648
71,1,4,0,0,-1
72,6,4,64,0,-1
73,6,4,16,0,-1
74,1,4,0,0,-1
75,6,4,16,0,-1
76,1,8,0,0,-1
77,2,8,0,0,-1
78,1,32,0,0,-1
80,1,8,0,1,133.04829597473145
79,6,16,64,1,134.04011726379395
82,1,4,0,1,130.64837455749512
87,2,4,0,1,84.17367935180664
81,6,16,8,1,138.228178024292
83,1,16,0,1,154.89864349365234
89,2,4,0,1,101.0277271270752
84,6,16,8,1,154.41393852233887
85,6,32,64,0,-1
86,6,8,16,1,132.47108459472656
88,1,16,0,1,159.1494083404541
90,2,4,0,1,141.57843589782715
92,6,32,16,1,122.96938896179199
91,1,8,0,1,151.2894630432129
93,2,8,0,1,144.40321922302246
97,6,32,32,1,128.40986251831055
94,1,4,0,2,164.24894332885742
95,2,16,0,0,-1
96,2,4,0,0,-1
99,6,4,32,0,-1
98,2,4,0,0,-1
100,2,8,0,0,-1
101,1,32,0,1,138.18931579589844
105,2,8,0,1,119.29726600646973
102,6,4,16,1,128.1719207763672
104,1,16,0,1,150.8495807647705
106,2,8,0,1,120.22948265075684
103,6,32,8,1,153.53894233703613
109,1,4,0,1,142.69590377807617
107,2,8,0,1,153.98931503295898
110,6,8,8,1,125.28538703918457
108,2,4,0,0,-1
111,2,8,0,0,-1
112,6,8,16,1,129.66203689575195
113,1,32,0,2,143.11480522155762
114,2,8,0,0,-1
115,1,32,0,0,-1
116,1,32,0,1,122.18642234802246
118,2,8,0,1,106.69732093811035
117,6,16,64,1,113.72065544128418
124,1,4,0,1,93.31989288330078
120,2,16,0,1,124.6180534362793
119,6,8,8,1,134.2310905456543
125,1,4,0,1,104.44831848144531
121,2,8,0,1,139.5852565765381
128,6,16,64,1,81.51578903198242
133,1,4,0,1,58.304786682128906
122,2,8,0,1,168.07889938354492
129,6,4,8,1,104.13050651550293
123,2,32,0,0,-1
126,2,32,0,0,-1
127,2,8,0,0,-1
135,1,16,0,1,82.29422569274902
132,2,8,0,1,104.90226745605469
130,6,8,32,1,133.98289680480957
136,2,32,0,2,109.9402904510498
131,6,32,64,2,162.8715991973877
138,1,16,0,1,127.1507740020752
137,2,8,0,1,127.93469429016113
134,6,16,32,1,152.07362174987793
139,1,32,0,1,154.21724319458008
140,2,4,0,1,125.6103515625
141,6,16,64,1,123.98815155029297
142,1,32,0,1,145.74766159057617
143,2,32,0,1,136.1098289489746
145,6,16,16,1,135.2367401123047
144,1,8,0,1,167.98925399780273
146,2,32,0,1,163.66839408874512
148,6,16,8,1,126.69062614440918
147,1,32,0,2,173.4292507171631
149,6,16,16,2,166.01109504699707
150,2,4,0,0,-1
151,6,8,8,0,-1
152,2,8,0,0,-1
153,2,4,0,0,-1
154,1,4,0,1,133.09860229492188
157,1,32,0,1,119.73047256469727
155,2,4,0,1,134.0022087097168
156,6,8,16,1,130.92684745788574
160,1,32,0,1,111.72652244567871
159,2,32,0,1,134.1879367828369
158,6,4,16,1,138.02003860473633
161,1,8,0,1,108.8414192199707
166,2,4,0,1,63.234806060791016
162,6,32,64,1,107.65910148620605
165,1,4,0,1,88.81115913391113
163,6,32,32,1,97.5179672241211
167,1,4,0,1,111.3898754119873
172,2,16,0,1,57.61528015136719
164,6,16,8,1,123.62933158874512
169,1,4,0,1,96.59934043884277
168,6,8,8,1,119.20595169067383
174,1,32,0,1,82.35669136047363
175,2,16,0,1,77.71182060241699
170,6,16,8,1,118.93701553344727
176,1,4,0,1,97.15414047241211
171,6,8,16,1,141.90030097961426
177,1,16,0,1,119.78459358215332
181,2,4,0,1,87.66460418701172
173,6,8,8,1,169.54994201660156
178,1,8,0,1,137.90106773376465
184,2,32,0,1,86.23862266540527
180,6,8,32,1,116.50490760803223
179,1,16,0,2,153.0754566192627
185,6,32,32,2,102.5993824005127
182,1,32,0,1,150.03156661987305
188,2,16,0,1,88.96636962890625
186,6,8,64,1,98.33455085754395
183,1,8,0,0,-1
191,1,8,0,1,114.65287208557129
189,2,16,0,1,118.24560165405273
187,6,4,64,1,123.28767776489258
197,1,32,0,1,99.20334815979004
190,2,8,0,1,140.7310962677002
192,6,32,16,1,136.19208335876465
199,1,16,0,1,108.38699340820312
193,2,8,0,1,163.59591484069824
198,6,8,32,1,114.8231029510498
