query_id,model_id,bs,seq_len,search_times,latency
2,1,32,0,0,61.26761436462402
1,2,32,0,0,76.19857788085938
3,2,16,0,0,82.55195617675781
6,1,16,0,1,77.77667045593262
4,2,8,0,1,84.30957794189453
5,5,8,0,1,79.72168922424316
8,2,4,0,1,53.91049385070801
7,5,8,0,1,94.68889236450195
12,1,4,0,1,60.045480728149414
10,2,8,0,1,72.55840301513672
9,5,4,0,1,76.73263549804688
13,1,32,0,1,68.19605827331543
11,5,16,0,1,91.33315086364746
16,1,4,0,1,50.37379264831543
14,5,4,0,1,74.90658760070801
17,1,8,0,1,55.18031120300293
15,5,16,0,1,75.3934383392334
18,1,8,0,0,55.12666702270508
20,2,32,0,1,57.891845703125
19,5,4,0,1,64.01991844177246
21,1,16,0,1,72.26276397705078
24,2,32,0,1,64.68796730041504
22,5,16,0,1,68.55463981628418
26,1,8,0,1,78.92632484436035
25,2,16,0,1,87.67485618591309
23,5,16,0,1,91.10045433044434
27,1,16,0,2,101.97901725769043
28,2,8,0,2,92.37027168273926
29,1,4,0,0,-1
30,5,32,0,0,-1
32,1,32,0,1,54.045915603637695
31,5,8,0,1,61.64741516113281
33,5,32,0,0,46.94700241088867
35,1,4,0,1,57.62624740600586
36,2,16,0,1,53.592681884765625
34,5,16,0,1,68.08161735534668
37,1,16,0,0,70.3885555267334
38,1,16,0,0,89.57195281982422
39,1,4,0,1,94.09880638122559
43,5,4,0,1,55.912017822265625
40,1,8,0,0,-1
41,1,4,0,0,-1
42,1,8,0,1,78.63354682922363
45,1,8,0,1,78.97496223449707
44,2,4,0,1,80.05261421203613
48,5,32,0,1,43.678998947143555
46,1,32,0,1,96.82703018188477
51,2,4,0,1,66.86282157897949
49,5,16,0,1,70.66011428833008
47,1,4,0,1,104.99453544616699
52,5,4,0,1,81.92682266235352
50,1,16,0,0,-1
53,5,8,0,0,-1
56,1,8,0,1,53.507089614868164
54,2,32,0,1,60.09221076965332
55,5,8,0,1,55.524587631225586
57,1,16,0,0,56.03790283203125
58,1,32,0,1,90.14511108398438
63,2,16,0,1,60.501813888549805
59,5,32,0,1,80.91592788696289
62,1,4,0,1,98.61016273498535
66,2,16,0,1,73.11081886291504
60,5,16,0,1,108.63208770751953
61,5,16,0,0,-1
64,5,16,0,0,-1
65,1,32,0,0,-1
67,5,8,0,1,84.30171012878418
71,1,32,0,1,65.09947776794434
68,5,32,0,1,74.11980628967285
73,1,32,0,1,54.30436134338379
69,5,8,0,1,90.74640274047852
70,5,8,0,2,101.49478912353516
72,5,32,0,0,-1
78,1,16,0,1,55.664777755737305
75,2,8,0,1,73.49944114685059
74,5,8,0,1,85.99567413330078
80,1,4,0,1,77.39853858947754
76,2,32,0,1,102.0810604095459
77,5,4,0,1,94.44475173950195
79,2,32,0,1,101.81593894958496
81,5,4,0,1,93.11270713806152
82,2,32,0,0,-1
85,1,8,0,1,72.74079322814941
83,2,4,0,1,87.11123466491699
84,5,4,0,1,86.9894027709961
87,1,32,0,1,95.8700180053711
86,2,8,0,1,99.2746353149414
88,5,16,0,1,89.3096923828125
91,1,16,0,1,95.29304504394531
89,2,4,0,1,113.13819885253906
93,5,16,0,1,74.09477233886719
90,2,16,0,0,-1
92,1,8,0,0,-1
94,2,4,0,0,-1
95,5,32,0,1,61.367034912109375
96,5,32,0,0,44.08097267150879
98,1,16,0,1,52.24466323852539
100,2,16,0,1,45.84860801696777
97,5,8,0,1,58.133602142333984
99,1,16,0,1,71.95281982421875
105,2,4,0,1,56.67448043823242
101,5,4,0,1,66.16926193237305
102,1,8,0,1,92.49210357666016
106,2,4,0,1,70.88732719421387
103,5,32,0,1,89.26177024841309
107,2,16,0,1,94.03204917907715
104,5,4,0,1,110.96835136413574
108,2,4,0,0,-1
109,5,32,0,0,-1
110,2,16,0,1,88.14001083374023
111,1,32,0,1,94.11501884460449
112,2,16,0,1,87.50009536743164
113,5,8,0,1,87.01276779174805
114,1,32,0,2,100.80409049987793
115,5,4,0,2,90.85869789123535
116,1,4,0,2,109.95984077453613
117,2,32,0,2,95.98588943481445
118,5,32,0,0,-1
119,2,8,0,0,-1
120,2,8,0,0,-1
121,2,8,0,0,-1
122,2,4,0,0,-1
123,1,4,0,1,90.60168266296387
128,2,8,0,1,47.96791076660156
124,5,8,0,1,73.25148582458496
125,1,16,0,1,91.85004234313965
127,5,8,0,1,74.47528839111328
126,1,8,0,0,101.88531875610352
129,1,32,0,0,-1
130,1,32,0,1,67.86346435546875
132,2,8,0,1,52.442073822021484
131,5,16,0,1,59.45539474487305
133,5,8,0,0,6.00123405456543
134,1,16,0,0,25.376319885253906
138,1,4,0,0,29.565811157226562
135,2,8,0,0,48.371076583862305
136,2,8,0,0,73.93193244934082
139,1,4,0,1,63.37785720825195
137,2,32,0,1,88.59014511108398
140,2,32,0,1,88.06490898132324
142,5,16,0,1,67.901611328125
141,2,8,0,0,-1
143,5,4,0,1,81.66170120239258
146,2,32,0,1,78.39560508728027
144,5,4,0,1,85.16049385070801
145,5,8,0,0,-1
147,2,32,0,0,-1
148,5,4,0,1,73.88782501220703
154,1,16,0,1,44.76499557495117
150,2,16,0,1,68.45283508300781
149,5,8,0,1,90.2554988861084
155,1,32,0,1,71.26808166503906
151,2,16,0,1,91.24994277954102
152,2,32,0,0,-1
153,2,8,0,0,-1
161,1,8,0,1,35.1407527923584
156,2,4,0,1,70.97101211547852
157,5,16,0,1,69.28586959838867
158,2,32,0,0,81.12001419067383
159,2,4,0,0,-1
160,2,4,0,0,-1
162,5,16,0,1,71.24781608581543
163,1,32,0,1,78.78446578979492
165,5,16,0,1,52.38699913024902
164,1,32,0,0,-1
167,1,32,0,1,79.77819442749023
168,2,4,0,1,47.84655570983887
166,5,16,0,1,81.23373985290527
170,1,32,0,0,22.868871688842773
169,5,8,0,0,42.73033142089844
171,2,32,0,0,39.08538818359375
173,1,4,0,0,42.294979095458984
172,2,4,0,0,58.05039405822754
176,1,32,0,0,37.74452209472656
174,2,4,0,0,52.04200744628906
175,5,8,0,0,48.94447326660156
178,1,32,0,1,54.132699966430664
177,5,4,0,1,57.94405937194824
179,1,32,0,0,66.68353080749512
180,1,8,0,1,65.08708000183105
181,5,32,0,1,63.935279846191406
182,2,4,0,0,63.49468231201172
183,2,16,0,0,79.3914794921875
185,1,4,0,1,75.78635215759277
186,2,4,0,1,74.39732551574707
184,5,16,0,1,78.9182186126709
187,1,4,0,1,94.28548812866211
193,2,16,0,1,49.224853515625
188,5,8,0,1,77.03399658203125
189,1,4,0,1,78.78422737121582
195,2,16,0,1,68.73869895935059
190,5,16,0,1,76.34973526000977
192,1,4,0,1,102.73170471191406
196,2,16,0,1,91.49050712585449
191,5,8,0,1,103.10673713684082
194,1,8,0,0,-1
197,1,4,0,0,91.13764762878418
202,2,4,0,0,49.95918273925781
201,5,8,0,0,52.88195610046387
198,1,16,0,0,104.72607612609863
199,1,8,0,0,-1
200,1,16,0,0,-1
203,1,32,0,0,-1
204,1,8,0,1,83.60838890075684
205,2,32,0,2,91.54033660888672
206,5,32,0,0,-1
207,2,4,0,0,-1
208,1,16,0,1,79.09417152404785
209,5,4,0,1,73.04835319519043
210,2,32,0,1,68.06731224060059
211,5,32,0,1,62.70718574523926
212,1,32,0,0,62.56699562072754
213,1,4,0,1,82.62419700622559
214,2,8,0,1,52.459716796875
215,5,32,0,1,51.14603042602539
216,1,32,0,1,69.47827339172363
218,2,8,0,1,51.70631408691406
217,1,32,0,0,75.88768005371094
221,1,32,0,1,50.56118965148926
