query_id,model_id,bs,seq_len,search_times,latency
2,2,32,0,0,78.96208763122559
1,5,32,0,0,93.85895729064941
3,5,16,0,0,89.79082107543945
4,5,8,0,2,82.6869010925293
5,6,8,8,2,78.1254768371582
6,6,8,32,0,-1
7,2,16,0,0,-1
8,5,16,0,1,61.602115631103516
9,5,8,0,1,61.911582946777344
10,6,16,8,1,57.95168876647949
13,5,16,0,1,19.87457275390625
11,6,4,64,1,62.486886978149414
12,6,4,64,0,50.00758171081543
14,6,8,16,0,40.869951248168945
15,2,8,0,0,52.907705307006836
16,6,4,32,0,47.78695106506348
17,6,32,8,0,52.770137786865234
18,5,4,0,0,4.355669021606445
19,6,8,32,0,12.089729309082031
20,5,32,0,0,25.277376174926758
21,5,16,0,0,32.8366756439209
22,2,8,0,1,48.912763595581055
24,5,8,0,1,37.042856216430664
23,2,16,0,0,71.14553451538086
25,2,4,0,0,-1
26,6,32,32,1,51.055908203125
27,6,8,64,0,37.15324401855469
29,2,4,0,1,44.3730354309082
30,5,16,0,1,40.30585289001465
28,6,32,32,1,47.79934883117676
31,2,16,0,0,56.130170822143555
32,2,16,0,0,77.98242568969727
33,2,4,0,0,-1
34,2,8,0,0,-1
35,2,4,0,0,-1
36,2,8,0,1,59.587955474853516
38,2,4,0,1,65.74201583862305
37,6,4,64,1,83.68301391601562
39,2,8,0,0,-1
40,2,32,0,0,-1
41,2,4,0,0,-1
45,2,4,0,1,51.21350288391113
43,5,4,0,1,55.75442314147949
42,6,32,8,1,56.11443519592285
44,6,32,16,2,68.27807426452637
46,6,32,16,0,-1
47,5,32,0,0,-1
48,6,8,8,0,-1
49,6,8,32,0,-1
50,6,32,16,0,-1
51,2,32,0,0,-1
52,6,16,32,0,-1
54,2,4,0,1,28.52487564086914
53,5,16,0,1,46.93150520324707
55,5,16,0,0,40.2224063873291
56,6,16,16,0,26.51524543762207
57,2,32,0,0,42.16957092285156
58,5,16,0,1,41.26429557800293
59,6,8,32,1,31.679391860961914
60,5,4,0,0,7.871389389038086
61,2,16,0,0,30.567169189453125
62,2,32,0,0,56.66017532348633
63,5,32,0,2,74.80573654174805
64,2,32,0,2,74.31578636169434
65,6,8,64,0,-1
66,2,8,0,0,-1
67,5,32,0,0,-1
68,6,4,8,0,-1
69,5,32,0,0,-1
70,2,32,0,0,-1
71,2,4,0,1,47.87921905517578
72,6,4,64,1,39.81900215148926
74,2,4,0,1,57.49225616455078
73,6,4,16,1,63.100337982177734
76,2,8,0,1,61.63525581359863
77,5,8,0,1,52.11377143859863
75,6,4,16,1,69.37265396118164
78,2,32,0,1,72.96013832092285
79,6,16,64,1,66.3459300994873
80,2,8,0,0,-1
81,6,16,8,0,-1
82,2,4,0,0,-1
83,2,16,0,0,-1
84,6,16,8,1,49.71194267272949
85,6,32,64,0,58.650970458984375
87,5,4,0,1,31.8450927734375
86,6,8,16,1,37.755727767944336
88,2,16,0,1,56.38861656188965
89,5,4,0,1,54.651737213134766
90,5,4,0,0,43.17736625671387
91,2,8,0,1,59.94820594787598
93,5,8,0,1,53.04670333862305
92,6,32,16,1,56.648969650268555
94,2,4,0,1,82.91029930114746
95,5,16,0,1,79.12445068359375
97,6,32,32,1,68.27831268310547
96,5,4,0,1,85.33096313476562
99,6,4,32,1,54.26192283630371
98,5,4,0,2,70.4803466796875
100,5,8,0,0,-1
101,2,32,0,0,-1
102,6,4,16,1,61.35916709899902
104,2,16,0,1,69.59676742553711
105,5,8,0,1,64.43667411804199
103,6,32,8,1,72.29304313659668
109,2,4,0,1,57.44290351867676
106,5,8,0,1,69.71144676208496
107,5,8,0,1,80.54399490356445
110,6,8,8,1,51.873207092285156
108,5,4,0,0,-1
111,5,8,0,1,63.500165939331055
112,6,8,16,1,58.27522277832031
113,2,32,0,1,75.01626014709473
114,5,8,0,1,72.6621150970459
115,2,32,0,0,-1
116,2,32,0,0,46.63538932800293
118,5,8,0,0,31.151294708251953
117,6,16,64,0,38.1770133972168
120,5,16,0,0,24.997711181640625
119,6,8,8,0,34.6064567565918
121,5,8,0,0,18.691301345825195
122,5,8,0,0,23.08177947998047
124,2,4,0,1,29.797792434692383
123,5,32,0,1,38.73872756958008
125,2,4,0,0,39.40701484680176
126,5,32,0,0,36.75365447998047
127,5,8,0,0,41.310787200927734
128,6,16,64,0,32.87482261657715
129,6,4,8,0,38.161277770996094
130,6,8,32,0,42.48404502868652
132,5,8,0,1,24.855613708496094
131,6,32,64,1,48.18224906921387
133,2,4,0,0,40.57621955871582
135,2,16,0,1,52.00552940368652
134,6,16,32,1,54.1534423828125
138,2,16,0,1,55.72915077209473
136,5,32,0,1,71.50101661682129
137,5,8,0,2,75.97899436950684
139,2,32,0,0,-1
140,5,4,0,1,56.56075477600098
141,6,16,64,0,-1
142,2,32,0,0,-1
143,5,32,0,1,53.00474166870117
144,2,8,0,2,72.70383834838867
145,6,16,16,2,72.41153717041016
146,5,32,0,2,90.45600891113281
147,2,32,0,0,-1
148,6,16,8,0,-1
150,5,4,0,1,43.75195503234863
