query_id,model_id,bs,seq_len,latency
1.0,2.0,32.0,0.0,69.58794593811035
2.0,1.0,32.0,0.0,80.13415336608887
3.0,2.0,16.0,0.0,110.7017993927002
5.0,6.0,8.0,8.0,99.82609748840332
7.0,1.0,16.0,0.0,100.87060928344727
4.0,2.0,8.0,0.0,149.83320236206055
6.0,6.0,8.0,32.0,155.9896469116211
15.0,1.0,8.0,0.0,60.019493103027344
8.0,2.0,16.0,0.0,181.6108226776123
10.0,6.0,16.0,8.0,181.39934539794922
22.0,1.0,8.0,0.0,20.694732666015625
9,2,8,0,-1
11,6,4,64,-1
23.0,1.0,16.0,0.0,36.87596321105957
13,2,16,0,-1
12,6,4,64,-1
18.0,2.0,4.0,0.0,95.80087661743164
25.0,1.0,4.0,0.0,86.56716346740723
14,6,8,16,-1
20.0,2.0,32.0,0.0,147.57990837097168
29.0,1.0,4.0,0.0,72.62229919433594
16,6,4,32,-1
31.0,1.0,16.0,0.0,78.42755317687988
21,2,16,0,-1
17,6,32,8,-1
32.0,1.0,16.0,0.0,93.93072128295898
24,2,8,0,-1
19,6,8,32,-1
30.0,2.0,16.0,0.0,140.77043533325195
33.0,1.0,4.0,0.0,143.2628631591797
26,6,32,32,-1
34.0,1.0,8.0,0.0,158.32781791687012
43.0,2.0,4.0,0.0,99.7459888458252
27,6,8,64,-1
47.0,2.0,32.0,0.0,118.22056770324707
35,1,4,0,-1
28,6,32,32,-1
53.0,2.0,16.0,0.0,113.64555358886719
36,1,8,0,-1
37,6,4,64,-1
55.0,2.0,16.0,0.0,117.2187328338623
38,1,4,0,-1
42,6,32,8,-1
58.0,2.0,16.0,0.0,113.31796646118164
39,1,8,0,-1
44,6,32,16,-1
60.0,2.0,4.0,0.0,110.08310317993164
40,1,32,0,-1
46,6,32,16,-1
63.0,2.0,32.0,0.0,110.92114448547363
41,1,4,0,-1
48,6,8,8,-1
67.0,2.0,32.0,0.0,107.1019172668457
45,1,4,0,-1
49,6,8,32,-1
69.0,2.0,32.0,0.0,115.39363861083984
51,1,32,0,-1
50,6,32,16,-1
77.0,2.0,8.0,0.0,77.84247398376465
54,1,4,0,-1
52,6,16,32,-1
57,1,32,0,-1
56,6,16,16,-1
61,1,16,0,-1
59,6,8,32,-1
62,1,32,0,-1
65,6,8,64,-1
64,1,32,0,-1
68,6,4,8,-1
72.0,6.0,4.0,64.0,128.9963722229004
66,1,8,0,-1
73.0,6.0,4.0,16.0,140.59734344482422
87.0,2.0,4.0,0.0,46.23126983642578
70,1,32,0,-1
75.0,6.0,4.0,16.0,164.26992416381836
89.0,2.0,4.0,0.0,76.42197608947754
71,1,4,0,-1
90.0,2.0,4.0,0.0,86.2586498260498
74,1,4,0,-1
79,6,16,64,-1
93.0,2.0,8.0,0.0,97.24569320678711
76,1,8,0,-1
81,6,16,8,-1
95.0,2.0,16.0,0.0,118.50285530090332
78,1,32,0,-1
84,6,16,8,-1
96.0,2.0,4.0,0.0,140.869140625
80,1,8,0,-1
85,6,32,64,-1
98.0,2.0,4.0,0.0,136.80744171142578
82,1,4,0,-1
86,6,8,16,-1
100.0,2.0,8.0,0.0,163.62762451171875
83,1,16,0,-1
92,6,32,16,-1
105.0,2.0,8.0,0.0,156.785249710083
88,1,16,0,-1
97,6,32,32,-1
106.0,2.0,8.0,0.0,156.49700164794922
91,1,8,0,-1
99,6,4,32,-1
94,1,4,0,-1
107,2,8,0,-1
102,6,4,16,-1
108.0,2.0,4.0,0.0,173.13838005065918
101,1,32,0,-1
103,6,32,8,-1
111.0,2.0,8.0,0.0,181.71048164367676
104,1,16,0,-1
110,6,8,8,-1
109,1,4,0,-1
114,2,8,0,-1
112,6,8,16,-1
117.0,6.0,16.0,64.0,126.35302543640137
118.0,2.0,8.0,0.0,143.94140243530273
113,1,32,0,-1
119.0,6.0,8.0,8.0,152.47440338134766
120.0,2.0,16.0,0.0,168.87497901916504
115,1,32,0,-1
128.0,6.0,16.0,64.0,110.1994514465332
116,1,32,0,-1
121,2,8,0,-1
124.0,1.0,4.0,0.0,169.68441009521484
129.0,6.0,4.0,8.0,135.3757381439209
122,2,8,0,-1
130.0,6.0,8.0,32.0,139.693021774292
125,1,4,0,-1
123,2,32,0,-1
131.0,6.0,32.0,64.0,146.2697982788086
133.0,1.0,4.0,0.0,132.46583938598633
126,2,32,0,-1
134.0,6.0,16.0,32.0,133.40997695922852
135.0,1.0,16.0,0.0,152.89759635925293
127,2,8,0,-1
138.0,1.0,16.0,0.0,149.47748184204102
141.0,6.0,16.0,64.0,126.94787979125977
132,2,8,0,-1
145.0,6.0,16.0,16.0,117.46859550476074
139,1,32,0,-1
136,2,32,0,-1
142.0,1.0,32.0,0.0,146.96979522705078
148.0,6.0,16.0,8.0,110.08167266845703
137,2,8,0,-1
149.0,6.0,16.0,16.0,114.42685127258301
144,1,8,0,-1
140,2,4,0,-1
147.0,1.0,32.0,0.0,165.2662754058838
151.0,6.0,8.0,8.0,116.12558364868164
143,2,32,0,-1
154.0,1.0,4.0,0.0,107.9866886138916
156.0,6.0,8.0,16.0,92.59510040283203
146,2,32,0,-1
157.0,1.0,32.0,0.0,105.7283878326416
158.0,6.0,4.0,16.0,101.86481475830078
150,2,4,0,-1
160.0,1.0,32.0,0.0,97.96833992004395
162.0,6.0,32.0,64.0,84.95664596557617
152,2,8,0,-1
161.0,1.0,8.0,0.0,105.54671287536621
163.0,6.0,32.0,32.0,91.00985527038574
153,2,4,0,-1
164.0,6.0,16.0,8.0,103.68800163269043
165.0,1.0,4.0,0.0,120.11265754699707
155,2,4,0,-1
167.0,1.0,4.0,0.0,131.1624050140381
168.0,6.0,8.0,8.0,132.04455375671387
159,2,32,0,-1
169.0,1.0,4.0,0.0,128.88193130493164
170.0,6.0,16.0,8.0,134.16647911071777
166,2,4,0,-1
171.0,6.0,8.0,16.0,151.4756679534912
172.0,2.0,16.0,0.0,175.0779151916504
174.0,1.0,32.0,0.0,160.47978401184082
176,1,4,0,-1
175,2,16,0,-1
173,6,8,8,-1
177.0,1.0,16.0,0.0,162.66870498657227
180.0,6.0,8.0,32.0,151.1678695678711
181.0,2.0,4.0,0.0,174.07655715942383
184.0,2.0,32.0,0.0,177.19697952270508
185.0,6.0,32.0,32.0,186.4306926727295
178,1,8,0,-1
179,1,16,0,-1
188,2,16,0,-1
186,6,8,64,-1
182,1,32,0,-1
189,2,16,0,-1
187,6,4,64,-1
190.0,2.0,8.0,0.0,175.51422119140625
192.0,6.0,32.0,16.0,182.40666389465332
183,1,8,0,-1
198.0,6.0,8.0,32.0,136.91425323486328
191,1,8,0,-1
193,2,8,0,-1
200.0,6.0,32.0,64.0,130.37753105163574
197,1,32,0,-1
194,2,8,0,-1
199.0,1.0,16.0,0.0,171.30708694458008
202.0,6.0,16.0,8.0,154.32262420654297
195,2,4,0,-1
207.0,6.0,4.0,32.0,140.63477516174316
201,1,8,0,-1
196,2,16,0,-1
205.0,2.0,16.0,0.0,171.12064361572266
209.0,6.0,8.0,8.0,169.92878913879395
203,1,4,0,-1
211.0,6.0,8.0,8.0,148.3895778656006
204,1,32,0,-1
206,2,8,0,-1
213.0,6.0,16.0,32.0,126.81055068969727
215.0,1.0,4.0,0.0,126.49965286254883
208,2,4,0,-1
217.0,1.0,16.0,0.0,139.30535316467285
225.0,6.0,32.0,8.0,65.11068344116211
210,2,16,0,-1
219.0,1.0,16.0,0.0,156.40783309936523
228.0,6.0,8.0,32.0,63.18211555480957
212,2,32,0,-1
230.0,6.0,8.0,32.0,50.15063285827637
222,1,8,0,-1
214,2,8,0,-1
223.0,1.0,32.0,0.0,159.6996784210205
233.0,6.0,8.0,16.0,60.3785514831543
216,2,32,0,-1
236.0,6.0,8.0,64.0,47.88351058959961
224,1,4,0,-1
218,2,32,0,-1
229.0,1.0,32.0,0.0,114.76755142211914
241.0,6.0,16.0,32.0,52.56247520446777
220,2,4,0,-1
232.0,1.0,8.0,0.0,133.28266143798828
243.0,6.0,16.0,64.0,60.170888900756836
221,2,32,0,-1
237.0,1.0,4.0,0.0,133.4826946258545
248.0,6.0,32.0,16.0,81.24923706054688
226,2,4,0,-1
239.0,1.0,8.0,0.0,163.65838050842285
250.0,6.0,16.0,32.0,113.006591796875
227,2,16,0,-1
251.0,6.0,16.0,32.0,102.2956371307373
240,1,4,0,-1
231,2,32,0,-1
244.0,1.0,4.0,0.0,157.58824348449707
255.0,6.0,16.0,32.0,101.44209861755371
234,2,32,0,-1
256.0,6.0,16.0,64.0,99.83134269714355
245,1,16,0,-1
235,2,32,0,-1
265.0,6.0,32.0,8.0,12.984275817871094
246,1,4,0,-1
238,2,4,0,-1
247,1,32,0,-1
242,2,32,0,-1
252,1,8,0,-1
249,2,4,0,-1
253.0,2.0,16.0,0.0,181.19502067565918
254.0,1.0,16.0,0.0,199.6629238128662
257.0,2.0,8.0,0.0,173.93016815185547
258.0,1.0,4.0,0.0,172.75285720825195
270.0,6.0,8.0,32.0,77.88681983947754
261.0,2.0,4.0,0.0,186.86389923095703
272.0,6.0,16.0,16.0,112.40887641906738
259,1,32,0,-1
276.0,6.0,32.0,8.0,95.97063064575195
260,1,32,0,-1
264,2,32,0,-1
262,1,4,0,-1
268,2,32,0,-1
271.0,2.0,32.0,0.0,165.50827026367188
263,1,8,0,-1
283.0,2.0,8.0,0.0,83.2374095916748
266,1,8,0,-1
285.0,2.0,4.0,0.0,100.24714469909668
289.0,6.0,8.0,16.0,59.938669204711914
267,1,16,0,-1
290.0,6.0,8.0,64.0,57.090044021606445
291.0,2.0,8.0,0.0,91.58611297607422
269,1,16,0,-1
292.0,6.0,4.0,8.0,97.58472442626953
294.0,2.0,8.0,0.0,108.01434516906738
273,1,4,0,-1
293.0,6.0,32.0,64.0,135.0867748260498
298.0,2.0,32.0,0.0,133.0857276916504
274,1,8,0,-1
301.0,2.0,8.0,0.0,128.09395790100098
275,1,4,0,-1
295,6,32,64,-1
302.0,2.0,8.0,0.0,156.63933753967285
277,1,16,0,-1
296,6,4,32,-1
278,1,16,0,-1
303,2,4,0,-1
300,6,8,32,-1
305.0,2.0,4.0,0.0,174.34930801391602
279,1,16,0,-1
304,6,16,8,-1
280,1,8,0,-1
309,2,16,0,-1
307,6,4,32,-1
311.0,2.0,16.0,0.0,170.47953605651855
281,1,16,0,-1
308,6,8,64,-1
316.0,2.0,8.0,0.0,152.62842178344727
282,1,32,0,-1
312,6,32,8,-1
319.0,2.0,4.0,0.0,131.29544258117676
284,1,16,0,-1
313,6,32,64,-1
321.0,2.0,32.0,0.0,126.5859603881836
286,1,8,0,-1
315,6,8,8,-1
323.0,2.0,16.0,0.0,142.44842529296875
287,1,4,0,-1
318,6,8,8,-1
326.0,2.0,32.0,0.0,163.97643089294434
288,1,32,0,-1
320,6,8,8,-1
297,1,8,0,-1
327,2,16,0,-1
324,6,8,32,-1
299,1,16,0,-1
330,2,4,0,-1
328,6,4,32,-1
332.0,2.0,16.0,0.0,178.52520942687988
306,1,8,0,-1
329,6,32,8,-1
310,1,32,0,-1
334,2,16,0,-1
333,6,16,64,-1
337.0,2.0,4.0,0.0,150.24614334106445
338.0,6.0,8.0,32.0,148.36788177490234
314,1,8,0,-1
339.0,2.0,16.0,0.0,165.48991203308105
341.0,6.0,8.0,8.0,166.7349338531494
317,1,8,0,-1
344.0,6.0,16.0,16.0,159.65723991394043
322,1,4,0,-1
340,2,32,0,-1
346.0,2.0,8.0,0.0,176.71680450439453
347.0,6.0,8.0,8.0,158.27274322509766
325,1,32,0,-1
349.0,2.0,4.0,0.0,180.64498901367188
331,1,4,0,-1
348,6,32,64,-1
354.0,6.0,32.0,32.0,144.88697052001953
335,1,16,0,-1
350,2,16,0,-1
356.0,6.0,8.0,8.0,114.33744430541992
336,1,8,0,-1
351,2,16,0,-1
358.0,6.0,16.0,64.0,108.66665840148926
342,1,32,0,-1
352,2,32,0,-1
360.0,6.0,16.0,16.0,104.31933403015137
343,1,4,0,-1
355,2,32,0,-1
357.0,2.0,8.0,0.0,160.4158878326416
363.0,6.0,4.0,16.0,119.55857276916504
345,1,32,0,-1
361.0,2.0,32.0,0.0,166.90349578857422
367.0,6.0,16.0,8.0,124.87912178039551
353,1,8,0,-1
365.0,2.0,16.0,0.0,173.7380027770996
371.0,6.0,4.0,64.0,139.84370231628418
359,1,8,0,-1
373.0,6.0,16.0,8.0,116.26076698303223
362,1,32,0,-1
366,2,16,0,-1
377.0,6.0,32.0,8.0,110.28695106506348
364,1,4,0,-1
