query_id,model_id,bs,seq_len,latency
1.0,2.0,32.0,0.0,74.30338859558105
2.0,1.0,32.0,0.0,86.87639236450195
3.0,2.0,16.0,0.0,108.65521430969238
5.0,5.0,8.0,0.0,87.12625503540039
6.0,1.0,16.0,0.0,101.85360908508301
7.0,5.0,8.0,0.0,100.05307197570801
12.0,1.0,4.0,0.0,60.69517135620117
4,2,8,0,-1
8.0,2.0,4.0,0.0,104.02393341064453
9.0,5.0,4.0,0.0,107.9401969909668
13.0,1.0,32.0,0.0,91.71223640441895
16.0,1.0,4.0,0.0,71.18797302246094
10,2,8,0,-1
11,5,16,0,-1
14.0,5.0,4.0,0.0,100.7089614868164
17.0,1.0,8.0,0.0,81.09521865844727
20.0,2.0,32.0,0.0,58.00271034240723
18.0,1.0,8.0,0.0,96.69899940490723
24.0,2.0,32.0,0.0,69.69547271728516
15,5,16,0,-1
21.0,1.0,16.0,0.0,93.90592575073242
25.0,2.0,16.0,0.0,109.37190055847168
19,5,4,0,-1
28.0,2.0,8.0,0.0,113.04759979248047
26,1,8,0,-1
22,5,16,0,-1
36.0,2.0,16.0,0.0,36.715030670166016
27,1,16,0,-1
23,5,16,0,-1
29,1,4,0,-1
30,5,32,0,-1
31.0,5.0,8.0,0.0,92.12994575500488
32.0,1.0,32.0,0.0,100.7537841796875
33.0,5.0,32.0,0.0,95.94416618347168
35.0,1.0,4.0,0.0,98.85239601135254
37.0,1.0,16.0,0.0,102.18167304992676
44.0,2.0,4.0,0.0,55.719614028930664
34,5,16,0,-1
43.0,5.0,4.0,0.0,77.02231407165527
51.0,2.0,4.0,0.0,45.633792877197266
38,1,16,0,-1
48.0,5.0,32.0,0.0,65.39654731750488
39,1,4,0,-1
49.0,5.0,16.0,0.0,73.58884811401367
54.0,2.0,32.0,0.0,37.17780113220215
40,1,8,0,-1
52.0,5.0,4.0,0.0,91.62688255310059
41,1,4,0,-1
53.0,5.0,8.0,0.0,90.23714065551758
42,1,8,0,-1
55.0,5.0,8.0,0.0,46.239614486694336
45,1,8,0,-1
59.0,5.0,32.0,0.0,30.544757843017578
46,1,32,0,-1
60.0,5.0,16.0,0.0,37.15205192565918
63.0,2.0,16.0,0.0,42.83308982849121
47,1,4,0,-1
61.0,5.0,16.0,0.0,64.41283226013184
66.0,2.0,16.0,0.0,62.74151802062988
50,1,16,0,-1
64.0,5.0,16.0,0.0,74.72777366638184
56,1,8,0,-1
67.0,5.0,8.0,0.0,66.96557998657227
57,1,16,0,-1
68.0,5.0,32.0,0.0,52.855730056762695
58,1,32,0,-1
69.0,5.0,8.0,0.0,54.15511131286621
